语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：上
2022/11/4 21:52:55

序号	语句	书名	朝代
1	离下，坤 [上] 。		《周易》__周
2	为卦下离 [上] 坤，日入地中，明而见伤之象，故为明夷。		《周易》__周
3	又其 [上] 六为暗之主，六		《周易》__周
4	内难，谓为纣近亲，在其国内，如六五之近于 [上] 六也。		《周易》__周
5	以刚居刚，又在明体之 [上] ，而屈于至暗之下，正与 [上] 六暗		《周易》__周
6	厥土惟白壤，厥赋惟 [上]  [上] 错，厥田惟中中。		《尚书》__周
7	 [上] 则极乎暗矣，故为自伤其明以至于暗，而又足以伤人之明。		《周易》__周
8	爻皆为君子，独 [上] 一爻为暗君也。		《周易》__周
9	厥田惟 [上] 下，厥赋中 [上] 。		《尚书》__周
10	 [上] 六，不明晦，初登于天，后入于地。		《周易》__周
11	厥田惟 [上] 中，厥赋中中。		《尚书》__周
12	离下，巽 [上] 。		《周易》__周
13	厥田唯下下，厥赋下 [上] ， [上] 错。		《尚书》__周
14	厥土惟涂泥，厥田惟下中，厥赋 [上] 下。		《尚书》__周
15	 [上] 父初子，五三夫，四二妇，五兄三弟，以卦画推之，又有此象。		《周易》__周
16	厥田惟中 [上] ，厥赋错 [上] 中。		《尚书》__周
17	厥土青黎，厥田惟下 [上] ，厥赋下中，三错。		《尚书》__周
18	厥土惟黄壤，厥田惟 [上]  [上] ，厥赋中下。		《尚书》__周
19	阳主义，阴主利，以阴居阴而在 [上] 位，能富其家者也。		《周易》__周
20	 [上] 九，有孚威如，终吉。		《周易》__周
21	 [上] 九以刚居 [上] ，在卦之终，故言正家久远之道。		《周易》__周
22	兑下，离 [上] 。		《周易》__周
23	为卦 [上] 火下泽，性相违异；中女、少女，志不同归，故为睽。		《周易》__周
24	《彖》曰：“睽”，火动而 [上] ，泽动而下，二女同居，其志不同行。		《周易》__周
25	 [上] 、下俱 [上] 声。		《周易》__周
26	说而丽乎明，柔进而 [上] 行，得中而应乎刚，是以小事吉。		《周易》__周
27	《象》曰： [上] 火下泽，睽，君子以同而异。		《周易》__周
28	! [上] 无正应，有悔也。		《周易》__周
29	 [上] 九正应，而三居二阳之间，后为二所曳，前为四所掣，而当睽之时， [上] 九猜很方深，故又有髡劓之伤。		《周易》__周
30	 [上] 九，睽孤；见豕负涂，载鬼一车，先张之弧，后说之弧，匪寇婚媾。		《周易》__周
31	 [上] 九之与六三，先睽后合，故其象占如此。		《周易》__周
32	艮下，坎 [上] 。		《周易》__周
33	坎 [上] ，见险而止，故为蹇。		《周易》__周
34	自二以 [上] ，五爻皆得正位，则又贞之义也。		《周易》__周
35	《象》曰：山 [上] 有水，蹇，君子以反身修德。		《周易》__周
36	柔顺中正，正应在 [上] ，而在险中，故蹇而又蹇，以求济之，非以其身之故		《周易》__周
37	 [上] 六，往蹇，来硕，吉，利见大人。		《周易》__周
38	坎下，震 [上] 。		《周易》__周
39	达于 [上] 下，敬哉有土！”		《尚书》__周
40	难既解矣，以柔在下， [上] 有正应，何咎之有？		《周易》__周
41	正月 [上] 日，受终于文祖。		《尚书》__周
42	肆类于 [上] 帝，禋于六宗，望于山川，遍于群神。		《尚书》__周
43	 [上] 六，公用射隼于高墉之 [上] ，获之，无不利。		《周易》__周
44	兑下，艮 [上] 。		《周易》__周
45	为卦损下卦 [上] 画之阳，益 [上] 卦 [上] 画之阴，损兑		《周易》__周
46	泽之深，益艮山之高，损下益 [上] ，损内益外，剥民奉君之象，所以为损也。		《周易》__周
47	《彖》曰：“损”，损下益 [上] ，其道 [上] 行。		《周易》__周
48	帝曰：“畴若予 [上] 下草木鸟兽？”		《尚书》__周
49	 [上] 行之 [上] ，时掌反。		《周易》__周
50	!初九，当损下益 [上] 之时， [上] 应六		《周易》__周
51	然居下而益 [上] ，亦当斟酌其浅深也。		《周易》__周
52	尚、 [上] 通。		《周易》__周
53	言不变其所守，乃所以益 [上] 也。		《周易》__周
54	下卦本乾，而损 [上] 爻以益坤，三人行而损一人也。		《周易》__周
55	阳 [上] 而一阴下，一人行而得其友也。		《周易》__周
56	曰若稽古帝尧，曰放勋，钦、明、文、思、安安，允恭克让，光被四表，格于 [上] 下。		《尚书》__周
57	《象》曰：六五“元吉”，自 [上] 佑也。		《周易》__周
58	 [上] 九，弗损益之，无咎，贞吉，利有攸往，得臣无家。		《周易》__周
59	 [上] 九，当损下益 [上] 之时，居卦之 [上] ，受益之极，		《周易》__周
60	然居 [上] 而益下，有所谓惠而不费者，不待损己，然后可以益人也。		《周易》__周
61	震下，巽 [上] 。		《周易》__周
62	为卦损 [上] 卦初画之阳，益下卦初画之阴，自 [上] 卦而下于下卦之		《周易》__周
63	下震 [上] 巽，皆木之象，故其占利有所往，而利涉大川也。		《周易》__周
64	《彖》曰：“益”，损 [上] 益下，民说无疆；自 [上] 下下，其道大光。“		《周易》__周
65	 [上] 下”之下，去声。		《周易》__周
66	!动、巽二卦之德，乾下施，坤 [上] 生，亦 [上] 文卦		《周易》__周
67	初虽居下，然当益下之时，受 [上] 之益者也，不可徒然无所报效。		《周易》__周
68	以其居下而受 [上] 之益，故又为卜郊之吉占。		《周易》__周
