语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：下
2022/11/6 16:16:54

序号	语句	书名	朝代
1	问曰：“天 [下] 为有为无？”		《百喻经》__魏晋六朝
2	佛言：“我今问汝，天 [下] 众生为苦为乐？”		《百喻经》__魏晋六朝
3	 [下] 种於地，畏其自脚蹈地令坚，其麦不生。		《百喻经》__魏晋六朝
4	即便以馀药服之，方得吐 [下] ，尔乃得瘥。”		《百喻经》__魏晋六朝
5	昔有一人患 [下] 部病，医言：“当须倒灌，乃可瘥耳。”		《百喻经》__魏晋六朝
6	颠倒上 [下] ，无有根本，徒丧身命，为其所困。		《百喻经》__魏晋六朝
7	望得平正，返更高 [下] ，壁都坼裂，虚弃稻谷。		《百喻经》__魏晋六朝
8	见他头陀苦行，山林旷野，冢间树 [下] ，修四意止及不净观，便强将来，於其家中，种种供养。		《百喻经》__魏晋六朝
9	乃于楼上得一磨石，磨刀令利，来 [下] 而剥。		《百喻经》__魏晋六朝
10	上同 [下] 吉，不欲异人，不欲异尘，不欲异义，不欲异因，平等不二，圆通一身，可谓大象之真。		《宝藏论》__魏晋六朝
11	是以遍观天 [下] ，莫非真人，孰得此理。		《宝藏论》__魏晋六朝
12	不学道者亦有三，其上谓之祥，其次谓之良，其 [下] 谓之殃。		《宝藏论》__魏晋六朝
13	其名教既行，使上 [下] 之应诺，尔乃声立五音，色立五色，行立五行，德立五德。		《宝藏论》__魏晋六朝
14	 [下] 无寂乐，失自然之志，拘物外之约，迷无为之为，动有作之作。		《宝藏论》__魏晋六朝
15	寂兮寥兮，宽兮廓兮，分兮别兮，上则有君， [下] 则有臣，父子亲其居，尊卑异其位，起教叙其因。		《宝藏论》__魏晋六朝
16	无名名之父，无色色之母，为万物之根源，作天地之太祖，上施玄象， [下] 列冥庭。		《宝藏论》__魏晋六朝
17	故圣人立正教，置真谟，使无知之侣，上 [下] 相依，修无为，息有余，渐至乎如如。		《宝藏论》__魏晋六朝
18	若言其 [下] ，物莫能况。		《宝藏论》__魏晋六朝
19	夫约天地为上 [下] ，约日月为东西，约身为彼此，约心为是非。		《宝藏论》__魏晋六朝
20	国藏於佞，天 [下] 不政。		《宝藏论》__魏晋六朝
21	沙水同流，上清 [下] 稠。		《宝藏论》__魏晋六朝
22	凡此诸行，了无一然，而不跻善人之迹者， [下] 人也。		《抱朴子》__魏晋六朝
23	夫其不遇，亦得不杂糅于瓦石，钧贱于朽木，列镳于 [下] 乘，等望于凡琐哉！		《抱朴子》__魏晋六朝
24	编于仕类，而抑郁庸儿之 [下] 。		《抱朴子》__魏晋六朝
25	崇自秋请援，表至 [下] 余，诏遣镇南将军崔亮救侠石，镇东将军萧宝夤于梁堰上流决淮东注。		《北史》__魏晋六朝
26	北更立船楼十，各高三丈；十步置一篱，至两岸，蕃版装治，四箱解合，贼至举用，不战解 [下] 。		《北史》__魏晋六朝
27	郑君又称，其师左先生隐居天柱，出不营禄利，不友诸侯，然心愿太平，窃忧桑梓，乃慨然永叹于蓬屋之 [下] ，告其门生曰：“汉必被耀，黄精载起，缵枢纽于太微，回紫盖于鹑首。		《抱朴子》__魏晋六朝
28	仆射萧宝夤等曰：“陛 [下] 此遣，实合群望。”		《北史》__魏晋六朝
29	笔不狂简，而受驳议之荣；低眉垂翼，而充奏劾之选；不辩人物之精粗，而委以品藻之政；不知三才之军势，而轩昂节盖之 [下] ；屡为奔北之辱将，而不失前锋之显号；不别菠麦之同异，而忝叨顾问之近任。		《抱朴子》__魏晋六朝
30	平乃画“履武尾，践薄冰”于客馆，注颂其 [下] ，以示诫焉。		《北史》__魏晋六朝
31	陛 [下] 不以臣不武，委以总督之任。		《北史》__魏晋六朝
32	若不悛待戮，则鸣鼓衅钲，非陛 [下] 之事。”		《北史》__魏晋六朝
33	主昏于上，臣欺于 [下] ，不党不得，不竞不进，背公之俗弥剧，正直之道遂坏。		《抱朴子》__魏晋六朝
34	安南将军崔延伯立桥于 [下] 蔡，以拒贼之援，贼将王神念、昌义之等不得进救。		《北史》__魏晋六朝
35	忠贤望士，谓之党人，囚捕诛锄，天 [下] 嗟嗷，无罪无辜，闭门遇祸。		《抱朴子》__魏晋六朝
36	以臻乎凌上替 [下] ，盗贼多有，宦者夺人主之威，三九死庸竖之手。		《抱朴子》__魏晋六朝
37	孔子曰‘聪明神武’，不云‘聪仁’，又曰‘昔者明王之治天 [下] ’，不曰‘仁王’。		《抱朴子》__魏晋六朝
38	《诗》云，明明上天，照临 [下] 土。		《抱朴子》__魏晋六朝
39	赵郡李搔尝过元叉门 [下] ，见之，归谓其父元忠曰：“领军门 [下] 见一神人。”		《北史》__魏晋六朝
40	慨而嗟乎，始悟立不朽之言者，不以产业汨和，追 [下] 帷之绩者，不以窥园涓目。		《抱朴子》__魏晋六朝
41	是时鄴 [下] 言风流者，以谐及陇西李神俊、范阳卢元明、北海王元景、弘农杨遵彦、清河崔赡为首。		《北史》__魏晋六朝
42	三代得天 [下] 以仁，失天 [下] 以不仁。		《抱朴子》__魏晋六朝
43	梁使每入，鄴 [下] 为之倾动，贵胜子弟盛饰聚观，礼赠优渥，馆门成市。		《北史》__魏晋六朝
44	曩六国相吞，豺虎力竞，高权诈而 [下] 道德，尚杀伐而废退让，孟生方欲抑顿贪残，褒隆仁义，安得不勤勤谆谆，独称仁邪？		《抱朴子》__魏晋六朝
45	蔚弟若，聪敏，颇传家业，风采词令，有声鄴 [下] 。		《北史》__魏晋六朝
46	金曾使人奉启，若为舍人，误奏云在阙 [下] ，诏命出羊车。		《北史》__魏晋六朝
47	大孝必畏辱亲之险，故子春战悸于 [下] 堂；上智不贵难得之财，故唐虞捐金而抵譬。		《抱朴子》__魏晋六朝
48	故 [下] 乡俭而获悔咎之辰，漂妪丰而蒙千金之报。		《抱朴子》__魏晋六朝
49	宣徽、凝晖、宣明、顺华、凝华、光训为 [下] 嫔、比六卿。		《北史》__魏晋六朝
50	后王既立二后，昭仪以 [下] 皆倍其数。		《北史》__魏晋六朝
51	自嫔以 [下] ，置六十员。		《北史》__魏晋六朝
52	’又《金简记》云，以五月丙午日，日中捣五石， [下] 其铜。		《抱朴子》__魏晋六朝
53	贵人等关掌宫闱之务，六尚以 [下] 皆分泰焉。		《北史》__魏晋六朝
54	皆粉之，以金华池浴之，内六一神炉中鼓 [下] 之，以桂木烧为之，铜成以刚炭炼之。		《抱朴子》__魏晋六朝
55	又有承衣刀人，皆趋侍左右，并无员数，视六品以 [下] 。		《北史》__魏晋六朝
56	其次则论百鬼录，知天 [下] 鬼之名字，及《白泽图》、《九鼎记》，则众鬼自却。		《抱朴子》__魏晋六朝
57	一有姓字服色，男长九分，女长六分，或在脐 [下] 二寸四分 [下] 丹田中。		《抱朴子》__魏晋六朝
58	或在心 [下] 绛宫金逆中丹田也。		《抱朴子》__魏晋六朝
59	女史流外，量局闲剧，多者十人以 [下] ，无定员数。		《北史》__魏晋六朝
60	若高人以格言弹而呵之，有不畏大人而长恶不悛者， [下] 其名品，则宜必惧然冰泮而革面，旋而东走之迹矣。		《抱朴子》__魏晋六朝
61	自尊重之道，乃在乎以贵 [下] 贱，卑以自牧，非此之谓也。		《抱朴子》__魏晋六朝
62	吾闻晋之宣、景、文、武四帝，居亲丧皆毁瘠逾制，又不用王氏二十五月之礼，皆行七月服，于时天 [下] 之在重哀者，咸以四帝为法，世人何独不闻此，而虚诬高人，不亦惑乎！		《抱朴子》__魏晋六朝
63	此符是老君入山符， [下] 说如文。		《抱朴子》__魏晋六朝
64	凡作天 [下] 百术，皆宜知禹步，不独此事也。		《抱朴子》__魏晋六朝
65	抱朴子曰：《灵宝经》所谓保日者，谓支干上生 [下] 之日也。		《抱朴子》__魏晋六朝
66	夫君子之居室，犹不掩家人之不备，故入门则扬声，升堂则 [下] 视，而唐突他家，将何理乎？		《抱朴子》__魏晋六朝
67	又谓义日者，支干 [下] 生上之日也。		《抱朴子》__魏晋六朝
68	所谓制日者，支干上克 [下] 之日也。		《抱朴子》__魏晋六朝
69	居其 [下] 者，作威作福以控御之。		《抱朴子》__魏晋六朝
