语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：不
2023/1/20 15:12:11

序号	语句	书名	朝代
1	其反复丁宁示人之意，至深切矣，学者其可 [不] 尽心乎！		《大学中庸》__春秋战国
2	盖自天降生民，则既莫 [不] 与之以仁义礼智之性矣。		《大学中庸》__春秋战国
3	然其气质之禀或 [不] 能齐，是以 [不] 能皆有以知其性之所有而全之也。		《大学中庸》__春秋战国
4	蘧伯玉曰：“ [不] 以道事其君者，其出乎！”		《榖梁传》__春秋战国
5	三代之隆，其法寖备，然后王宫、国都以及闾巷，莫 [不] 有学。		《大学中庸》__春秋战国
6	夫以学校之设，其广如此，教之之术，其次第节目之详又如此，而其所以为教，则又皆本之人君躬行心得之余， [不] 待求之民生日用彝伦之外，是以当世之人无 [不] 学。		《大学中庸》__春秋战国
7	其学焉者，无 [不] 有以知其性分之所固有，职分之所当为，而各俛焉以尽其力。		《大学中庸》__春秋战国
8	及周之衰，贤圣之君 [不] 作，学校之政 [不] 修，教化陵夷，风俗颓败，时则有若孔子之圣，而 [不] 得君师之位以行其政教，于是独取先王之法，诵而传之以诏后世。		《大学中庸》__春秋战国
9	三千之徒，盖莫 [不] 闻其说，而曾氏之传独得其宗，于是作为传义，以发其意。		《大学中庸》__春秋战国
10	使其君子 [不] 幸而 [不] 得闻大道之要，其小人 [不] 幸而 [不] 得蒙至治之泽，晦盲否塞，反复沈痼，以及五季之衰，而坏乱极矣！		《大学中庸》__春秋战国
11	知说士，而 [不] 知所谓士也。		《吕氏春秋》__春秋战国
12	天运循环，无往 [不] 复。		《大学中庸》__春秋战国
13	五谷 [不] 升为大饥。		《榖梁传》__春秋战国
14	一谷 [不] 升谓之嗛，二谷 [不] 升谓之饥，三谷 [不] 升谓之馑，四谷 [不] 升谓之康，五谷 [不] 升谓之大侵。		《榖梁传》__春秋战国
15	国之将亡，其君贪冒、辟邪、淫佚、荒怠、粗秽、暴虐；其政腥臊，馨香 [不] 登，其刑矫诬，百姓携贰，明神 [不] 蠲而民有远志，民神怨痛，无所依怀，故神亦往焉，观其苛慝而降之祸。		《国语》__春秋战国
16	虽以熹之 [不] 敏，亦幸私淑而与有闻焉。		《大学中庸》__春秋战国
17	大侵之礼，君食 [不] 兼味，台榭 [不] 涂，弛侯，廷道 [不] 除，百官布而 [不] 制，鬼神祷而 [不] 祀，此大侵之礼也。		《榖梁传》__春秋战国
18	夫神壹 [不] 远徙迁，若由是观之，其丹朱之神乎？”		《国语》__春秋战国
19	学者必由是而学焉，则庶乎其 [不] 差矣。		《大学中庸》__春秋战国
20	未殁而亡政， [不] 可谓武；有子而弗胜， [不] 可谓威。		《国语》__春秋战国
21	明德者，人之所得乎天，而虚灵 [不] 昧，以具众理而应万事者也。		《大学中庸》__春秋战国
22	失政而害国， [不] 可忍也。		《国语》__春秋战国
23	骊姬曰：“以皋落狄之朝夕苛我边鄙，使无日以牧田野，君之仓廪固 [不] 实，又恐削封疆。		《国语》__春秋战国
24	止者，必至于是而 [不] 迁之意。		《大学中庸》__春秋战国
25	诸侯 [不] 生名，取卒之名加之伐楚之上者，见以伐楚卒也。		《榖梁传》__春秋战国
26	若 [不] 胜狄，虽济其罪，可也；若胜狄，则善用众矣，求必益广，乃可厚图也。		《国语》__春秋战国
27	言明明德、新民，皆当至于至善之地而 [不] 迁。		《大学中庸》__春秋战国
28	且夫胜狄，诸侯惊惧，吾边鄙 [不] 儆，仓廪盈，四邻服，封疆信，君得其赖，又知可否，其利多矣。		《国语》__春秋战国
29	古者虽有文事，必有武备，非巢之 [不] 饰城而请罪，非吴子之自轻也。		《榖梁传》__春秋战国
30	此 [不] 正，其日何也？		《榖梁传》__春秋战国
31	静，谓心 [不] 妄动。		《大学中庸》__春秋战国
32	是故事君者，君为我心，制 [不] 在我。”		《国语》__春秋战国
33	君赐之奇，奇生怪，怪生无常，无常 [不] 立。		《国语》__春秋战国
34	与其勤而 [不] 入， [不] 如逃之，君得其欲，太子远死，且有令名，为吴太伯， [不] 亦可乎？”		《国语》__春秋战国
35	然吾闻之，为人子者，患 [不] 从， [不] 患无名，为人臣者，患 [不] 勤， [不] 患无禄，今我 [不] 才而得勤与从，又何求焉？		《国语》__春秋战国
36	推极吾之知识，欲其所知无 [不] 尽也。		《大学中庸》__春秋战国
37	君未终命而 [不] 殁，君其若之何？		《国语》__春秋战国
38	宁喜由君弑君，而 [不] 以弑君之罪罪之者，恶献公也。		《榖梁传》__春秋战国
39	公曰：“夫岂惠其民而 [不] 惠于其父乎？”		《国语》__春秋战国
40	穷至事物之理，欲其极处无 [不] 到也。		《大学中庸》__春秋战国
41	吾闻之外人之言曰：为仁与为国 [不] 同。		《国语》__春秋战国
42	物格者，物理之极处无 [不] 到也。		《大学中庸》__春秋战国
43	君赂 [不] 入乎喜而杀喜，是君 [不] 直乎喜也。		《榖梁传》__春秋战国
44	以众故 [不] 敢爱亲，众况厚之，彼将恶始而美终，以晚盖者也。		《国语》__春秋战国
45	知至者，吾心之所知无 [不] 尽也。		《大学中庸》__春秋战国
46	故出奔晋，织絇邯郸，终身 [不] 言卫。		《榖梁传》__春秋战国
47	苟交利而得宠，志行而众悦，欲其甚矣，孰 [不] 惑焉？		《国语》__春秋战国
48	湨梁之会，诸侯在而 [不] 曰诸侯之大夫，大夫 [不] 臣也，晋赵武耻之。		《榖梁传》__春秋战国
49	虽欲爱君，惑 [不] 释也，今夫以君为纣，若纣有良子，而先丧纣，无章其恶而厚其败。		《国语》__春秋战国
50	钧之死也，无必假手于武王，而其世 [不] 废，祀至于今，吾岂知纣之善否哉？		《国语》__春秋战国
51	诸侯 [不] 在而曰诸侯之大夫，大夫臣也。		《榖梁传》__春秋战国
52	其母既死，其子又有谤，可 [不] 谓枯乎？		《国语》__春秋战国
53	言 [不] 可食，众 [不] 可弭，是以深谋。		《国语》__春秋战国
54	君若 [不] 图，难将至矣！”		《国语》__春秋战国
55	公曰：“吾 [不] 忘也，抑未有以致罪焉。”		《国语》__春秋战国
56	乃歌曰：“暇豫之吾吾， [不] 如鸟乌。		《国语》__春秋战国
57	熟读详味，久当见之，今 [不] 尽释也。		《大学中庸》__春秋战国
58	优施曰：“其母为夫人，其子为君，可 [不] 谓苑乎？		《国语》__春秋战国
59	日，吾固告君曰得众，众 [不] 利，焉能胜狄？		《国语》__春秋战国
60	 [不] 称名姓，阍 [不] 得齐于人。		《榖梁传》__春秋战国
61	优施出，里克辟奠， [不] 飧而寝。		《国语》__春秋战国
62	 [不] 称其君，阍 [不] 得君其君也。		《榖梁传》__春秋战国
63	礼：君 [不] 使无耻， [不] 近刑人， [不] 狎敌， [不] 迩怨。		《榖梁传》__春秋战国
64	里克曰：“吾秉君以杀太子，吾 [不] 忍。		《国语》__春秋战国
65	常目在之，则无时 [不] 明矣。		《大学中庸》__春秋战国
66	 [不] 如曰 [不] 信以疏之，亦固太子以携之，多为之故，以变其志，志少疏，乃可  也。		《国语》__春秋战国
67	杞危而 [不] 能自守，故诸侯之大夫相帅以城之，此变之正也。		《榖梁传》__春秋战国
68	公曰：“余听狱虽 [不] 能察，必以情断之。”		《国语》__春秋战国
69	衣躬之偏，而握金  ，令 [不] 偷矣。		《国语》__春秋战国
70	夫为人子者，惧 [不] 孝， [不] 惧 [不] 得。		《国语》__春秋战国
71	此通下三章至“止于信”，旧本误在“没世 [不] 忘”之下。		《大学中庸》__春秋战国
72	故铭其盘，言诚能一日有以涤其旧染之污而自新，则当因其已新者，而日日新之，又日新之， [不] 可略有间断也。		《大学中庸》__春秋战国
73	其 [不] 日，子夺父政，是谓夷之。		《榖梁传》__春秋战国
74	是故君子无所 [不] 用其极。		《大学中庸》__春秋战国
75	伯姬曰：“妇人之义，傅母 [不] 在，宵 [不] 下堂。”		《榖梁传》__春秋战国
76	伯姬曰：“妇人之义，保母 [不] 在，宵 [不] 下堂。”		《榖梁传》__春秋战国
77	 [不] 战而反，我罪滋厚；我战死，犹有令名焉。”		《国语》__春秋战国
78	谗言益起，狐突杜门 [不] 出。		《国语》__春秋战国
79	子曰：“于止，知其所止，可以人而 [不] 如鸟乎！”		《大学中庸》__春秋战国
80	《传》曰：诸侯且 [不] 首恶，况于天子乎？		《榖梁传》__春秋战国
81	士☆出语人曰：“太子 [不] 得立矣。		《国语》__春秋战国
82	有而 [不] 以告，谓之蔽明，其罪五。”		《国语》__春秋战国
83	有而 [不] 以告，谓之蔽贤，其罪五。”		《国语》__春秋战国
84	外夫人 [不] 书葬，此其言葬何也？		《榖梁传》__春秋战国
85	桓公又闻焉，曰：“于子之乡，有 [不] 慈孝于父母、 [不] 长惕于乡里、骄躁淫暴、 [不] 用上令者，有则以告。		《国语》__春秋战国
86	有而 [不] 以告，谓之下比，其罪五。”		《国语》__春秋战国
87	 [不] 言大夫，恶之也。		《榖梁传》__春秋战国
88	《管子·小匡》无“用”字）之，曰：“有人居我官，有功休德，惟慎端恪以待时，使民以劝，绥谤言，足以补官之 [不] 善政。”		《国语》__春秋战国
89	 [不] 日卒而月葬， [不] 葬者也。		《榖梁传》__春秋战国
