语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：与
2022/11/4 21:56:39

序号	语句	书名	朝代
1	精进行  勿懈怠  勿起想  有 [与] 无  勿念进  勿念退  勿念前  勿念後		《佛说般舟》__汉
2	不田作种树，随畜逐水草， [与] 匈奴同俗。		《汉书》__汉
3	东 [与] 匈奴、西北 [与] 康居、西 [与] 大宛、南 [与] 城郭诸国相接。		《汉书》__汉
4	始张骞言乌孙本 [与] 大月氏共在敦煌间，今乌孙虽强大，可厚赂招，令东居故地，妻以公主， [与] 为昆弟，以制匈奴。		《汉书》__汉
5	昆莫 [与] 芩陬万余骑，令别居，昆莫亦自有万余骑以自备。		《汉书》__汉
6	匈奴闻其 [与] 汉通，怒欲击之。		《汉书》__汉
7	公主至其国，自治宫室居，岁时一再 [与] 昆莫会，置酒饮食，以币、帛赐王左右贵人。		《汉书》__汉
8	公主不听，上书言状，天子报曰：“从其国俗，欲 [与] 乌孙共灭胡。”		《汉书》__汉
9	岑陬胡妇子泥靡尚小，岑陬且死，以国 [与] 季父大禄子翁归靡，曰：“泥靡大，以国归之。”		《汉书》__汉
10	昭帝时，公主上书，言：“匈奴发骑田车师，车师 [与] 匈奴为一，共侵乌孙，唯天子幸救之！”		《汉书》__汉
11	狂王复尚楚主解忧，生一男鸱靡，不 [与] 主和，又暴恶失众。		《汉书》__汉
12	车骑将军长史张翁留验公主 [与] 使者谋杀狂王状，主不服，叩头谢，张翁捽主头骂詈。		《汉书》__汉
13	初，肥王翁归靡胡妇子乌就屠，狂五伤时惊， [与] 诸翕侯俱去，居北山中，扬言母家匈奴兵来，故众归之。		《汉书》__汉
14	为乌孙右大将妻，右大将 [与] 乌就屠相爱，都护郑吉使冯夫人说乌就屠，以汉兵方出，必见灭，不如降。		《汉书》__汉
15	天子闵而迎之，公主 [与] 乌孙男女三人俱来至京师。		《汉书》__汉
16	汉欲以兵讨之而未能，遣中郎将段会宗持金币 [与] 都护图方略，立雌栗靡季父公主孙伊秩靡为大昆弥。		《汉书》__汉
17	责大禄、大吏、大监以雌栗靡见杀状，夺金印紫绶，更 [与] 铜墨云。		《汉书》__汉
18	哀帝元寿二年，大昆弥伊秩靡 [与] 单于并入朝，汉以为荣。		《汉书》__汉
19	东至都护治所二千二十一里，南至于阗马行十五日，北 [与] 乌孙接。		《汉书》__汉
20	土地物类所有 [与] 鄯善诸国同。		《汉书》__汉
21	南 [与] 精绝、东南 [与] 且末、西南 [与] 杅弥、北 [与] 乌孙、西 [与] 姑墨接。		《汉书》__汉
22	 [与] 都护同治。		《汉书》__汉
23	东北 [与] 尉犁、东南 [与] 且末、南 [与] 精绝接。		《汉书》__汉
24	上既悔远征伐，而搜粟都尉桑弘羊 [与] 丞相御史奏言：“故轮台东捷枝、渠犁皆故国，地广，饶水草，有溉田五千顷以上，处温和，田美，可益通沟渠，种五谷， [与] 中国同时孰。		《汉书》__汉
25	古者卿大夫 [与] 谋，参以蓍龟，不吉不行。		《汉书》__汉
26	郡国二千石各上进畜马方略补边状， [与] 计对。		《汉书》__汉
27	昭帝乃用桑弘羊前议，以杅弥太子赖丹为校尉，将军田轮台，轮台 [与] 渠犁地皆相连也。		《汉书》__汉
28	后公主上书，愿令女比宗室入朝，而龟兹王绛宾亦受其夫人，上书言得尚汉外孙为昆弟，愿 [与] 公主女俱入朝。		《汉书》__汉
29	西至都护治所三百里，南 [与] 鄯善、且未接。		《汉书》__汉
30	西南至都护治所四百里南至尉犁百里，北 [与] 乌孙接。		《汉书》__汉
31	东 [与] 单桓、南 [与] 且弥、西 [与] 乌孙接。		《汉书》__汉
32	东 [与] 郁立师、北 [与] 匈奴、西 [与] 劫国、南 [与] 车师接。		《汉书》__汉
33	辅国侯、左右都尉、译长各一人，东 [与] 车师后城长、西 [与] 卑陆、北 [与] 匈奴接。		《汉书》__汉
34	西至尉犁二百四十里，西北至焉耆百六十里，西至危须二百六十里，东南 [与] 鄯善、且末接。		《汉书》__汉
35	及乌贵立为王， [与] 匈奴结婚姻，教匈奴遮汉道通乌孙者。		《汉书》__汉
36	至秋收谷，吉、憙发城郭诸国兵万余人，自 [与] 所将田士千五百人共击车师，攻交河城，破之。		《汉书》__汉
37	王来还， [与] 贵人苏犹议欲降汉，恐不见信。		《汉书》__汉
38	吉、憙即留一候 [与] 卒二十人留守王，吉等引兵归渠犁。		《汉书》__汉
39	果遣骑来击田者，吉乃 [与] 校尉尽将渠犁田士千五百人往田，匈奴复益遣骑来，汉田卒少不能当，保车师城中。		《汉书》__汉
40	于是汉召故车师太子军宿在焉耆者，立以为王，尽徙车师国民令居渠犁，遂以车师故地 [与] 匈奴。		《汉书》__汉
41	车师王得近汉田官， [与] 匈奴绝，亦安乐亲汉。		《汉书》__汉
42	后汉使侍郎殷广德责乌孙，求车师王乌贵，将诣阙，赐第 [与] 其妻子居。		《汉书》__汉
43	地又颇 [与] 匈奴南将军地接，曾欲分明其界然后奏之，召姑句使证之，不肯，系之。		《汉书》__汉
44	车师后王须置离闻之， [与] 其右将股鞮、左将尸泥支谋曰：“闻甄公为西域太伯，当出，故事给使者牛、羊、谷、刍茭，导译，前五威将过，所给使尚未能备。		《汉书》__汉
45	是时，莽易单于玺，单于恨怒，遂受狐兰支降，遣兵 [与] 共冠击车师，杀后城长，伤都护司马，及狐兰兵复还入匈奴。		《汉书》__汉
46	史终带取粮食，司马丞韩玄领诸壁，右曲候任商领诸垒，相 [与] 谋曰：“西域诸国颇背叛，匈奴欲大侵。		《汉书》__汉
47	止留戊己校尉城，遣人 [与] 匈奴南将军相闻，南将军以二千骑迎良等。		《汉书》__汉
48	后三岁，单于死，弟乌累单于咸立，复 [与] 莽和亲。		《汉书》__汉
49	而康居、大月氏、安息、E47B宾、乌弋之属，皆以绝远不在数中，其来贡献则相 [与] 报，不督录总领也。		《汉书》__汉
50	桓不寤， [与] 夫人俱会齐，夫人谮桓公于齐侯，齐侯杀桓公。		《汉书》__汉
51	男女有不得其所者，因相 [与] 歌咏，各言其伤。		《汉书》__汉
52	说曰：火星出于周五月，而郑以三月作火铸鼎，刻刑辟书，以为民约，是为刑器争辟，故火星出， [与] 五行之火争明为灾，其象然也，又弃法律之占也。		《汉书》__汉
53	民伤则离散，农伤则国贫，故甚贵 [与] 甚贱，其伤一也。		《汉书》__汉
54	不幸疾病死丧之费，及上赋敛，又未 [与] 此。		《汉书》__汉
