语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：中
2022/11/4 21:55:04

序号	语句	书名	朝代
1	 [中] 捉驴根，谓呼是乳，即便☆之，望得其乳。		《百喻经》__魏晋六朝
2	是时会 [中] 有异学梵志五百人俱，从座而起，白佛言“吾闻佛道洪深，无能及者，故来归问。		《百喻经》__魏晋六朝
3	老母於後伺其夫主不在之时，以一死尸置其家 [中] 。		《百喻经》__魏晋六朝
4	昔有一王，欲入无忧园 [中] 欢娱受乐。		《百喻经》__魏晋六朝
5	时王便以三十六机置其背上，驱使担之，至於园 [中] 。		《百喻经》__魏晋六朝
6	村 [中] 有好美水，王敕村人，常使日日送其美水。		《百喻经》__魏晋六朝
7	还来家 [中] ，啼哭懊恼。		《百喻经》__魏晋六朝
8	如彼外道，偷取佛法，著己法 [中] ，妄称己有，非是佛法。		《百喻经》__魏晋六朝
9	见镜 [中] 人，便生惊怖，叉手语言：“我谓空箧，都无所有；不知有君在此箧 [中] ，莫见☆也。”		《百喻经》__魏晋六朝
10	欲避生死，入佛法 [中] 修行善法，作诸功德，如值宝箧。		《百喻经》__魏晋六朝
11	昔有一人，入山序学道，得五通仙，天眼彻视，能见地 [中] 一切付藏，种种珍宝。		《百喻经》__魏晋六朝
12	国王闻之，心大欢喜，便语臣曰；“云何得使此人常在我国，不馀处去，使我藏 [中] 得多珍宝？”		《百喻经》__魏晋六朝
13	至空旷处，值箧，满 [中] 珍宝。		《百喻经》__魏晋六朝
14	见他头陀苦行，山林旷野，冢间树下，修四意止及不净观，便强将来，於其家 [中] ，种种供养。		《百喻经》__魏晋六朝
15	昔有一人，行来渴乏，见木桶 [中] 有清净流水，就而饮之。		《百喻经》__魏晋六朝
16	王语臣言：“所以贪得仙人住者，能见地 [中] 一切伏藏。		《百喻经》__魏晋六朝
17	夜 [中] 呻唤，甚大苦恼。		《百喻经》__魏晋六朝
18	昔有人乘船渡海，失一银☆，坠於水 [中] 。		《百喻经》__魏晋六朝
19	亦如外道，不修正行，相似善 [中] ，横计苦因，以求解脱，状如愚人，失☆於彼，而於此觅。		《百喻经》__魏晋六朝
20	既有信心，入佛法 [中] 修行善发，及诸功德，以贪利故，破於清净戒及诸功德，为世所笑，亦复如是。		《百喻经》__魏晋六朝
21	其人即便在前然火，语贫人言：“今可脱汝粗褐衣著於火 [中] ，於此烧处，当使汝得上妙钦服。”		《百喻经》__魏晋六朝
22	入佛法 [中] ，出家求道。		《百喻经》__魏晋六朝
23	由是之故，於佛法 [中] 永失其善，堕於三恶。		《百喻经》__魏晋六朝
24	夫天地之内，宇宙之间， [中] 有一宝。		《宝藏论》__魏晋六朝
25	於实际 [中] ，都无一异。		《宝藏论》__魏晋六朝
26	譬如有人於虚空 [中] ，画作种种色象，及作种种音声，然彼虚空实无异相，亦无受入变动，故知诸佛化身，及以说法，亦复如是。		《宝藏论》__魏晋六朝
27	但圣人应机设教，对执不同，究竟理 [中] ，都无名字。		《宝藏论》__魏晋六朝
28	然妙理之 [中] ，都无此事。		《宝藏论》__魏晋六朝
29	若不如是，多妄多失， [中] 有梦虑，主习众疾，非凶为凶，非吉为吉。		《宝藏论》__魏晋六朝
30	智藏惑 [中] ，虽真而不道。		《宝藏论》__魏晋六朝
31	神 [中] 有智，智 [中] 有悲。		《宝藏论》__魏晋六朝
32	夫进道之由， [中] 有万途，困鱼止沥，病鸟栖芦，其二者不识於大海，不识於丛林，人趋乎小道，其义亦然。		《宝藏论》__魏晋六朝
33	灵 [中] 有神，神 [中] 有身，无为变化，各禀乎自然，微有事用。		《宝藏论》__魏晋六朝
34	天地寥落，宇宙宽廓， [中] 有烟尘，清虚翳膜。		《宝藏论》__魏晋六朝
35	若言其空，万用在 [中] 。		《宝藏论》__魏晋六朝
36	故晦 [中] 无明，明 [中] 无晦，诸法念念，各不相待。		《宝藏论》__魏晋六朝
37	拔朱紫于 [中] 构，剖犹豫以允当者，理人也。		《抱朴子》__魏晋六朝
38	若复有人，自性清净，含一而生， [中] 无妄想，即为圣人。		《宝藏论》__魏晋六朝
39	安肯蹙太山之峻，以适凿枘之 [中] ；敛垂天之羽，为戒旦之役？		《抱朴子》__魏晋六朝
40	彼诸外道前知未来，後知过去， [中] 知身心，身心不净，故不免生死。		《宝藏论》__魏晋六朝
41	於空法 [中] ，以念术力，化作种种色相，起妄想见。		《宝藏论》__魏晋六朝
42	郭泰 [中] 才，犹能知人，故入颍川则友李元礼，到陈留则结符伟明，入外黄则亲韩子助，至蒲亨则师仇季知，止学舍则收魏德公，观耕者则拔茅季伟，奇孟敏于担负，戒元艾之必败。		《抱朴子》__魏晋六朝
43	若复有人，自性清净，含一而生， [中] 有妄想，自体浊乱，即为凡夫。		《宝藏论》__魏晋六朝
44	然实际 [中] 亦无凡夫法，如微尘许而有异也。		《宝藏论》__魏晋六朝
45	寻除 [中] 书监、骠骑大将军，仪同如故。		《北史》__魏晋六朝
46	出为使持节、侍 [中] 、都督四州诸军事、定州刺史。		《北史》__魏晋六朝
47	徵拜尚书左仆射，迁尚书令，加侍 [中] 。		《北史》__魏晋六朝
48	彼二见者，妄见有无，然真一之 [中] ，体非有无，但妄想虚立，得有无也。		《宝藏论》__魏晋六朝
49	然真一理 [中] ，离见不见，过限量界，度凡圣位，故能了了见，非虚妄也。		《宝藏论》__魏晋六朝
50	诏引丞相、令、仆、尚书、侍 [中] 、黄门于显阳殿，曰：“贼势侵淫，寇连恆，朔，金陵在彼，夙夜忧惶。		《北史》__魏晋六朝
51	改除开府、相州刺史，侍 [中] 、将军、仪同并如故。		《北史》__魏晋六朝
52	赠侍 [中] 、骠骑大将军、司徒公、雍州刺史，谥曰武康，后重赠太尉公，余如故。		《北史》__魏晋六朝
53	譬如有人，於金器藏 [中] ，常观於金体，不睹众相。		《宝藏论》__魏晋六朝
54	孝昌 [中] ，灵太后淫纵，分遣腹心媪姬出外，阴求悦人。		《北史》__魏晋六朝
55	建义初，赠侍 [中] 、司空公、相州刺史，谥曰烈。		《北史》__魏晋六朝
56	若夫驰骤于诗论之 [中] ，周旋于传记之间，而以常情览巨异，以褊量测无涯，以至粗求至精，以甚浅揣甚深，虽始自髫龀，讫于振素，犹不得也。		《抱朴子》__魏晋六朝
57	若复有人，於金器藏 [中] ，常睹众相，不睹金体，分别善恶，起种种见，而失於金性，便有诤论，喻彼愚夫，亦复如是。		《宝藏论》__魏晋六朝
58	然实际 [中] 亦无圣人法，如微尘许而有异也。		《宝藏论》__魏晋六朝
59	此大道冶 [中] ，造化无穷，流出万宗，若成若坏，体无增减。		《宝藏论》__魏晋六朝
60	所以言 [中] 道者，欲令有相无相无二也。		《宝藏论》__魏晋六朝
61	赠侍 [中] 、骠骑大将军、仪同三司、冀州刺史，谥文烈公。		《北史》__魏晋六朝
62	夫神 [中] 有智，智 [中] 有通。		《宝藏论》__魏晋六朝
63	鬼神逆知诸天变化， [中] 阴了生神龙变化，此为报通。		《宝藏论》__魏晋六朝
64	位 [中] 书侍郎、吏部郎 [中] 。		《北史》__魏晋六朝
65	若执有心者，即有心碍，心碍故即真智隐於念虑之 [中] 。		《宝藏论》__魏晋六朝
66	文辩为时所称，历位位 [中] 书侍郎。		《北史》__魏晋六朝
67	谐长子岳，字祖仁，官 [中] 散大夫。		《北史》__魏晋六朝
68	愔党助魏，故遂白齐文宣，庶等并髡头鞭杖二百，庶死于临漳狱 [中] 。		《北史》__魏晋六朝
69	法尔自然， [中] 无我造。		《宝藏论》__魏晋六朝
70	后还，位尚书左 [中] 兵郎 [中] ，仍聘陈使副。		《北史》__魏晋六朝
71	尝在省 [中] ，趋而前却，对答学奏事之象，和士开闻而奏之。		《北史》__魏晋六朝
72	隋开皇 [中] ，卒于秦王府谘议。		《北史》__魏晋六朝
73	始立 [中] 宫，余妾或称夫人，多少无限，然皆有品次。		《北史》__魏晋六朝
74	孝文改定内官：左右昭仪位视大司马，三夫人视三公，三嫔视三卿，六嫔视六卿，世妇视 [中] 大夫，御女视元士。		《北史》__魏晋六朝
75	作司、大监、女侍 [中] 三官视二品。		《北史》__魏晋六朝
76	 [中] 才人、供人、 [中] 使、女生才人、恭使宫人视四品。		《北史》__魏晋六朝
77	此犀兽在深山 [中] ，晦冥之夕，其光正赫然如炬火也。		《抱朴子》__魏晋六朝
78	抱朴子曰：有老君黄庭 [中] 胎四十九真秘符，入山林，以甲寅日丹书白素，夜置案 [中] ，向北斗祭之，以酒脯各少少，自说姓名，再拜受取，内衣领 [中] ，辟山川百鬼万精，虎狼虫毒也。		《抱朴子》__魏晋六朝
79	郑君言，但习闭气至千息，久久则能居水 [中] 一日许。		《抱朴子》__魏晋六朝
80	或问曰：“昔闻谈昌，或步行水上，或久居水 [中] ，以何法乎？”		《抱朴子》__魏晋六朝
81	人有为毒箭所 [中] 欲死，以此犀叉刺疮 [中] ，其疮即沫出而愈也。		《抱朴子》__魏晋六朝
82	又佩东海小童符，及制水符、蓬莱札，皆却水 [中] 之百害也。		《抱朴子》__魏晋六朝
83	’又《金简记》云，以五月丙午日，日 [中] 捣五石，下其铜。		《抱朴子》__魏晋六朝
84	皆粉之，以金华池浴之，内六一神炉 [中] 鼓下之，以桂木烧为之，铜成以刚炭炼之。		《抱朴子》__魏晋六朝
85	欲知铜之牝牡，当令童男童女俱以水灌铜，灌铜，当以在火 [中] 向赤时也，则铜自分为两段。		《抱朴子》__魏晋六朝
86	抱朴子曰：“道士不得已而当游涉大川者，皆先当于水次，破鸡子一枚，以少许粉杂香末，合搅器水 [中] ，以自洗濯，则不畏风波蛟龙也。		《抱朴子》__魏晋六朝
87	一有姓字服色，男长九分，女长六分，或在脐下二寸四分下丹田 [中] 。		《抱朴子》__魏晋六朝
88	或在心下绛宫金逆 [中] 丹田也。		《抱朴子》__魏晋六朝
89	西见 [中] 黄子，受《九加之方》，过崆峒，从广成子受《自成之经》。		《抱朴子》__魏晋六朝
90	《仙经》曰：九转丹、金液经、守一诀，皆在昆仑五城之内，藏以玉函，刻以金札，封以紫泥，印以 [中] 章焉。		《抱朴子》__魏晋六朝
91	吾闻之于先师曰：一在北极大渊之 [中] 。		《抱朴子》__魏晋六朝
92	有似蜀人瓠壶之喻，胸 [中] 无一纸之诵，所识不过酒炙之事。		《抱朴子》__魏晋六朝
93	后匿帝于裤 [中] ，咒曰：“若天祚未终者，汝无声。”		《北史》__魏晋六朝
94	若已为所 [中] 者，可以此药涂疮，亦愈。		《抱朴子》__魏晋六朝
95	或于同造之 [中] ，偏有所见，复未必全得也。		《抱朴子》__魏晋六朝
96	崩，葬云 [中] 金陵。		《北史》__魏晋六朝
97	山 [中] 卒逢虎，便作三五禁，虎亦即却去。		《抱朴子》__魏晋六朝
98	岁一解角于山 [中] 石间，人或得之，则须刻木色理形状，令如其角以代之，犀不能觉，后年辄更解角著其处也。		《抱朴子》__魏晋六朝
