语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：临
2022/7/10 22:58:40

序号	语句	书名	朝代
1	是实 [临] 照周之子孙而祸福之。		《国语》__春秋战国
2	我以武与威，是以 [临] 诸侯。		《国语》__春秋战国
3	皋陶曰：“帝德罔愆， [临] 下以简，御众以宽；罚弗及嗣，赏延于世。		《尚书》__周
4	凡待烟冲云梯 [临] 之法。		《墨子》__春秋战国
5	若以邪 [临] 民，陷而不振，用善不肯专，则不能使，至于殄灭而莫之恤也，将安用之？		《国语》__春秋战国
6	以其唯毋 [临] 众发政而治民。		《墨子》__春秋战国
7	逮至其 [临] 众发政而治民。		《墨子》__春秋战国
8	曰：“皇后凭玉几，道扬末命，命汝嗣训， [临] 君周邦，率循大卞，燮和天下，用答扬文、武之光训。”		《尚书》__周
9	九三，以阳刚当升时，而进 [临] 于坤，故其象占如此。		《周易》__周
10	二 [临] 鉴而立景到多而。		《墨子》__春秋战国
11	一则以宗庙 [临] 之，而后贬焉；一则以外之弗夫人，而见正焉。		《榖梁传》__春秋战国
12	若事幸而从我，我遂践其地，其至者亦将不能之会也已，吾用御儿 [临] 之。		《国语》__春秋战国
13	会而先晋，晋既执诸侯之柄以 [临] 我，将成其志以见天子。		《国语》__春秋战国
14	儒有澡身而浴德，陈言而伏，静而正之，上弗知也，粗而翘之，又不急为也； 不 [临] 深而为高，不加少而为多，世治不轻，世乱不沮；同弗与，异弗非也。		《礼记》__春秋战国
15	予 [临] 兆民，懔乎若朽索之驭六马，为人上者，奈何不敬？”		《尚书》__周
16	夫坚中，则足以为表；廉外，则可以大任；少欲，则能 [临] 其众；多信，则能亲邻国。		《韩非子》__春秋战国
17	当与汝登 高山，履危石， [临] 百仞之渊，背逡巡，足二分垂在外。		《列子》__春秋战国
18	惟我文考若日月之照 [临] ，光于四方，显于西土。		《尚书》__周
19	未殡，虽有天子之命犹不敢，况 [临] 诸臣乎？		《榖梁传》__春秋战国
20	君至尊也，去父之殡而往吊犹不敢，况未殡而 [临] 诸臣乎？		《榖梁传》__春秋战国
21	倍卫三十里，闻甯喜之难作，右宰谷臣死之，还车而 [临] ，三举而归。		《吕氏春秋》__春秋战国
22	以贤 [临] 人，未 有得人者了；以贤下人者，未有不得人者也。		《列子》__春秋战国
23	齐量公游于牛山，北 [临] 其国城而流涕曰：“美哉国乎！		《列子》__春秋战国
24	 [临] 其穴，		《诗经》__周
25	 [临] 其穴，		《诗经》__周
26	 [临] 其穴，		《诗经》__周
27	登高楼， [临] 大路， 设乐陈酒，击博楼上，侠客相随而行，楼上博者射，明琼张中，反两翕鱼而笑。		《列子》__春秋战国
28	《春秋》有 [临] 天下之言焉，有 [临] 一国之言焉，有 [临] 一家之言焉。		《榖梁传》__春秋战国
29	君王若伐齐而胜之，徙其兵以 [临] 晋，晋必听命矣。		《吕氏春秋》__春秋战国
30	而民期然后成形而更名则 [临] 矣，		《管子》__春秋战国
31	对曰以同其日久 [临] 可立而待，		《管子》__春秋战国
32	公曰同 [临] 所谓同者其以先后智渝者也，		《管子》__春秋战国
33	化人犹不舍然， 不得已而 [临] 之。		《列子》__春秋战国
34	有君臣相 [临] ，礼法相持。		《列子》__春秋战国
35	国有德义未明于朝而处尊位者则良臣不进有功未见于国而有重禄者则劳臣不劝有 [临] 事不信于民而任大官者则材臣不用，		《管子》__春秋战国
36	又明于忧患与故，无有师保，如 [临] 父母。		《周易》__周
37	无师保，而常若父母 [临] 之，戒惧之至。		《周易》__周
38	是故， 孝子 [临] 尸而不怍。		《礼记》__春秋战国
39	是以其有忧患，则健者如自高 [临] 下而知其险，顺者如自下趋上而知其阻。		《周易》__周
40	仲弓曰：“居敬而行简，以 [临] 其民，不亦可乎？		《论语》__春秋战国
41	有事而后可大，故受之以《 [临] 》。		《周易》__周
42	明明上天，照 [临] 下土。		《诗经》__周
43	《 [临] 》、《观》之义，或与或求。		《周易》__周
44	以我 [临] 物曰与，物来观我		《周易》__周
45	有事而后可大，故受之以《 [临] 》。		《周易》__周
46	 [临] 者，大也。		《周易》__周
47	无有师保，如 [临] 父母。		《周易》__周
48	惴惴小心，如 [临] 于谷。		《诗经》__周
49	古之善摩者，如操钩而 [临] 深渊，饵而投之，必得鱼焉。		《鬼谷子》__春秋战国
50	视舆马，慎驾御；适衣服，务轻暖； [临] 饮食，必蠲洁；善调和，务甘肥；必恭敬，和颜色，审辞令；疾趋翔，必严肃。		《吕氏春秋》__春秋战国
51	曾子曰：“可以托六尺之孤，可以寄百里之命， [临] 大节而不可夺也君子人与？		《论语》__春秋战国
52	苟从是行也， [临] 长晋国者，非女其谁？”		《国语》__春秋战国
53	恪于德以 [临] 事，其何不济！”		《国语》__春秋战国
54	子曰：“ [临] 之以庄，则敬；孝慈，则忠；举善而教不能，则劝。”		《论语》__春秋战国
55	齐 者，三代之遗声也，齐人识之，故谓之齐，明乎商之音者， [临] 事而屡断；明乎齐 之音者，见利而让。		《礼记》__春秋战国
56	 [临] 事而屡断，勇也。		《礼记》__春秋战国
57	既事而退，柴于上帝，祈于社，设奠于牧室，遂率 天下诸侯，执豆笾，逡奔走，追王大王父、王季历、文王昌，不以卑 [临] 尊也。		《礼记》__春秋战国
58	若 [临] 大事，其可以贤于臣。		《国语》__春秋战国
59	《诗》云：‘上帝 [临] 女，无贰尔心。		《国语》__春秋战国
60	上帝 [临] 子，贰必有咎。”		《国语》__春秋战国
61	臣闻古之贤臣，有受厚赐，而不顾其国族，则过之； [临] 事守职，不胜其任，则过之。		《晏子春秋》__春秋战国
62	19.  [临] （卦十九）		《周易》__周
63	《 [临] 》：元亨，利贞。		《周易》__周
64	《彖》曰： [临] ，刚浸而长，说而顺，刚中而应。		《周易》__周
65	《象》曰：泽上有地， [临] 。		《周易》__周
66	初九，咸 [临] ，贞吉。		《周易》__周
67	《象》曰：“咸 [临] 贞吉”，志行正也。		《周易》__周
68	九二，咸 [临] ，吉，无不利。		《周易》__周
69	《象》曰：“咸 [临] 吉无不利”，未顺命也。		《周易》__周
70	六三，甘 [临] ，无攸利；既忧之，无咎。		《周易》__周
71	《象》曰：“甘 [临] ”，位不当也。“		《周易》__周
72	六四，至 [临] ，无咎。		《周易》__周
73	《象》曰：“至 [临] 无咎”，位当也。		《周易》__周
74	六五，知 [临] ，大君之宜，吉。		《周易》__周
75	公孙枝曰：“耻一国之士，又曰余纳有道以 [临] 女，无乃不可乎？		《国语》__春秋战国
76	上六，敦 [临] ，吉，无咎。		《周易》__周
77	《象》曰：“敦 [临] 之吉”，志在内也。		《周易》__周
78	无贰无虞，上帝 [临] 女。		《诗经》__周
79	对曰：“ [临] 下之乐则乐矣，德义之乐则未也。”		《国语》__春秋战国
80	晏子对曰：“正士处势 [临] 众不阿私，行于国足养而不忘故；通则事上，使恤其下，穷则教下，使顺其上；事君尽礼行忠，不正爵禄，不用则去而不议。		《晏子春秋》__春秋战国
81	邪从则不然，用于上则虐民，行于下则逆上；事君苟进不道忠，交友苟合不道行；持谀巧以正禄，比奸邪以厚养；矜爵禄以 [临] 人，夸礼貌以华世，不任于上则轻义，不笃于友则好诽。		《晏子春秋》__春秋战国
82	凡祭不讳，庙中不讳，教学 [临] 文不讳。		《礼记》__春秋战国
83	晏子聘于鲁，鲁昭公问曰：“夫俨然辱 [临] 敝邑，窃甚嘉之，寡人受贶，请问安国众民如何？”		《晏子春秋》__春秋战国
84	’在舆有旅贲之规，位宁有官师之典，倚几有诵训之谏，居娶有亵御之箴， [临] 事有瞽史之导，宴居有师工之诵。		《国语》__春秋战国
85	对曰：“夫神以精明 [临] 民者也，故求备物，不求丰大。		《国语》__春秋战国
86	《乾》刚《坤》柔，《比》乐《师》忧；《 [临] 》《观》之义，或与或求。		《周易》__周
87	上客 [临] ，曰：寡君有宗庙之事，不得承事，使一介老某相执。		《礼记》__春秋战国
88	 [临] 者入门右，介者皆从之，立于其左东上。		《礼记》__春秋战国
89	“且诵诗以辅相之，威仪以先后之，体貌以左右之，明行以宣翼之，制节义以动行之，恭敬以 [临] 监之，勤勉以劝之，孝顺以纳之，忠信以发之，德音以扬之，教备而不从者，非人也。		《国语》__春秋战国
90	克，上帝不 [临] 。		《诗经》__周
91	故榭度于大卒之居，台度于 [临] 观之高。		《国语》__春秋战国
92	瘠硗之地，于是乎为之；城守之木，于是乎用之；官僚之暇，于是乎 [临] 之；四时之隙，于是乎成之。		《国语》__春秋战国
93	盆成适于是 [临] 事不敢哭，奉事以礼，毕，出门，然後举声焉。		《晏子春秋》__春秋战国
94	穷困无以图之，布唇枯舌，焦心热中，今君不辱而 [临] 之，愿君图之。”		《晏子春秋》__春秋战国
95	晏子曰：“夫礼，先王之所以 [临] 天下也，以为其民，是故尚之。”		《晏子春秋》__春秋战国
96	诸侯使人吊，其次含、衤遂、、 [临] ，皆同日而毕事者也，其次如此也。		《礼记》__春秋战国
97	君王舍甲兵之威以 [临] 使之，而胡重于鬼神而自轻也？”		《国语》__春秋战国
98	国于是乎蒸尝，家于是乎尝祀，百姓夫妇择其令辰，奉其牺牲，敬其粢盛，洁其粪除，慎其采服，☆其酒醴，帅其子姓，从其时享，虔其宗祝，道其顺辞，以昭祀其先祖，肃肃济济，如或 [临] 之。		《国语》__春秋战国
99	要离可谓不为赏动矣，故 [临] 大利而不易其义；可谓廉矣，廉，故不以贵富而忘其辱。		《吕氏春秋》__春秋战国
100	对曰：“圣王正端冕，以其不违心，帅其群臣精物以 [临] 监享祀，无有苛特权于神者，谓之一纯。		《国语》__春秋战国
101	君子 [临] 政思义，饮食思礼，同宴思乐，在乐思善，无有叹焉。		《国语》__春秋战国
102	今吾子 [临] 政而叹，何也？”		《国语》__春秋战国
103	晏子对曰：“君使臣 [临] 百官之吏，臣节其衣服饮食之养，以先国之民，然犹恐其侈糜而不顾其行也。		《晏子春秋》__春秋战国
104	二曰：士之为人，当理不避其难， [临] 患忘利，遗生行义，视死如归。		《吕氏春秋》__春秋战国
105	婴闻之，人君无礼，无以 [临] 其邦；大夫无礼，官吏不恭；父子无礼，其家必凶；兄弟无礼，不能久同。		《晏子春秋》__春秋战国
106	唯天下至圣为能聪明睿知，足以有 [临] 也；宽裕温柔，足以有容也；发强刚毅， 足以有执也；齐庄中正，足以有敬也；文理密察，足以有别也。		《礼记》__春秋战国
107	上帝 [临] 女，无贰尔心。		《诗经》__周
108	不显亦 [临] ，无射亦保。		《诗经》__周
109	皇矣上帝， [临] 下有赫。		《诗经》__周
110	以尔钩援，与尔 [临] 冲，以伐崇墉。		《诗经》__周
111	 [临] 冲闲闲，崇墉言言。		《诗经》__周
112	 [临] 冲茀茀，崇墉仡仡。		《诗经》__周
113	今处官则荒乱， [临] 财则贪得，列近则持谏，将众则罢怯，以此厚望於主，岂不难哉！		《吕氏春秋》__春秋战国
114	今有人於此，修身会计则可耻， [临] 财物资尽则为己，若此而富者，非盗则无所取。		《吕氏春秋》__春秋战国
115	《大雅》曰：“上帝 [临] 汝，无贰尔心。”		《吕氏春秋》__春秋战国
116	日居月诸，照 [临] 下土。		《诗经》__周
117	照 [临] 四方曰明，谮诉不行曰明。		《逸周书》__春秋战国
118	景公问 [临] 国莅民所患何也晏子对以患者三第二十九                       239		《晏子春秋》__春秋战国
119	晏子对曰：“举贤以 [临] 国，官能以敕民，则其道也。		《晏子春秋》__春秋战国
