语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：举
2022/7/10 22:58:13

序号	语句	书名	朝代
1	丧事未毕而 [举] 吉祭，故非之也。		《春秋》__周
2	盖 [举] 一篇之要而约言之，		《大学中庸》__春秋战国
3	齐家以下，则 [举] 此而措之耳。		《大学中庸》__春秋战国
4	 [举] 至贱而加之吴子，吴子近刑人也。		《榖梁传》__春秋战国
5	是故匹夫有善，可得而 [举] 也；匹夫有不善，可得而诛也。		《国语》__春秋战国
6	是故匹夫有帅，可得而 [举] 也；匹夫有不善，可得而诛也。		《国语》__春秋战国
7	灭夏阳而虞虢 [举] 矣。		《榖梁传》__春秋战国
8	献公亡虢，五年而后 [举] 虞。		《榖梁传》__春秋战国
9	吏各 [举] 其步界中财物。		《墨子》__春秋战国
10	君臣不定，耳虽闻不可以听，目虽见不可以视，心虽知不可以 [举] ，势使之也。		《吕氏春秋》__春秋战国
11	故《诗》曰：“曾孙侯氏，四正具 [举] 。		《礼记》__春秋战国
12	见贤而不能 [举] ， [举] 而不能先，命也；见不善而不能退，退而不能远，过也。		《大学中庸》__春秋战国
13	将为丧 [举] ，闻丧而还，其谁曰非侮也？		《国语》__春秋战国
14	赙者既致命，坐委之，摈者 [举] 之。		《礼记》__春秋战国
15	帝光天之下，至于海隅苍生，万邦黎献，共惟帝臣，惟帝时 [举] 。		《尚书》__周
16	故古者尧 [举] 舜于服泽之阳。		《墨子》__春秋战国
17	汤 [举] 伊尹于庖厨之中。		《墨子》__春秋战国
18	不得意贤士不可不 [举] 。		《墨子》__春秋战国
19	夫齐弃太公之法而观民于社，君为是 [举] 而往之，非故业也，何以训民？		《国语》__春秋战国
20	君 [举] 必书，书而不法，后嗣何观？”		《国语》__春秋战国
21	襄子曰： “吾 [举] 登也，已耳而目之矣。		《吕氏春秋》__春秋战国
22	登所 [举] ，吾又耳而目之，是耳目人终无已也。”		《吕氏春秋》__春秋战国
23	木材下人之所 [举] 之十挈。		《墨子》__春秋战国
24	 [举] 天下之贪暴苛扰者。		《墨子》__春秋战国
25	故曰以滕、费则劳，以邹、鲁则逸，以宋、郑则犹倍日而驰也，以齐、楚则 [举] 而加纲旃而已矣。		《吕氏春秋》__春秋战国
26	小子走而不趋， [举] 爵则坐祭立饮。		《礼记》__春秋战国
27	固天下之仁人也 [举] 天下之万民。		《墨子》__春秋战国
28	能 [举] ， [举] 而不能先，命也；见不善而不能退，退而不能远，过也。		《大学中庸》__春秋战国
29	孔思对曰： “盖闻君子犹鸟也，骇则 [举] 。”		《吕氏春秋》__春秋战国
30	凡鸟之 [举] 也，去骇从不骇。		《吕氏春秋》__春秋战国
31	去骇从骇，则鸟曷为 [举] 矣？”		《吕氏春秋》__春秋战国
32	则不能毋 [举] 物示之乎。		《墨子》__春秋战国
33	是 [举] 不义以行不义也。		《吕氏春秋》__春秋战国
34	田诎对曰臣之所 [举] 也。”		《吕氏春秋》__春秋战国
35	是故昔者尧之 [举] 舜也。		《墨子》__春秋战国
36	无中事而复 [举] 诸侯何也？		《榖梁传》__春秋战国
37	 [举] 拟实也坚白不相外也。		《墨子》__春秋战国
38	君呿而不唫，所言者‘莒’也；君 [举] 臂而指，所当者莒也。		《吕氏春秋》__春秋战国
39	狂 [举] 不可以知异说在方。		《墨子》__春秋战国
40	狂 [举] 不可以知异说在有不可。		《墨子》__春秋战国
41	若大人 [举] 不义之异行。		《墨子》__春秋战国
42	吾先君阖庐不贳不忍，被甲带剑，挺铍  铎，以与楚昭王毒逐于中原柏 [举] 。		《国语》__春秋战国
43	小臣铺席，商祝铺绞纟今衾衣， 士盥于盘，上士 [举] 迁尸于敛上。		《礼记》__春秋战国
