语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：乃
2022/11/6 16:05:50

序号	语句	书名	朝代
1	浚与涣皆有雄略，为诸王所倾服，帝恐为害， [乃] 自刺涣，又使壮土刘桃枝就笼乱刺。		《北齐书》__隋唐五代
2	时贼已据石头城，市廛阝居民，并在南路，去台遥远，恐为贼所乘， [乃] 使度将兵镇于冶城寺，筑垒以断之。		《陈书》__隋唐五代
3	周文育、侯安都等西讨王琳，败绩，为琳所拘， [乃] 以度为前军都督，镇于南陵。		《陈书》__隋唐五代
4	浟 [乃] 令左右及府僚吏分市鹿脯，不限其价。		《北齐书》__隋唐五代
5	未行而太尉侯瑱薨于湘州， [乃] 以度代瑱为都督湘、沅、武、巴、郢、桂六州诸军事、镇南将军、湘州刺史。		《陈书》__隋唐五代
6	浟 [乃] 诈为上府市牛皮，倍酬价直，使牛主认之，因获其盗。		《北齐书》__隋唐五代
7	华皎据湘州反，引周兵下至沌口，与王师相持， [乃] 加度使持节、车骑将军，总督步军，自安成郡由岭路出于湘东，以袭湘州，尽获其所留军人家口以归。		《陈书》__隋唐五代
8	浟 [乃] 令人密往书菜叶为字，明日市中看菜叶有字，获贼。		《北齐书》__隋唐五代
9	别驾羊修等恐犯权戚， [乃] 诣阁谘陈。		《北齐书》__隋唐五代
10	帝以涣第七子为当之， [乃] 使库真都督破六韩伯升之邺征涣。		《北齐书》__隋唐五代
11	高祖惧其泄己， [乃] 以手巾绞棱，棱闷绝于地，因闭于别室。		《陈书》__隋唐五代
12	时内无嫡嗣，外有强敌，侯瑱、侯安都、徐度等并在军中，朝廷宿将，唯棱在都，独典禁兵， [乃] 与蔡景历等秘不发丧，奉迎世祖，事见景历传。		《陈书》__隋唐五代
13	高祖之讨侯景，遣使报恪， [乃] 于东起兵相应。		《陈书》__隋唐五代
14	征放之， [乃] 为尼。		《北齐书》__隋唐五代
15	时僧辩女婿杜龛镇吴兴，高祖 [乃] 使世祖还长城，立栅备龛，又使恪还武康，招集兵众。		《陈书》__隋唐五代
16	恪时已率兵士出县诛龛党与，高祖寻遣周文育来援长城，文育至，泰 [乃] 遁走。		《陈书》__隋唐五代
17	恪 [乃] 排闼入见高祖，叩头谢曰：“恪身经事萧家来，今日不忍见许事，分受死耳，决不奉命。”		《陈书》__隋唐五代
18	高祖嘉其意， [乃] 不复逼，更以荡主王僧志代之。		《陈书》__隋唐五代
