语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：久
2023/1/20 16:06:56

序号	语句	书名	朝代
1	熟读详味， [久] 当见之，今不尽释也。		《大学中庸》__春秋战国
2	此言前王所以新民者止于至善，能使天下后世无一物不得其所，所以既没世而人思慕之，愈 [久] 而不忘也。		《大学中庸》__春秋战国
3	至于用力之 [久] ，而一旦豁然贯通焉，则众物之表里精粗无不到，而吾心之全体大用无不明矣。		《大学中庸》__春秋战国
4	吕甥出告大夫曰：“君死自立则不敢， [久] 则恐诸侯之谋，径召君于外也，则民各有心，恐厚乱，盍请君于秦乎？”		《国语》__春秋战国
5	时不可失，丧不可 [久] ，公子其图之！”		《国语》__春秋战国
6	难之既解，利于平易安静，不欲 [久] 为烦扰。		《周易》__周
7	往早复，不可 [久] 烦扰也。		《周易》__周
8	生者毋 [久] 丧用哀古者人之始生。		《墨子》__春秋战国
9	速者数月男女 [久] 不相见。		《墨子》__春秋战国
10	今唯无以厚葬 [久] 丧者为政。		《墨子》__春秋战国
11	今唯无以厚葬 [久] 丧者为政。		《墨子》__春秋战国
12	今唯无以厚葬 [久] 丧者为政。		《墨子》__春秋战国
13	今唯无以厚葬 [久] 丧者为政。		《墨子》__春秋战国
14	已自拔其本矣，何以能 [久] ？		《国语》__春秋战国
15	将犹多皆肄惑厚葬 [久] 丧之为中是非利害也。		《墨子》__春秋战国
16	毋法执厚葬 [久] 丧者言。		《墨子》__春秋战国
17	计厚葬 [久] 丧奚当此三利者。		《墨子》__春秋战国
18	其为后世昭前之令闻也，使长监于世，故能摄固不解以 [久] 。		《国语》__春秋战国
19	至于用力之 [久] ，而一旦豁然贯通焉，则众物之表里精粗无		《大学中庸》__春秋战国
20	国 [久] 则固，固则难亡。		《吕氏春秋》__春秋战国
21	 [久] 而不葬者，		《礼记》__春秋战国
22	故《诗》曰：“何其 [久] 也，必有以也。		《吕氏春秋》__春秋战国
23	 [久] 弥异时也宇弥异所也。		《墨子》__春秋战国
24	知而不以五路说在 [久] 。		《墨子》__春秋战国
25	无 [久] 与宇坚白说在因。		《墨子》__春秋战国
26	体，故能迟 [久] 而有说也。		《周易》__周
27	占具象中，又利用祭祀， [久] 当获福。		《周易》__周
28	父母之教子也，岂待 [久] 哉？		《吕氏春秋》__春秋战国
29	创钜者其日 [久] ，痛甚者其愈迟，三年者，称情而立文， 所以为至痛极也。		《礼记》__春秋战国
30	今多爵而 [久] 复，是释秦之所以强，而为三晋之所以弱也。”		《商君书》__春秋战国
31	儒皆闻善以相告也，见善以相示也；爵位相先也，患难相死也； [久] 相待也， 远相致也。		《礼记》__春秋战国
32	儒有合志同方，营道同术：并立则乐，相下不厌； [久] 不相见，闻流言不信； 其行本方立义，同而进，不同而退。		《礼记》__春秋战国
33	民众而无制， [久] 而相出为道，则有乱。		《商君书》__春秋战国
34	此道之塞 [久] 矣，而世主莫之能废也，故三代不四。		《商君书》__春秋战国
35	吾不忍 [久] 见也。”		《吕氏春秋》__春秋战国
36	夫韩，小国也，而以应天下四击，主辱臣苦，上下相与同优 [久] 矣。		《韩非子》__春秋战国
37	且赵与诸候阴谋 [久] 矣。		《韩非子》__春秋战国
38	政 [久] 持胜术者，必强至王。		《商君书》__春秋战国
39	若民服而听上，则国富而兵胜，行是，必 [久] 王。		《商君书》__春秋战国
40	瞠目扼腕而语勇者得，垂衣裳而谈说者得，迟日旷 [久] 积劳私门者得——尊向三者，无功而皆可以得，民去农战而为之，或谈议而索之，或事便辟而请之，或以勇争之。		《商君书》__春秋战国
41	用兵 [久] 处利势，必王。		《商君书》__春秋战国
42	余又欲杀甲而以其子为后，因自裂其呆衣之里，以示君而泣，曰：“余之得幸君之日 [久] 矣，甲非弗知也，今乃欲强戏余。		《韩非子》__春秋战国
43	是故鲁，王礼也，天下传之 [久] 矣。		《礼记》__春秋战国
44	 [久] 湛而不去则若性。		《吕氏春秋》__春秋战国
45	拘此 废虐之主，录而不舍，戚戚然以至 [久] 生，百年、千年、万年，非吾所谓养。”		《列子》__春秋战国
46	恒，谓有常 [久] 之德。		《周易》__周
47	邓析曰：“吾怪之 [久] 矣！		《列子》__春秋战国
48	朝、穆曰：“吾知之 [久] 矣，择之亦 [久] 矣，岂待若言而后识之哉？		《列子》__春秋战国
49	“以蕲 [久] 生，可乎？”		《列子》__春秋战国
50	曰：“理无 [久] 生。		《列子》__春秋战国
51	且 [久] 生奚为？		《列子》__春秋战国
52	既闻之矣，既见之矣，既更之矣，百年犹厌其多， 况 [久] 生之苦也乎？”		《列子》__春秋战国
53	孟孙阳曰：‘若然，速亡愈于 [久] 生；则践锋刃，入汤火，得 所志矣。”		《列子》__春秋战国
54	夫旷日离 [久] ，而周泽既渥，深计而不疑，引争而不罪，则明割利害以致其功，直指是非以饰其身，以此相持，此说之成也。		《韩非子》__春秋战国
55	国 [久] 强而无虱者必王。		《商君书》__春秋战国
56	藏恕而弗发，悬罪而弗诛，使群臣阴赠而愈忧惧，而 [久] 未可知者，可亡也。		《韩非子》__春秋战国
57	兵所自来者 [久] 矣。		《吕氏春秋》__春秋战国
58	吾与若 玩其文也 [久] 矣，而未达其实，而固且道与。		《列子》__春秋战国
59	六月而後反，赵简子曰：“何其 [久] 也？”		《吕氏春秋》__春秋战国
60	国郁处 [久] ，则百恶并起，而万灾丛至矣。		《吕氏春秋》__春秋战国
61	真積力 [久] 則入。		《荀子》__春秋战国
62	故周人吊，鲁人不吊，以其下成、康为未 [久] 也。		《榖梁传》__春秋战国
63	天地所以能长且 [久] 者，以其不自生，故能长生。		《老子》__春秋战国
64	天，天乃道，道乃 [久] ，没身不殆。		《老子》__春秋战国
65	天地尚不能 [久] ，而		《老子》__春秋战国
66	东 郭先生闻之曰：“北宫子之寐 [久] 矣，一言而能寤，易悟也哉！”		《列子》__春秋战国
67	其 [久] 而后克，戒占者不可轻动之意。		《周易》__周
68	其得罪于君也，将弗 [久] 矣。”		《列子》__春秋战国
69	《象》曰：“濡其首，厉”，何可 [久] 也！		《周易》__周
70	其所者 [久] 。		《老子》__春秋战国
71	然以不贞之资，欲勉而贞，非极其阳刚用力之 [久] 不能也。		《周易》__周
72	石尚欲书《春秋》，谏曰：“ [久] 矣周之不行礼于鲁也！		《榖梁传》__春秋战国
73	曰∶文 [久] 而滅，節族 [久] 而絕，守法數之有司，極禮而褫。		《荀子》__春秋战国
74	生之所自来者 [久] 矣，而轻失之，岂不惑哉！		《吕氏春秋》__春秋战国
75	類不悖，雖 [久] 同理，故鄉乎邪曲而不迷，觀乎雜物而不惑，以此度之。		《荀子》__春秋战国
76	五帝之外無傳人，非無賢人也， [久] 故也。		《荀子》__春秋战国
77	五帝之中無傳政，非無善政也， [久] 故也。		《荀子》__春秋战国
78	禹湯有傳政而不若周之察也，非無善政也， [久] 故也。		《荀子》__春秋战国
79	傳者 [久] 則論略，近則論詳，略則舉大，詳則舉小。		《荀子》__春秋战国
80	是以文 [久] 而滅，節族 [久] 而絕。		《荀子》__春秋战国
81	有亲则可 [久] ，有功则可大。		《周易》__周
82	可 [久] 则贤人之德，可大则贤人之业。		《周易》__周
83	有亲则一于内，故可 [久] 。		《周易》__周
84	人之迷其日固 [久] 。		《老子》__春秋战国
85	为义者则不然，始而相与， [久] 而相信，卒而相亲，後世以为法程。		《吕氏春秋》__春秋战国
86	张子曰：“富有者，大而无外；日新者， [久] 而无穷。”		《周易》__周
87	若肖， [久] 矣！		《老子》__春秋战国
88	故人主用俗人，則萬乘之國亡；用俗儒，則萬乘之國存； 用雅儒，則千乘之國安；用大儒，則百里之地， [久] 而後三年，天下為一，諸侯為臣；用萬乘之國，舉錯而定，一朝而伯。		《荀子》__春秋战国
89	習俗移志，安 [久] 移質。		《荀子》__春秋战国
90	侠客相与言曰：“虞氏富氏之日 [久] 矣，而常有轻易人之 志。		《列子》__春秋战国
