语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：乐
2023/1/20 16:08:41

序号	语句	书名	朝代
1	此伏羲、神农、黄帝、尧、舜，所以继天立极，而司徒之职、典 [乐] 之官所由设也。		《大学中庸》__春秋战国
2	人生八岁，则自王公以下，至于庶人之子弟，皆入小学，而教之以洒扫、应对、进退之节，礼 [乐] 、射御、书数之文；及其十有五年，则自天子之元子、众子，以至公、卿、大夫、元士之适子，与凡民之俊秀，皆入大学，而教之以穷理、正心、修己、治人之道。		《大学中庸》__春秋战国
3	罔游于逸，罔淫于 [乐] 。		《尚书》__周
4	君子贤其贤而亲其亲，小人 [乐] 其 [乐] 而利其利，此以没世不忘也。		《大学中庸》__春秋战国
5	 [乐] ，音洛。		《大学中庸》__春秋战国
6	所谓修身在正其心者，身有所忿懥，则不得其正；有所恐惧，则不得其正；有所好 [乐] ，则不得其正；有所忧患，则不得其正。		《大学中庸》__春秋战国
7	好、 [乐] ，并去声。		《大学中庸》__春秋战国
8	不哀丧而求国，难；因乱以入，殆，以丧得国，则必 [乐] 丧， [乐] 丧必哀生。		《国语》__春秋战国
9	必达于礼 [乐] 之原，以致五至， 而行三无，以横于天下，四方有败，必先知之。		《礼记》__春秋战国
10	礼之所至， [乐] 亦至焉。		《礼记》__春秋战国
11	 [乐] 之所至，哀亦至 焉。		《礼记》__春秋战国
12	孔子曰：“无声之 [乐] ，无 体之礼，无服之丧，此之谓三无。”		《礼记》__春秋战国
13	孔子曰：“‘夙夜其命宥密’，无声之 [乐] 也。		《礼记》__春秋战国
14	子曰：“无声之 [乐] ， 气志不违；无体之礼，威仪迟迟；无服之丧，内恕孔悲。		《礼记》__春秋战国
15	无声之 [乐] ，气志既得； 无体之礼，威仪翼翼；无服之丧，施及四国。		《礼记》__春秋战国
16	无声之 [乐] ，气志既从；无体之礼， 上下和同；无服之丧，以畜万邦。		《礼记》__春秋战国
17	无声之 [乐] ，日闻四方；无体之礼，日就月将； 无服之丧，纯德孔明。		《礼记》__春秋战国
18	无声之 [乐] ，气志既起；无体之礼，施及四海；无服之丧， 施于孙子。”		《礼记》__春秋战国
19	主人请曰：某有枉矢哨壶，请 以 [乐] 宾。		《礼记》__春秋战国
20	宾曰：子有旨酒嘉肴，某既赐矣，又重以 [乐] ，敢辞。		《礼记》__春秋战国
21	宾曰：某既赐矣，又重以 [乐] ，敢固辞。		《礼记》__春秋战国
22	诗云：“ [乐] 只君子，民之父母。”		《大学中庸》__春秋战国
23	 [乐] ，音洛。		《大学中庸》__春秋战国
24	司射、庭长，及冠士立者，皆属宾党；  [乐] 人及使者、童子，皆属主党。		《礼记》__春秋战国
25	命汝典 [乐] ，教胄子，直而温，宽而栗，刚而无虐，简而无傲。		《尚书》__周
26	《驺虞》者， [乐] 官备也；《狸首》者， [乐] 会时也。		《礼记》__春秋战国
27	《采》者， [乐] 循法也；《采繁》者， [乐] 不失职也。		《礼记》__春秋战国
28	射者，男子之事也，因而饰之以 礼 [乐] 也。		《礼记》__春秋战国
29	故事之尽礼 [乐] ，而可数为，以立德行者，莫若射，故圣王务焉。		《礼记》__春秋战国
30	其容体比于礼， 其节比于 [乐] ，而中多者，得与于祭，其容体不比于礼，其节不比于 [乐] ，而中少者， 不得与于祭。		《礼记》__春秋战国
31	是以诸侯君臣尽志于射，以习礼 [乐] 。		《礼记》__春秋战国
32	夫 君臣习礼 [乐] 而以流亡者，未之有也。		《礼记》__春秋战国
33	言君臣相与尽志于射，以习礼 [乐] ，则安则誉也。		《礼记》__春秋战国
34	则此 [乐] 贼灭天下之万民也。		《墨子》__春秋战国
35	以治宫室观 [乐] 死又厚为棺椁。		《墨子》__春秋战国
36	能如是，则亲贤 [乐] 利各得其所，而天下平矣。		《大学中庸》__春秋战国
37	今日南面，百邪自正，而天下皆反其情，黔首毕 [乐] 其志，安育其性，而莫为不成。		《吕氏春秋》__春秋战国
38	叔孙穆子聘于晋，晋悼公飨之， [乐] 及《鹿鸣》之三，而后拜 [乐] 三。		《国语》__春秋战国
39	晋侯使行人问焉，曰：“子以君命镇抚弊邑，不腆先君之礼，以辱从者，不腆之 [乐] 以节之。		《国语》__春秋战国
40	帝、尧、舜，所以继天立极，而司徒之职、典 [乐] 之官所由设也。		《大学中庸》__春秋战国
41	下，至于庶人之子弟，皆入小学，而教之以洒扫、应对、进退之节，礼 [乐] 、射御、书数之		《大学中庸》__春秋战国
42	夫先 [乐] 金奏《肆夏》、《樊》、《遏》、《渠》，天子所以飨元侯也；夫歌《文王》、《大明》、《绵》，则两君相见之 [乐] 也。		《国语》__春秋战国
43	问大 夫之子长幼，长，则曰能从 [乐] 人之事矣；幼，则曰能正于 [乐] 人，未能正于 [乐] 人。		《礼记》__春秋战国
44	 [乐] 非所以治天下也程繁曰子曰。		《墨子》__春秋战国
45	若之何其谓圣王无 [乐] 也子墨子曰。		《墨子》__春秋战国
46	今圣有 [乐] 而少此亦无也。		《墨子》__春秋战国
47	君子贤其贤而亲其亲，小人 [乐] 其 [乐] 而利其利，此以没世不忘也。		《大学中庸》__春秋战国
48	所谓修身在正其心者，身有所忿懥，则不得其正；有所恐惧，则不得其正；有所好 [乐] ，		《大学中庸》__春秋战国
49	云：“ [乐] 只君子，民之父母。”		《大学中庸》__春秋战国
50	曰：“士马成列，马与人敌，人在马前，援桴一鼓，使三军之士 [乐] 死若生，子与我孰贤？”		《吕氏春秋》__春秋战国
51	晋 [乐] 王鲋求货于穆子，曰：“吾为子请于楚。”		《国语》__春秋战国
52	对曰：“卑辞尊礼，望好女 [乐] ，尊之以名。		《国语》__春秋战国
53	求鱼者濡，争兽者趋，非 [乐] 之也。		《吕氏春秋》__春秋战国
54	对曰：“司封之内，百姓之事，时节三 [乐] 。		《国语》__春秋战国
55	且夫繁饰礼 [乐] 以淫人。		《墨子》__春秋战国
56	又一年，王召范蠡而问焉，曰：“吾与子谋吴，子曰‘未可也’，今吴王因于 [乐] 而忘其百姓，乱民功，逆天时；信谗喜优，憎辅远弼，圣人不出，忠臣解骨；皆曲相御，莫适相非，上下相偷。		《国语》__春秋战国
57	国治则从事国富则为礼 [乐] 。		《墨子》__春秋战国
58	九月之丧，食饮犹期之丧 也，食肉饮酒，不与人 [乐] 之。		《礼记》__春秋战国
59	比葬，食肉饮 酒，不与人 [乐] 之。		《礼记》__春秋战国
60	王其且驰骋弋猎，无至禽荒；宫中之 [乐] ，无至酒荒；肆与大夫觞饮，无忘国常。		《国语》__春秋战国
61	且帝以甲乙杀青龙于 [乐] 方。		《墨子》__春秋战国
62	礻覃而内无哭者， [乐] 作矣故也。		《礼记》__春秋战国
63	君子恶恶疾其始，善善 [乐] 其终。		《榖梁传》__春秋战国
64	饮食不致味，听 [乐] 不尽声，求以报吴，愿以此战。”		《国语》__春秋战国
65	六虱不用，则兵民毕竞劝而 [乐] 为主用，其竟内之民争以为荣，莫以为辱。		《商君书》__春秋战国
66	其说曰：“三晋之所以弱者，其民务 [乐] 而复爵轻也。		《商君书》__春秋战国
67	儒有委之以货财，淹之以 [乐] 好，见利不亏其义；劫之以众，沮之以兵，见死 不更其守；鸷虫攫搏不程勇者，引重鼎不程其力；往者不悔，来者不豫；过言不 再，流言不极；不断其威，不习其谋。		《礼记》__春秋战国
68	是故擅其名而有其功，天下 [乐] 其政，而莫之能伤也。		《商君书》__春秋战国
69	儒有合志同方，营道同术：并立则 [乐] ，相下不厌；久不相见，闻流言不信； 其行本方立义，同而进，不同而退。		《礼记》__春秋战国
70	温良者，仁之本也；敬慎者，仁之地也；宽裕者，仁之作也；孙接者，仁之 能也；礼节者，仁之貌也；言谈者，仁之文也；歌 [乐] 者，仁之和也；分散者，仁 之施也。		《礼记》__春秋战国
71	曰：人主 [乐] 美宫室台池，好饰子女狗马以娱其心，此人主之殃也。		《韩非子》__春秋战国
72	夫民忧则思，思则出度； [乐] 则淫，淫则生佚。		《商君书》__春秋战国
73	故以刑治则民威，民威则无奸，无奸则民安其所 [乐] 。		《商君书》__春秋战国
74	立民之所 [乐] ，则民伤其所恶；立民之所恶，则民安其所 [乐] 。		《商君书》__春秋战国
75	今世之所谓义者，将立民之所好，而废其所恶；此其所谓不义者，将立民之所恶，而废其所 [乐] 也。		《商君书》__春秋战国
76	高节厉行，独 [乐] 其意，而物莫之害。		《吕氏春秋》__春秋战国
77	羞辱劳苦者，民之所恶也；显荣佚 [乐] 者，民之所务也。		《商君书》__春秋战国
78	秦王饮食不甘，游观不 [乐] ，意专在图赵，使臣斯来言，顺得身见，因急与陛下有计也。		《韩非子》__春秋战国
79	故民之喜农而 [乐] 战也，见上之尊农战之士，而下辩说技艺之民，而贱游学之人也。		《商君书》__春秋战国
80	曾子曰：“孝子之养老也， [乐] 其心不违其志， [乐] 其耳目，安其寝处，以其饮 食忠养之，孝子之身终，终身也者，非终父母之身，终其身也。		《礼记》__春秋战国
81	今世主皆欲治民，而助之以乱；非 [乐] 以为乱也，安其故而不窥于时也。		《商君书》__春秋战国
82	制度时，则国俗可化，而民从制；治法明，则官无邪；国务壹，则民应用；事本抟，则民喜农而 [乐] 战。		《商君书》__春秋战国
83	天下不安无君，而 [乐] 胜其法，则举世以为惑也。		《商君书》__春秋战国
84	然则天下之 [乐] 有上也，将以为治也。		《商君书》__春秋战国
85	民之所 [乐] 民强，民强而弱之，兵重强。		《商君书》__春秋战国
86	十有三年，学 [乐] ，诵诗， 舞勺，成童舞象，学射御。		《礼记》__春秋战国
87	故民之所 [乐] 民强，民强而强之，兵重弱。		《商君书》__春秋战国
88	以刑治民，则 [乐] 用；以赏战民，则轻死。		《商君书》__春秋战国
89	成王以周公为有勋劳于天下，是以封周公于曲阜， 地方七百里，革车千乘，命鲁公世世祀周公以天子之礼 [乐] 。		《礼记》__春秋战国
90	昧，东夷之 [乐] 也。		《礼记》__春秋战国
91	任，南蛮之 [乐] 也。		《礼记》__春秋战国
92	纳夷蛮之 [乐]  于大庙，言广鲁于天下也。		《礼记》__春秋战国
93	士鼓蒉桴苇，伊耆氏之 [乐] 也。		《礼记》__春秋战国
94	君臣， 未尝相弑也，礼 [乐] 刑法政俗，未尝相变也，天下以为有道之国，是故天下资礼 [乐]  焉。		《礼记》__春秋战国
95	六曰耽于女 [乐] ，不顾国政，则亡国之祸也。		《韩非子》__春秋战国
96	奚 [乐] 哉？		《列子》__春秋战国
97	境内之民莫不先务耕战，而后得其所 [乐] 。		《商君书》__春秋战国
98	乃复为刑赏之所禁劝，名法之所进退；遑遑尔竞一时之虚誉， 规死后之余荣；偊々尔慎耳目之观听，惜身意之是非；徒失当年之至 [乐] ，不能 自肆于一时。		《列子》__春秋战国
99	曰：“可在 [乐] 生，可在逸身。		《列子》__春秋战国
100	故善 [乐] 生 者不窭，善逸身者不殖。”		《列子》__春秋战国
101	强国，令其民争 [乐] 用也；弱国，令其民争竞不用也。		《吕氏春秋》__春秋战国
102	夫争行义 [乐] 用与争为不义竞不用，此其为祸福也，天不能覆，地不能载。		《吕氏春秋》__春秋战国
103	为欲尽一生之欢，穷当年之 [乐] ，唯患 腹溢而不得恣口之饮，力惫而不得肆情于色，不遑忧名声之丑，性命之危也。		《列子》__春秋战国
104	汤、武既破桀、纣，海内无害，天下大定，筑五库，藏五兵，偃武事，行文教，倒载干戈，☆笏，作为 [乐] ，以申其德。		《商君书》__春秋战国
105	五情好恶，古犹今也；四体安危，古犹今也；世事苦 [乐] ，古 犹今也；变易治乱，古犹今也。		《列子》__春秋战国
