语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：乘
2022/7/10 22:54:48

序号	语句	书名	朝代
1	既反侵地，正封疆，地南至于☆阴，西至于济，北至于河，东至于纪☆，有革车八百 [乘] 。		《国语》__春秋战国
2	西征攘白狄之地，至于西河，方舟设☆， [乘] 桴济河，至于石枕。		《国语》__春秋战国
3	晋献公欲伐虢，荀息曰：“君何不以屈产之 [乘] 、垂棘之璧而借道乎虞也？”		《榖梁传》__春秋战国
4	人主之车，所以 [乘] 物也。		《吕氏春秋》__春秋战国
5	察 [乘] 物之理，则四极可有。		《吕氏春秋》__春秋战国
6	不知 [乘] 物，而自怙恃，夺其智能，多其教诏，而好自以，若此则百官恫扰，少长相越，万邪并起。		《吕氏春秋》__春秋战国
7	六三，负且 [乘] ，致寇至，贞吝。		《周易》__周
8	 [乘] ，如字；又石证反。		《周易》__周
9	《象》曰：“负且 [乘] ”，亦可丑也。		《周易》__周
10	孟献子曰：“畜马 [乘] 不察于鸡豚，伐冰之家不畜牛羊，百 [乘] 之家不畜聚敛之臣，与其有聚敛之臣，宁有盗臣。”		《大学中庸》__春秋战国
11	 [乘] 、敛，并去声。		《大学中庸》__春秋战国
12	畜马 [乘] ，士初试为大夫者也。		《大学中庸》__春秋战国
13	百 [乘] 之家，有采地者也。		《大学中庸》__春秋战国
14	大桡作甲子，黔如作虏首，容成作历，羲和作占日，尚仪作占月，后益作占岁，胡曹作衣，夷羿作弓，祝融作市，仪狄作酒，高元作室，虞姁作舟，伯益作井，赤冀作臼， [乘] 雅作驾，寒哀作御，王冰作服牛，史皇作图，巫彭作医，巫咸作筮。		《吕氏春秋》__春秋战国
15	予 [乘] 四载，随山刊木，暨益奏庶鲜食。		《尚书》__周
16	庭”，柔 [乘] 五刚也。“		《周易》__周
17	柔 [乘] 五刚，以卦体言，谓以一小人加于众君子之上，是其罪也。		《周易》__周
18	始 [乘] 则式；君子下行，然后还立。		《礼记》__春秋战国
19	 [乘] 二车则式，佐车则否。		《礼记》__春秋战国
