语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：予
2023/1/20 15:11:08

序号	语句	书名	朝代
1	告于众曰：“嗟 [予] 有众，圣有谟训，明征定保，先王克谨天戒，臣人克有常宪，百官修辅，厥后惟明明，每岁孟春，遒人以木铎徇于路，官师相规，工执艺事以谏，其或不恭，邦有常刑。”		《尚书》__周
2	’今 [予] 以尔有众，奉将天罚。		《尚书》__周
3	尔众士同力王室，尚弼 [予] 钦承天子威命。		《尚书》__周
4	帝曰：“皋陶，惟兹臣庶，罔或干 [予] 正。		《尚书》__周
5	期于 [予] 治，刑期于无刑，民协于中，时乃功，懋哉。”		《尚书》__周
6	帝曰：“俾 [予] 従欲以治，四方风动，惟乃之休。”		《尚书》__周
7	降水儆 [予] ，成允成功，惟汝贤。		《尚书》__周
8	 [予] 懋乃德，嘉乃丕绩，天之历数在汝躬，汝终陟元后。		《尚书》__周
9	蠢兹有苗，昏迷不恭，侮慢自贤，反道败德，君子在野，小人在位，民弃不保，天降之咎，肆 [予] 以尔众士，奉辞伐罪。		《尚书》__周
10	皋陶曰：“ [予] 未有知，思曰赞赞襄哉！”		《尚书》__周
11	若 [予] 既率尔群对诸群。		《墨子》__春秋战国
12	 [予] 既浓渍殷纣于酒德矣。		《墨子》__春秋战国
13	帝曰：“畴若 [予] 工？”		《尚书》__周
14	帝曰：“畴若 [予] 上下草木鸟兽？”		《尚书》__周
15	 [予] 击石拊石，百兽率舞。”		《尚书》__周
16	子叔声伯如晋谢季文子，☆☆欲 [予] 之邑，弗受也。		《国语》__春秋战国
17	其身之不能定，焉能 [予] 人之邑！”		《国语》__春秋战国
18	帝曰：“畴咨若 [予] 采？”		《尚书》__周
19	王太子又长矣，之争未改， [予] 为先君来，死而去之，其谁曰不如先君？		《国语》__春秋战国
20	 [予] 闻，如何？”		《尚书》__周
21	帝， [予] 何言？		《尚书》__周
22	 [予] 思日孜孜。”		《尚书》__周
23	 [予] 乘四载，随山刊木，暨益奏庶鲜食。		《尚书》__周
24	 [予] 决九川，距四海，浚畎浍距川；暨稷播，奏庶艰食鲜食。		《尚书》__周
25	 [予] 欲左右有民，汝翼。		《尚书》__周
26	齐人归其玉而 [予] 之籴。		《国语》__春秋战国
27	 [予] 欲宣力四方，汝为。		《尚书》__周
28	 [予] 欲观古人之象，日、月、星辰、山、龙、华虫、，作会；宗彝、藻、火、粉米、黼、黻，絺绣，以五采彰施于五色，作服，汝明。		《尚书》__周
29	 [予] 欲闻六律五声八音，在治忽，以出纳五言，汝听。		《尚书》__周
30	 [予] 违，汝弼，汝无面従，退有后言。		《尚书》__周
31	 [予] 创若时，娶于涂山，辛壬癸甲。		《尚书》__周
32	启呱呱而泣， [予] 弗子，惟荒度土功。		《尚书》__周
33	 [予] 击石拊石，百兽率舞。”		《尚书》__周
34	既历三纪，世变风移，四方无虞， [予] 一人以宁，道有升降，政由俗革，不臧厥臧，民罔攸劝。		《尚书》__周
35	嘉绩多于先王， [予] 小子垂拱仰成。”		《尚书》__周
36	父师，今 [予] 祗命公以周公之事，往哉！		《尚书》__周
37	三后协心，同厎于道，道洽政治，泽润生民，四夷左衽，罔不咸赖， [予] 小子永膺多福。		《尚书》__周
38	六事之人， [予] 誓告汝：有扈氏威侮五行，怠弃三正，天用剿绝其命，今 [予] 惟恭行天之罚。		《尚书》__周
39	用命，赏于祖；弗用命，戮于社， [予] 则孥戮汝。”		《尚书》__周
40	 [予] 惟小子，若涉渊水， [予] 惟往求朕攸济。		《尚书》__周
41	 [予] 不敢于闭。		《尚书》__周
42	天降威，知我国有疵，民不康，曰： [予] 复！		《尚书》__周
43	日，民献有十夫 [予] 翼，以于敉宁、武图功。		《尚书》__周
44	肆 [予] 告我友邦君越尹氏、庶士、御事、曰：‘ [予] 得吉卜， [予] 惟以尔庶邦于伐殷逋播臣。		《尚书》__周
45	越 [予] 小子考，翼不可征，王害不违卜？		《尚书》__周
46	肆 [予] 冲人永思艰，曰：呜呼！		《尚书》__周
47	 [予] 造天役，遗大投艰于朕身，越 [予] 冲人，不卬自恤。		《尚书》__周
48	义尔邦君越尔多士、尹氏、御事绥 [予] 曰：‘无毖于恤，不可不成乃宁考图功！		《尚书》__周
49	 [予] 惟小子，不敢替上帝命。		《尚书》__周
50	齐简公有臣曰诸御鞅，谏於简公曰：“陈成常与宰 [予] ，之二臣者，甚相憎也。		《吕氏春秋》__春秋战国
51	天閟毖我成功所， [予] 不敢不极卒宁王图事。		《尚书》__周
52	肆 [予] 大化诱我友邦君，天棐忱辞，其考我民， [予] 曷其不于前宁人图功攸终？		《尚书》__周
53	天亦惟用勤毖我民，若有疾， [予] 曷敢不于前宁人攸受休毕！”		《尚书》__周
54	居无几何，陈成常果攻宰 [予] 於庭，即简公於庙。		《吕氏春秋》__春秋战国
55	厥考翼其肯曰： [予] 有后弗弃基？		《尚书》__周
56	肆 [予] 曷敢不越卬敉宁王大命？		《尚书》__周
57	 [予] 永念曰：天惟丧殷，若穑夫， [予] 曷敢不终朕亩？		《尚书》__周
58	天亦惟休于前宁人， [予] 曷其极卜？		《尚书》__周
59	曰：“ [予] 恐来世以台为口实。”		《尚书》__周
60	矧 [予] 之德，言足听闻。		《尚书》__周
61	桓公曰：“施伯，鲁君之谋臣也，夫知吾将用之，必不 [予] 我矣。		《国语》__春秋战国
62	乃葛伯仇饷，初征自葛，东征，西夷怨；南征，北狄怨，曰：‘奚独后 [予] ？		《尚书》__周
63	于是庄公使束缚以 [予] 齐使，齐使受之而退。		《国语》__春秋战国
64	’攸徂之民，室家相庆，曰：‘徯 [予] 后，后来其苏。		《尚书》__周
65	 [予] 闻曰：‘能自得师者王，谓人莫已若者亡。		《尚书》__周
66	彼无亦置其同类以服东夷，而大攘诸夏，将天下是王，而何德于君，其 [予] 君也？		《国语》__春秋战国
67	襄公在楚，季武子取卞，使季冶逆，追而 [予] 之玺书，以告曰：“卞人将叛，臣讨之，既得之矣。”		《国语》__春秋战国
68	子冶归，致禄而不出，曰：“使 [予] 欺君，谓 [予] 能也。		《国语》__春秋战国
69	 [予] 其曰惟尔洪无度，我不尔动，自乃邑。		《尚书》__周
70	 [予] 亦念天，即于殷大戾，肆不正。”		《尚书》__周
71	告尔多士， [予] 惟时其迁居西尔，非我一人奉德不康宁，时惟天命。		《尚书》__周
72	’ [予] 一人惟听用德，肆 [予] 敢求于天邑商， [予] 惟率肆矜尔。		《尚书》__周
73	非 [予] 罪，时惟天命。”		《尚书》__周
74	王曰：“多士，昔朕来自奄， [予] 大降尔四国民命。		《尚书》__周
75	王曰：“告尔殷多士，今 [予] 惟不尔杀， [予] 惟时命有申。		《尚书》__周
76	今朕作大邑于兹洛， [予] 惟四方罔攸宾，亦惟尔多士攸服奔走臣我多逊。		《尚书》__周
77	尔乃尚有尔土，尔用尚宁干止，尔克敬，天惟畀矜尔；尔不克敬，尔不啻不有尔土， [予] 亦致天之罚于尔躬！		《尚书》__周
78	王曰：“又曰时 [予] ，乃或言尔攸居。”		《尚书》__周
79	既弥留，恐不获誓言嗣，兹 [予] 审训命汝。		《尚书》__周
80	王再拜，兴，答曰：“眇眇 [予] 末小子，其能而乱四方以敬忌天威。”		《尚书》__周
81	句践对曰：“昔天以越 [予] 吴，而吴不受命；今天以吴吴 [予] 越，越可以无听天之命而听君之令乎！		《国语》__春秋战国
82	而康而色，曰：‘ [予] 攸好德。		《尚书》__周
83	 [予] 仁若考能，多材多艺，能事鬼神。		《尚书》__周
84	 [予] 小子新命于三王，惟永终是图；兹攸俟，能念 [予] 一人。”		《尚书》__周
