语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：事
2022/11/6 8:43:42

序号	语句	书名	朝代
1	乐府中又有灼然不可歌者，如后人赋《横吹》诸题，及用古题而自出新意，或直赋题 [事] ，及杜甫、元、白新乐府是也。		《钝吟杂录》__清
2	今之歌行，凡有四例：咏古题，一也；自造新题，二也；赋一物、咏一 [事] ，三也；用古题而别出新意，四也。		《钝吟杂录》__清
3	既谓之歌行，则自然出于乐府，但指 [事] 咏物之文，或无古题，《英华》分别，亦有旨也。		《钝吟杂录》__清
4	见我性情合这 [事] 相近，闲来也指点我些刀法枪法，久之，就渐渐晓得了些道理。		《儿女英雄》__清
5	这驴儿日行五百里，但遇着歹人，或者异怪物 [事] ，他便咆哮不止，真真是个神物。		《儿女英雄》__清
6	说到这里咽住，把脸一红，又说道∶“却又因我身上的 [事] ，得罪了那厮。		《儿女英雄》__清
7	父亲既死，就仗构一人奉养老母，万一机 [事] 不密，我有个短长，母亲无人养赡。		《儿女英雄》__清
8	十三妹道∶“这桩 [事] 不劳费心，方才那位大师傅不曾取你的心肝的时候，二师傅已就把他两个的心肝取了去了。		《儿女英雄》__清
9	不想将上那座高岭，又出桩岔 [事] ，连那不通人性的哑吧畜生也欺负起人来，忽然的一惊，就跑到此地。		《儿女英雄》__清
10	’我听了这话，一想，这岂不是一桩现成的 [事] ？		《儿女英雄》__清
11	因把牲口一带，绕到山后，要听听这桩 [事] 的方向来历。”		《儿女英雄》__清
12	凭他甚么为难的 [事] ，你自说，我有主意。”		《儿女英雄》__清
13	这才向安公子道∶“我们方才作的这桩 [事] ，说的这段话，你都听明白了不曾？”		《儿女英雄》__清
14	却说这位姑娘见张金凤问他的姓名来历，欲待不说，不但打不破张金凤这个疑团， 就连安公子直到此时也还不得知他是怎样一个人， 怎生一桩 [事] 。		《儿女英雄》__清
15	那姑娘道∶“我这个人虽是个多 [事] 的人，但 [事] 凡那下坡走马、顺风使船，以至买好名儿、 戴高帽儿的那些营生， 我都不会作。		《儿女英雄》__清
16	我一听，这 [事] 不好了！		《儿女英雄》__清
17	想了一想，便对大家说道∶“如今诸 [事] 已妥，就该计议到你们的上路了。		《儿女英雄》__清
18	我告诉你们∶这三桩 [事] 都不要紧。		《儿女英雄》__清
19	安公子听了，皱着眉，裂着嘴，摇着头道∶“这桩 [事] 却难。”		《儿女英雄》__清
20	如今你们为难的 [事] 是都结了，我此刻却有件为难的 [事] 要求你诸位。”		《儿女英雄》__清
21	话未说完，安公子先跳起来，道∶“姑娘，你有甚么为难的 [事] ，只管说！		《儿女英雄》__清
22	那张金凤虽是个乡村女子，却天生得不落小家气象，且此时一心只有个十三妹姐姐，余 [事] 都不在心上，不过远远的看了一看，暗暗的敬服十三妹，略无多言。		《儿女英雄》__清
23	一则，是这位姑娘生性豪爽，一片天真，从不会学那小家女子遮遮掩掩，扭扭捏捏；二则，两个女孩儿在一处，本没有甚么避讳；三则，姑娘的这泡尿大约也是憋急了，这叫作“风火 [事] 儿，斯文不来”。		《儿女英雄》__清
24	因回头向张老夫妻道∶“这 [事] 得求你二位老人家。”		《儿女英雄》__清
25	我一想，这 [事] 尤其不妙了。		《儿女英雄》__清
26	这便是你二人一个孝心一个节烈所感，天才牵引了我来，正不是一桩偶然的 [事] 。		《儿女英雄》__清
27	我听你说的要紧， 方才闹得那等乱哄哄的， 我只怕有些失闪，如今幸而无 [事] ，原包交还。		《儿女英雄》__清
28	方才在店里的时候，你不说你令尊太爷的官项须得五千余金才能无 [事] 么？		《儿女英雄》__清
29	我从店中别后，便忙忙的先到家中，把今晚不得早回的原由禀过母亲，一面换了行装，就到二十八棵红柳树找着我提的那位老英雄，要暂借他三千金，了你这桩的 [事] 。		《儿女英雄》__清
30	如今安公子的性命保住了，资财保住了，他的二位老人家可保无 [事] 了。		《儿女英雄》__清
31	我这妹子的性命保住了，身子保住了，你二位老人家可保无 [事] 了。		《儿女英雄》__清
32	十三妹道∶“这又奇了，你们的 [事] 是拨弄清楚了，我的话也交代明白了，你们如何还不放我去？”		《儿女英雄》__清
33	不要是那 [事] 儿说合了盖儿了，老头子顾不得这个了罢？”		《儿女英雄》__清
34	只因他不守僧规，各庙里存身不住，才跟了这个胖大强盗和尚，在此作些不公不法的 [事] 。		《儿女英雄》__清
35	姑娘，你想想，这件 [事] 可怎么点得头呢！		《儿女英雄》__清
36	谁知儿女英雄作 [事] 毕竟不同。		《儿女英雄》__清
37	 [事] 款则圆，你且住啼哭，休得叫骂。”		《儿女英雄》__清
38	一则是曾经和尚那等的性命相扑，合十三妹那等的电雷交作，觉得“曾经沧海难为水”；二则也仗着十三妹的这张弹弓是个护身符，料想无妨；三则 [事] 到其间也无法了。		《儿女英雄》__清
39	况且死生有命，譬如昨日的 [事] ，可是怕得来的？		《儿女英雄》__清
40	今日不但性命无伤，而且姻缘成就，可见这 [事] 自有天作主。		《儿女英雄》__清
41	不想做这样 [事] ，天怒神殛，触独犯了菩萨。”		《风流悟》__清
42	救了我们，他更不必顾我们路上的 [事] ，不借给这张弹弓，又有甚么使不得？		《儿女英雄》__清
43	人情的 [事] 小，轻慢了公子的 [事] 大，竟可不必。”		《儿女英雄》__清
44	一路上逢山开路，遇水叠桥，甚至打店看车都是你二位的 [事] 。		《儿女英雄》__清
45	如今有这两个人同去，路上不怕冲风破浪，万无一失，保你安稳无 [事] 直到淮安。		《儿女英雄》__清
46	此番带了这项金银，就为了父亲的官 [事] 。”		《儿女英雄》__清
47	’我又老了，过几时也要寻个对头，完他终身之 [事] 。”		《风流悟》__清
48	列公，这桩 [事] 却不可看作张姑娘不识羞，张老婆儿不辞劳。		《儿女英雄》__清
49	众人连忙跑出去，把上项 [事] 禀明。		《儿女英雄》__清
50	县官说∶“这 [事] 更糟了，怎么和尚脑袋上会长出辫子来呢？		《儿女英雄》__清
51	把个县官唬得目瞪口呆，脸上青黄不定，疝气也唬回去了，口中只说∶“这是回甚么 [事] ？”		《儿女英雄》__清
52	他是个破落户，卖完了戌肉，时常在村里闲荡，做些不三不四的 [事] 。		《风流悟》__清
53	倘然两件 [事] 都无着，如何是好？”		《儿女英雄》__清
54	一时诸 [事] 完毕，张老陪了安公子在一间，他母女二人另在一间住下。		《儿女英雄》__清
55	张老婆儿道∶“还有== [事] 呀？”		《儿女英雄》__清
56	张老婆儿道∶“可罢了我了，== [事] 儿呢？		《儿女英雄》__清
57	其余的尸身，讲不起费些 [事] ，刨个坑儿，把他们一埋，眼前都是太老爷的牙爪，谁敢不遵？		《儿女英雄》__清
58	诸 [事] 料理完毕，大家趁此胡掳了些细软东西，只剩了四个张口货的驮骡没人要，便入了太老爷官马号。		《儿女英雄》__清
59	常氏叹口气道：“不瞒你说，我已前指望守十年八年再处，不道近日被人公然欺负，我孤身，我如今一个也难住，只得要做这没廉耻的 [事] 了。		《风流悟》__清
60	你如果有甚么不得主意的 [事] ，不敢告诉你父亲，有我呢，我给你宛转着说。”		《儿女英雄》__清
61	请示母亲∶这 [事] 该当怎样才好？		《儿女英雄》__清
62	太太一面拉起他来，一面心里沉吟，暗说∶“这桩 [事] 倒不好处。		《儿女英雄》__清
63	无奈他此时又盼 [事] 成，又怕 [事] 不成，把害怕、为难、畅快、欢喜，一股脑之搅成一团，一时抓不着话头儿，又挨磨了一会儿，才讪不搭的说了三个字，说道是∶“长的好。”		《儿女英雄》__清
64	对陶氏说其备细，又将狗王二如此说，陶氏笑笑道：“既如此，二郎瞒在我面前假撇清，如今不要管，我要他成一桩 [事] 就是。”		《风流悟》__清
65	太太说∶“甚么 [事] 啊？		《儿女英雄》__清
66	这桩 [事] ，儿子出于万分不得已，此时实在作难，实在害怕。”		《儿女英雄》__清
67	太太见公子说到这里，胸中脸上略为舒畅，才得腾出心来想 [事] 。		《儿女英雄》__清
68	安太太道∶“我细想这桩 [事] ，你媳妇方才的话，是因你那日在庙里辞婚，他得站住女孩儿的身分。		《儿女英雄》__清
69	这也罢了，到了这位官太太了，既是安太老爷遭了 [事] ，凭他怎样，我们这位山阳县也该看同寅的分上，张罗张罗他，谁家保的起常无 [事] ？		《儿女英雄》__清
70	仔细思量，此梦实为怪异，但“破镜重圆，凄惶好仇”二句，其中有合而离，离而合之 [事] ，且待婚姻到手，再作区处。		《风流悟》__清
71	那施十娘正在那里整理花粉，抬起头来见文世高在面前，便道：“相公，今日有什么 [事] 又来？”		《风流悟》__清
72	文世高道：“有件 [事] 央说老娘。”		《风流悟》__清
73	见了施十娘，面色然有些喜色，便深深唱一个喏道：“那 [事] 如何？”		《风流悟》__清
74	道：“小姐这般光景，婚姻 [事] 大半可成。		《风流悟》__清
75	今日这桩 [事] 若不禀命而行，万一日后父亲有个不然起来，我何以处张金凤姑娘？		《儿女英雄》__清
76	姑娘，这 [事] 断断不可！”		《儿女英雄》__清
77	写完封好了，急急走到店中，付与施十娘道：“愿老娘寄一寄去，千万讨小姐一个回信， [事] 成重重相谢。”		《风流悟》__清
78	你听我告诉你∶你要说老人家的 [事] ，如今银子是有了，我既说过保你个人财无恙，骨肉重逢，这话自然要说到那里作到那里。		《儿女英雄》__清
79	你要说定亲这件 [事] ‘没要紧’，自古‘不孝有三，无后为大’，况且俗语说的‘过了这个村没这个店儿’，你要再找我妹妹这么一个人儿，只怕你走遍天下，打着灯笼也没处找去。		《儿女英雄》__清
80	十三妹道∶“这 [事] 在我。”		《儿女英雄》__清
81	我看这 [事] 比方才那和尚让酒还累赘！”		《儿女英雄》__清
82	这小爷正在那里心里为维，听十三妹如此一问，他赶紧站起，连连的摆手说∶“姑娘，这 [事] 断断不可！”		《儿女英雄》__清
83	谁想安公子起初见这位姑娘且不商量上路，百忙里要给张金凤说亲，已经觉得离奇; 及到听见说到自己身上，更加诧异，心里一想∶“这可又是一件糟 [事] ！		《儿女英雄》__清
84	文世高便将梦中之 [事] ，说了一遍。		《风流悟》__清
85	慢说见了我妹妹这等德言工貌的全才，就听见我这等的疾傻呆呆的作 [事] ，都没有个不允的理，你放心。		《儿女英雄》__清
86	莫若此时趁 [事] 在成败未定之天，自己先留个地步；一则，保了这没过门女婿的性命；二则，全了这一相情愿媒人的脸面；三则，也占了我女孩家自己的的身分；四则，如此一行，只怕这 [事] 倒有个十拿九稳也不见得。		《儿女英雄》__清
87	因说道∶“姐姐，这话不是我女孩子家不顾羞耻， [事] 到其间，不说是断断不得明白的了。		《儿女英雄》__清
88	’我安骥宁可负了姑娘，作个无义人; 绝不敢背了父母，作个不孝子，这 [事] 断断不能从命！”		《儿女英雄》__清
89	刘万户不知甚么缘故，问道：“为何 [事] ，这般慌张？”		《风流悟》__清
90	因又想道：“这 [事] 既是施婆做的，须叫他来设法出去。”		《风流悟》__清
91	那施妈妈听了这句话，吓得面上就像开染坊的，一搭儿红，一搭儿紫，料道：“这 [事] 犯出来了。”		《风流悟》__清
92	书里一路表过的，这位十三妹姑娘是天生的一个侠烈机警人，但遇着济困扶危的 [事] ，必先通盘打算一个水落石出，才肯下手，与那《西游记》上的罗刹女，《水浒传》里的顾大嫂的作 [事] ，却是大不相同。		《儿女英雄》__清
93	即如这桩 [事] ，十三妹原因“侠义”两个字上起见，一心要救安、张两家四口的性命，才杀了僧俗若干人；既杀了若干人，其势必得打发两家赶紧上路逃走，才得远祸。		《儿女英雄》__清
94	施妈妈道：“并不关我 [事] ，这都是小姐自看上了文生，赋诗相约，自家做出来的。”		《风流悟》__清
95	要问问你这 [事] 倒底是可哟，是‘不可’？		《儿女英雄》__清
