语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：云
2023/1/20 16:00:48

序号	语句	书名	朝代
1	王司寇《卮言》论歌行 [云] ：“有奇句夺人魄者。”		《钝吟杂录》__清
2	其评诗至 [云] ：某篇某句似乐府，乐府某篇某句似诗。		《钝吟杂录》__清
3	黄心甫作《扶轮集》序 [云] ：“今不用诗。”		《钝吟杂录》__清
4	李太白崛起，奄古人而有之，根于《离骚》，杂以魏三祖乐府，近法鲍明远，梁、陈流丽，亦时时间出，谲辞 [云] 构，奇文郁起，后世作者，无以加矣。		《钝吟杂录》__清
5	必如所 [云] ，则乐府之文，所谓床上安床，屋上架屋，古人已具，何烦赘剩耶？		《钝吟杂录》__清
6	李长吉歌诗， [云] 韶工人皆取以协金石。		《钝吟杂录》__清
7	宋人 [云] ：体如行书。		《钝吟杂录》__清
8	今人不解，往往求诗与乐府之别，钟伯敬至 [云] 某诗似乐府，某乐府似诗。		《钝吟杂录》__清
9	还是《锁 [云] 囊》的梅花娘？		《儿女英雄》__清
10	末了一句道是∶‘觅我时，合你 [云] 中相见’。		《儿女英雄》__清
11	见得他虽然在地方上杀了许多人，却不是畏罪而逃，你们要来找我，就在 [云] 中等着见你们。		《儿女英雄》__清
12	据地保那张报单，五路通详上去，奉到宪批，批了“如详办理”四个大字，把一桩惊风骇浪的大案，办得来 [云] 过天空！		《儿女英雄》__清
13	老身的后门，紧靠着这花园墙内栖 [云] 石边。		《风流悟》__清
14	下楼四周一看，只见栖 [云] 石上，跌死一少年男子，举头一看，树上吊着的却是秀英女儿。		《风流悟》__清
15	信有 [云] 鬟称月老，何妨白刃代红丝？		《儿女英雄》__清
16	人人称羡，个个道奇，传满了杭州城内城外，遂做了湖上的美谈，至今脍炙人口不休 [云] 。		《风流悟》__清
17	他杀人污佛地，我救苦下 [云] 		《儿女英雄》__清
18	端，铲恶锄奸，觅我时，合你 [云] 中相见。		《儿女英雄》__清
19	两个丫环，一个叫春 [云] ，一个叫绿梅。		《风流悟》__清
20	那妇人对孟瑚又笑了一笑进去了，叫声：“春 [云] ，关上了门。”		《风流悟》__清
21	那春 [云] 道：“认得。		《风流悟》__清
22	春 [云] 道：“就是何伯的相知，也不该如此不尊重。”		《风流悟》__清
23	春 [云] 关了门，进去了。		《风流悟》__清
24	只见许弄生走到隔壁去，会了何老儿，来对孟瑚道：“你须将些礼物，托何老儿送与春 [云] ，做个后来相识。		《风流悟》__清
25	那春 [云] 见送银子与他，欢喜得紧，如今倒有一半功夫了，春 [云] 与何老两个是脚了。”		《风流悟》__清
26	再将礼回他，转送与春 [云] ，也是这等说，不怕他不肯的。”		《风流悟》__清
27	那妇人笑了一笑，竟叫春 [云] 走到孟瑚身边来。		《风流悟》__清
28	春 [云] 姐要烦你帮衬一帮衬。”		《风流悟》__清
29	那春 [云] 将孟瑚瞅一眼道：“月又好，你来便是，只管说。”		《风流悟》__清
30	春 [云] 道：“不必相闻他。”		《风流悟》__清
31	春 [云] 回复那小姐，小姐把手儿同孟瑚一招，进去了。		《风流悟》__清
32	却说孟瑚果然等到夜深月上了，悄悄走到后门，只见春 [云] 已立在门边，见了孟瑚，把手一招，低声道：“来。”		《风流悟》__清
33	孟瑚悄悄走进后门，春 [云] 已拽上了门，孟瑚忙去勾住春 [云] ，春 [云] 带了笑，一推道：“臭王八，老婆在里边，不要这样猴急。”		《风流悟》__清
34	春 [云] 道：“你随我这里来。”		《风流悟》__清
35	孟瑚齐上一看，吃一大惊道：“那小后生的面孔，与王小姐一般，后边两个与春 [云] 、绿梅无二，后边一具竟是许弄生！		《风流悟》__清
36	虽然如此说，古语有 [云] ：败子回头便作家。		《风流悟》__清
37	没奈何，一个人踽踽凉凉站在 [云] 端里一望，才看出 [云] 外那座天。		《儿女英雄》__清
38	只见那天宫现彩，宝殿生 [云] ，仙乐悠扬，香烟缭绕。		《儿女英雄》__清
39	过了座起，又有一条小黑巷，巷口露出两扇竹门，推竹门进去，乃是绝妙三间，精空白染，遮堂上一联，对 [云] ：		《风流悟》__清
40	煎茶烧落叶，扫径动闲 [云] 。		《风流悟》__清
41	台边太湖石，玲珑如一朵翠 [云] 。		《风流悟》__清
42	那殿头官又把旗儿一展，那些人依然凭空而去，愈去愈远，堕入 [云] 中，不见踪影。		《儿女英雄》__清
43	 [云] 外人传 [云] 外事，梦中话与梦中听。		《儿女英雄》__清
44	随着便是地坼山崩价一声响亮，吓得他一步踏空 [云] 脚，一个立足不稳，早从 [云] 端里落将下来。		《儿女英雄》__清
45	一时人俱传二个尼姑，因救一个赌钱汉的命，后来得做夫人，以为慈心之报 [云] 。		《风流悟》__清
46	后来这个衣钵，传与一个徒弟，那徒弟更奇，绰号叫做一朵 [云] 。		《风流悟》__清
47	因他到人家偷了东西，临出门还要画一朵 [云] 在壁上，做个记号。		《风流悟》__清
48	捕人见了他这一朵 [云] ，便知他再赶不着的，再不想去要他了。		《风流悟》__清
49	不道那一朵 [云] 之后，又有一个名贼，那贼更加利害，且又跷蹊，他绰号却叫“我来也”。		《风流悟》__清
50	那女子不听犹可，听这话，只见他柳眉倒竖，杏眼圆睁，腮边烘两朵红 [云] ，面上现一团煞气，口角儿一动，鼻翅儿一扇，那副热泪就在眼眶儿里滴溜溜的乱转，只是不好意思哭出来。		《儿女英雄》__清
51	第五十九回 柳叶渚边嗔莺咤燕 绛 [云] 轩里召将飞符		《红楼梦(上)》__清
52	第六十二回 憨湘 [云] 醉眠芍药茵 呆香菱情解石榴裙		《红楼梦(上)》__清
53	第七 十 回 林黛玉重建桃花社 史湘 [云] 偶填柳絮词		《红楼梦(上)》__清
54	作者自 [云] ：曾历过一番梦幻之后，故将真事隐去，而借通灵说此《石头记》一书也，故曰“甄士隐” [云]  [云] 。		《红楼梦(上)》__清
55	自己又 [云] ：“今风尘碌碌，一事无成，忽念及当日所有之女子：一一细考较去，觉其行止见识皆出我之上。		《红楼梦(上)》__清
56	后面又有一偈 [云] ：无才可去补苍天，枉入红尘若许年。		《红楼梦(上)》__清
57	诗 [云] ：满纸荒唐言，一把辛酸泪。		《红楼梦(上)》__清
58	都 [云] 作者痴，谁解其中味！		《红楼梦(上)》__清
59	按那石上书 [云] ：当日地陷东南，这东南有个姑苏城，城中阊门，最是红尘中一二等富贵风流之地。		《红楼梦(上)》__清
60	士隐听了，不便再问，因笑道：“玄机固不可泄露，但适 [云] ‘蠢物’，不知为何，或可得见否？”		《红楼梦(上)》__清
61	今又正值中秋，不免对月有怀，因而口占五言一律 [云] ：未卜三生愿，频添一段愁。		《红楼梦(上)》__清
62	雨村吟罢，因又思及平生抱负，苦未逢时，乃又搔首对天长叹，复高吟一联 [云] ：玉在椟中求善价，钗于奁内待时飞。		《红楼梦(上)》__清
63	雨村此时已有七八分酒意，狂兴不禁，乃对月寓怀，口占一绝 [云] ：时逢三五便团，满把清光护玉栏。		《红楼梦(上)》__清
64	当下即命小童进去速封五十两白银并两套冬衣，又 [云] ：“十九日乃黄道之期，兄可即买舟西上。		《红楼梦(上)》__清
65	那士隐夫妇见女儿一夜不归，便知有些不好；再使几人去找寻，回来皆 [云] 影响全无。		《红楼梦(上)》__清
66	门旁又有一副旧破的对联 [云] ：身后有馀忘缩手，眼前无路想回头。		《红楼梦(上)》__清
67	偶因风荡，或被 [云] 摧，略有摇动感发之意，一丝半缕误而逸出者，值灵秀之气适过，正不容邪，邪复妒正，两不相下；如风水雷电地中既遇，既不能消，又不能让，必致搏击掀发。		《红楼梦(上)》__清
68	如前之许由、陶潜、阮籍、嵇康、刘伶、王谢二族、顾虎头、陈后主、唐明皇、宋徽宗、刘庭芝、温飞卿、米南宫、石曼卿、柳耆卿、秦少游，近日倪 [云] 林、唐伯虎、祝枝山，再如李龟年、黄幡绰、敬新磨、卓文君、红拂、薛涛、崔莺、朝 [云] 之流，此皆易地则同之人也。”		《红楼梦(上)》__清
69	到了城下，待夜了，走到贼营边，其时十月天气，月暗 [云] 迷，只见刀枪密布，剑戟重围，兵马精强，队伍整肃，四面寂而无声。		《风流悟》__清
70	头上戴着金丝八宝攒珠髻，绾着朝阳五凤挂珠钗，项上戴着赤金盘螭缨络圈，身上穿着缕金百蝶穿花大红 [云] 缎窄褃袄，外罩五彩刻丝石青银鼠褂，下着翡翠撒花洋绉裙。		《红楼梦(上)》__清
71	牡丹头，如 [云] 高耸。		《风流悟》__清
72	拂 [云] 黄鹤羽蹁跹，偶落东篱破晓烟。		《风流悟》__清
73	一面说，一面从顺袋中取出一张抄的护官符来，递与雨村看时，上面皆是本地大族名宦之家的俗谚口碑， [云] ：		《红楼梦(上)》__清
74	一个纸条是索花烛，韩连城看了，也援笔写 [云] ：		《风流悟》__清
75	一个纸条是索红枕，吴澹仙看了，也援笔写 [云] ：		《风流悟》__清
76	王畹香不假思索，即续二句 [云] ：		《风流悟》__清
77	韩连城见了即续 [云] ：		《风流悟》__清
78	于是三个美男，配了十二个美女，后来各人生了儿子，互相连姻，遂成秦晋，一时传为异闻美事 [云] 。		《风流悟》__清
79	入房向壁上看时，有唐伯虎画的《海棠春睡图》，两边有宋学士秦太虚写的一副对联 [云] ：嫩寒锁梦因春冷，芳气袭人是酒香。		《红楼梦(上)》__清
80	正在胡思乱想，听见山后有人作歌曰：春梦随 [云] 散，飞花逐水流。		《红楼梦(上)》__清
81	靥笑春桃兮， [云] 髻堆翠；唇绽樱颗兮，榴齿含香。		《红楼梦(上)》__清
82	也有一副对联，大书 [云] ：厚地高天，堪叹古今情不尽；痴男怨女，可怜风月债难酬。		《红楼梦(上)》__清
83	又见后面画着一簇鲜花，一床破席，也有几句言词写道是：枉自温柔和顺，空 [云] 似桂如兰。		《红楼梦(上)》__清
84	拿起一本册来打开看时，只见首页也是画，却画着一枝桂花，下面有一方池沼，其中水涸泥干，莲枯藕败，后面书 [云] ：根并荷花一茎香，平生遭际实堪伤。		《红楼梦(上)》__清
85	也有一首歌词 [云] ：二十年来辨是非，榴花开处照宫闱。		《红楼梦(上)》__清
86	展眼吊斜辉，湘江水逝楚 [云] 飞。		《红楼梦(上)》__清
87	其断语 [云] ：欲洁何曾洁？		《红楼梦(上)》__清
88	 [云] 空未必空。		《红楼梦(上)》__清
89	其下书 [云] ：子系中山狼，得志便猖狂。		《红楼梦(上)》__清
90	其判 [云] ：勘破三春景不长，缁衣顿改昔年妆。		《红楼梦(上)》__清
91	其判 [云] ：凡鸟偏从末世来，都知爱慕此生才。		《红楼梦(上)》__清
92	也有判 [云] ：桃李春风结子完，到头谁似一盆兰。		《红楼梦(上)》__清
93	其判 [云] ：情天情海幻情深，情既相逢必主淫。		《红楼梦(上)》__清
94	今日原欲往荣府去接绛珠，适从宁府经过，偶遇宁荣二公之灵，嘱吾 [云] ：‘吾家自国朝定鼎以来，功名奕世，富贵流传，已历百年。		《红楼梦(上)》__清
95	壁上也挂着一副对联，书 [云] ：幽微灵秀地，无可奈何天。		《红楼梦(上)》__清
96	终久是 [云] 散高唐，水涸湘江。		《红楼梦(上)》__清
97	颠鸾倒凤，般般有，握雨握 [云] 事事新。		《风流悟》__清
98	 [云] ：		《风流悟》__清
99	遂援笔直书， [云] ：		《风流悟》__清
100	 [云] ：		《风流悟》__清
101	近有个打鱼的渔人姓范，名雄，乃是范蠡生十一世的 [云] 孙，有万夫不当之勇。		《风流悟》__清
102	因此防海总兵官奏闻，特着山左玉同兵部郎中杨 [云] 、总兵徐健，相机行事，或战或抚。		《风流悟》__清
103	于是国王回国，即设宴相请山左玉同兵部杨 [云] 、总兵徐健，三人同去赴宴。		《风流悟》__清
104	霜华在树，朝日弄晴， [云] 敛山清，草枯人健。		《儿女英雄》__清
105	况这事 [云] 过天空，今日既承下顾，掀过这篇子去，现成儿的酒席，咱们喝酒。		《儿女英雄》__清
106	安老爷正色道∶“老哥哥，古人 [云] ∶‘十室之邑，必有忠信。		《儿女英雄》__清
107	二人正说着，只见湘 [云] 走来，笑道：“爱哥哥，林姐姐，你们天天一处玩，我好容易来了，也不理我理儿。”		《红楼梦(上)》__清
108	湘 [云] 道：“他再不放人一点儿，专会挑人。		《红楼梦(上)》__清
109	湘 [云] 道：“你敢挑宝姐姐的短处，就算你是个好的。”		《红楼梦(上)》__清
110	湘 [云] 笑道：“这一辈子我自然比不上你。		《红楼梦(上)》__清
111	说的宝玉一笑，湘 [云] 忙回身跑了。		《红楼梦(上)》__清
112	话说史湘 [云] 说着笑着跑出来，怕黛玉赶上。		《红楼梦(上)》__清
113	黛玉拉着手说道：“我要饶了 [云] 儿，再不活着。”		《红楼梦(上)》__清
114	湘 [云] 见宝玉拦着门，料黛玉不能出来，便立住脚，笑道：“好姐姐，饶我这遭儿罢！”		《红楼梦(上)》__清
115	却值宝钗来在湘 [云] 身背后，也笑道：“我劝你们两个看宝兄弟面上，都撂开手罢。”		《红楼梦(上)》__清
116	湘 [云] 仍往黛玉房中安歇。		《红楼梦(上)》__清
