语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：亡
2022/7/10 23:01:46

序号	语句	书名	朝代
1	国之将 [亡] ，其君贪冒、辟邪、淫佚、荒怠、粗秽、暴虐；其政腥臊，馨香不登，其刑矫诬，百姓携贰，明神不蠲而民有远志，民神怨痛，无所依怀，故神亦往焉，观其苛慝而降之祸。		《国语》__春秋战国
2	是以或见神以兴，亦或以 [亡] 。		《国语》__春秋战国
3	昔夏之兴也，融降于崇山，其 [亡] 也，回禄信于☆隧。		《国语》__春秋战国
4	商之兴也，☆杌次于丕山，其 [亡] 也，夷羊在牧，周之兴也，☆☆鸣于岐山，其衰也，杜伯射王于☆，是皆明神之志者也。”		《国语》__春秋战国
5	未殁而 [亡] 政，不可谓武；有子而弗胜，不可谓威。		《国语》__春秋战国
6	初九，闲有家，悔 [亡] 。		《周易》__周
7	初九以刚阳处有家之始，能防闲之，其悔 [亡] 矣。		《周易》__周
8	初九，悔 [亡] ，丧马勿逐，自复，见恶人，无咎。		《周易》__周
9	应，其悔 [亡] 矣。		《周易》__周
10	右传之五章，盖释格物、致知之义，而今 [亡] 矣。		《大学中庸》__春秋战国
11	六五，悔 [亡] ，厥宗噬肤，往何咎？		《周易》__周
12	居中得应，故能 [亡] 之。		《周易》__周
13	《象》曰：遇雨之吉，群疑 [亡] 也。		《周易》__周
14	宫之奇谏曰：“语曰：‘脣 [亡] 则齿寒。		《榖梁传》__春秋战国
15	献公 [亡] 虢，五年而后举虞。		《榖梁传》__春秋战国
16	公子重耳出见使者，曰：“君惠☆ [亡] 臣，又重有命。		《国语》__春秋战国
17	将死，曰：“以悬吾目于东门，以见越之入，吴国之 [亡] 也。”		《国语》__春秋战国
18	国之 [亡] 也，名之伤也，从此生矣。		《吕氏春秋》__春秋战国
19	舟之侨告诸其族曰：“众谓虢 [亡] 不久，吾乃今知之。		《国语》__春秋战国
20	若不能絜矩而好恶殉于一己之偏，则身弒国 [亡] ，为天下之大戮矣。		《大学中庸》__春秋战国
21	以其孥适西山，三月，虞乃 [亡] 。		《国语》__春秋战国
22	将以骊姬之惑蛊君而诬国人，谗群公子而夺之利使君迷乱，信而 [亡] 之，杀无罪以为诸侯笑，使百姓莫不有藏恶于其心中，恐其如壅大川，溃而不可救御也。		《国语》__春秋战国
23	故思虑自心伤也，智差自 [亡] 也，奋能自殃，其有处自狂也。		《吕氏春秋》__春秋战国
24	宫之奇谏而不听，出，谓其子曰：“虞将 [亡] 矣！		《国语》__春秋战国
25	夫苦成叔家欲任两国而无大德，其不存也， [亡] 无日矣。		《国语》__春秋战国
26	苦成氏有三 [亡] ：少德而多宠，位下而欲上政，无大功而欲大禄，皆怨府也。		《国语》__春秋战国
27	意 [亡] 非为其上中天之利。		《墨子》__春秋战国
28	赵氏夕 [亡] 我朝从之诗曰。		《墨子》__春秋战国
29	然而又与其散 [亡] 道路。		《墨子》__春秋战国
30	仁者散财以得民，不仁者 [亡] 身以殖货。		《大学中庸》__春秋战国
31	君子宁 [亡] 己之财，而不忍伤民之力；故宁有盗臣，而不畜聚敛之臣。		《大学中庸》__春秋战国
32	计莒之所以 [亡] 于齐越之闻者。		《墨子》__春秋战国
33	其所以 [亡] 于吴越之间者。		《墨子》__春秋战国
34	其所以 [亡] 于燕代胡貊之闻者。		《墨子》__春秋战国
35	为人臣下者，有谏而无讪，有 [亡] 而无疾；颂而无讠阎，谏而无骄；怠则张而 相之，废则埽而更之。		《礼记》__春秋战国
36	桀用羊辛，纣用恶来，宋用唐鞅，齐用苏秦，而天下知其 [亡] 。		《吕氏春秋》__春秋战国
37	右传之五章，盖释格物、致知之义，而今 [亡] 矣。		《大学中庸》__春秋战国
38	九四，臀无肤，其行次且；牵羊悔 [亡] ，闻言不信。		《周易》__周
39	若不与众阳竞进，而安出其后，则可以 [亡] 其悔。		《周易》__周
40	楚三围宋矣，而不能 [亡] 。		《吕氏春秋》__春秋战国
41	非不可 [亡] 也，以宋攻楚，奚时止矣？		《吕氏春秋》__春秋战国
42	従服者，所従 [亡] 则已。		《礼记》__春秋战国
43	佑贤辅德，显忠遂良，兼弱攻昧，取乱侮 [亡] ，推 [亡] 固存，邦乃其昌。		《尚书》__周
44	予闻曰：‘能自得师者王，谓人莫已若者 [亡] 。		《尚书》__周
45	魏惠王使人谓韩昭侯曰： “夫郑乃韩氏 [亡] 之也，愿君之封其後也。		《吕氏春秋》__春秋战国
46	其母叹曰：“鲁其 [亡] 乎！		《国语》__春秋战国
47	秦得地而王布总，齐 [亡] 地而王加膳，所非兼爱之心也。		《吕氏春秋》__春秋战国
48	 [亡] 则中一以上而祔。		《礼记》__春秋战国
49	国久则固，固则难 [亡] 。		《吕氏春秋》__春秋战国
50	九五，萃有位，无咎，匪孚，元永贞，悔 [亡] 。		《周易》__周
51	则亦修其元永贞之德，而悔 [亡] 矣。		《周易》__周
52	虞虢之相救，非相为赐也，今日 [亡] 虢而明日 [亡] 虞矣。		《榖梁传》__春秋战国
53	意 [亡] 昔三代之暴不肖人与。		《墨子》__春秋战国
54	我所以知命之有与 [亡] 者。		《墨子》__春秋战国
55	意 [亡] 昔三代之暴不肖人也。		《墨子》__春秋战国
56	然有 [亡] 者国，无二道矣。		《吕氏春秋》__春秋战国
57	人有任臣不 [亡] 者，臣 [亡] ，庄白决之，任者无罪。		《吕氏春秋》__春秋战国
58	宋有澄子者， [亡] 缁衣。		《吕氏春秋》__春秋战国
59	求之涂，见妇人衣缁衣，援而弗舍，欲取其衣，曰：“今者我 [亡] 缁衣。”		《吕氏春秋》__春秋战国
60	妇人曰：“公虽 [亡] 缁衣，此实吾所自为也。”		《吕氏春秋》__春秋战国
61	昔吾所 [亡] 者，纺缁也；今子之衣，禅缁也。		《吕氏春秋》__春秋战国
62	梁 [亡] 。		《榖梁传》__春秋战国
63	自 [亡] 也，湎于酒，淫于色，心昏耳目塞，上无正长之治，大臣背叛，民为寇盗。		《榖梁传》__春秋战国
64	梁 [亡] ，自 [亡] 也。		《榖梁传》__春秋战国
65	梁 [亡] ，郑弃其师，我无加损焉，正名而已矣。		《榖梁传》__春秋战国
66	革：已日乃孚，元亨，利贞，悔 [亡] 。		《周易》__周
67	梁 [亡] ，出恶正也。		《榖梁传》__春秋战国
68	有文明之德，而外有和说之气，故其占为有所更革，皆大亨而得其正，所革皆当，而所革之悔 [亡] 也。		《周易》__周
69	文明以说，大亨以正，革而当，其悔乃 [亡] 。		《周易》__周
70	法已定矣，而好用六虱者 [亡] 。		《商君书》__春秋战国
71	以力攻者，出一取十；以言攻者，出十 [亡] 百。		《商君书》__春秋战国
72	壮男过壮女之军，则男贵女，而奸民有从谋，而国 [亡] ；喜与，其恐有蚤闻，勇民不战。		《商君书》__春秋战国
73	九四，悔 [亡] ，有孚，改命，吉。		《周易》__周
74	世有三 [亡] ，而天下得之，其此之谓乎！		《韩非子》__春秋战国
75	臣闻之曰：“以乱攻治者 [亡] ，以邪 攻正者 [亡] ，以逆攻顺者 [亡] 。”		《韩非子》__春秋战国
76	革之用也，是以悔 [亡] 。		《周易》__周
77	明占者有其德而当其时，又必有信，乃悔 [亡] 而得吉也。		《周易》__周
78	荆王君臣 [亡] 走，东服于陈。		《韩非子》__春秋战国
79	自魏襄以来，野战不胜，守城必拔，小大之战，三晋之所 [亡] 于秦者，不可胜数也。		《商君书》__春秋战国
80	然则是赵举，赵举则韩 [亡] ，韩 [亡] 则荆，魏不能独立，荆、魏不 能独立，则是一举而坏韩蠹魏拔荆，东以弱齐弱燕，决白马之口以沃魏氏，是一 举而三晋 [亡] ，从者败也。		《韩非子》__春秋战国
81	且夫赵当 [亡] 而不 [亡] ，秦当霸而不霸， 天下固以量秦之谋臣一矣。		《韩非子》__春秋战国
82	故有隙蠹而不 [亡] 者，天下鲜矣。		《商君书》__春秋战国
83	臣昧死愿望见大王，言所以破天下之从，举赵、  [亡] 韩，臣荆、魏，亲齐、燕，以成霸王之名，朝四邻诸候之道。		《韩非子》__春秋战国
84	大王诚听其说， 一举而天下之从不破，赵不举，韩不 [亡] ，荆、魏不臣，齐、燕不亲，霸王之名不 成，四邻诸候不朝，大王斩臣以徇国，以为王谋不忠者也。		《韩非子》__春秋战国
85	则谓 [亡] 君者，非莫有其国也，而有之者，皆非己有也。		《韩非子》__春秋战国
86	令臣以外为制于内，则是君人者 [亡] 也。		《韩非子》__春秋战国
87	听大国为救 [亡] 也，而 [亡] 亟于不听，故不听。		《韩非子》__春秋战国
88	夫进而击赵不能取，退而攻韩弗能拔，则陷锐文卒勤于野战，负任之旅罢于内攻；则合群苦弱以敌而共二万乘，非所以 [亡] 赵之心也。		《韩非子》__春秋战国
89	齐、晋相与战，平阿之馀子 [亡] 戟得矛，却而去，不自快，谓路之人曰：“ [亡] 戟得矛，可以归乎？”		《吕氏春秋》__春秋战国
90	是我一举二国有 [亡] 形，则荆、魏又必自服矣。		《韩非子》__春秋战国
91	路之人曰：“戟亦兵也，矛亦兵也， [亡] 兵得兵，何为不可以归？”		《吕氏春秋》__春秋战国
92	去行，心犹不自快，遇高唐之孤叔无孙，当其马前曰：“今者战， [亡] 戟得矛，可以归乎？”		《吕氏春秋》__春秋战国
93	叔无孙曰：“矛非戟也，戟非矛也， [亡] 戟得矛，岂亢责也哉？”		《吕氏春秋》__春秋战国
94	且臣闻之：‘脣 [亡] ，则齿寒。		《韩非子》__春秋战国
95	今秦王使臣斯来而不得见，恐左右袭曩奸臣之计，使韩复有 [亡] 地之患。		《韩非子》__春秋战国
96	有一于此，未或不 [亡] 。”		《尚书》__周
97	乃者， [亡] 乎人之辞也。		《榖梁传》__春秋战国
