语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：仁
2022/7/10 23:10:59

序号	语句	书名	朝代
1	优施教骊姬夜半而泣谓公曰：“吾闻申生甚好 [仁] 而  ，甚宽惠而慈于民，皆有所行之。		《国语》__春秋战国
2	吾闻之外人之言曰：为 [仁] 与为国不同。		《国语》__春秋战国
3	为 [仁] 者，爱亲之谓 [仁] ；为国者，利国之谓 [仁] 。		《国语》__春秋战国
4	为人君，止于 [仁] ；为人臣，止于敬；为人子，止于孝；为人父，止于慈；与国人交，止于信。		《大学中庸》__春秋战国
5	君亲问焉，曰：“于子之乡，有居处好学、慈孝于父母、聪慧质 [仁] 、发闻于乡里者，有则以告。		《国语》__春秋战国
6	诸侯不得专封诸侯，虽通其 [仁] 以义而不与也。		《榖梁传》__春秋战国
7	故曰 [仁] 不胜道。		《榖梁传》__春秋战国
8	桓公又亲问焉，曰：“于子之属，有居处为义好学、慈孝于父母、聪慧质 [仁] 、发闻于乡里者，有则以告。		《国语》__春秋战国
9	亡人无亲，信 [仁] 以为亲，是故置之者不殆。		《国语》__春秋战国
10	父死在堂而求利，人孰 [仁] 我？		《国语》__春秋战国
11	穆公曰：“吾与公子重耳，重耳 [仁] 。		《国语》__春秋战国
12	一家 [仁] ，一国兴 [仁] ；一家让，一国兴让；一人贪戾，一国作乱；其机如此。		《大学中庸》__春秋战国
13	君若求置晋君而载之，置 [仁] 不亦可乎？		《国语》__春秋战国
14	臣闻之曰‘ [仁] 有置，武有置。		《国语》__春秋战国
15	尧舜帅天下以 [仁] ，而民从之；桀纣帅天下以暴，而民从之；其所令反其所好，而民不从。		《大学中庸》__春秋战国
16	吾闻之：‘ [仁] 不怨君，智不重困，勇不逃死。		《国语》__春秋战国
17	此 [仁] 者之为天下度也。		《墨子》__春秋战国
18	舅犯曰：“亡人无以为宝， [仁] 亲以为宝。”		《大学中庸》__春秋战国
19	 [仁] ，爱也。		《大学中庸》__春秋战国
20	故至智弃智，至 [仁] 忘 [仁] ，至德不德。		《吕氏春秋》__春秋战国
21	若此者，知所爱恶矣，而未能尽爱恶之道，盖君子而未 [仁] 者也。		《大学中庸》__春秋战国
22	 [仁] 者以财发身，不 [仁] 者以身发财。		《大学中庸》__春秋战国
23	 [仁] 者散财以得民，不 [仁] 者亡身以殖货。		《大学中庸》__春秋战国
24	未有上好 [仁] 而下不好义者也，未有好义其事不终者也，未有府库财非其财者也。		《大学中庸》__春秋战国
25	上好 [仁] 以爱其下，则下好义以忠其上；所以事必有终，而府库之财无悖出之患也。		《大学中庸》__春秋战国
26	射者， [仁] 之道也。		《礼记》__春秋战国
27	其他权谋术数，一切以就功名之说，与夫百家众技之流，所以惑世诬民、充塞 [仁] 		《大学中庸》__春秋战国
28	“今海鸟至，己不知而祀之，以为国典，难以为 [仁] 且智矣。		《国语》__春秋战国
29	夫 [仁] 者讲功，而智者处物。		《国语》__春秋战国
30	无功而祀之，非 [仁] 也；不知而不能问，非智也。		《国语》__春秋战国
31	为人君，止于 [仁] ；为人臣，止于敬；为人子，止于		《大学中庸》__春秋战国
32	一家 [仁] ，一国兴 [仁] ；一家让，一国兴让；一人贪戾，一国作乱；其机如此。		《大学中庸》__春秋战国
33	尧舜帅天下以 [仁] ，而民从之；桀纣帅天下以暴，而民从之；其所令反其所		《大学中庸》__春秋战国
34	老耽贵柔，孔子贵 [仁] ，墨翟贵廉，关尹贵清，子列子贵虚，陈骈贵齐，阳生贵己，孙膑贵势，王廖贵先，儿良贵後。		《吕氏春秋》__春秋战国
35	舅犯曰：“亡人无以为宝， [仁] 亲以为宝。”		《大学中庸》__春秋战国
36	克宽克 [仁] ，彰信兆民。		《尚书》__周
37	 [仁] 者以财发		《大学中庸》__春秋战国
38	未有上好 [仁] 而下不好义者也，未有好义其事不终者也，未有府库财非		《大学中庸》__春秋战国
39	予 [仁] 若考能，多材多艺，能事鬼神。		《尚书》__周
40	小 [仁] 与大 [仁] 行厚相若。		《墨子》__春秋战国
41	今天下之君子之名 [仁] 也。		《墨子》__春秋战国
42	天下之君子不知 [仁] 者。		《墨子》__春秋战国
43	夫战，智为始， [仁] 次之，勇次之。		《国语》__春秋战国
44	故曰，礼人而不答，则反其敬；爱人而不亲，则反其 [仁] ；治人而不治，则反其知。		《榖梁传》__春秋战国
45	儒有忠信以为甲胄，礼义以为干橹；戴 [仁] 而行，抱义而处；虽有暴政，不更 其所。		《礼记》__春秋战国
46	温良者， [仁] 之本也；敬慎者， [仁] 之地也；宽裕者， [仁] 之作也；孙接者， [仁] 之 能也；礼节者， [仁] 之貌也；言谈者， [仁] 之文也；歌乐者， [仁] 之和也；分散者， [仁]  之施也。		《礼记》__春秋战国
47	然则上世亲亲而爱私，中世上贤而说 [仁] ，下世贵贵而尊官。		《商君书》__春秋战国
48	儒者兼而有之，犹且不敢言 [仁] 也。		《礼记》__春秋战国
49	凡 [仁] 者以爱利为务，而贤者以相出为道。		《商君书》__春秋战国
50	故贤者立中正，设无私，而民说 [仁] 。		《商君书》__春秋战国
51	汤又让於务光曰：“智者谋之，武者遂之， [仁] 者居之，古之道也。		《吕氏春秋》__春秋战国
52	务光辞曰：“废上，非义也；杀民，非 [仁] 也；人犯其难，我享其利，非廉也。		《吕氏春秋》__春秋战国
53	民罔常怀，怀于有 [仁] 。		《尚书》__周
54	古者君之使臣也，使 [仁] 者佐贤者，不使贤者佐 [仁] 者。		《榖梁传》__春秋战国
55	今赵盾贤，夜姑 [仁] ，其不可乎！”		《榖梁传》__春秋战国
56	此十数人者，皆世之 [仁] 贤忠良有道术之士也，不幸而遇悖乱暗惑之主而死。		《韩非子》__春秋战国
57	十年亦死，百年亦死， [仁] 圣亦死，凶 愚亦死。		《列子》__春秋战国
58	是故圣人不必加，凡主不必废；杀人不为暴，赏人不为 [仁] 者，国法明也。		《商君书》__春秋战国
59	故曰： [仁] 者能 [仁] 于人，而不能使人 [仁] ；义者能爱于人，而不能使人爱。		《商君书》__春秋战国
60	《诗》、《书》、礼、乐、善、修、 [仁] 、廉、辩、慧，国有十者，上无使守战。		《商君书》__春秋战国
61	其主贤，其相 [仁] 。		《吕氏春秋》__春秋战国
