语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：今
2022/11/6 16:12:09

序号	语句	书名	朝代
1	博士韩毅教浟书，见浟笔迹未工，戏浟曰：“五郎书画如此，忽为常侍开国， [今] 日后宜更用心。”		《北齐书》__隋唐五代
2	博士当 [今] 能者，何为不作三公？”		《北齐书》__隋唐五代
3	有老公数百人相率具馔曰：“自殿下至来五载，人不识吏，吏不欺人，百姓有识已来，始逢 [今] 化。		《北齐书》__隋唐五代
4	湝曰：“下官神武帝子，兄弟十五人，幸而独存，逢宗社颠覆， [今] 日得死，无愧坟陵。”		《北齐书》__隋唐五代
5	恪乃排闼入见高祖，叩头谢曰：“恪身经事萧家来， [今] 日不忍见许事，分受死耳，决不奉命。”		《陈书》__隋唐五代
6	 [今] 既入奉大宗，事绝籓裸，始兴国庙蒸尝无主，瞻言霜露，感寻恸绝。		《陈书》__隋唐五代
7	冲锋陷阵，大有其人，当官正色， [今] 始见之。		《北齐书》__隋唐五代
8	 [今] 荣华富贵，直是中尉自取，高欢父子，无以相报。”		《北齐书》__隋唐五代
9	时杜弼为长史，密启显祖云：“关西是国家劲敌，若 [今] 受魏禅，恐其称义兵挟天子而东向，王将何以待之？”		《北齐书》__隋唐五代
10	之才云：“ [今] 与王争天下者，彼意亦欲为帝，譬如逐兔满市，一人得之，众心皆定。		《北齐书》__隋唐五代
11	 [今] 若先受魏禅，关西自应息心。		《北齐书》__隋唐五代
12	后召德政饮，不从，又进言于前，谏曰：“陛下道我寻休， [今] 乃甚于既往，其若社稷何，其若太后何！”		《北齐书》__隋唐五代
13	又教我诛诸元，我 [今] 杀之，为诸元报仇也。”		《北齐书》__隋唐五代
14	昂素勤慎，奉敕之后，弥自警勖，部分科条，校正 [今] 古，所增损十有七八。		《北齐书》__隋唐五代
15	梁武谓之曰：“伯阳之后，久而弥盛，赵李人物， [今] 实居多。		《北齐书》__隋唐五代
16	常侍曾经将领， [今] 复充使，文武不坠，良属斯人。”		《北齐书》__隋唐五代
17	世宗使武士提以入，浑抗言曰：“将军 [今] 日犹自礼贤耶？”		《北齐书》__隋唐五代
18	梁武帝问绘：“高相 [今] 在何处？”		《北齐书》__隋唐五代
19	绘曰：“ [今] 在晋阳，肃遏边寇。”		《北齐书》__隋唐五代
20	 [今] 车书混壹，文轨大同，敢披丹款，申其屈膝。”		《陈书》__隋唐五代
