语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：从
2022/7/12 22:06:45

序号	语句	书名	朝代
1	那公孙楚有个 [从] 兄，叫做公孙黑，官居上大夫之职。		《初刻拍案惊奇》__元明
2	官人若肯俯 [从] ，便是救人一命。”		《初刻拍案惊奇》__元明
3	只说 [从] 幼中表约为婚姻，近因我羁滞徽州，妹夫就赖婚改适，要官府断与我儿便了。		《初刻拍案惊奇》__元明
4	我与你同是徽州人，又是亲眷，说道 [从] 幼结儿女姻，也是容易信的。		《初刻拍案惊奇》__元明
5	太守教义民官接了状词， [从] 头看道：		《初刻拍案惊奇》__元明
6	那二人听得，便怒 [从] 心上起，恶向胆边生。		《初刻拍案惊奇》__元明
7	徐公道：“苟可效力，敢不 [从] 命？		《初刻拍案惊奇》__元明
8	唤进 [从] 人，谢酒乘轿而去。		《初刻拍案惊奇》__元明
9	王生闻得此言，一发怒 [从] 心上起，恶向胆边生，连忙教家僮扯将下去，一气打了五十多板，方才住手，自进去了。		《初刻拍案惊奇》__元明
10	知县接上， [从] 头看过。		《初刻拍案惊奇》__元明
11	毕竟又 [从] 别处谋害来诈骗王生的。”		《初刻拍案惊奇》__元明
12	周四道：“小人本意，只要诈取王生财物，不曾有心害他，乞老爷 [从] 轻拟罪。”		《初刻拍案惊奇》__元明
13	周四道：“小人本意，只要诈取王生财物，不曾有心害他，乞老爷 [从] 轻拟罪。”		《初刻拍案惊奇》__元明
14	话说元朝东平府有个富人，姓刘名 [从] 善，年六十岁，人皆以员外呼之。		《初刻拍案惊奇》__元明
15	一来他有个兄弟刘 [从] 道同妻宁氏，亡逝已过，遗下一个侄儿，小名叫做引孙，年二十五岁，读书知事。		《初刻拍案惊奇》__元明
16	妈妈道：“我起初是错见了， [从] 今以后，侄儿只在我家里住。		《初刻拍案惊奇》__元明
17	两月前，蒋监生有个女子，果然生得美貌，爷爷要奸宿他，那女子不 [从] ，逼迫不过，自缢死了。		《初刻拍案惊奇》__元明
18	周经历回话道：“不知这话 [从] 那里得来的？		《初刻拍案惊奇》__元明
19	朝廷就差忠兵官傅奇充兵马副元帅，两个游骑将军黎晓、来道明充先锋，领京军一万，协同山东巡抚都御史杨汝待克日进剿扑灭，钱粮兵马，除本省外，河南、山西两省，任 [从] 调用。		《初刻拍案惊奇》__元明
20	在舟中密密体察光景，晓得是船家之女，称叹道：“ [从] 来说老蚌出明珠，果有此事。”		《初刻拍案惊奇》__元明
21	近日周经历与膝县许知县、临海卫戴指挥诈降，我们去打他后面莱阳县，叫戴指挥、许知县 [从] 那青州府后面手出来，叫他首尾不能相顾，可获全胜。”		《初刻拍案惊奇》__元明
22	正好接着，两员将斗不到三合，赛儿不慌不忙，口里念起咒来，两面小皂旗招动，那阵黑气 [从] 寨里卷出来，把黎先锋人马罩得黑洞洞的，你我不看见。		《初刻拍案惊奇》__元明
23	 [从] 下午吃起，直吃到黄昏时候，一个个酩酊烂醉。		《初刻拍案惊奇》__元明
24	今已毙囹圄，宜 [从] 宽贷。		《初刻拍案惊奇》__元明
25	刚下口，只见酒 [从] 头顶涌出，把一个小道士冠儿涌得歪在头上，跌了下来。		《初刻拍案惊奇》__元明
26	李春郎出其不意，却待推逊，刘元普那里肯 [从] ？		《初刻拍案惊奇》__元明
27	便同法善 [从] 大门走进来。		《初刻拍案惊奇》__元明
28	那个人道：“ [从] 古道‘有奶便为娘’，我们见钟不打，倒去敛铜？		《初刻拍案惊奇》__元明
29	却晓得刘元普年已七十，王夫人年已四十， [从] 不曾生育的，为此都不敢下药。		《初刻拍案惊奇》__元明
30	冷笑道：“此泪 [从] 何而来？”		《初刻拍案惊奇》__元明
31	话说婚姻事皆系前定， [从] 来说月下老赤绳系足，虽千里之外，到底相合。		《初刻拍案惊奇》__元明
32	那无知男女，妄称神鬼，假说阴阳，一些影响没有的，也一般会哄动乡民，做张做势的， [从] 古来就有了。		《初刻拍案惊奇》__元明
33	玄宗要幸东洛，就对惠妃说道：“朕与卿同行，却叫叶罗二尊师、金刚三藏 [从] 去，试他斗法，以决两家胜负，何如？”		《初刻拍案惊奇》__元明
34	莫说你是奶子，便是公子，我也 [从] 不曾见有七十岁的养头生。		《初刻拍案惊奇》__元明
35	守官清格，立心刚正，凡事只 [从] 直道上做去。		《初刻拍案惊奇》__元明
36	玄宗欲 [从] 他学隐形之术，公远不肯，道：“陛下乃真人降化，保国安民，万乘之尊，学此小术何用？”		《初刻拍案惊奇》__元明
37	初时不解其意，仔细想将起来，必是闻得老夫虚名，欲待托妻寄子，却是 [从] 无一面，难叙衷情，故把空书藏着哑谜。		《初刻拍案惊奇》__元明
38	他只是一心不悔，只说：“无缘遇不着好的， [从] 古有这家法术，岂有做不来的事？		《初刻拍案惊奇》__元明
39	那郑公素慕刘公高义，求婚之事，无有不 [从] 。		《初刻拍案惊奇》__元明
