语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：仙
2022/7/10 23:12:09

序号	语句	书名	朝代
1	列姑射山在海河洲中，山上有神人焉，吸风饮露，不食五谷；心如渊泉，形 如处女；不偎不爱， [仙] 圣为之臣；不畏不怒，愿悫为之使；不施不惠，而物自足； 不聚不敛，而已无愆。		《列子》__春秋战国
2	迁，屡舞 [仙]  [仙] 。		《诗经》__周
3	能用此道，应得 [仙] 寿，男女之事，不可不勤也。		《老子想尔注》__春秋战国
4	而目此得 [仙] 寿获福。		《老子想尔注》__春秋战国
5	道人所以得 [仙] 寿者，不行尸行，与俗别异，故能成其尸，令为 [仙] 士也。		《老子想尔注》__春秋战国
6	所居之人皆 [仙] 圣之种；一日一夕飞相往来者， 不可数焉。		《列子》__春秋战国
7	 [仙] 圣毒之， 诉之于帝。		《列子》__春秋战国
8	帝恐流于西极，失群 [仙] 圣之居，乃命禺强使巨鳌十五举首而戴之。		《列子》__春秋战国
9	员峤二山流于 北极，沈于大海， [仙] 圣之播迁者巨亿计。		《列子》__春秋战国
10	何以知此道今端有，观古得 [仙] 寿者悉行之，以得知今俗有不绝也。“		《老子想尔注》__春秋战国
11	能以古 [仙] 寿若喻，今自勉厉守道真，即得道纲纪也。		《老子想尔注》__春秋战国
12	古之 [仙] 士，能守信微妙，与天相通，深不可识。		《老子想尔注》__春秋战国
13	得 [仙] 之士，但贵道言，故辄成功事遂也。“		《老子想尔注》__春秋战国
14	我， [仙] 士也。		《老子想尔注》__春秋战国
15	知道意，贱死贵 [仙] ，竟行忠孝，质朴悫端，以臣为名，皆忠相类不别。		《老子想尔注》__春秋战国
16	孝其行，不得 [仙] 寿，故自至诚。		《老子想尔注》__春秋战国
17	不因本而章篇自揆，不能得道，言先为身；不劝民真道可得 [仙] 寿，修善自勤，反言 [仙] 自有骨录；非行所臻，云无生道，道书欺人，此乃罪盈三千，为大恶人。		《老子想尔注》__春秋战国
18	会不能忠孝至诚感天，民治身不能 [仙] 寿，佐君不能致太平，民用此不息，倍城邑虚空，是故绝诈圣耶知，不绝真圣道知也。“		《老子想尔注》__春秋战国
19	 [仙] 王士与俗人，同知畏死乐生，但所行异耳。		《老子想尔注》__春秋战国
