语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：令
2022/11/4 21:54:23

序号	语句	书名	朝代
1	口里说，眼里看那何敬山，头上带一顶京骚玄缎帽，身上穿一领黑油绿绸直身，拖出了蜜 [令] 绫绸绵袄，绵绸衫子衬里，脚上漂白绵袜，玄色辽鞋，白面，三牙须，甚是齐整。		《风流悟》__清
2	只是哭得粉光惨淡，鬓影蓬松，低头坐在那里垂泪，看着好生 [令] 人不忍。		《儿女英雄》__清
3	第十二回          安大 [令] 骨肉叙天伦		《儿女英雄》__清
4	再看诗意，不独情意绸缪，而词采香艳风流，更 [令] 人爱慕。		《风流悟》__清
5	看了绣鞋儿，纤小异常，又 [令] 人爱杀。		《风流悟》__清
6	张老夫妻也帮着问他，他才指手画脚的向大家说道∶“方才这十三妹姐姐不是在庙里墙上题那两行《北新水 [令] 》的词儿吗？		《儿女英雄》__清
7	他偶然路见不平，叫 [令] 家人辈救护了他，又邀到家中，问其乡贯。		《风流悟》__清
8	第二回     沐皇恩特授河工 [令] 		《儿女英雄》__清
9	所以卑职也要商通了首县庄 [令] 、粮台黄丞，方可办		《官场现形》__清
10	胡华若道∶“大人这里文案上的周 [令] ，从		《官场现形》__清
11	那莫拿我，做做贼先立条约， [令] 众贼不许犯，犯者便要去奈何他。		《风流悟》__清
12	第四 十 回 史太君两宴大观园 金鸳鸯三宣牙牌 [令] 		《红楼梦(上)》__清
13	不言公子自己肚里猜度，又听那女子说∶“再讲到你这块石头的情节，不但可笑可怜，尤其 [令] 人可恼！		《儿女英雄》__清
14	说着便 [令] 人送女儿进去，自携了雨村来至书房中，小童献茶。		《红楼梦(上)》__清
15	士隐 [令] 家人霍启抱了英莲，去看社火花灯。		《红楼梦(上)》__清
16	雨村欢喜自不必言，又封百金赠与封肃，又送甄家娘子许多礼物， [令] 其且自过活，以待访寻女儿下落。		《红楼梦(上)》__清
17	冷子兴听得此言，便忙献计， [令] 雨村央求林如海，转向都中去央烦贾政。		《红楼梦(上)》__清
18	邢夫人让黛玉坐了，一面 [令] 人到外书房中请贾赦。		《红楼梦(上)》__清
19	一捻敢矜妃子靥（连），三旬如挹 [令] 公香（澹）		《风流悟》__清
20	退堂至密室， [令] 从人退去，只留这门子一人伏侍。		《红楼梦(上)》__清
21	雨村道：“方才何故不 [令] 发签？”		《红楼梦(上)》__清
22	门子道：“小人已想了个很好的主意在此：老爷明日坐堂，只管虚张声势，动文书发签拿人，凶犯自然是拿不来的，原告固是不依，只用将薛家族人及奴仆人等拿几个来拷问，小的在暗中调停， [令] 他们报个‘暴病身亡’，合族中及地方上共递一张保呈，老爷只说善能扶鸾请仙，堂上设了乩坛， [令] 军民人等只管来看。		《红楼梦(上)》__清
23	小人暗中嘱咐拐子， [令] 其实招，众人见乩仙批语与拐子相符，自然不疑了。		《红楼梦(上)》__清
24	雨村便疾忙修书二封与贾政并京营节度使王子腾，不过说“ [令] 甥之事已完，不必过虑”之言寄去。		《红楼梦(上)》__清
25	当时他父亲在日极爱此女， [令] 其读书识字，较之乃兄竟高十倍。		《红楼梦(上)》__清
26	故 [令] 今有世情莫遂，尤切不可恃己之才，造作绮语，污人名节，何也？		《风流悟》__清
27	一从二 [令] 三人木，哭向金陵事更哀。		《红楼梦(上)》__清
28	但情之所钟，不可泯灭，仍 [令] 作夫妻三十年，恶而后好，以了其缘。”		《风流悟》__清
29	先以他家上中下三等女子的终身册籍 [令] 其熟玩，尚未觉悟；故引了再到此处，遍历那饮馔声色之幻，或冀将来一悟，未可知也。”		《红楼梦(上)》__清
30	我们与 [令] 夫君，同是受冤之人。		《风流悟》__清
31	不过 [令] 汝领略此仙闺幻境之风光尚然如此，何况尘世之情景呢。		《红楼梦(上)》__清
32	原来近日贾母说孙女们太多，一处挤着倒不便，只留宝玉黛玉二人在这边解闷，却将迎春、探春、惜春三人移到王夫人这边房后三间抱厦内居住， [令] 李纨陪伴照管。		《红楼梦(上)》__清
33	况且里头有了 [令] 岳大人的照应，虽然暂时受点委屈，不久就可明白的。”		《官场现形》__清
34	我方才还同 [令] 婿议论海内的人物，提起一家有名的谊杰，不想问他，竟自不知底里。”		《儿女英雄》__清
35	真真 [令] 人起忻起羡也！		《儿女英雄》__清
36	你看他这折《北新水 [令] 》，虽是不文，一边出豁了你，一边摆脱了他，既定了这恶僧的罪名，又留下那地方官的出路。		《儿女英雄》__清
37	贾母 [令] 人另拿些肉果给他两个，又另赏钱。		《红楼梦(上)》__清
38	五祖欲求法嗣， [令] 诸僧各出一偈，上座神秀说道：‘身是菩提树，心如明镜台。		《红楼梦(上)》__清
39	这里凤姐勉强扎挣着，到了初一清早， [令] 人预备了车马，带着平儿并许多奴仆来至散花寺。		《红楼梦(下)》__清
40	原来那时侯有个“罚锾助饷助工”的功 [令] 。		《儿女英雄》__清
41	胡 [令] 当差勤奋，又是大人的吩咐，等司里回去，再对付一个好点的缺调剂他。”		《官场现形》__清
42	那元妃却自幸大观园回宫去后，便命将那日所有的题咏，命探春抄录妥协，自己编次优劣，又 [令] 在大观园勒石，为千古风流雅事。		《红楼梦(上)》__清
43	乌大人道∶“就是被参的安 [令] 。”		《儿女英雄》__清
44	如今乘着死神死煞及时 [令] 囚死，则为饿虎，定是伤人。		《红楼梦(下)》__清
45	榜上大书“太乙、混元、上清三境灵宝符演教大法师，行文敕 [令] 本境诸神到坛听用”。		《红楼梦(下)》__清
46	只听法器一停，上头 [令] 牌三下，口中念起咒来，那五方旗便团团散布。		《红楼梦(下)》__清
47	回来，连击 [令] 牌，将七星旗祭起，众道士将旗幡一聚接下，打妖鞭望空打了三下。		《红楼梦(下)》__清
48	只见法师叫众道士拿取瓶罐，将妖收下，加上封条，法师朱笔书符收起， [令] 人带回在本观塔下镇住，一面撤坛谢将。		《红楼梦(下)》__清
49	题本上去，亏得皇上的恩典，没有交部，便下旨意，说是：‘失察属员，重征粮米，苛虐百姓，本应革职，姑念初膺外任，不谙吏治，被属员蒙蔽，着降三级，加恩仍以工部员外上行走，并 [令] 即日回京。		《红楼梦(下)》__清
50	心里虽是如此，脸上却碍不过去，只得勉强 [令] 紫鹃扶起，口中让坐。		《红楼梦(下)》__清
51	又忙着替孙子做了一套及时应 [令] 的棉袍褂，预备开贺的那一天好穿了陪客。		《官场现形》__清
52	一会儿，有两个内监出来，说道：“贾府省亲的太太奶奶们着 [令] 入宫探问。		《红楼梦(下)》__清
53	爷们俱着 [令] 内宫门外请安，不得入见。”		《红楼梦(下)》__清
54	贾府中四乘轿子跟着小内监前行，贾家爷们在轿后步行跟着， [令] 众家人在外等候。		《红楼梦(下)》__清
55	宫女儿递过绢子，元妃一面拭泪，一面传谕道：“今日稍安， [令] 他们外面暂歇。”		《红楼梦(下)》__清
56	柳家的只好摔碗丢盘，自己咕唧了一回，蒸了一碗鸡蛋 [令] 人送去。		《红楼梦(中)》__清
57	胡华若回道∶“黄丞总办粮台，文 [令] 随营差遣，周 [令] 阅历最深，想委他总		《官场现形》__清
58	到家，又要安排明后日进宫，仍 [令] 照应齐集，不提。		《红楼梦(下)》__清
59	师爷说∶“朱守、王 [令] 均拟革，兄拟降同知，速设法。”		《官场现形》__清
60	说毕，只将宝玉一分 [令] 人拿着，同宝玉、环、兰前来见贾母。		《红楼梦(中)》__清
61	只要在 [令] 侄辈身上严紧些就是了。”		《红楼梦(下)》__清
62	想来不怕什么，只要嘱咐那边 [令] 侄，诸事留神就是了。”		《红楼梦(下)》__清
63	念毕，又摩弄了一回，说了些疯话，递与贾政道：“此物已灵，不可亵渎，悬于卧室槛上，除自己亲人外，不可 [令] 阴人冲犯。		《红楼梦(上)》__清
64	王夫人有言，不 [令] 年轻人受礼，恐折了福寿，故此皆不磕头。		《红楼梦(中)》__清
65	这恒王最喜女色，且公馀好武，因选了许多美女，日习武事， [令] 众美女学习战攻斗伐之事。		《红楼梦(中)》__清
66	宝玉在旁看着，只觉更好，不觉后悔：“不该 [令] 他抿上鬓去，也该留着，此时叫他替他抿上去。”		《红楼梦(中)》__清
67	众人中有说行这个 [令] 好的，又有说行那个 [令] 才好的。		《红楼梦(中)》__清
