语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：任
2022/7/10 23:05:46

序号	语句	书名	朝代
1	禹别九州，随山浚川， [任] 土作贡。		《尚书》__周
2	 [任] 贤勿贰，去邪勿疑。		《尚书》__周
3	公曰：“轻其所 [任] ，虽危何害？”		《国语》__春秋战国
4	改其制而不患其难，轻其 [任] 而不忧其危，君有异心，又焉得立？		《国语》__春秋战国
5	此公玉丹之所以见信、而卓齿之所以见 [任] 也。		《吕氏春秋》__春秋战国
6	 [任] 卓齿而信公玉丹，岂非以自雠邪？		《吕氏春秋》__春秋战国
7	贞廉忠信无害可 [任] 事者。		《墨子》__春秋战国
8	其亲之所见其见守之 [任] 。		《墨子》__春秋战国
9	凡为善难， [任] 善易。		《吕氏春秋》__春秋战国
10	人与骥俱走，则人不胜骥矣；居於车上而 [任] 骥，则骥不胜人矣。		《吕氏春秋》__春秋战国
11	壅塞之 [任] ，不在臣下，在於人主。		《吕氏春秋》__春秋战国
12	夫说以智通，而实以过悗；誉以高贤，而充以卑下；赞以洁白，而随以污德； [任] 以公法，而处以贪枉；用以勇敢，而堙以罢怯。		《吕氏春秋》__春秋战国
13	问而不诏，知而不为，和而不矜，成而不处，止者不行，行者不止，因刑而 [任] 之，不制於物，无肯为使，清静以公，神通乎六合，德耀乎海外，意观乎无穷，誉流乎无止。		《吕氏春秋》__春秋战国
14	柔远能迩，惇德允元，而难 [任] 人，蛮夷率服。”		《尚书》__周
15	惟彼君道，得命之情，故 [任] 天下而不强，此之谓全人。		《吕氏春秋》__春秋战国
16	 [任] 数		《吕氏春秋》__春秋战国
17	三曰：凡官者，以治为 [任] ，以乱为罪。		《吕氏春秋》__春秋战国
18	对曰：“吾闻之，不厚其栋，不能 [任] 重。		《国语》__春秋战国
19	夫苦成叔家欲 [任] 两国而无大德，其不存也，亡无日矣。		《国语》__春秋战国
20	去三者不 [任] 则治，三者 [任] 则乱。”		《吕氏春秋》__春秋战国
21	闻畏而往，闻丧而还，苟芈姓实嗣，其谁代之 [任] 丧？		《国语》__春秋战国
22	事其君而 [任] 其政，其谁由己贰？		《国语》__春秋战国
23	下本不当 [任] 厚事，故不如是，不足以塞咎也。		《周易》__周
24	令五子皆 [任] 其事，以受令於管子。		《吕氏春秋》__春秋战国
25	管子，人臣也，不 [任] 己之不能，而以尽五子之能，况於人主乎？		《吕氏春秋》__春秋战国
26	凡君也者，处平静， [任] 德化，以听其要。		《吕氏春秋》__春秋战国
27	若此则工拙愚智勇惧可得以故易官，易官则各当其 [任] 矣。		《吕氏春秋》__春秋战国
28	赵襄子之时，以 [任] 登为中牟令。		《吕氏春秋》__春秋战国
29	 [任] 人，则贤者毕力。		《吕氏春秋》__春秋战国
30	人主之患，必在 [任] 人而不能用之，用之而与不知者议之也。		《吕氏春秋》__春秋战国
31	释父兄与子弟，非疏之也； [任] 庖人钓者与仇人仆虏，非阿之也。		《吕氏春秋》__春秋战国
32	能 [任] 三丈五尺之城以上。		《墨子》__春秋战国
33	尉必取有重厚忠信可 [任] 事者。		《墨子》__春秋战国
34	天下之地，方千里以为国，所以极治 [任] 也。		《吕氏春秋》__春秋战国
35	良马难乘然可以 [任] 重致远。		《墨子》__春秋战国
36	先王制土，籍田以力，而砥其远迩；赋里以入，而量其有无； [任] 力以夫，而议其老幼。		《国语》__春秋战国
37	“令夫商，群萃而州处，察其四时，而监其乡之资，以知其市之贾，负、 [任] 、担、荷，服亲、轺马，以周四方，以其所有，易其所无，市贱鬻贵，旦暮从事于此，以饬其子弟，相语以利，相示以赖，相陈以知贾。		《国语》__春秋战国
38	变化应来而皆有章，因性 [任] 物而莫不宜当，彭祖以寿，三代以昌，五帝以昭，神农以鸿。		《吕氏春秋》__春秋战国
39	意者恭节而人犹战， [任] 不在贵者矣。		《吕氏春秋》__春秋战国
40	 [任] 士损已而益所为也。		《墨子》__春秋战国
41	小敛大 敛，祭服不倒，皆左礻 [任] 结绞不纽。		《礼记》__春秋战国
42	人有 [任] 臣不亡者，臣亡，庄白决之， [任] 者无罪。		《吕氏春秋》__春秋战国
43	王乃命有司大令于国曰：“苟 [任] 戎者，皆造于国门之外。”		《国语》__春秋战国
44	 [任] 功，则民少言； [任] 善，则民多言。		《商君书》__春秋战国
45	是故明王 [任] 法去私，而国无隙蠹矣。		《商君书》__春秋战国
46	夫倍法度而 [任] 私议，皆不知类者也。		《商君书》__春秋战国
47	是故先王知自议誉私之不可 [任] 也，故立法明分，中程者赏之，毁公者诛之。		《商君书》__春秋战国
48	其 [任] 举有如此者。		《礼记》__春秋战国
49	古我先王，亦惟图 [任] 旧人共政。		《尚书》__周
50	迟 [任] 有言曰：‘有惟求旧，器非求旧，惟新。		《尚书》__周
51	其于父兄大臣也，听其言也必使以罚 [任] 于后，不令妄举。		《韩非子》__春秋战国
52	入使民属于农，出使民壹于战，故圣人之治也，多禁以止能， [任] 力以穷诈。		《商君书》__春秋战国
53	九四居上， [任] 重者也，而下应初六之阴，则不胜其 [任] 矣。		《周易》__周
54	夫治国舍势而 [任] 说说，则身修而功寡。		《商君书》__春秋战国
55	夫进而击赵不能取，退而攻韩弗能拔，则陷锐文卒勤于野战，负 [任] 之旅罢于内攻；则合群苦弱以敌而共二万乘，非所以亡赵之心也。		《韩非子》__春秋战国
56	故君子操权一正以立术，立官贵爵以称之，论荣举功以 [任] 之，则是上下之称平。		《商君书》__春秋战国
57	故圣人之为治也，刑人无国位，戮人无官 [任] 。		《商君书》__春秋战国
58	今死矣而无大功，其 [任] 小故也。		《吕氏春秋》__春秋战国
59	 [任] 小者，不知大也。		《吕氏春秋》__春秋战国
