语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：休
2022/7/10 23:05:41

序号	语句	书名	朝代
1	于惟时求民主，乃大降显 [休] 命于成汤，刑殄在夏。		《尚书》__周
2	天惟式教我用 [休] ，简畀殷命，尹尔多方。		《尚书》__周
3	宋德隆盛，治教 [休] 明。		《大学中庸》__春秋战国
4	《管子·小匡》无“用”字）之，曰：“有人居我官，有功 [休] 德，惟慎端恪以待时，使民以劝，绥谤言，足以补官之不善政。”		《国语》__春秋战国
5	戒之用 [休] ，董之用威，劝之以九歌俾勿坏。”		《尚书》__周
6	帝曰：“俾予従欲以治，四方风动，惟乃之 [休] 。”		《尚书》__周
7	今若 [休] 忧于狄，以观晋国，且以监诸侯之为，其无不成。”		《国语》__春秋战国
8	秦誓曰：“若有一?臣，断断兮无他技，其心 [休]  [休] 焉，其如有容焉。		《大学中庸》__春秋战国
9	徯志以昭受上帝，天其申命用 [休] 。”		《尚书》__周
10	宋德隆盛，治教 [休] 明。		《大学中庸》__春秋战国
11	钦若先王成烈，以 [休] 于前政。”		《尚书》__周
12	我有大事， [休] ？		《尚书》__周
13	天 [休] 于宁王，兴我小邦周，宁王惟卜用，克绥受兹命。		《尚书》__周
14	天亦惟用勤毖我民，若有疾，予曷敢不于前宁人攸受 [休] 毕！”		《尚书》__周
15	天亦惟 [休] 于前宁人，予曷其极卜？		《尚书》__周
16	秦誓曰：“若有一个臣，断断兮无他技，其心 [休]  [休] 焉，其如有容焉。		《大学中庸》__春秋战国
17	自庶人以下，明而动，晦而 [休] ，无日以怠。		《国语》__春秋战国
18	曰 [休] 征；曰肃、时雨若；曰乂，时旸若；曰晰，时燠若；曰谋，时寒若；曰圣，时风若。		《尚书》__周
19	下民祇若，万邦咸 [休] 。		《尚书》__周
20	今伯父有蛮、荆之虞，礼世不续，用命孤礼佐周公，以见我一二兄弟之国，以 [休] 君忧。		《国语》__春秋战国
21	予惟曰：“汝劼毖殷献臣、侯、甸、男、卫，矧太史友、内史友、越献臣百宗工，矧惟尔事服 [休] ，服采，矧惟若畴，圻父薄违，农夫若保，宏父定辟，矧汝，刚制于酒。		《尚书》__周
22	允升于大猷，惟予一人膺受多福，其尔之 [休] ，终有辞于永世。”		《尚书》__周
23	我不敢知曰厥基永孚于 [休] 。		《尚书》__周
24	我受命于疆惟 [休] ，亦大惟艰。		《尚书》__周
25	’天 [休] 兹至，惟时二人弗戡。		《尚书》__周
26	笃棐时二人，我式克至于今日 [休] ？		《尚书》__周
27	《传》所谓“协于上下，以承天 [休] ”者也。		《周易》__周
28	子妇有勤劳之事，虽甚爱之，姑纵之，而宁数 [休] 之。		《礼记》__春秋战国
29	说拜稽首曰：“敢对扬天子之 [休] 命。”		《尚书》__周
30	惟新陟王毕协赏罚，戡定厥功，用敷遗后人 [休] 。		《尚书》__周
31	故出战而强、入 [休] 而富者，王也。		《商君书》__春秋战国
32	君罔以辩言乱旧政，臣罔以宠利居成功，邦其永孚于 [休] 。”		《尚书》__周
33	皇天眷佑有商，俾嗣王克终厥德，实万世无疆之 [休] 。”		《尚书》__周
34	朕承王之 [休] 无斁。”		《尚书》__周
35	凡我造邦，无従匪彝，无即慆淫，各守尔典，以承天 [休] 。		《尚书》__周
36	会有一欲，则北至大夏，南至北户，西至三危，东至扶木，不敢乱矣；犯白刃，冒流矢，趣水火，不敢却也；晨寤兴，务耕疾庸，巽为烦辱，不敢 [休] 矣。		《吕氏春秋》__春秋战国
37	反归， [休] 兵数年。		《韩非子》__春秋战国
38	后克圣，臣不命其承，畴敢不祗若王之 [休] 命？”		《尚书》__周
39	天 [休] 震动，用附我大邑周。		《尚书》__周
40	癸亥，陈于商郊，俟天 [休] 命。		《尚书》__周
41	 [休] 兹知恤，鲜哉！		《尚书》__周
42	管仲老，不能用事， [休] 居于家。		《韩非子》__春秋战国
43	王拜手稽首曰：“公不敢不敬天之 [休] ，来相宅，其作周配， [休] ！		《尚书》__周
44	公既定宅，伻来，来，视予卜， [休] 恒吉。		《尚书》__周
45	公其以予万亿年敬天之 [休] 。		《尚书》__周
46	曰其自时中乂，万邦咸 [休] ，惟王有成绩。		《尚书》__周
47	曰明禋，拜手稽首 [休] 享。		《尚书》__周
48	 [休] 居不听，则气不淫；行作不顾，则意必壹。		《商君书》__春秋战国
49	虽畏勿畏，虽 [休] 勿 [休] 。		《尚书》__周
50	故兵出，粮给而财有余；兵 [休] ，民作而畜长足。		《商君书》__春秋战国
51	昧昧我思之，如有一介臣，断断猗无他技，其心 [休]  [休] 焉，其如有容。		《尚书》__周
52	天其以予乂民，朕梦协朕卜，袭于 [休] 祥，戎商必克。		《尚书》__周
53	统承先王，修其礼物，作宾于王家，与国咸 [休] ，永世无穷。		《尚书》__周
54	往哉惟 [休] ，无替朕命。”		《尚书》__周
55	惟王受命，无疆惟 [休] ，亦无疆惟恤。		《尚书》__周
56	今 [休] ：王不敢后，用顾畏于民碞；王来绍上帝，自服于土中。		《尚书》__周
57	’今 [休] 。		《尚书》__周
58	天为高矣，而日月星辰云气雨露未尝 [休] 也；地为大矣，而水泉草木毛羽裸鳞未尝息也。		《吕氏春秋》__春秋战国
59	作德，心逸日 [休] ；作伪，心劳日拙。		《尚书》__周
60	吴起至於岸门，止车而 [休] ，望西河，泣数行而下。		《吕氏春秋》__春秋战国
61	惟时怙冒，闻于上帝，帝 [休] ，天乃大命文王。		《尚书》__周
62	蟋蟀在堂，役车其 [休] 。		《诗经》__周
63	好乐无荒，良士 [休]  [休] 。		《诗经》__周
64	故君人者，勞於索之，而 [休] 於使之。		《荀子》__春秋战国
65	人将 [休] ，吾将不敢 [休] ；人将卧，吾将不敢卧。”		《吕氏春秋》__春秋战国
66	其在老耄，则欲虑柔焉，体将 [休] 焉，物莫先焉；虽未及婴 孩之全，方于少壮，间矣。		《列子》__春秋战国
67	曰∶「老者不堪其勞而 [休] 也。」		《荀子》__春秋战国
68	不老者、 [休] 也， [休] 猶有安樂恬愉如是者乎？		《荀子》__春秋战国
69	受小球大球，为下国缀旒，何天之 [休] 。		《诗经》__周
70	乃考文叔，兴旧耆欲，作率庆士，躬恤卫国，其勤公家， 夙夜不解，民咸曰 [休] 哉！		《礼记》__春秋战国
71	民莫不逸，我独不敢 [休] 。		《诗经》__周
72	今人之性，饑而欲飽，寒而欲暖，勞而欲 [休] ，此人之情性也。		《荀子》__春秋战国
73	哿矣能言，巧言如流，俾躬处 [休] ！		《诗经》__周
74	《秦誓》曰：“若有一介臣，断断兮无他技，其心 [休]  [休] 焉，其如有容焉。		《礼记》__春秋战国
75	故崐尚賢使能，則主尊下安；貴賤有等則令行而不流；親疏有分，則施行而不悖；長幼崐有序，則事業捷成而有所 [休] 。		《荀子》__春秋战国
