语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：伪
2022/7/10 23:15:24

序号	语句	书名	朝代
1	一曰：凡人主必审分，然後治可以至，奸 [伪] 邪辟之涂可以息，恶气苛疾无自至。		《吕氏春秋》__春秋战国
2	上服性命之情，则理义之士至矣，法则之用植矣，枉辟邪挠之人退矣，贪得 [伪] 诈之曹远矣。		《吕氏春秋》__春秋战国
3	故辩而不当理则 [伪] ，知而不当理则诈。		《吕氏春秋》__春秋战国
4	诈 [伪] 之民，先王之所诛也。		《吕氏春秋》__春秋战国
5	素锦褚，加 [伪] 荒。		《礼记》__春秋战国
6	儒有衣冠中，动作慎，其大让如慢，小让如 [伪] ，大则如威，小则如愧。		《礼记》__春秋战国
7	是以左右近习之臣，知 [伪] 诈之不可以得安也，必曰：“我不去奸私之行，尽力竭智以事主，而乃以相与比周，妄毁誉以求安，是犹负千钧之重，陷于不测之渊而求生也，必不几矣。”		《韩非子》__春秋战国
8	“若实名贫， [伪] 名 富。”		《列子》__春秋战国
9	曰：“实无名，名无实；名者， [伪] 而已矣。		《列子》__春秋战国
10	昔者尧舜 [伪] 以天下让许由善卷， 而不失天下，郭祚百年。		《列子》__春秋战国
11	实、 [伪] 之辩，如此其省也。”		《列子》__春秋战国
12	百工不信，则器械苦 [伪] ，丹漆染色不贞。		《吕氏春秋》__春秋战国
13	商丘开信 [伪] 物犹不逆，况彼我皆诚哉？		《列子》__春秋战国
14	学者成俗，则民舍农从事于谈说，高言 [伪] 议。		《商君书》__春秋战国
15	故审得失有法度之制者，加以群臣之上，则主不可欺以诈 [伪] ；审得失有权衡之称者，以听远事，则主不可欺以天下之轻重。		《韩非子》__春秋战国
16	18.大道废有仁义；慧智出有大 [伪] ；六亲不和有孝慈；国家昏乱有忠臣。		《老子》__春秋战国
17	恭俭惟德，无载尔 [伪] 。		《尚书》__周
18	人等当欲事师，当求善能知真道者，不当事耶 [伪] 伎巧耶知骄奢也。“		《老子想尔注》__春秋战国
19	道教人结精成神，今世间 [伪] 伎诈称道，讬黄帝、玄女、龚子、容成之文，相教从女不施。		《老子想尔注》__春秋战国
20	悉世间常 [伪] 伎，非真道也。		《老子想尔注》__春秋战国
21	世间常 [伪] 伎，指五藏以名一。		《老子想尔注》__春秋战国
22	人君欲爱民令寿考，治国令太平，当精心凿道意，教民皆令知道真，无令知 [伪] 道耶知也。“		《老子想尔注》__春秋战国
23	今世间 [伪] 伎，因缘真文，设诈巧言。		《老子想尔注》__春秋战国
24	又言道有户牖，在人身中，皆耶 [伪] 不可用，用之者大迷矣。		《老子想尔注》__春秋战国
25	今世间 [伪] 伎，指形名道，令有服色名字状貌长短，非也。		《老子想尔注》__春秋战国
26	悉耶 [伪] 耳。“		《老子想尔注》__春秋战国
27	世间常 [伪] 伎，不知常意，妄有指书，故悉凶。“		《老子想尔注》__春秋战国
28	是以不主智能而顺事治国患解大臣胜任也不言聪明而善人举奸 [伪] 诛视听者众也，		《管子》__春秋战国
29	智慧出，有大 [伪] 。”		《老子想尔注》__春秋战国
30	世间常 [伪] 伎称道教，皆为大 [伪] 不可用。		《老子想尔注》__春秋战国
31	以尽情 [伪] ，系辞焉以尽其言，变而通之以尽利，鼓之舞之以尽神。”		《周易》__周
32	则下虽有奸 [伪] 之心不敢试也，		《管子》__春秋战国
33	是故爱恶相攻而吉凶生，远近相取而悔吝生，情 [伪] 相感而利害生。		《周易》__周
34	彼智者知吾情 [伪] 为敌谋我则外难自是至矣，		《管子》__春秋战国
35	诚畅乎天地通于神明兄奸 [伪] 也，		《管子》__春秋战国
36	是故爱恶相攻而吉凶生，远近相取而悔吝生，情 [伪] 相感而利害生。		《周易》__周
37	内则用六戚四隐，外则用八观六验，人之情 [伪] 、贪鄙、美恶无所失矣。		《吕氏春秋》__春秋战国
38	子曰：“圣人立象以尽意，设卦以尽情 [伪] ，系辞焉以尽其言。		《周易》__周
39	于是有悖逆诈  [伪] 之心，有淫作乱之事。		《礼记》__春秋战国
40	天下纷错，上无明主，公侯无道德，则小人谗贼，贤人不用，圣人鼠匿，贪利诈 [伪] 者作，君臣相惑，土崩瓦解而相伐射，父子离散，乖乱反目，是谓萌牙戏罅。		《鬼谷子》__春秋战国
41	和顺积中而英华发外，唯乐不可以为 [伪] 。		《礼记》__春秋战国
42	穷本知变，乐之情也：著诚去 [伪] ，礼之经也。		《礼记》__春秋战国
43	是月也，命妇官染采，黼黻文章，必以法故，无或差忒，黄黑苍赤，莫不质良，勿敢 [伪] 诈，以给郊庙祭祀之服，以为旗章，以别贵贱等级之度。		《吕氏春秋》__春秋战国
44	司马说进三军之士而数庆郑曰：“夫《韩之誓》曰：失次犯令，死；将止不面夷，死； [伪] 言误众，死。		《国语》__春秋战国
45	衣冠无不中，故朝无奇僻之服；所言无不义，故下无 [伪] 上之报；身行顺，治事公，故国无阿党之义。		《晏子春秋》__春秋战国
46	奸 [伪] 贼乱贪戾之道兴，久兴而不息，民之雠之若性。		《吕氏春秋》__春秋战国
47	诈 [伪] 之道，虽今偷可，後将无复，非长术也。”		《吕氏春秋》__春秋战国
48	质浩然固以安， [伪] 蔓然乱以烦，虽欲改之中色，弗听。		《逸周书》__春秋战国
49	“五曰：民生则有阴有阳，人多隐其情、饰其 [伪] ，以攻其名。		《逸周书》__春秋战国
50	小施而好德，小让而争大，言愿以为质， [伪] 爱以为忠，尊其得以改其名，如此，隐于仁贤者也。		《逸周书》__春秋战国
51	志色辞气，其人甚偷，进退多巧，就人甚数，辞不至，少其所不足，谋而不已，曰 [伪] 诈者也。		《逸周书》__春秋战国
52	若言不用，有难而死之，是妄死也；谋而不从，出亡而送之，是诈 [伪] 也。		《晏子春秋》__春秋战国
53	对曰：“世治政平，举事调乎天，藉敛和乎百姓；乐及其政，远者怀其德；四时不失序，风雨不降虐；天明象而赞，地长育而具物；神降福而不靡，民服教而不 [伪] ；治无怨业，居无废民，此圣人之得意也。”		《晏子春秋》__春秋战国
54	“从许子之道，则市贾不贰，国中无 [伪] ，虽使五尺之童适市，莫之或欺。		《孟子》__春秋战国
55	从许子之道，相率而为 [伪] 者也，恶能治国家？”		《孟子》__春秋战国
56	形一受其生，神一发其智，情 [伪] 出		《周易》__周
57	睹斯兮 [伪] 惑，心为兮隔错。		《楚辞》__春秋战国
58	曰：“然则舜 [伪] 喜者与？”		《孟子》__春秋战国
59	彼以爱兄之道来，故诚信而喜之，奚 [伪] 焉？”		《孟子》__春秋战国
60	仁可为也，义可亏也，礼相 [伪] 		《庄子》__春秋战国
61	若青蝇之 [伪] 质兮，晋骊姬之反情。		《楚辞》__春秋战国
62	为，于 [伪] 反。		《周易》__周
63	以五祀防万民之 [伪] 而教之中，以六乐防万民之情而教之和。		《周礼》__春秋战国
64	为，为之 [伪] 谓之失。		《庄子》__春秋战国
65	众谗人之嫉妒兮，被以不慈之 [伪] 名。		《楚辞》__春秋战国
66	君虽为仁义，几且 [伪] 哉！		《庄子》__春秋战国
67	以量度成贾而征价，以质剂结信而止讼，以贾民禁 [伪] 而除诈，以刑罚禁虣而去盗；以泉府同货而敛赊。		《周礼》__春秋战国
68	察其诈 [伪] 、饰行、儥慝者，而诛罚之，听其小治小讼而断之。		《周礼》__春秋战国
69	司徒老祁、虑癸 [伪] 废疾，使请于南蒯曰：“臣愿受盟而疾兴，若以君灵不死，请待间而盟。”		《左传》__春秋战国
70	被以不慈之 [伪] 名。		《楚辞》__春秋战国
71	民知力竭，则以 [伪] 继之。		《庄子》__春秋战国
72	日出多 [伪] ，士民安取不 [伪] 。		《庄子》__春秋战国
73	不足则 [伪] ，知不足则欺，财不足则盗。		《庄子》__春秋战国
74	华亥 [伪] 有疾，以诱群公子。		《左传》__春秋战国
75	师退，冉猛 [伪] 伤足而先。		《左传》__春秋战国
76	阳虎 [伪] 不见冉猛者，曰：“猛在此，必败。”		《左传》__春秋战国
77	猛逐之，顾而无继， [伪] 颠。		《左传》__春秋战国
78	辞， [伪] 有疾。		《左传》__春秋战国
79	六月，荀吴略东阳，使师 [伪] 籴负甲以息于昔阳之门外，遂袭鼓，灭之。		《左传》__春秋战国
80	吾 [伪] 固，而授之末，则可杀也。”		《左传》__春秋战国
81	贲，彼 [伪] 反。		《周易》__周
82	子 [伪] 不知，我将不堕。”		《左传》__春秋战国
83	子家子曰：“诸臣 [伪] 劫君者，而负罪以出，君止。		《左传》__春秋战国
84	为人使易以 [伪] ，为天使难以 [伪] 。		《庄子》__春秋战国
85	闻楚师将至，范文子欲反，曰：“我 [伪] 逃楚，可以纾忧。		《左传》__春秋战国
86	长鱼矫请无用众，公使清沸魋助之，抽戈结衽，而 [伪] 讼者。		《左传》__春秋战国
87	欲请蜀刀，问君贾几何，对曰率数百，武库日出兵而阳不知，挟 [伪] 干君，是五过也。		《汉书》__汉
88	浞因羿室，生浇及豷，恃其谗慝诈 [伪] 而不德于民。		《左传》__春秋战国
89	此夫鲁国之巧 [伪] 人孔丘非邪？		《庄子》__春秋战国
90	 [伪] 行，以迷惑天下之主，而欲求富贵焉。		《庄子》__春秋战国
91	 [伪] 辞，墨子兼爱，五纪六位，将有别乎？		《庄子》__春秋战国
92	；好言人之恶，谓之谗；析交离亲，谓之贼；称誉诈 [伪] 以败恶人，谓		《庄子》__春秋战国
93	惜哉，子之蚤湛于 [伪] 而晚闻大道也！”		《庄子》__春秋战国
94	今使民离实学 [伪] ，非所以视民		《庄子》__春秋战国
95	故删其 [伪] 辞，取正义著于篇。		《汉书》__汉
96	顺言曰政，顺政曰遂，遂 [伪] 曰奸，奸物在目，奸声在耳，耳目有疑。		《逸周书》__春秋战国
97	使乘车者左实右 [伪] ，以旗先，舆曳柴而従之。		《左传》__春秋战国
98	昔有林氏，上衡氏争权，林氏再战而胜，上衡氏 [伪] 义，弗克，俱身死国亡。		《逸周书》__春秋战国
99	国为 [伪] 巧，后宫饰女，荒田逐兽，田猎之所，游观是崇，台泉池在下，淫乐无既，百姓辛苦。		《逸周书》__春秋战国
100	诸背仁义之正道，不遵之法言，而盛称奇怪鬼神，广崇祭祀之方，求报无福之祠，及言世有仙人，服食不终之药，遥兴轻举，登遐倒景，览观县圃，浮游蓬莱，耕耘五德，朝种暮获，与山石无极，黄冶变化，坚冰淖溺，化色五仓之术者，皆奸人惑众，挟左道，怀诈 [伪] ，以欺罔世主。		《汉书》__汉
101	臣不敢言乞骸骨归于海滨，恐嫌于 [伪] 。		《汉书》__汉
102	后诏使丞相、御史问郡国上计长吏守丞以政令得失，或对言前胶东相成 [伪] 自增加，以蒙显赏，是后俗吏多为虚名云。		《汉书》__汉
103	臣敞非敢毁丞相也，诚恐群臣莫白，而长吏、守丞畏丞相指，归舍法令，各为私教，务相增加，浇淳散朴，并行 [伪] 貌，有名亡实，倾摇解怠，甚者为妖。		《汉书》__汉
104	假令京师先行让畔异路，道不拾遗，其实亡益廉贪贞淫之行，而以 [伪] 先天下，固未可也；即诸侯先行之， [伪] 声轶于京师，非细事也。		《汉书》__汉
105	宜令贵臣明饬长吏、守丞，归告二千石、举三老、孝弟、力田、孝廉、廉吏务得其人，郡事皆以义法令捡式，毋得擅为条教；敢挟诈 [伪] 以奸名誉者，必先受戮，以正明好恶。”		《汉书》__汉
106	使诸侯 [伪] 效乌余之封者，而遂执之，尽获之。		《左传》__春秋战国
107	载、谟、食、诈， [伪] 也。		《尔雅》__汉
108	如真不真， [伪] 不 [伪] ，则政不核。		《法言》__汉
109	曰：有人则作，无人则辍，之谓 [伪] 。		《法言》__汉
110	 [伪] 钱不蕃，民不相疑，二矣。		《汉书》__汉
111	夫不用命者，乱之原也；大奸猾者，贼之本也；铸 [伪] 金钱者，妨宝货之道也；骄奢逾制者，凶害之端也；漏泄省中及尚书事者，‘机事不密则害成’也；拜爵王庭，谢恩私门者，禄去公室，政从亡矣：凡此六条，国之纲纪。		《汉书》__汉
112	又曰：‘淑慎尔止，无载尔 [伪] 。		《左传》__春秋战国
113	予之南巡，必躬载耨，每县则耨，以劝南 [伪] 。		《汉书》__汉
114	殷因于夏尚质，周因于殷尚文，今汉家承周、秦之敝，宜抑文尚质，废奢长俭，表实去 [伪] 。		《汉书》__汉
115	险渎，居就，室 [伪] 山，室 [伪] 水所出，北至襄平入梁也。		《汉书》__汉
116	乃使魏寿余 [伪] 以魏叛者以诱士会，执其帑于晋，使夜逸。		《左传》__春秋战国
117	 [伪] 民背实而要名，奸夫犯害而求利，篡弑取国者为王公，圉夺成家者为雄桀。		《汉书》__汉
118	宵，坎血加书， [伪] 与子仪、子边盟者。		《左传》__春秋战国
119	予以空 [伪] 承乏东岳，忝素六载，数经祈祠，咨问长老贤通上泰山者云，谓玺处克石文昧难知也，殊无有金箧玉牒探筹之事。		《风俗通义》__汉
120	险阻艰难，备尝之矣；民之情 [伪] ，尽知之矣。		《左传》__春秋战国
121	周人之失，巧 [伪] 趋利，贵财贱义，高富下贫，憙为商贾，不好仕宦。		《汉书》__汉
122	既推独车，复表其上，为其饰 [伪] ，良亦昭晰。		《风俗通义》__汉
123	栾枝使舆曳柴而 [伪] 遁，楚师驰之。		《左传》__春秋战国
124	俗俭啬爱财，趋商贾，好訾毁，多巧 [伪] ，丧祭之礼文备实寡，然其好学犹愈于它俗。		《汉书》__汉
125	饰虚矜 [伪] ，诳世耀名，辞细即巨，终为利动。		《风俗通义》__汉
126	至於讦以为直，隐以为义，枉以为厚， [伪] 以为名，此众人之所致誉，而明主之所必讨。		《风俗通义》__汉
127	当内崩伤，外自矜饬，此为矫情， [伪] 之至也。		《风俗通义》__汉
128	赵王彭祖、列侯让等议曰：“安废法，行邪僻、诈 [伪] 心，以乱天下，营惑百姓，背叛宗庙。		《风俗通义》__汉
129	矫 [伪] 者出几十万石粟，赋六百余万钱，乘传而行郡国，此其亡行义之尤至者也。		《汉书》__汉
130	定铸钱 [伪] 黄金弃市律。		《汉书》__汉
