语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：住
2023/1/20 16:06:18

序号	语句	书名	朝代
1	其列 [住] 碎折靡弊而不反者。		《墨子》__春秋战国
2	宾客在庭者日百 [住] ， 庖厨之下，不绝烟火；堂庑之上，不绝声乐。		《列子》__春秋战国
3	海上之人有好沤鸟者，每旦之海上，从沤鸟游，沤鸟之至者百 [住] 而不止。		《列子》__春秋战国
4	武帝即位，令骞赍金币 [住] 。		《汉书》__汉
5	士鞅反，栾黡谓士匄曰：“余弟不欲 [住] ，而子召之。		《左传》__春秋战国
6	其所 [住] 者，兵发其下。		《汉书》__汉
7	遂烧杀德，悍，兵发 [住] 其西界，欲待吴、楚俱进，北使匈奴与连和。		《汉书》__汉
8	我能往，寇亦能 [住] 。		《左传》__春秋战国
9	汝南戴幼起，三年服竟，让财与兄，将妻子出客舍中 [住] ，官池田以耕种。		《风俗通义》__汉
10	周室多祸：晋败其师于贸戎；伐其郊；郑伤桓王；戎执其使；卫侯朔召不 [住] ，齐逆命而助朔；五大夫争权，三君更立，莫能正理。		《汉书》__汉
11	史记秦始皇帝三十六年，郑客从关东来，至华阴，望见素车白马从华山上下，知其非人，道 [住] 止而待之。		《汉书》__汉
12	家狭小，官属立车下，久 [住] 移时，天欲雨，主簿谓西曹诸掾曰：“不肯强谏，反雨立闾巷！”		《汉书》__汉
13	请以齐侯 [住] 。”		《淮南子》__汉
14	故至精之像，弗招而自来，不麾而自 [住] ，窈窈冥冥，不知为之者谁，		《淮南子》__汉
15	游于辩，修行者竞于 [住] 。		《淮南子》__汉
16	对曰：“病名多相类，不可知，故古圣人为之脉法，以起度量，立规矩，县权衡，案绳墨，调阴阳，别人之脉各名之，与天地相应，参合於人，故乃别百病以异之，有数者能异之，○索隐数音色 [住] 反。		《史记》__汉
17	又音 [住] ， [住] 谓留止也。		《史记》__汉
18	◇集解汉书音义曰：“ [住] 广陵以御敌。”		《史记》__汉
19	 [住] 建共者客耶？”		《史记》__汉
20	谓是建客邪，客说建 [住] 言遂乃失策，令建迁共。		《史记》__汉
21	□正义刘伯庄云：“赧是惭耻之甚，轻微危弱，寄 [住] 东西，足为惭赧，故号之曰赧。”		《史记》__汉
22	○索隐案：谓令从间道小路向前，望见陈馀军营即 [住] ，仍须隐山自蔽，勿令赵军知也。		《史记》__汉
23	人不卧之时，行坐言语，分明白黑，正行 [住] 立，文辞以为法度，此人神在也。		《太平经》__汉
24	王者深得天意，至道 [住] 佑之。		《太平经》__汉
25	 [住] 无所 [住] ，常无不在。		《太平经》__汉
26	会皆 [住] 死于不毛之地，无人之野，以戮其形；天之应人如影响，安得行恶而得善者乎?		《太平经》__汉
27	乃 [住] 受打，致使头破。”		《百喻经》__魏晋六朝
28	闻如是：一时佛 [住] 王舍城，在鹊封竹园，与诸大比丘、菩萨摩诃萨及诸八部三万六千人俱。		《百喻经》__魏晋六朝
29	王语臣言：“所以贪得仙人 [住] 者，能见地中一切伏藏。		《百喻经》__魏晋六朝
30	动如雷震， [住] 如岳立，攻如奔电，取如疾风，前轻後重，内实外虚。		《新论》__汉
31	是以小室宽容，一念多通，非心所测，非意所识，可谓 [住] 不思议解脱之力。		《宝藏论》__魏晋六朝
32	种种方便皆不 [住] 於形事者，若不 [住] 形事即不须一切言说，及以离微之义。		《宝藏论》__魏晋六朝
33	皆为依正所行 [住] 有所得故。		《宝藏论》__魏晋六朝
34	 [住] 真实际，名曰圣人。		《宝藏论》__魏晋六朝
35	故下神书，使 [住] 敕为施禁固既民不犯。		《太平经》__汉
36	以丹书绢二符，各异之，常带著所 [住] 之处，各四枚，移涉当拔收之以去，大神秘也。		《抱朴子》__魏晋六朝
