语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：何
2022/11/6 16:12:40

序号	语句	书名	朝代
1	 [何] 耶？		《钝吟杂录》__清
2	诗之不合于古人，余能正之也；乐之亡，如之 [何] 哉？		《钝吟杂录》__清
3	唐之五七言律长短句，以及今之南北词，皆乐也，其体亦 [何] 常之有？		《钝吟杂录》__清
4	今日作文，止效三祖，已为古而难行矣；若更为其不可解者，既不入乐， [何] 取于伶人语耶？		《钝吟杂录》__清
5	兴深文典，与苏、李诸作 [何] 异？		《钝吟杂录》__清
6	必如所云，则乐府之文，所谓床上安床，屋上架屋，古人已具， [何] 烦赘剩耶？		《钝吟杂录》__清
7	魏、晋所奏乐府，如《艳歌行》、《长歌行》、《短歌行》之类，大略是汉时歌谣，谓之曰“行”，本不知 [何] 解。		《钝吟杂录》__清
8	然则一个萍水相逢的人，我因 [何] 替他出这样的死力呢？		《儿女英雄》__清
9	我这里又不曾冲锋打仗，又不曾放炮开山，不过是我用刀砍了几个不成材的和尚， [何] 至于就把他吓的溺了呢？”		《儿女英雄》__清
10	听他道∶“一身的钮襻子被那和尚撕了个稀烂，敞胸开怀，赤身露体，走到人前，成 [何] 体面！”		《儿女英雄》__清
11	方才是性命吸呼之间， [何] 暇及此；如今是患退身安哪。		《儿女英雄》__清
12	只是我知道姑娘前来救我，却不知姑娘因 [何] 前来救我？		《儿女英雄》__清
13	那时，我的生死关头不过只争一线，若不亏姑娘前来搭救，再有十个安骥，只怕此时也到无 [何] 有之乡了。		《儿女英雄》__清
14	只是看看这四个人之中，一个是瘦怯怯的书生，一个是娇滴滴的女子，那张老夫妻虽然年纪大些，又是一对乡愚，经了这番大难，一个个吓得神魂不定，坐立不安，这上路的事情，一时从 [何] 商起？		《儿女英雄》__清
15	他两个既不曾到褚家去，褚家这话从 [何] 而来？		《儿女英雄》__清
16	忽一日，魏二早起行鱼去了，那 [何] 敬山因是还利日上了，不见他送来，拿了一本帐，走到后村，来到魏家道：“有人么？”		《风流悟》__清
17	一双梢眼儿，往外一睃，就道：“可是 [何] 阿叔么？”		《风流悟》__清
18	 [何] 敬山见了，连忙深深唱个肥喏道：“正是。”		《风流悟》__清
19	 [何] 敬山道：“昨日因不见他拿银子来，今日走过，带便来问声。”		《风流悟》__清
20	那桃花道：“因两日生意艰难些，所以不曾送得来，反复劳 [何] 阿叔拖步。		《风流悟》__清
