语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：佛
2022/7/10 23:11:07

序号	语句	书名	朝代
1	阳货乱乎齐 [佛] 以中牟半径。		《墨子》__春秋战国
2	茀，力 [佛] 反。		《周易》__周
3	 [佛] 肸召，子欲往。		《论语》__春秋战国
4	’ [佛] 肸以中牟畔，子之往也，如之何？”		《论语》__春秋战国
5	 [佛] 时仔肩，示我显德行。		《诗经》__周
6	今之教者，呻其占毕，多其讯，言及于数，进而不顾其安，使人不由其诚， 教人不尽其材；其施之也悖，其求之也 [佛] 。		《礼记》__春秋战国
7	之说日新月盛，以至于老 [佛] 之徒出，则弥近理而大乱真矣。		《大学中庸》__春秋战国
8	详绝多所发明，然倍其师说而淫于老 [佛] 者，亦有之矣。		《大学中庸》__春秋战国
9	 [佛] 告☆陀和：有三昧名定意，菩萨常当守习持，不得复随余法，功德中最第一。		《佛说般舟》__汉
10	 [佛] 告☆陀和：有三昧名十方诸 [佛] 悉在前立，能行是法，汝之所问悉可得也。		《佛说般舟》__汉
11	云何行，便於此间见十方无数 [佛] 士，其中人民天龙鬼神及蠕动之类，善恶归趣皆了知？		《佛说般舟》__汉
12	云何行，心一等念十方诸 [佛] 悉现在前？		《佛说般舟》__汉
13	 [佛] 告☆陀和：菩萨欲疾得是定者，常立大信，如法行之则可得也，勿有疑想如毛发许，是定意法，名为菩萨超众行。		《佛说般舟》__汉
14	云何行，功立相满自致成 [佛] 威神无量，成 [佛] 境界庄严国士？		《佛说般舟》__汉
15	 [佛] 言：菩萨於此间国土，念阿弥陀 [佛] 专念故得见之，即问，持何法得生此国。		《佛说般舟》__汉
16	 [佛] 告☆陀和：我持是三女人以为喻，汝持是事为人说经，使解此慧，至不退转地无上正真道，若後得 [佛] 号曰善觉。		《佛说般舟》__汉
17	常独处  勿聚会  避恶人  近善友  亲明师  视如 [佛]   执其志  常柔弱		《佛说般舟》__汉
18	菩萨在三昧中立者，所见如是， [佛] 尔时说偈言：  心者不自知  有心不见心  心起想则痴  无心是涅盘		《佛说般舟》__汉
19	心见 [佛] ，心不自知心，心不自见心，心有想为痴心，无想是涅盘，是法无可乐者，设使念为空耳，无所有也。		《佛说般舟》__汉
20	心作 [佛] ，心自见，心是 [佛] 心， [佛] 心是我身。		《佛说般舟》__汉
