语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：佥
2023/1/20 16:04:38

序号	语句	书名	朝代
1	朕志先定，询谋 [佥] 同，鬼神其依，龟筮协従，卜不习吉。”		《尚书》__周
2	 [佥] 曰：“伯禹作司空。”		《尚书》__周
3	 [佥] 曰：“垂哉！”		《尚书》__周
4	 [佥] 曰：“益哉！”		《尚书》__周
5	’ [佥] 曰：“伯夷！”		《尚书》__周
6	 [佥] 曰：“於！		《尚书》__周
7	 [佥] 曰“何忧”，何不课而行之？		《楚辞》__春秋战国
8	群宾 [佥] 进曰：“上天降休。”		《逸周书》__春秋战国
9	 [佥] 、咸、胥，皆也。		《尔雅》__汉
10	博谋卿士， [佥] 曰天人同应，昭然著明。		《汉书》__汉
11	延问公侯卿大夫， [佥] 曰：‘宜奉如上天威命。		《汉书》__汉
12	 [佥] 曰伯禹，禹平水土”是也。		《风俗通义》__汉
13	水浊者鱼 [佥] ，令苛者民乱。		《淮南子》__汉
14	夫水浊则鱼 [佥] ，政苛则民乱。		《淮南子》__汉
15	 [佥] 曰才至，不怪其速也。		《北史》__魏晋六朝
16	是以兵革东西征伐，赋 [佥] 不增而用足。		《盐铁论》__汉
17	戊子，皇帝制诏大将军参录尚书事乘氏侯冀：“人谋龟从， [佥] 曰贞吉，敬从		《杂事密辛》__汉
18	以朔州是白道之冲，贼之咽喉，若不全，则并、肆危，选将镇捍， [佥] 议举穆。		《北史》__魏晋六朝
19	臣谓今既徙县崧瀍，皇居伊洛，宫阙府寺， [佥] 复故址，至于国学，岂宜舛错？		《北史》__魏晋六朝
20	群司百辟， [佥] 谐厥议。		《北史》__魏晋六朝
21	未辞而晋军顺流，西境不守，博简秉文经武之才，朝野之论， [佥] 然推君。		《抱朴子》__魏晋六朝
22	时用询谋， [佥] 曰：公昭考文公，格勋德于天地，丕济黔黎。		《北史》__魏晋六朝
23	群臣会议， [佥] 以为然。		《北史》__魏晋六朝
24	癸卯，发丧， [佥] 于宣德殿。		《北史》__魏晋六朝
25	 [佥] 言假称南伐，内外戒严。		《北史》__魏晋六朝
26	 [佥] 以州城之人，莫不劲勇，同类悉反，宜先收其器械。		《北史》__魏晋六朝
27	愿早还北京，以省诸州供帐之费，则南州免杂徭之烦，北都息分析之叹；洛京可以时就，迁者 [佥] 尔如归。		《北史》__魏晋六朝
28	僚属 [佥] 云，未若弃城俱去，更展规略。		《北史》__魏晋六朝
29	赫赫之威，振于下国；肃肃之称，著自京师；天下改目，贪暴 [佥] 手。		《北史》__魏晋六朝
30	禁此泉池，不专太官之御； [佥] 此匹帛，岂为后宫之资。		《北史》__魏晋六朝
31	及总统淮海，盛德日新，当璧之符，遐迩 [佥] 属。		《北史》__魏晋六朝
32	加以< [佥] 页>颐蹙頞，涕唾流沫，骋黄马之剧谈，纵碧鸡之雄辩，叙温燠则寒谷成暄，论严枯则春丛零叶，飞沉出其顾指，荣辱定其一言。		《梁书》__魏晋六朝
33	诂训假借之谊， [佥] 随文而解；音读楚、夏之声，并逐字而注。		《北史》__魏晋六朝
34	雍闾又表请婚， [佥] 议将许之。		《北史》__魏晋六朝
35	皇子昌薨， [佥] 谓王显失于医疗，承肇意旨。		《北史》__魏晋六朝
36	诏曰：“前贞威将军、镇北长史、广陵太守江革，才思通赡，出内有闻，在朝正色，临危不挠，首佐台铉，实允 [佥] 谐。		《梁书》__魏晋六朝
37	其所擢用，皆民誉也，时论 [佥] 谓得人。		《北史》__魏晋六朝
38	家徒四壁，无物 [佥] ，止有书数千卷而已。		《北史》__魏晋六朝
39	群下 [佥] 言跋世居此，祠冢犹存，或者能致斯变。		《北史》__魏晋六朝
40	公卿议者 [佥] 然，欲遣骑五千，并假署司马楚之、鲁轨、韩延之等，令诱引边人。		《北史》__魏晋六朝
41	崔灵恩 孔 [佥]  卢广 沈峻 太史叔明 孔子袪 皇侃		《梁书》__魏晋六朝
42	然比之于父， [佥] 云不逮，殆天所用资圣明也。”		《北史》__魏晋六朝
43	性拙朴无风采，及解经析理，甚有精致，京师旧儒咸称重之，助教孔 [佥] 尤好其学。		《梁书》__魏晋六朝
44	孔 [佥] ，会稽山阴人。		《梁书》__魏晋六朝
45	 [佥] 儒者，不长政术，在县无绩。		《梁书》__魏晋六朝
46	 [佥] 兄子元素，又善《三礼》，有盛名，早卒。		《梁书》__魏晋六朝
47	纪年号天正，与萧栋暗合， [佥] 曰“天”字“二人”也，“正”字“一止”也。		《梁书》__魏晋六朝
48	王瞻 王志 王峻 王暕子训 王泰 王份孙锡  [佥]  张充 柳恽蔡撙 江蒨		《梁书》__魏晋六朝
49	 [佥] 字公会，锡第五弟也。		《梁书》__魏晋六朝
50	山酋方善、谢稀聚徒依险，屡为民患， [佥] 潜设方略，率众平之，有诏褒美，颁示州郡。		《梁书》__魏晋六朝
51	又除宁远将军、南康内史，属卢循作乱，复转 [佥] 为安成内史，以镇抚之。		《梁书》__魏晋六朝
52	 [佥] 惮岨嶮，固以疾辞，因以黜免。		《梁书》__魏晋六朝
53	明元悼伤之，自小 [佥] 至葬，常亲临哀恸。		《北史》__魏晋六朝
54	众坐奇之， [佥] 曰：“异童子也。”		《三国志》__魏晋六朝
55	昔伊尹放太甲，霍光废昌邑，著在典籍， [佥] 以为善。		《三国志》__魏晋六朝
56	先是，民间 [佥] 言秀当见图，而定远猎，秀遂惊，夜将妻子亲兵数百人奔晋。		《三国志》__魏晋六朝
57	远近叹之， [佥] 曰：“此子英英，贾谊之后，莫之与京。”		《北史》__魏晋六朝
58	同 [佥] 推畴。		《三国志》__魏晋六朝
59	皇灵降瑞，人神告徵，诞惟亮采，师锡朕命， [佥] 曰尔度克协于虞舜，用率我唐典，敬逊尔位。		《三国志》__魏晋六朝
60	群公庶尹六事之人，外及将士，洎于蛮夷君长， [佥] 曰：‘天命不可以辞拒，神器不可以久旷，群臣不可以无主，万几不可以无统。		《三国志》__魏晋六朝
61	会诸军败，好事者乃推其意，疑牂羊谓吴，羖历谓魏，於是后人 [佥] 谓之隐者也。		《三国志》__魏晋六朝
62	于时天震地骇，崩山陨霜，阳精薄景，五纬错行，百姓呼嗟，万国悲伤，若丧考妣，（恩过慕）〔思慕过〕唐，擗踊郊野，仰想穹苍， [佥] 曰何辜，早世殒丧，呜呼哀哉！		《三国志》__魏晋六朝
63	合契河洛，动与道俱，天赞人和， [佥] 曰惟休。		《三国志》__魏晋六朝
64	亮出驻汉中，裔以射声校尉领留府长吏，常称曰：“公赏不遗远，罚不阿近，爵不可以无功取，刑不可以贵势免，此贤愚之所以 [佥] 忘其身者也。”		《三国志》__魏晋六朝
65	询于庶民，外及蛮夷君长， [佥] 曰‘天命不可以不答，祖业不可以久替，四海不可以无主’。		《三国志》__魏晋六朝
66	受遗阿衡，整武齐文，敷陈德教，理物移风，贤愚竞心， [佥] 忘其身。		《三国志》__魏晋六朝
67	正方受遗，豫闻后纲，不陈不 [佥] ，造此异端，斥逐当时，任业以丧。		《三国志》__魏晋六朝
68	非独惬于予情，谅 [佥] 感于君子。		《宋书》__魏晋六朝
69	越居中品， [佥] 曰宜哉。		《诗品》__魏晋六朝
70	拜子 [佥] 为左中郎，后为关中都督，景耀六年，又临危授命。		《三国志》__魏晋六朝
71	蜀记载晋武帝诏曰：“蜀将军傅 [佥] ，前在关城，身拒官军，致死不顾。		《三国志》__魏晋六朝
72	 [佥] 父肜，复为刘备战亡。		《三国志》__魏晋六朝
73	 [佥] 息著、募，后没入奚官，免为庶人。		《三国志》__魏晋六朝
74	师锡 [佥] 曰，焕乎钦明之诰，拔茅征吉，著于幽《贲》之爻。		《宋书》__魏晋六朝
75	淮军始到狄道，议者 [佥] 谓宜先讨定枹罕，内平恶羌，外折贼谋。		《三国志》__魏晋六朝
76	锺会攻围汉、乐二城，遣别将进攻关口，蒋舒开城出降，傅 [佥] 格斗而死。		《三国志》__魏晋六朝
77	汉晋春秋曰：蒋舒将出降，乃诡谓傅 [佥] 曰：“今贼至不击而闭城自守，非良图也。”		《三国志》__魏晋六朝
78	 [佥] 曰：“受命保城，惟全为功，今违命出战，若丧师负国，死无益矣。”		《三国志》__魏晋六朝
79	 [佥] 谓其战也，至阴平，以降胡烈。		《三国志》__魏晋六朝
80	烈乘虚袭城， [佥] 格斗而死，魏人义之。		《三国志》__魏晋六朝
81	先儒注述，其义 [佥] 同，而法兴以为《书》说四星，皆在卫阳之位，自在巳地，进失向方，退非始见，迂回经文，以就所执，违训诡情，此则甚矣。		《宋书》__魏晋六朝
82	次纳吉版文曰：“皇帝曰，咨某官某姓，人谋龟从， [佥] 曰贞吉，敬从典礼。		《宋书》__魏晋六朝
83	咸畜愤矣， [佥] 策战矣，称愿影从，谣言缗命。		《宋书》__魏晋六朝
84	是年春，虏攻悬瓠，太祖将大举北讨，朝士 [佥] 同，莫或异议。		《宋书》__魏晋六朝
85	至六月而京师征赋车徒，将讲众北垒，都鄙疑骇， [佥] 言衅作。		《宋书》__魏晋六朝
86	陛下以圣德玄一，思隆前美，顺通居方，导达物性，兴复儒肆， [佥] 与后生。		《宋书》__魏晋六朝
87	郡吏俞 [佥] 以家财买棺敛逸之等六丧，送致还都，葬毕乃归乡里。		《宋书》__魏晋六朝
88	今宠藉惟旧，举非尚德，恐无以提衡一隅， [佥] 允视听者也。		《宋书》__魏晋六朝
89	备惟否德，惧忝帝位，询于庶民，外及蛮夷君长， [佥] 曰天命不可以不答，祖业不可以久替，四海不可以无主，率土式望，在备一人。		《宋书》__魏晋六朝
90	于是群公卿士，百辟庶僚，黎献陪隶，暨于百蛮君长， [佥] 曰：‘皇天鉴下，求民之瘼，既有成命，固非克让所得距违。		《宋书》__魏晋六朝
91	是以群公卿士，亿兆夷人， [佥] 曰皇灵降监于上，晋朝款诚于下；天命不可以久淹，宸极不可以暂旷。		《宋书》__魏晋六朝
92	重舌之人九译， [佥] 稽首而来王。		《昭明文选》__魏晋六朝
93	是以群公卿士，亿兆夷人， [佥] 曰皇灵降鉴于上，晋朝款诚于下，天命不可以久淹，宸极不可以暂旷。		《宋书》__魏晋六朝
94	尚书曰：询谋 [佥] 同，鬼神其依，龟筮叶从。		《昭明文选》__魏晋六朝
95	孔安国曰：诸侯 [佥] 同，乃退以示弱。		《昭明文选》__魏晋六朝
96	 [佥] 曰休哉，宜翼汉邦。		《昭明文选》__魏晋六朝
97	蔡泽，山东之匹夫也，< [佥] 页>颐折頞，涕唾流沫，西揖强秦之相，搤其咽而亢其气，捬其背而夺其位，时也。		《昭明文选》__魏晋六朝
98	韦昭曰：曲上曰< [佥] 页>，欺甚切。		《昭明文选》__魏晋六朝
99	 [佥] 以为先民既没，而德音犹存者，亦赖之於见述也。		《昭明文选》__魏晋六朝
100	加以< [佥] 页>羌锦颐蹙頞，涕唾流沫，骋黄马之剧谈，纵碧鸡之雄辩，解嘲曰：蔡泽< [佥] 页>颐折頞，涕唾流沫，西揖强秦之相而夺其位，时也。		《昭明文选》__魏晋六朝
101	戒庶僚以夙会兮， [佥] 供职而并讶。		《昭明文选》__魏晋六朝
102	善曰：孔安国尚书传曰： [佥] ，皆也。		《昭明文选》__魏晋六朝
103	陆机赠潘岳诗曰： [佥] 曰吾生，明德惟允。		《昭明文选》__魏晋六朝
104	惟尔夙挺圭璋，生知孝敬，令德茂亲， [佥] 誉所集，启建大邦，实惟伦序，是用敬遵民瞻，锡此圭瑞。		《陈书》__隋唐五代
105	 [佥] 以百姓须主，万机难旷，皇灵眷命，非可谦拒。		《陈书》__隋唐五代
106	后主曰：“选众之举， [佥] 议所归，昔毛玠雅量清恪，卢毓心平体正，王蕴铨量得地，山涛举不失才，就卿而求，必兼此矣。		《陈书》__隋唐五代
107	若格以 [佥] 议，黄散之职，故须人门兼美，惟陛下裁之。”		《陈书》__隋唐五代
108	能识以来，耳目所见， [佥] 曰诡异，未之闻也。		《昭明文选》__魏晋六朝
109	 [佥] 言假称南伐，内外戒严，一则防黑獭不虞，二则可威吴楚。”		《北齐书》__隋唐五代
110	夫四海至公，天下为一，总民宰世，树之以君，既川岳启符，人神效祉，群公卿士，八方兆庶， [佥] 曰皇极乃顾于上，魏朝推进于下，天位不可以暂虚。		《北齐书》__隋唐五代
111	於是三事岳牧之寮， [佥] 尔而进曰：三事岳牧，已见上。		《昭明文选》__魏晋六朝
112	王敦等 [佥] 钱为婚，皆名士也。		《独异志》__隋唐五代
113	今中原丧乱，华裔无主，群后 [佥] 以九州之望无所依归，神祇岳渎罔所凭系，逼孤摄行大统，以一四海之心。		《晋书》__隋唐五代
114	然内外之意， [佥] 谓事轻责重，有违于常。		《晋书》__隋唐五代
115	雅 [佥] 谓前数骂辱，惧罪不敢降。		《晋书》__隋唐五代
116	人谋龟从， [佥] 曰贞吉，敬从典礼。		《晋书》__隋唐五代
117	且其检防转碎，征刑失实，故朝野之论， [佥] 谓驱动风俗，为弊已甚。		《晋书》__隋唐五代
118	初，帝以贵公子当品，乡里莫敢与为辈，求之州内，于是十二郡中正 [佥] 共举默。		《晋书》__隋唐五代
119	然宰司鼎臣，群黎士庶， [佥] 以为重威之式，有阙前王。		《晋书》__隋唐五代
120	实吾子少立德行，体议淹允，加以令地，优游自居， [佥] 曰之谈，咸以请远相许，至于此事，实有疑焉。		《晋书》__隋唐五代
121	论者 [佥] 谓为速。		《晋书》__隋唐五代
122	 [佥] 以光禄大夫毅，纯孝至素，著在乡闾。		《晋书》__隋唐五代
123	初谋元率， [佥] 难其人，龄石资名素浅，裕违众拔之，授以麾下之半。		《晋书》__隋唐五代
124	于是群公卿士，百辟庶僚，黎献陪隶，暨于百蛮君长， [佥] 曰：‘皇天鉴下，求人之瘼，既有成命，固非克让所得距违。		《晋书》__隋唐五代
