语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：使
2022/11/6 21:32:45

序号	语句	书名	朝代
1	人伦所系，风化攸关，恳乞天合明断， [使] 续前姻。		《初刻拍案惊奇》__元明
2	只缘择婿者，原乏知人之鉴，遂 [使] 图婚者，爰生速讼之奸。		《初刻拍案惊奇》__元明
3	原来人生最不可 [使] 性，况且这小人卖买，不过争得一二个钱，有何大事？		《初刻拍案惊奇》__元明
4	只因王生不该自己 [使] 性动手打他，所以到底为此受累。		《初刻拍案惊奇》__元明
5	王生道：“若得贤妻如此用心， [使] 我重见天日，我病体也就减几分了。		《初刻拍案惊奇》__元明
6	酒间千户对总管道：“小可既还公令郎了，岂可 [使] 令郎母子分离？		《初刻拍案惊奇》__元明
7	怎当得张郎惫赖，专一 [使] 心用腹，搬是造非，挑拨得丈母与引孙舅子，日逐吵闹。		《初刻拍案惊奇》__元明
8	不争你们 [使] 嫉妒心肠，却不把我父亲的后代绝了？		《初刻拍案惊奇》__元明
9	我若不在里头 [使] 些见识，保护这事，做了父亲的罪人，做了万代的骂名。		《初刻拍案惊奇》__元明
10	当初小梅姨姨有半年身孕，张郎 [使] 嫉妒心肠，要所算小梅。		《初刻拍案惊奇》__元明
11	君看项藉并刘季，一怒 [使] 人愁。		《初刻拍案惊奇》__元明
12	 [使] 心用腹污秽人家女眷，没有一个不减算夺禄，或是妻女见报，阴中再不饶过的。		《初刻拍案惊奇》__元明
13	每见贪酷小人，惟利是图，不过 [使] 这几家治下百姓卖儿贴妇，充其囊橐，此真狼心狗行之徒！		《初刻拍案惊奇》__元明
14	傅总兵慌忙 [使] 人请许知县、戴指挥到府，计议要破赛儿一事。		《初刻拍案惊奇》__元明
15	事毕，女子起身来，自掠了乱发，就与唐卿整了衣，说道：“辱君俯爱，冒耻仰承，虽然一霎之情，义坚金石，他日勿 [使] 剩蕊残葩，空随流水！”		《初刻拍案惊奇》__元明
16	朝廷升周经历做知州，戴指挥升都指挥，萧韶、陈鹦儿各授个巡检，许知县升兵备副 [使] ，各随官职大小，赏给金花银子表礼。		《初刻拍案惊奇》__元明
17	胡生把嘴唇向狄氏脸上做要亲的模样，狄氏就把脚尖儿勾他的脚，声唤 [使] 婢艳雪、卿云两人来扶了家主进去。		《初刻拍案惊奇》__元明
18	中 [使] 赍了到集贤院张果处，开读已毕，张果只是哈哈大笑，不肯谢恩。		《初刻拍案惊奇》__元明
19	中 [使] 看见王、萧二公在旁，因与他说天子要降公主的意思，叫他两个撺掇。		《初刻拍案惊奇》__元明
20	中 [使] 与二公大家相劝一番，张果只是笑不止，中 [使] 料道不成，只得去回复圣		《初刻拍案惊奇》__元明
21	况且两个有心人算一个无心人， [使] 婢又做了脚，便有些小形迹，也都遮饰过了。		《初刻拍案惊奇》__元明
22	一日吐番遣 [使] 进宝，函封甚固。		《初刻拍案惊奇》__元明
23	奏称：“内有机密，请陛下自开，勿 [使] 他人知之。”		《初刻拍案惊奇》__元明
24	惟有法善密奏道：“此是凶函，宣令番 [使] 自开。”		《初刻拍案惊奇》__元明
25	番 [使] 领旨，不知好歹，扯起函盖，函中驽发，番 [使] 中箭而死。		《初刻拍案惊奇》__元明
26	乃是番家见识，要害中华天子，设此暗机于函中，连番 [使] 也不知道，却被法善参透，不中暗算，反叫番 [使] 自着了道儿。		《初刻拍案惊奇》__元明
27	狄氏通知他道：“丈夫是不起床的，亦且 [使] 婢们做眼的多，只管放心来走，自不妨事。”		《初刻拍案惊奇》__元明
28	狄氏与两个 [使] 婢同声道：“自不曾见人走过，那里甚么胡生？”		《初刻拍案惊奇》__元明
29	果然是夜狄氏安顿胡生在别房，却叫两个 [使] 婢在床前相伴家主，自推不耐烦伏侍，图在别床安寝，撇了铁生径与胡生睡了一晚。		《初刻拍案惊奇》__元明
