语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：修
2022/7/10 23:02:37

序号	语句	书名	朝代
1	人生八岁，则自王公以下，至于庶人之子弟，皆入小学，而教之以洒扫、应对、进退之节，礼乐、射御、书数之文；及其十有五年，则自天子之元子、众子，以至公、卿、大夫、元士之适子，与凡民之俊秀，皆入大学，而教之以穷理、正心、 [修] 己、治人之道。		《大学中庸》__春秋战国
2	及周之衰，贤圣之君不作，学校之政不 [修] ，教化陵夷，风俗颓败，时则有若孔子之圣，而不得君师之位以行其政教，于是独取先王之法，诵而传之以诏后世。		《大学中庸》__春秋战国
3	极知僭踰，无所逃罪，然于国家化民成俗之意、学者 [修] 己治人之方，则未必无小补云。		《大学中庸》__春秋战国
4	告于众曰：“嗟予有众，圣有谟训，明征定保，先王克谨天戒，臣人克有常宪，百官 [修] 辅，厥后惟明明，每岁孟春，遒人以木铎徇于路，官师相规，工执艺事以谏，其或不恭，邦有常刑。”		《尚书》__周
5	古之欲明明德于天下者，先治其国；欲治其国者，先齐其家；欲齐其家者，先 [修] 其身；欲 [修] 其身者，先正其心；欲正其心者，先诚其意；欲诚其意者，先致其知；致知在格物。		《大学中庸》__春秋战国
6	既 [修] 太原，至于岳阳；覃怀厎绩，至于衡漳。		《尚书》__周
7	物格而后知至，知至而后意诚，意诚而后心正，心正而后身 [修] ，身 [修] 而后家齐，家齐而后国治，国治而后天下平。		《大学中庸》__春秋战国
8	!身 [修] 则家治矣。		《周易》__周
9	是故乡长退而 [修] 德进贤，桓公亲见之，遂使役官。		《国语》__春秋战国
10	六府孔 [修] ，庶土交正，厎慎财赋，咸则三壤成赋。		《尚书》__周
11	国子、高子退而 [修] 乡，乡退而 [修] 连，连退而 [修] 里，里退而 [修] 轨，轨退而 [修] 伍，伍退而 [修] 家。		《国语》__春秋战国
12	管子对曰：“ [修] 旧法，择其善于者而业用之；遂滋民，与无财，而敬百姓，则国安矣。”		《国语》__春秋战国
13	遂 [修] 旧法，择其善者而业用之；遂滋民与无财，而敬百姓。		《国语》__春秋战国
14	君若正卒伍， [修] 甲兵，则大国亦将正卒伍， [修] 甲兵，则难以速得志矣。		《国语》__春秋战国
15	水、火、金、木、土、谷，惟 [修] ；正德、利用、厚生、惟和。		《尚书》__周
16	慎乃有位，敬 [修] 其可愿，四海困穷，天禄永终。		《尚书》__周
17	五属大夫于是退而 [修] 属，属退而 [修] 县，县退而 [修] 乡，乡退而 [修] 卒，卒退而 [修] 邑，邑而退而 [修] 万。		《国语》__春秋战国
18	慎厥身， [修] 思永。		《尚书》__周
19	心有不存，则无以检其身，是以君子必察乎此而敬以直之，然后此心常存而身无不 [修] 也。		《大学中庸》__春秋战国
20	《象》曰：山上有水，蹇，君子以反身 [修] 德。		《周易》__周
21	所谓齐其家在 [修] 其身者：人之其所亲爱而辟焉，之其所贱恶而辟焉，之其所畏敬而辟焉，之其所哀矜而辟焉，之其所敖惰而辟焉。		《大学中庸》__春秋战国
22	五者，在人本有当然之则；然常人之情惟其所向而不加审焉，则必陷于一偏而身不 [修] 矣。		《大学中庸》__春秋战国
23	此谓身不 [修] 不可以齐其家。		《大学中庸》__春秋战国
24	身 [修] ，则家可教矣；孝、弟、慈，所以 [修] 身而教于家者也；然而国之所以事君事长使众之道不外乎此。		《大学中庸》__春秋战国
25	 [修] 五礼、五玉、三帛、二生、一死贽。		《尚书》__周
26	壶，颈  [修] 七寸，腹 [修] 五寸，口径二寸半，容斗五升。		《礼记》__春秋战国
27	今晋侯不量齐德之丰否，不度诸侯之势，释其闭 [修] ，而轻于行道，失其心矣。		《国语》__春秋战国
28	则必不能 [修] 舟车为器皿矣。		《墨子》__春秋战国
29	且夫耳目知巧固不足恃，惟 [修] 其数行其理为可。		《吕氏春秋》__春秋战国
30	道，谓居其位而 [修] 己治人之术。		《大学中庸》__春秋战国
31	与其涂道之 [修] 远粮食辍绝而不继。		《墨子》__春秋战国
32	养其神、 [修] 其德而化矣，岂必劳形愁弊耳目哉？		《吕氏春秋》__春秋战国
33	秀，皆入大学，而教之以穷理、正心、 [修] 己、治人之道。		《大学中庸》__春秋战国
34	及周之衰，贤圣之君不作，学校之政不 [修] ，教化陵夷，风俗颓败，时则有若孔子之圣，		《大学中庸》__春秋战国
35	然于国家化民成俗之意、学者 [修] 己治人之方，则未必无小补云。		《大学中庸》__春秋战国
36	古之欲明明德于天下者，先治其国；欲治其国者，先齐其家；欲齐其家者，先 [修] 其身；		《大学中庸》__春秋战国
37	欲 [修] 其身者，先正其心；欲正其心者，先诚其意；欲诚其意者，先致其知；致知在格物。		《大学中庸》__春秋战国
38	格而后知至，知至而后意诚，意诚而后心正，心正而后身 [修] ，身 [修] 而后家齐，家齐而后国		《大学中庸》__春秋战国
39	黄帝能成命百物，以明民共财，颛顼能 [修] 之。		《国语》__春秋战国
40	其以乘壶酒，束 [修] ，一犬赐人，若献人，则陈酒执 [修] 以将命，亦曰乘壶酒， 束 [修] ，一犬。		《礼记》__春秋战国
41	不刚不柔，厥德允 [修] 。		《尚书》__周
42	帝喾能序三辰以固民，尧能单均刑法以仪民，舜勤民事而野死，鲧障洪水而殛死，禹能以德 [修] 鲧之功，契为司徒而民辑，冥勤其官而水死，汤以宽治民而除其邪，稷勤百谷而山死，文王以文昭，武王去民之秽。		《国语》__春秋战国
43	笏、 书、 [修] 、苞苴、弓、茵、席、枕、几、、杖、琴、瑟、戈有刃者椟、荚、， 其执之皆尚左手。		《礼记》__春秋战国
44	君子察迩而迩 [修] 者也。		《墨子》__春秋战国
45	所谓齐其家在 [修] 其身者：人之其所亲爱而辟焉，之其所贱恶而辟焉，之其所畏敬而辟		《大学中庸》__春秋战国
46	此谓身不 [修] ，不可以齐其家。		《大学中庸》__春秋战国
47	 [修] 用之则万民被其利。		《墨子》__春秋战国
48	吾冀而朝夕 [修] 我曰：‘必无废先人。		《国语》__春秋战国
49	!除者， [修] 而聚之之谓。		《周易》__周
50	诸侯朝 [修] 天子之业命，昼考其国职，夕省其典刑，夜儆百工，使无☆淫，而后即安。		《国语》__春秋战国
51	则亦 [修] 其元永贞之德，而悔亡矣。		《周易》__周
52	今予命汝作大正，正于群仆侍御之臣，懋乃后德，交 [修] 不逮。		《尚书》__周
53	今吾道路 [修] 远，无会而归，与会而先晋，孰利？”		《国语》__春秋战国
54	《象》曰：“井甃，无咎”， [修] 井也。		《周易》__周
55	简厥 [修] ，亦简其或不 [修] 。		《尚书》__周
56	吾 [修] 令宽刑，施民所欲，去民所恶，称其善，掩其恶，求以报吴。		《国语》__春秋战国
57	惟文王尚克 [修] 和我有夏；亦惟有若虢叔，有若闳夭，有若散宜生，有若泰颠，有若南宫括。”		《尚书》__周
58	其下，民恶之，忧之，羞之； [修] 容而以言，耻食以上交，以避农战；外交以备，国之危也。		《商君书》__春秋战国
59	王命大夫曰：“食土不均，地之不 [修] ，内有辱于国，是子也；军士不死，外有辱，是我也。		《国语》__春秋战国
60	王播告之， [修] 不匿厥指。		《尚书》__周
61	问所欲而敬进之，柔色以温之，饣酏酒醴Ρ羹菽麦ナ稻黍粱秫唯所欲，枣 栗饴蜜以甘之，堇、{艹亘}、、榆、免、{蒿死}、氵 [修] 、氵随以滑之，脂膏以 膏之，父母舅姑必尝之而后退。		《礼记》__春秋战国
62	法古则后于时， [修] 今则塞于势。		《商君书》__春秋战国
63	今世强国事兼并，弱国务力守，上不及虞、夏之时，而下不 [修] 汤、武。		《商君书》__春秋战国
64	 [修] 守备，戒强敌，有蓄积，筑城池以守固。		《韩非子》__春秋战国
65	夫治国舍势而任说说，则身 [修] 而功寡。		《商君书》__春秋战国
66	段 [修] ，氐醢，脯羹，兔醢，麋肤，鱼醢，鱼脍，芥 酱，麋腥，醢，酱，桃诸，梅诸，卵盐。		《礼记》__春秋战国
67	牛 [修] 、鹿脯、田豕脯、麋脯、脯、麋鹿、田豕、？		《礼记》__春秋战国
68	《象》曰：洊雷，震，君子以恐惧 [修] 省。		《周易》__周
69	凡养老，有虞氏以燕礼，夏后氏以飨礼，殷人以食礼，周人 [修] 而兼用之。		《礼记》__春秋战国
70	六十岁制，七十时制，八十月制，九十日 [修] ，唯 绞纟今衾冒，死而后制。		《礼记》__春秋战国
71	尔交 [修] 予，罔予弃，予惟克迈乃训。”		《尚书》__周
72	惟学，逊志务时敏，厥 [修] 乃来。		《尚书》__周
73	惟斅学半，念终始典于学，厥德 [修] 罔觉。		《尚书》__周
74	故圣人之为国也，不法古，不 [修] 今，因世而为之治，度俗而为之法。		《商君书》__春秋战国
75	然能及其震未及其身之时，恐惧 [修] 省，则可		《周易》__周
76	是上法古而得其塞，下 [修] 令而不时移，而不明世俗之变，不察治民之情，故多赏以致刑，轻刑以去赏。		《商君书》__春秋战国
77	君尊则令行，官 [修] 则有常事，法制明则民畏刑。		《商君书》__春秋战国
78	其 [修] 士不能以货赂事人，恃其精洁而更不能以枉法为治，则 [修] 智之士不事左右、不听请谒矣。		《韩非子》__春秋战国
79	治辩之功制于近习，精洁之行决于毁誉，则 [修] 智之吏废，则人主之明塞矣。		《韩非子》__春秋战国
80	伊尹拜手稽首曰：“ [修] 厥身，允德协于下，惟明后。		《尚书》__周
81	遇民不 [修] 法，则问法官，法官即以法之罪告之，民即以法官之言正告之吏。		《商君书》__春秋战国
82	先王肇 [修] 人纪，従谏弗咈，先民时若。		《尚书》__周
83	大室屋坏者，有坏道也，讥不 [修] 也。		《榖梁传》__春秋战国
84	及其游 也，虽山川阻险，途径 [修] 远，无不必之，犹人之行咫步也。		《列子》__春秋战国
85	张孟谈曰：“臣闻圣人之治，藏于民，不藏于府库，务 [修] 其教，不治城郭。		《韩非子》__春秋战国
86	尧禅天下，虞舜受之，作为食器，斩山木而财子，削锯 [修] 其迹，流漆墨其上，输之于宫以为食器。		《韩非子》__春秋战国
87	《诗》、《书》、礼、乐、善、 [修] 、仁、廉、辩、慧，国有十者，上无使守战。		《商君书》__春秋战国
88	汤、武之王也，不 [修] 古而兴；殷、夏之灭也，不易礼而亡。		《商君书》__春秋战国
89	君 [修] 赏罚以辅壹教，是以其教有所常，而政有成也。		《商君书》__春秋战国
90	 [修] 教明谕，国道也。		《榖梁传》__春秋战国
91	平而 [修] 戎事，非正也。		《榖梁传》__春秋战国
92	人君不能服强敌、破大国也，则 [修] 守备，便地形，抟民力，以待外事，然后患可以去，而王可致也。		《商君书》__春秋战国
93	上以名举之，不知其名，复 [修] 其形。		《韩非子》__春秋战国
94	是以明君 [修] 政作壹，去无用，止浮学事淫之民，壹之农，然后国家可富，而民力可抟也。		《商君书》__春秋战国
95	谨 [修] 所事，待命于天，毋失其要，乃为圣人。		《韩非子》__春秋战国
96	孔子闻之曰：“夫 [修] 之於庙堂之上，而折冲乎千里之外者，其司城子罕之谓乎！”		《吕氏春秋》__春秋战国
97	 [修] 汝所以，而后载言其上。”		《列子》__春秋战国
98	为人臣者，譬之若手，上以 [修] 头，下以 [修] 足；清暖寒热，不得不救；镆铘传体，不敢弗搏慼，无私贤哲之臣，无私事能之士。		《韩非子》__春秋战国
99	崇信奸回，放黜师保，屏弃典刑，囚奴正士，郊社不 [修] ，宗庙不享，作奇技淫巧以悦妇人。		《尚书》__周
100	見善， [修] 然必以自存也；見不善，愀然必以自省也。		《荀子》__春秋战国
101	统承先王， [修] 其礼物，作宾于王家，与国咸休，永世无穷。		《尚书》__周
102	尔惟践 [修] 厥猷，旧有令闻，恪慎克孝，肃恭神人。		《尚书》__周
103	志意 [修] 則驕富貴，道義重則輕王公；內省而外物輕矣。		《荀子》__春秋战国
104	然夫士欲獨 [修] 其身，不以得罪於比俗之人也。		《荀子》__春秋战国
105	人污而 [修] 之者，非案污而 [修] 之之謂也，去污而易之以 [修] 。		《荀子》__春秋战国
106	故去亂而非治亂也，去污而非 [修] 污也。		《荀子》__春秋战国
107	治之為名，猶曰君子為治而不為亂，為 [修] 而不為污也。		《荀子》__春秋战国
108	惟曰：若稽田，既勤敷菑，惟其陈 [修] ，为厥疆畎。		《尚书》__周
109	共伯和 [修] 其行，好贤仁，而海内皆以来为稽矣。		《吕氏春秋》__春秋战国
110	惟乃丕显考文王，克明德慎罚；不敢侮鳏寡，庸庸，祗祗，威威，显民，用肇造我区夏，越我一、二邦以 [修] 我西土。		《尚书》__周
111	夫天生蒸民，有所以取之∶志意致 [修] ，德行致厚，智慮致明， 是天子之所以取天下也。		《荀子》__春秋战国
112	志行 [修] ，臨官治，上則能順上，下則能保其職，是士大夫之所以取田邑也。		《荀子》__春秋战国
113	堯禹者，非生而具者也，夫起於變故，成乎 [修] 為，待盡而後備者也。		《荀子》__春秋战国
114	雪霜雨露时，则万物育矣，人民 [修] 矣，疾病妖厉去矣。		《吕氏春秋》__春秋战国
115	其流長矣，其溫厚矣，其功盛姚遠矣，非順孰 [修] 為之君子，莫之能知也。		《荀子》__春秋战国
116	汝多 [修] ，扞我于艰，若汝，予嘉。”		《尚书》__周
117	遇君則 [修] 臣下之義，遇鄉則 [修] 長幼之義，遇長則 [修] 子弟之義，遇友則 [修] 禮節辭讓之義，遇賤而少者則 [修] 告導寬容之義。		《荀子》__春秋战国
118	故君子恥不 [修] ，不恥見污；恥不信，不恥不見信；恥不能，不恥不見用。		《荀子》__春秋战国
119	鄉方略，審勞佚，畜積 [修] 鬭，而能顛倒其敵者也。		《荀子》__春秋战国
120	 [修] 之於身其德乃真。		《老子》__春秋战国
121	 [修] 之於家其		《老子》__春秋战国
122	 [修] 之於乡其德乃长。		《老子》__春秋战国
123	 [修] 之於邦其德乃丰。		《老子》__春秋战国
124	 [修] 之於天下其德乃普。		《老子》__春秋战国
125	志意定乎內，禮節 [修] 乎朝，法則度量正乎官，忠信愛利形乎下。		《荀子》__春秋战国
126	故君子務 [修] 其內，而讓之於外；務積德於身，而處之以遵道。		《荀子》__春秋战国
127	 [修] 百王之法，若辨白黑；應當時之變，若數一二；行禮要節而安之，若生四枝；要時立功之巧，若詔四時；平正和民之善，億萬之眾而摶若一人∶如是，則可謂聖人矣。		《荀子》__春秋战国
