语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：俱
2023/1/20 16:04:49

序号	语句	书名	朝代
1	上、下 [俱] 上声。		《周易》__周
2	人与骥 [俱] 走，则人不胜骥矣；居於车上而任骥，则骥不胜人矣。		《吕氏春秋》__春秋战国
3	人主好治人官之事，则是与骥 [俱] 走也，必多所不及矣。		《吕氏春秋》__春秋战国
4	具， [俱] 也。		《大学中庸》__春秋战国
5	 [俱] 有法而异或木或石。		《墨子》__春秋战国
6	异于光鉴览景当 [俱] 就。		《墨子》__春秋战国
7	不可偏去而二说在见与 [俱] 一与。		《墨子》__春秋战国
8	物一体也说在 [俱] 一惟是。		《墨子》__春秋战国
9	非其身之所种则不食，非其夫人之所织则不衣，十年不收于国，民 [俱] 有三年之食。		《国语》__春秋战国
10	古之善用兵者，因天地之常，与之 [俱] 行。		《国语》__春秋战国
11	宓子贱治亶父，恐鲁君之听谗人，而令己不得行其术也，将辞而行，请近吏二人於鲁君与之 [俱] 。		《吕氏春秋》__春秋战国
12	此皆 [俱] 进 [俱] 退，皆应皆对，一辞同轨以移主心者也。		《韩非子》__春秋战国
13	每朝与其友 [俱] 立乎衢，三日不得，却而自殁。		《吕氏春秋》__春秋战国
14	矍， [俱] 缚		《周易》__周
15	 [俱] 与有术之士，有谈说之名，而实相去千万也。		《韩非子》__春秋战国
16	身故不肖，力不足以适二主，其势不 [俱] 适，与其死夫人所者，不若赐死君前。		《韩非子》__春秋战国
17	上下 [俱] 极，吴之亡犹晚。		《吕氏春秋》__春秋战国
18	遂与商丘开 [俱] 乘高台，于众中漫言曰：“有能自投下者赏百金。”		《列子》__春秋战国
19	勿变勿易，与二 [俱] 行。		《韩非子》__春秋战国
20	吾始乎 故，长乎性，成乎命，与齐 [俱] 入，与汨偕出。		《列子》__春秋战国
21	蓬生麻中，不扶而直；白沙在涅，與之 [俱] 黑。		《荀子》__春秋战国
22	盜跖貪兇，名聲若日月，與舜禹 [俱] 傳而不息；然而君子不貴者，非禮義之中也。		《荀子》__春秋战国
23	既而国杀无知，未有君，公子纠与公子小白皆归， [俱] 至，争先入公家。		《吕氏春秋》__春秋战国
24	及围解而疾 [俱] 复。		《列子》__春秋战国
25	李言、续经与之 [俱] 如卫，抵公孙与。		《吕氏春秋》__春秋战国
26	管仲勉齐桓公因游辽口， [俱] 之其国。		《列子》__春秋战国
27	如是，則上下 [俱] 富，交無所藏之。		《荀子》__春秋战国
28	穆王曰：“日以 [俱] 来，吾与若 [俱] 观之。”		《列子》__春秋战国
29	此道也，偏立而亂， [俱] 立而治，其足以稽矣。		《荀子》__春秋战国
30	公子连因与卒 [俱] 来，至雍，围夫人，夫人自杀。		《吕氏春秋》__春秋战国
31	主暗於上，臣詐於下，滅亡無日， [俱] 害之道也。		《荀子》__春秋战国
32	故阴气壮，则梦 涉大水而恐惧；阳气壮，则梦涉大火而燔内；阴阳 [俱] 壮，则梦生杀。		《列子》__春秋战国
33	尹氏心营世事，虑钟家业，心形 [俱] 疲，夜亦昏惫而寐。		《列子》__春秋战国
34	今秦南乃有沙羨與 [俱] ，是乃江南也。		《荀子》__春秋战国
35	二多誉，四多 [俱] ，近也。		《周易》__周
36	故至備，情文 [俱] 盡；其次， 情文代勝；其下復情以歸大一也。		《荀子》__春秋战国
37	生、人之始也，死、人之終也，終始 [俱] 善，人道畢矣。		《荀子》__春秋战国
38	兩至者 [俱] 積焉，以三年事之，猶未足也，直無由進之耳。		《荀子》__春秋战国
39	然 [俱] 王天下者何也必国富而粟多也，		《管子》__春秋战国
40	尽自治其事则事多多则昏昏则缓急 [俱] 植，		《管子》__春秋战国
41	南宫适问于孔子曰：“羿善射，奡荡舟， [俱] 不得其死然。		《论语》__春秋战国
42	用、麗 [俱] 得，謂之知名。		《荀子》__春秋战国
43	故人無動而不可以不與權 [俱] 。		《荀子》__春秋战国
44	国中莫不闻是上则无功而显名于百姓也下则实其京以给上一举而名实 [俱] 在也，		《管子》__春秋战国
45	故同情而相亲者，其 [俱] 成者也；同欲而相疏者，其偏害者也；同恶而相亲者，其 [俱] 害者也；同恶而相疏者，偏害者也。		《鬼谷子》__春秋战国
46	古之大化者，乃与无形 [俱] 生。		《鬼谷子》__春秋战国
47	兵之所自来者上矣，与始有民 [俱] 。		《吕氏春秋》__春秋战国
48	暴虐、奸诈之与义理反也，其势不 [俱] 胜，不两立。		《吕氏春秋》__春秋战国
49	遂解左骖以赠之，因载而与之 [俱] 归。		《晏子春秋》__春秋战国
50	一人虽听之，一心以为有鸿鹄将至，思援弓缴而射之，虽与之 [俱] 学，弗若之矣，为是其智弗若与？		《孟子》__春秋战国
51	今吴、越之国相与 [俱] 残，士大夫履肝肺，同日而死，孤与吴王接颈交臂而偾，此孤之大愿也。		《吕氏春秋》__春秋战国
52	静郭君之交，大不善於宣王，辞而之薛，与剂貌辨 [俱] 。		《吕氏春秋》__春秋战国
53	梁丘据问晏子曰：“子事三君，君不同心，而子 [俱] 顺焉，仁人固多心乎？”		《晏子春秋》__春秋战国
54	晏子对曰：“君顺怀之，政治归之，不怀暴君之禄，不居乱国之位，君子见兆则退，不与乱国 [俱] 灭，不与暴君偕亡。”		《晏子春秋》__春秋战国
55	晏子、仲尼、柏常骞三人朝， [俱] 曰：“钟将毁。”		《晏子春秋》__春秋战国
56	乃与要离 [俱] 涉於江。		《吕氏春秋》__春秋战国
57	父母 [俱] 存，兄弟无故，一乐也；仰不愧于天，俯不怍于人，二乐也；得天下英才而教育之，三乐也。		《孟子》__春秋战国
58	晏子使吴吴王问君子之行晏子对以不与乱国 [俱] 灭第十六                   474		《晏子春秋》__春秋战国
59	极星与天 [俱] 游，而天枢不移。		《吕氏春秋》__春秋战国
60	是以神民 [俱] 顺，而山川纳禄。		《晏子春秋》__春秋战国
61	使 [俱] 曰：“狄之广莫，于晋为都。		《国语》__春秋战国
62	吾请为飨息侯与其妻者，而与王 [俱] ，因而袭之。”		《吕氏春秋》__春秋战国
63	於是与蔡侯以飨礼入於息，因与 [俱] ，遂取息。		《吕氏春秋》__春秋战国
64	景公问晏子曰：“古之莅国治民者，其任人何如”晏子对曰：“地不同生，而任之以一种，责其 [俱] 生不可得；人不同能，而任之以一事，不可责遍成。		《晏子春秋》__春秋战国
65	无讶无訾，一龙一蛇，与时 [俱] 化，而无肯专为；一上一下，以禾为量，而浮游乎万物之祖，物物而不物於物，则胡可得而累？		《吕氏春秋》__春秋战国
66	“先时九日，太史告稷曰：‘自今至于初吉，阳气 [俱] 蒸，土膏其动。		《国语》__春秋战国
67	’稷以告王曰：‘史帅阳官以命我司事曰：“距今九日，土其 [俱] 动，王其祗祓，监农不易。”		《国语》__春秋战国
68	时不与法 [俱] 至，法虽今而至，犹若不可法。		《吕氏春秋》__春秋战国
69	此卦而六爻 [俱] 变者，其占如此辞。		《周易》__周
70	己与豕 [俱] 焦也。		《庄子》__春秋战国
71	方且与世违，而心不屑与之 [俱] 。		《庄子》__春秋战国
72	悲霜雪之 [俱] 下兮，听潮水之相击。		《楚辞》__春秋战国
73	枭鸮并进而 [俱] 鸣兮，凤皇飞而高翔。		《楚辞》__春秋战国
74	阳州人出，颜高夺人弱弓，籍丘子锄击之，与一人 [俱] 毙。		《左传》__春秋战国
75	四处群阴之中，而独与初应，为与众 [俱] 行，而独能从善之象。		《周易》__周
76	阳爻，故不相畜而 [俱] 进，有良马逐之象焉。		《周易》__周
77	初，肥王翁归靡胡妇子乌就屠，狂五伤时惊，与诸翕侯 [俱] 去，居北山中，扬言母家匈奴兵来，故众归之。		《汉书》__汉
78	天子闵而迎之，公主与乌孙男女三人 [俱] 来至京师。		《汉书》__汉
79	后公主上书，愿令女比宗室入朝，而龟兹王绛宾亦受其夫人，上书言得尚汉外孙为昆弟，愿与公主女 [俱] 入朝。		《汉书》__汉
80	其 [俱] 是也？		《庄子》__春秋战国
81	其 [俱] 非也邪？		《庄子》__春秋战国
82	若与人 [俱] 不能相知也，而待彼也邪？”		《庄子》__春秋战国
83	百姓伤者未廖，怨咎未复，而君臣 [俱] 惰，内怠政事，外海四邻，非能保守宗庙终其天年者也，故天灾御廪以戒之。		《汉书》__汉
84	桓不寤，与夫人 [俱] 会齐，夫人谮桓公于齐侯，齐侯杀桓公。		《汉书》__汉
85	内辞也，与其子 [俱] 来朝也。		《公羊传》__春秋战国
86	富者骄而为邪，贫者穷而为奸， [俱] 陷于辜，刑用不错。		《汉书》__汉
87	其封音为安阳侯，食邑与五侯等， [俱] 三千户。”		《汉书》__汉
88	我汉家老寡妇，旦暮且死，欲与此玺 [俱] 葬，终不可得！”		《汉书》__汉
89	汲黯为忮，司马安之文恶， [俱] 在二千石列，同车未尝敢均茵冯。		《汉书》__汉
90	少年时尝与张次公 [俱] 攻剽，为群盗。		《汉书》__汉
91	与王温舒 [俱] 破东越。		《汉书》__汉
92	后复与左将军荀彘 [俱] 击朝鲜，为彘所缚，语在《朝鲜传》。		《汉书》__汉
93	初，四人 [俱] 拜于前，小史窃言。		《汉书》__汉
94	延年本尝与义 [俱] 为丞相史，实亲厚之，无意毁伤也，馈遗之甚厚。		《汉书》__汉
95	上有意欲用淮阳王代太子，然以少依许氏， [俱] 从微起，故终不背焉。		《汉书》__汉
96	臧与谷，二人相与牧羊而 [俱] 亡其羊。		《庄子》__春秋战国
97	庄子弗受，与使者 [俱] 往见太子，曰：		《庄子》__春秋战国
98	曲终而招子贡、子路二人 [俱] 对		《庄子》__春秋战国
99	、敢，八者 [俱] 过人也，因以是穷；缘循、偃仰、困畏，不若人三者 [俱] 		《庄子》__春秋战国
100	董仲舒以为时鲁、宋比年为乘丘、鄑之战，百姓愁怨，阴气盛，故二国 [俱] 水。		《汉书》__汉
101	， [俱] 诵《墨经》，而倍谲不同，相谓别墨。		《庄子》__春秋战国
102	之民莫不 [俱] 至，此之谓圣治。”		《庄子》__春秋战国
103	知，于物无择，与之 [俱] 往。		《庄子》__春秋战国
104	因与 [俱] 出入，国绝祀。		《汉书》__汉
105	与太白 [俱] 出东方，皆赤而角，夷狄败，中国胜；与太白 [俱] 出西方，皆赤而角，中国败，夷狄胜。		《汉书》__汉
106	故《传》曰“燮父、禽父并事康王”，言晋侯燮、鲁公伯禽 [俱] 事康王也。		《汉书》__汉
107	；卒之于惑，惑故愚；愚故道，道可载而与之 [俱] 也。”		《庄子》__春秋战国
108	其五月甲午，金、木 [俱] 在东进。		《汉书》__汉
109	异其同日而 [俱] 灾也。		《公羊传》__春秋战国
110	一日有两气同时起，并见，而并、令等同月 [俱] 发也。		《汉书》__汉
111	人之生也，与忧 [俱] 生。		《庄子》__春秋战国
112	子公羊子曰：“其诸为其双双而 [俱] 至者与。”		《公羊传》__春秋战国
113	昔有林氏，上衡氏争权，林氏再战而胜，上衡氏伪义，弗克， [俱] 身死国亡。		《逸周书》__春秋战国
114	王子应之曰：“人生而重丈夫，谓之胄子；胄子成人能治上官，谓之士；士率众时作，谓之曰伯；伯能移善于众，与百姓同，谓之公；公能树名生物，与天道 [俱] ，谓之侯，侯能成群，谓之君。		《逸周书》__春秋战国
115	与齐 [俱] 入，与汩偕出，从水之道而不为私焉。		《庄子》__春秋战国
116	然，无誉无訾，一龙一蛇，与时 [俱] 化，而无肯专为。		《庄子》__春秋战国
117	日月 [俱] 起于牵牛之初，右回而行月，周天进一次，而与日合宿。		《逸周书》__春秋战国
118	先帝制，长城以北引弓之国受令单于，长城以内冠带之室朕亦制之，使万民耕织，射猎衣食，父子毋离，臣主相安， [俱] 无暴虐。		《汉书》__汉
119	朕与单于 [俱] 由此道，顺天恤民，世世相传，施之无穷，天下莫不咸便。		《汉书》__汉
120	朕与单于皆捐细故， [俱] 蹈大道，堕坏前恶，以图长久，使两国之民若一家子。		《汉书》__汉
