语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：俾
2022/7/10 23:06:04

序号	语句	书名	朝代
1	戒之用休，董之用威，劝之以九歌 [俾] 勿坏。”		《尚书》__周
2	帝曰：“ [俾] 予従欲以治，四方风动，惟乃之休。”		《尚书》__周
3	人之有技，媢疾以恶之，人之彦圣，而违之 [俾] 不通，寔不能容，以不能保我子孙黎民，亦曰殆哉。”		《大学中庸》__春秋战国
4	下民其咨，有能 [俾] 乂？”		《尚书》__周
5	弗率训典，殊厥井疆， [俾] 克畏慕。		《尚书》__周
6	人之有技，媢疾以恶之，人之彦圣，而违之 [俾] 不通，寔不能容，以不能保我子孙黎民，亦曰		《大学中庸》__春秋战国
7	太保命仲桓、南宫毛 [俾] 爰齐侯吕伋，以二干戈、虎贲百人逆子钊于南门之外。		《尚书》__周
8	惟予一人无良，实赖左右前后有位之士，匡其不及，绳愆纠缪，格其非心， [俾] 克绍先烈。		《尚书》__周
9	不怠丕冒，海隅出日，罔不率 [俾] 。”		《尚书》__周
10	承汝 [俾] 汝惟喜康共，非汝有咎比于罚。		《尚书》__周
11	乃有不吉不迪，颠越不恭，暂遇奸宄，我乃劓殄灭之，无遗育，无 [俾] 易种于兹新邑。		《尚书》__周
12	昔先正保衡作我先王，乃曰：‘予弗克 [俾] 厥后惟尧舜，其心愧耻，若挞于市。		《尚书》__周
13	尔尚明保予，罔 [俾] 阿衡专美有商。		《尚书》__周
14	予弗狎于弗顺，营于桐宫，密迩先王其训，无 [俾] 世迷。		《尚书》__周
15	皇天眷佑有商， [俾] 嗣王克终厥德，实万世无疆之休。”		《尚书》__周
16	 [俾] 予一人辑宁尔邦家，兹朕未知获戾于上下，栗栗危惧，若将陨于深渊。		《尚书》__周
17	皇天弗保，监于万方，启迪有命，眷求一德， [俾] 作神主。		《尚书》__周
18	 [俾] 万姓咸曰：‘大哉王言。		《尚书》__周
19	敷求哲人， [俾] 辅于尔后嗣，制官刑，儆于有位。		《尚书》__周
20	乃审厥象， [俾] 以形旁求于天下。		《尚书》__周
21	 [俾] 率先王，迪我高后，以康兆民。		《尚书》__周
22	华夏蛮貊，罔不率 [俾] 。		《尚书》__周
23	立事、准人、牧夫，我其克灼知厥若，丕乃 [俾] 乱；相我受民，和我庶狱庶慎。		《尚书》__周
24	自古商人亦越我周文王立政，立事、牧夫、准人，则克宅之，克由绎之，兹乃 [俾] 乂，国则罔有。		《尚书》__周
25	天齐于民， [俾] 我一日，非终惟终，在人。		《尚书》__周
26	 [俾] 暴虐于百姓，以奸宄于商邑。		《尚书》__周
27	’责人斯无难，惟受责 [俾] 如流，是惟艰哉！		《尚书》__周
28	惟截截善谝言， [俾] 君子易辞，我皇多有之！		《尚书》__周
29	人之有技，冒疾以恶之；人之彦圣而违之， [俾] 不达是不能容，以不能保我子孙黎民，亦曰殆哉！		《尚书》__周
30	世世享德，万邦作式， [俾] 我有周无斁。		《尚书》__周
31	王 [俾] 荣伯作《贿肃慎之命》。		《尚书》__周
32	天子是毗， [俾] 民不迷。		《诗经》__周
33	君子如届， [俾] 民心阕。		《诗经》__周
34	式月斯生， [俾] 民不宁。		《诗经》__周
35	父母生我，胡 [俾] 我瘉？		《诗经》__周
36	不慭遗一老， [俾] 守我王。		《诗经》__周
37	哿矣能言，巧言如流， [俾] 躬处休！		《诗经》__周
38	人之有技，冒疾以恶之；人之彦圣，而违之 [俾] 不通： 实不能容，以不能保我子孙黎民，亦曰殆哉！”		《礼记》__春秋战国
39	壹者之来， [俾] 我絺也。		《诗经》__周
40	 [俾] 尔单厚，何福不除？		《诗经》__周
41	 [俾] 尔多益，以莫不庶。		《诗经》__周
42	天保定尔， [俾] 尔戬穀。		《诗经》__周
43	克顺克 [俾] ， [俾] 于文王，其德靡悔。		《礼记》__春秋战国
44	 [俾] 予靖之，后予极焉。		《诗经》__周
45	 [俾] 予靖之，后予迈焉。		《诗经》__周
46	之子之远， [俾] 我独兮。		《诗经》__周
47	之子之远， [俾] 我疧兮。		《诗经》__周
48	月离于毕， [俾] 滂沱矣。		《诗经》__周
49	烈文辟公，绥以多福， [俾] 缉熙于纯嘏。		《诗经》__周
50	苟姬未绝周室，而 [俾] 守天聚者，必武族也。		《国语》__春秋战国
51	奄有下国， [俾] 民稼穑。		《诗经》__周
52	王曰叔父，建尔元子， [俾] 侯于鲁。		《诗经》__周
53	乃命鲁公， [俾] 侯于东。		《诗经》__周
54	 [俾] 尔炽而昌， [俾] 尔寿而臧。		《诗经》__周
55	 [俾] 尔昌而炽， [俾] 尔寿而富。		《诗经》__周
56	 [俾] 尔昌而大， [俾] 尔耆而艾。		《诗经》__周
57	 [俾] 昼作夜。		《诗经》__周
58	辟尔为德， [俾] 臧 [俾] 嘉。		《诗经》__周
59	回遹其德， [俾] 民大棘。		《诗经》__周
60	维彼不顺，自独 [俾] 臧。		《诗经》__周
61	自有肺肠， [俾] 民卒狂。		《诗经》__周
62	匪用其良，复 [俾] 我悖。		《诗经》__周
63	昊天上帝，宁 [俾] 我遁？		《诗经》__周
64	跄跄济济， [俾] 筵 [俾] 几。		《诗经》__周
65	岂弟君子， [俾] 尔弥尔性，似先公酋矣。		《诗经》__周
66	岂弟君子， [俾] 尔弥尔性，百神尔主矣。		《诗经》__周
67	岂弟君子， [俾] 尔弥尔性，纯嘏尔常矣。		《诗经》__周
68	遏寇虐，无 [俾] 民忧。		《诗经》__周
69	虐，无 [俾] 作慝。		《诗经》__周
70	惠此中国， [俾] 民忧泄。		《诗经》__周
71	寇虐，无 [俾] 正败。		《诗经》__周
72	虐，无 [俾] 正反。		《诗经》__周
73	无 [俾] 城坏，无独斯畏。		《诗经》__周
74	乃召司空，乃召司徒， [俾] 立室家。		《诗经》__周
75	我思古人， [俾] 无訧兮！		《诗经》__周
76	 [俾] 也可忘。		《诗经》__周
77	四间林锺，和展百事， [俾] 莫不任肃纯恪也。		《国语》__春秋战国
78	六间应锺，均利器用， [俾] 应复也。		《国语》__春秋战国
79	维四月既生魄，王在东宫，告周公曰：“呜呼，朕闻武考不知，乃闻不得，乃学 [俾] 资不肖，永无惑矣。		《逸周书》__春秋战国
80	立师旷 [俾] 端辞兮，命咎繇使并听。		《楚辞》__春秋战国
81	回朕车 [俾] 西引兮，褰虹旗於玉门。		《楚辞》__春秋战国
82	 [俾] 山川以备御兮，命咎繇使听直。		《楚辞》__春秋战国
83	交贽往来，道路无壅，谋其不协，而讨不庭有渝此盟，明神殛之， [俾] 队其师，无克胙国。”		《左传》__春秋战国
84	无禄，献公即世，穆公不忘旧德， [俾] 我惠公用能奉祀于晋。		《左传》__春秋战国
85	敢尽布之执事， [俾] 执事实图利之！”		《左传》__春秋战国
86	天子曰：“天降祸于周， [俾] 我兄弟并有乱心，以为伯父忧。		《左传》__春秋战国
87	今我欲徼福假灵于成王，修成周之城， [俾] 戍人无勤，诸侯用宁，蝥贼远屏，晋之力也。		《左传》__春秋战国
88	 [俾] 我一人无征怨于百姓，而伯父有荣施，先王庸之。”		《左传》__春秋战国
89	 [俾] 君子易怠。		《公羊传》__春秋战国
90	或间兹命，司慎司盟，名山名川，群神群祀，先王先公，七姓十二国之祖，明神殛之， [俾] 失其民，队命亡氏，踣其国家。”		《左传》__春秋战国
91	成王元年正月己巳朔，此命伯禽 [俾] 侯于鲁之岁也。		《汉书》__汉
92	故《诗》云“月离于毕， [俾] 滂沱矣”，言多雨也。		《汉书》__汉
93	《诗》云：“尹氏大师，秉国之钧，四方是维，天子是毘， [俾] 民不迷。”		《汉书》__汉
94	□□□□□□□□□□□武王既释箕子囚， [俾] 民辟宁之以王，作《箕子》。		《逸周书》__春秋战国
95	武王克殷，乃立王子禄父， [俾] 守商祀。		《逸周书》__春秋战国
96	建管叔于东，建蔡叔于殷， [俾] 监殷臣。		《逸周书》__春秋战国
97	 [俾] 康帅宇于殷， [俾] 中旄父宇于东。		《逸周书》__春秋战国
98	周公敬念于后，曰：“予畏同室克追， [俾] 中天下。”		《逸周书》__春秋战国
99	凡工贾胥市臣仆州里， [俾] 无交为。		《逸周书》__春秋战国
100	先人神祗，报职用休， [俾] 嗣在厥家。		《逸周书》__春秋战国
