语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：借
2022/5/22 15:14:54

序号	语句	书名	朝代
1	晋献公欲伐虢，荀息曰：“君何不以屈产之乘、垂棘之璧而 [借] 道乎虞也？”		《榖梁传》__春秋战国
2	公曰：“此晋国之宝也，如受吾币而不 [借] 吾道，则如之何？”		《榖梁传》__春秋战国
3	彼不 [借] 吾道，必不敢受吾币。		《榖梁传》__春秋战国
4	如受吾币而 [借] 吾道，则是我取之中府而藏之外府，取之中厩而置之外厩也。”		《榖梁传》__春秋战国
5	公遂 [借] 道而伐虢。		《榖梁传》__春秋战国
6	虞公弗听，遂受其币而 [借] 之道。		《榖梁传》__春秋战国
7	“今赵欲聚兵士，卒以秦为事，使人来 [借] 道，言欲伐秦，其势必先韩而后秦。		《韩非子》__春秋战国
8	故其可以攻伐 [借] 者，以官爵贵之；其不可 [借] 以美名者，以外权重之之。		《韩非子》__春秋战国
9	论其所爱，则以为 [借] 资；论其所憎，则以为尝己也，径省其说，则以为不智而拙之；米盐博辩，则以为多而交之。		《韩非子》__春秋战国
10	日中为市，上明而下动，又 [借] 噬为市，嗑为合		《周易》__周
11	人習其事而固，人之百事，如耳目鼻口之不可以相 [借] 官也。		《荀子》__春秋战国
12	非君子而好之，非其人也；非其人而教之，赍盜糧， [借] 賊兵也。		《荀子》__春秋战国
13	有马者 [借] 人乘之，今亡矣夫！”		《论语》__春秋战国
14	 [借] 曰未知，亦既抱子。		《诗经》__周
15	 [借] 曰未知，亦聿既耄。		《诗经》__周
16	 [借] 光景以往来兮，施黄棘之枉策。		《楚辞》__春秋战国
17	 [借] 浮云以送予兮，载雌霓而为旌。		《楚辞》__春秋战国
18	尽 [借] 邑人之车，锲其轴，麻约而归之。		《左传》__春秋战国
19	而特不得其囗（左“目”右“关” [借] 为朕）。		《庄子》__春秋战国
20	末振将弟卑爰D626本共谋杀大昆弥，将众八万余口北附康居，谋欲 [借] 兵兼并两昆弥。		《汉书》__汉
21	初，成都侯商尝病，欲避暑，从上 [借] 明光宫，后又穿长安城，引内澧水注第中大陂以行船，立羽盖，张周帷，辑濯越歌。		《汉书》__汉
22	不为利，不贱门隶；货财弗争，不多辞让；事焉不 [借] 人，不多食乎力		《庄子》__春秋战国
23	今称伐则下等也，计功则 [借] 人也，言时则妨民多矣，何以为铭？		《左传》__春秋战国
24	今将 [借] 人之力以救其死，若之何铭之？		《左传》__春秋战国
25	后月余，羌侯狼何果遣使至匈奴 [借] 兵，欲击善阝善、敦煌以绝汉道。		《汉书》__汉
26	少时通轻侠， [借] 客报仇。		《汉书》__汉
27	操一量不 [借] ，挂屋後楮上。		《风俗通义》__汉
28	古者使民如 [借] ，故曰藉田。		《风俗通义》__汉
29	 [借] 父EF7C锄，虑有德色；毋取箕帚，立而谇语。		《汉书》__汉
30	相如欲谏，业已建之，不敢，乃著书， [借] 蜀父老为辞，而己诘难之，以风天子，且因宣其使指，令百姓皆知天子意。		《汉书》__汉
31	郅支数 [借] 兵击乌孙，深入至赤谷城，杀略民人，驱畜产，乌孙不敢追，西边空虚，不居者且千里。		《汉书》__汉
32	其余《封泰山》、《责和氏璧》及《皇太子生禖》、《屏风》、《殿上柏柱》、《平乐观赋猎》，八言、七言上下，《从公孙弘 [借] 车》，凡刘向所录朔书具是矣。		《汉书》__汉
33	由是列国公子，魏有信陵、赵有平原、齐有孟尝、楚有春申，皆 [借] 王公之势，竞为游侠，鸡鸣狗盗，无不宾礼。		《汉书》__汉
34	以躯 [借] 友报仇，臧命作奸剽攻，休乃铸钱掘冢，不可胜数。		《汉书》__汉
35	鸱夷滑稽，腹如大壶，尽日盛酒，人复 [借] 酤。		《汉书》__汉
36	 [借] 兵东下，战于鄗北，成安君死于泜水之南，头足异处。		《汉书》__汉
37	故虚 [借] 此三人为辞，以推天子诸侯之苑囿。		《汉书》__汉
38	当此之时，官亡储主，董贤据重，加以傅氏有女之援，皆自知得罪天下，结仇中山，则必同忧，断金相翼， [借] 假遗诏，频用赏诛，先除所惮，急引所附，遂诬往冤，更惩远属，事势张见，其不难矣！		《汉书》__汉
39	後产子，捐於猪溷中，猪以口气嘘之，不死；复徙置马栏中，欲使马 [借] 杀之，马复以口气嘘之，不死。		《论衡》__汉
40	桓生欲 [借] 其书，嗣报曰：“若夫严子者，绝圣弃智，修生保真，清虚淡泊，归之自然，独师友造化，而不为世俗所役者也。		《汉书》__汉
41	孝文时，言治乱之道， [借] 秦为谕，名曰《至言》。		《汉书》__汉
42	臣不敢以久远谕，愿 [借] 秦以为谕，唯陛下少加意焉。		《汉书》__汉
43	为愚者之不知其害，乃 [借] 鬼神之威以声其教，所由来者远矣。		《淮南子》__汉
44	不如奔他国， [借] 力以雪父之耻，俱灭，无为也。”		《史记》__汉
45	故樊於期逃秦之燕， [借] 荆轲首以奉丹事；王奢去齐之魏，临城自刭以却齐而存魏。		《汉书》__汉
46	此二人者，岂素宦于朝， [借] 誉于左右，然后二主用之哉？		《汉书》__汉
47	慈仁殷勤，诚加于心，不可以虚辞 [借] 也。		《汉书》__汉
48	雄从至射熊馆，还，上《长杨赋》，聊因笔墨之成文章，故 [借] 翰林以为主人，子墨为客卿以风。		《汉书》__汉
49	王将 [借] 路於仇雠之韩、魏乎？		《史记》__汉
50	王若不 [借] 路於仇雠之韩、魏，必攻随水右壤。		《史记》__汉
