语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：倾
2023/1/20 16:09:56

序号	语句	书名	朝代
1	厥贡璆、铁、银、镂、砮磬、熊、罴、狐、狸、织皮，西 [倾] 因桓是来，浮于潜，逾于沔，入于渭，乱于河。		《尚书》__周
2	西 [倾] 、朱圉、鸟鼠至于太华；熊耳、外方、桐柏至于陪尾。		《尚书》__周
3	不更厥贞，大命其 [倾] 。		《国语》__春秋战国
4	以七患守城敌至国 [倾] 。		《墨子》__春秋战国
5	故胜於西河，而困於王错， [倾] 造大难，身不得死焉。		《吕氏春秋》__春秋战国
6	持盈者与天，定 [倾] 者与人，节事者与地。”		《国语》__春秋战国
7	对曰：“持盈者与天，定 [倾] 者与人，节事者与地。		《国语》__春秋战国
8	越王句践即位三年而欲伐吴，范蠡建谏曰：“夫国家之事，有持盈，有持 [倾] ，有节事。”		《国语》__春秋战国
9	纣亦藉累世之资，居南面之尊；威无不行，志无不从；肆情 于 [倾] 宫，纵欲于长夜；不以礼义自苦，熙熙然以至于诛：此天民之放纵者也。		《列子》__春秋战国
10	爱臣太亲，必危其身；人臣太贵，必易主位；主妾无等，必危嫡子；兄弟不服，必危社稷；臣闻千乘之君无备，必有百乘之臣在其侧，以徒其民而 [倾] 其国；万乘之君无备，必有千乘之家在其侧，以徒其威而 [倾] 其国。		《韩非子》__春秋战国
11	成，长短相形，高下相 [倾] ，音声相和，前後相随。		《老子》__春秋战国
12	身随危 [倾] ，当禁之。		《老子想尔注》__春秋战国
13	其后共工氏与颛顼争为帝，怒 而触不周之山，折天柱，绝地维；故天 [倾] 西北，日月星辰就焉；地不满东南，故 百川水潦归焉。”		《列子》__春秋战国
14	且一身之迷不足 [倾] 一家， 一家之迷不足 [倾] 一乡，一乡之迷不足 [倾] 一国，一国之迷不足 [倾] 天下。		《列子》__春秋战国
15	天下尽迷， 孰 [倾] 之哉？		《列子》__春秋战国
16	虽存国，会不荡荡，劳精躬勤，良辅朝去，暮国 [倾] 危，制不在上，故在彼去臣。		《老子想尔注》__春秋战国
17	易者使 [倾] 。		《周易》__周
18	所以能危能惧，而无易者之 [倾] 也。		《周易》__周
19	安徐而静柔节先定虚心平意以待 [倾] ，		《管子》__春秋战国
20	如金石之相举重钧则金 [倾] ，		《管子》__春秋战国
21	危者使平，易者使 [倾] 。		《周易》__周
22	盖均无贫，和无寡，安无 [倾] 。		《论语》__春秋战国
23	善与而不静，虚心平意以待 [倾] 损。		《鬼谷子》__春秋战国
24	上九， [倾] 否，先否后喜。		《周易》__周
25	《象》曰：否终则 [倾] ，何可长也。		《周易》__周
26	曾是莫听，大命以 [倾] 。		《诗经》__周
27	夫吴民离矣，体有所 [倾] ，譬如群兽然，一个负矢，将百群皆奔，王其无方收也。		《国语》__春秋战国
28	用能援持盈以没，而骤救 [倾] 以时。		《国语》__春秋战国
29	故栽者培之， [倾] 者覆之。		《礼记》__春秋战国
30	遭 [倾] 遇祸不可救兮，长吟永欷涕究究兮，		《楚辞》__春秋战国
31	操绳墨而放弃兮， [倾] 容幸而侍侧。		《楚辞》__春秋战国
32	忽反顾兮西囿，睹轸丘兮崎 [倾] 。		《楚辞》__春秋战国
33	依风穴以自息兮，忽 [倾] 寤以婵媛。		《楚辞》__春秋战国
34	无 [倾] 危之患难兮，焉知贤士之所死？		《楚辞》__春秋战国
35	上九， [倾] 否。		《周易》__周
