语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：偃
2022/7/10 23:09:46

序号	语句	书名	朝代
1	九月，公败邾师于 [偃] 。		《榖梁传》__春秋战国
2	舅犯曰：“ [偃] 也闻之，丧乱有小大。		《国语》__春秋战国
3	郭 [偃] 曰：“甚哉，善之难也！		《国语》__春秋战国
4	若以 [偃] 之虑，其狄乎！		《国语》__春秋战国
5	献公问于卜 [偃] 曰：“攻虢何月也？”		《国语》__春秋战国
6	舅犯，晋文公舅狐 [偃] ，字子犯。		《大学中庸》__春秋战国
7	中山尚染于魏义 [偃] 长。		《墨子》__春秋战国
8	赵惠王谓公孙龙曰：“寡人事 [偃] 兵十馀年矣，而不成，兵不可 [偃] 乎？”		《吕氏春秋》__春秋战国
9	公孙龙对曰：“ [偃] 兵之意，兼爱天下之心也。		《吕氏春秋》__春秋战国
10	此 [偃] 兵之所以不成也。”		《吕氏春秋》__春秋战国
11	秋，大熟，未获，天大雷电以风，禾尽 [偃] ，大木斯拔，邦人大恐。		《尚书》__周
12	二公命邦人凡大木所 [偃] ，尽起而筑之。		《尚书》__周
13	晋师大骇不出，周军饬垒，乃令董褐请事，曰：“两君 [偃] 兵接好，日中为期。		《国语》__春秋战国
14	公孙龙说燕昭王以 [偃] 兵，昭王曰：“甚善。		《吕氏春秋》__春秋战国
15	今大王曰：我甚取 [偃] 兵。		《吕氏春秋》__春秋战国
16	汤、武既破桀、纣，海内无害，天下大定，筑五库，藏五兵， [偃] 武事，行文教，倒载干戈，☆笏，作为乐，以申其德。		《商君书》__春秋战国
17	’郭 [偃] 之法曰：‘论至德者不和於俗，成大功者不谋於众。		《商君书》__春秋战国
18	於是厉公游于匠丽氏，栾书、中行 [偃] 劫而幽之。		《吕氏春秋》__春秋战国
19	且徐 [偃] 王之狀，目可瞻馬。		《荀子》__春秋战国
20	聽其言則辭辯而無統，用其身則多詐而無功，上不足以順明王，下不足以和齊百姓，然而口舌之均，譫唯則節，足以為奇偉 [偃] 卻之屬，夫是之謂奸人之雄，聖王起，所以先誅也，然後盜賊次之。		《荀子》__春秋战国
21	履天子之籍，聽天下之斷， [偃] 然如固有之，而天下不稱貪焉。		《荀子》__春秋战国
22	反而定三革， [偃] 五兵，合天下，立聲樂，於是武象起而韶護廢矣。		《荀子》__春秋战国
23	與時遷徙，與世 [偃] 仰，千舉萬變，其道一也。		《荀子》__春秋战国
24	乙酉，刺公子 [偃] 。		《榖梁传》__春秋战国
25	啁噍巢於林，不过一枝； [偃] 鼠饮於河，不过满腹。		《吕氏春秋》__春秋战国
26	殷之日，案以中立，無有所偏，而為縱橫之事， [偃] 然案兵無動，以觀夫暴國之相卒也。		《荀子》__春秋战国
27	纪昌归，  [偃] 卧其妻之机下，以目承牵挺。		《列子》__春秋战国
28	时黑 卵之醉 [偃] 于牖下，自颈至腰三斩之。		《列子》__春秋战国
29	君子之德风，小人之德草，草上之风，必 [偃] 。”		《论语》__春秋战国
30	子游对曰：“昔者 [偃] 也闻诸夫子曰：‘君子学道则爱人，小人学道则易使也。		《论语》__春秋战国
31	 [偃] 之言是也。		《论语》__春秋战国
32	旗所以立兵也所以制兵也所以 [偃] 兵也，		《管子》__春秋战国
33	曰：“有澹台灭明者，行不由径，非公事，未尝至于 [偃] 之室也。”		《论语》__春秋战国
34	或燕燕居息，或尽瘁事国；或息 [偃] 在床，或不已于行。		《诗经》__周
35	或不知叫号，或惨惨劬劳；或栖迟 [偃] 仰，或王事鞅掌。		《诗经》__周
36	齐桓公染於管仲、鲍叔，晋文公染於咎犯、郄 [偃] ，荆庄王染於孙叔敖、沈尹蒸，吴王阖庐染於伍员、文之仪，越王句践染於范蠡、大夫种。		《吕氏春秋》__春秋战国
37	大文三曾而贵义与德大武三曾而 [偃] 武与力。		《管子》__春秋战国
38	兽厌走而有伏纲罟一 [偃] 一侧不然不得，		《管子》__春秋战国
