语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：假
2022/7/10 22:57:33

序号	语句	书名	朝代
1	九五，王 [假] 有家，勿恤，吉。		《周易》__周
2	 [假] ，更白反。		《周易》__周
3	! [假] ，至也，如“ [假] 于太庙”之“ [假] ”。		《周易》__周
4	《象》曰：“王 [假] 有家”，交相爱也。		《周易》__周
5	克勤于邦，克俭于家，不自满 [假] ，惟汝贤。		《尚书》__周
6	昭 [假] 迟迟，上帝是。		《礼记》__春秋战国
7	此引书而释之，又明立教之本不 [假] 强为，在识其端而推广之耳。		《大学中庸》__春秋战国
8	夫其不明也，大明不小事， [假] 乃理事也，夫其不 [假] 也？		《吕氏春秋》__春秋战国
9	是故於全乎去能，於 [假] 乎去事，於知乎去几，所知者妙矣。		《吕氏春秋》__春秋战国
10	凡乞 [假] 于人，为人从事者亦然。		《礼记》__春秋战国
11	郑伯以璧 [假] 许田。		《公羊传》__春秋战国
12	其言以璧 [假] 之何？		《公羊传》__春秋战国
13	易之则其言 [假] 之何？		《公羊传》__春秋战国
14	萃：亨，王 [假] 有庙，利见大人，亨。		《周易》__周
15	 [假] ，更白反。		《周易》__周
16	王 [假] 有庙，言王者可以至于宗		《周易》__周
17	此非中实爱我也 [假] 藉而用我也。		《墨子》__春秋战国
18	王 [假] 		《周易》__周
19	韩叛，则魏应之，赵据齐以为原，如此，则以韩、魏资赵 [假] 齐，以固其从，而以与争强，赵之福而秦之祸也。		《韩非子》__春秋战国
20	外内不共井，不共氵浴，不通寝席，不通乞 [假] 。		《礼记》__春秋战国
21	子妇无私 货，无私畜，无私器，不敢私 [假] ，不敢私与。		《礼记》__春秋战国
22	初 [假] 吏民奸诈之本，而求端悫其未，禹不能以使十人之众，庸主安能以御一国之民？		《商君书》__春秋战国
23	昔者晋献公欲 [假] 道于虞以伐虢。		《韩非子》__春秋战国
24	荀息曰：“君其以垂棘之璧与屈产之乘，赂虞公，求 [假] 道焉，必 [假] 我道。”		《韩非子》__春秋战国
25	若受吾币不 [假] 之道，将奈何？”		《韩非子》__春秋战国
26	荀息曰：“彼不 [假] 我道，必不敢受我。		《韩非子》__春秋战国
27	若受我，而 [假] 我道，则是宝犹取之内府而藏之外府也，马犹取之内厩而著之外厩也。		《韩非子》__春秋战国
28	乃使荀息以垂棘之璧与屈产之乘赂虞公而求 [假] 道焉。		《韩非子》__春秋战国
29	若 [假] 之道，则虢朝亡而虞夕从之矣。		《韩非子》__春秋战国
