语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：停
2023/1/20 16:06:02

序号	语句	书名	朝代
1	!渫，不 [停] 污也。		《周易》__周
2	亦如人自世至老，貌色智态，亡日 不异；皮肤爪发，随世随落，非婴孩时有 [停] 而不易也。		《列子》__春秋战国
3	一气专定则 [停] 傍通而不疑，		《管子》__春秋战国
4	不易三义，“变易”认为世界不 [停] 地处在运动变化之中，		《周易》__周
5	曰：“平者，水 [停] 之盛也。		《庄子》__春秋战国
6	，义高为庐江太守，八年，遭母丧， [停] 柩官舍，章百余上，得听行服。		《风俗通义》__汉
7	谨按司空南阳来季德 [停] 丧在殡，忽然坐祭床上，颜色服饰声气熟是也。		《风俗通义》__汉
8	其水 [停] 居，冬夏不增减，潜行地中，南出积石为中国河。”		《史记》__汉
9	按：上文云项羽入至戏西鸿门，沛公还军霸上，是羽初 [停] 军於戏水之下。		《史记》__汉
10	且圆物投之於地，东西南北，无之不可，策杖叩动，才微辄 [停] 。		《论衡》__汉
11	◇集解骃案：归者，取利而不 [停] 货也。		《史记》__汉
12	孔安国曰：“水所 [停] 曰都。”		《史记》__汉
13	孔安国云“水所 [停] 曰猪”，郑玄云“南方谓都为猪”，则是水聚会之义。		《史记》__汉
14	而富商大贾或蹛财役贫，◇集解汉书音义曰：“蹛， [停] 也。		《史记》__汉
15	○索隐刘氏云：“废，出卖；居， [停] 蓄也。”		《史记》__汉
16	诸贾人末作贳贷卖买，居邑稽诸物，○索隐稽者， [停] 也，留也，即上文所谓“废居居邑”也。		《史记》__汉
17	湫渊，祠朝；◇集解苏林曰：“湫渊在安定朝县，方四十里， [停] 不流，冬夏不增减，不生草木。		《史记》__汉
18	◇集解废举谓 [停] 贮也。		《史记》__汉
19	夫物贱则买而 [停] 贮，值贵即逐时转易，货卖取资利也。		《史记》__汉
20	先所☆人，代谢不 [停] ，灭在过去。		《百喻经》__魏晋六朝
21	或乱项科头，或裸袒蹲夷，或濯脚于稠众，或溲便于人前，或 [停] 客而独食，或行酒而止所亲，此盖左衽之所为，非诸夏之快事也。		《抱朴子》__魏晋六朝
22	「一不应饭者，为不可意饭，亦为以饱腹不 [停] 调。」		《世高译经》__汉
23	及布种既讫，嘉苗须理，麦秋在野，蚕 [停] 于室，若此之时，皆宜少长悉力，男女并功，若扬汤救火，寇盗之将至，然后可使农夫不失其业，蚕妇得就其功。		《北史》__魏晋六朝
24	下车，禁游食，抑工商，人有向术开门者杜之，船客 [停] 于郭外，星居者勒为聚落，侨人逐令归本，其有滞狱，并决遣之，令行禁止。		《北史》__魏晋六朝
25	直以二陲未宾，远人不能统至理者，卒闻中国刖人肢体，割人耳鼻，便当望风谓为酷虐，故且权 [停] ，以须四方之并耳。		《抱朴子》__魏晋六朝
26	宝掌军营在唐城内，经 [停] 三日。		《北史》__魏晋六朝
27	故事，刺史奉辞，例备卤簿，逞以时属农要，奏请 [停] 之。		《北史》__魏晋六朝
28	直自事缘须罢，先以令 [停] ，方获此请，深具来意。”		《北史》__魏晋六朝
29	伏愿 [停] 司徒逼同之号，从卑下不逾之称，则天下幸甚。”		《北史》__魏晋六朝
30	乃敕 [停] 行。		《北史》__魏晋六朝
31	船行数里，悆觉，即 [停] 船至取禾处，以缣三丈置禾束下而反。		《北史》__魏晋六朝
32	复诣景俊住所， [停] 悆外门，久而未入。		《北史》__魏晋六朝
33	孝明末，除镇军将军，行相州事，时葛荣南逼，神俊忧惧，乃故坠马伤足，仍 [停] 汲郡，有诏追还。		《北史》__魏晋六朝
34	孝文曰：“已至于此，何容 [停] 驾！”		《北史》__魏晋六朝
35	之推营外饮酒，孝信还以状言，文宣乃曰：“且 [停] 。”		《北史》__魏晋六朝
36	夏四月己巳，卫王爽大破突厥于白道山， [停] 筑原阳、云内、紫河等镇而还。		《北史》__魏晋六朝
37	世基劝帝为赏格，亲自抚循，乃下诏 [停] 辽东事。		《北史》__魏晋六朝
38	文不加点，笔不 [停] 毫，常闻此言，今见其事。”		《北史》__魏晋六朝
39	禁卫九重之余，镇守四方之外；戎旅军器，皆宜 [停] 罢。		《北史》__魏晋六朝
40	十四年夏四月乙丑，诏曰：“比命有司，总令研究，正乐雅声，详定已讫，宜即施用，见行者 [停] 。		《北史》__魏晋六朝
41	见遣先行催兵，而君道于后遇害，遂 [停] 广州。		《抱朴子》__魏晋六朝
42	宜 [停] 百赋，安朝野，收遗兵，背城死战，以存社稷。”		《北史》__魏晋六朝
43	抱朴子难曰：“盖闻冲昧既辟，降浊升清，穹隆仰焘，旁泊俯 [停] 。		《抱朴子》__魏晋六朝
44	宜依是日，有事 [停] 乐。		《北史》__魏晋六朝
45	表乃请衡更作，衡即作成，手不 [停] 辍，表甚以以为佳而施用焉。		《抱朴子》__魏晋六朝
46	以三昧力故令出入息 [停] 住寂静。		《北凉译经》__魏晋六朝
47	事非典则，宜悉 [停] 断。”		《北史》__魏晋六朝
48	时此愚人见子既死，便欲 [停] 置於其家中，自欲弃去。		《百喻经》__魏晋六朝
49	而时愚人闻此语已，即自思念，：“若不得留，要当葬者，须更杀一子， [停] 担两头，乃可胜致。”		《百喻经》__魏晋六朝
50	所以往岁省方，展礼肆观， [停] 銮驻跸，按驾清道，八屯如昔，七萃不移。		《北史》__魏晋六朝
51	卿劬劳既久，欲除卿作州，频敕杨遵彦求堪代卿者，如卿实不可得，所以遂 [停] 。”		《北史》__魏晋六朝
52	土木营造金铜铁诸杂作工，一切 [停] 罢。		《北史》__魏晋六朝
53	 [停] 鹿浑谷六日，诸将犹不集，贼已远遁，追至石水，不及而还。		《北史》__魏晋六朝
54	丧还， [停] 于平城南。		《北史》__魏晋六朝
55	后为 [停] 灸，由是尤钟爱。		《北史》__魏晋六朝
56	先是，吏部尚书崔亮奏立 [停] 年格，不简人才，专问劳旧。		《北史》__魏晋六朝
57	至上党，明帝又私诏 [停] 之。		《北史》__魏晋六朝
58	寻从子思奏，仍为元天穆所忿，遂 [停] 。		《北史》__魏晋六朝
59	白曜到瑕丘，遇患，因 [停] 。		《北史》__魏晋六朝
60	彦深后重被沙汰 [停] 私，门生藜藿，聿脩犹以故情音问来往。		《北史》__魏晋六朝
61	其不依新式者，悉追 [停] 之。		《北史》__魏晋六朝
62	请 [停] 今答。”		《北史》__魏晋六朝
63	丙申，诏 [停] 诸军。		《北史》__魏晋六朝
64	于是黜彝白衣守尚书，昭遂 [停] 废。		《北史》__魏晋六朝
