语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：儒
2022/7/10 23:11:49

序号	语句	书名	朝代
1	自是以来，俗 [儒] 记诵词章之习，其功倍于小学而无用；异端虚无寂灭之教，其高过于大学而无实。		《大学中庸》__春秋战国
2	自是以来，俗 [儒] 记诵词章之习，其功倍于小学而无用；异端虚无寂灭之教，其高过于大		《大学中庸》__春秋战国
3	夫 [儒] 浩居而自顺者也。		《墨子》__春秋战国
4	 [儒] 行第四十一 (注疏本P1668 白文本P 936)		《礼记》__春秋战国
5	鲁哀公问于孔子曰：夫子之服，其 [儒] 服与？		《礼记》__春秋战国
6	丘闻之也，君子之学也博，其服也乡，丘不知 [儒] 服。		《礼记》__春秋战国
7	哀公曰：敢问 [儒] 行。		《礼记》__春秋战国
8	孔子侍曰： [儒] 有席上之珍以待聘，夙夜强学以待问，怀忠信以待 举，力行以待取，其自立有如此者。		《礼记》__春秋战国
9	 [儒] 有衣冠中，动作慎，其大让如慢，小让如伪，大则如威，小则如愧。		《礼记》__春秋战国
10	 [儒] 有居处齐难。		《礼记》__春秋战国
11	 [儒] 有不宝金玉，而忠信以为宝；不祈土地，立义以为土地；不祈多积，多文 以为富。		《礼记》__春秋战国
12	 [儒] 有委之以货财，淹之以乐好，见利不亏其义；劫之以众，沮之以兵，见死 不更其守；鸷虫攫搏不程勇者，引重鼎不程其力；往者不悔，来者不豫；过言不 再，流言不极；不断其威，不习其谋。		《礼记》__春秋战国
13	 [儒] 有可亲而不可劫也，可近而不可迫也，可杀而不可辱也。		《礼记》__春秋战国
14	 [儒] 有忠信以为甲胄，礼义以为干橹；戴仁而行，抱义而处；虽有暴政，不更 其所。		《礼记》__春秋战国
15	 [儒] 有一亩之宫，环堵之室，筚门圭窬，蓬户瓮牖；易衣而出，并日而食，上 答之不敢以疑，上不答不敢以谄，其仕有如此者。		《礼记》__春秋战国
16	 [儒] 有今人与居，古人与稽；今世行之，后世以为楷；适弗逢世，上弗援，下 弗推，谗谄之民，有比党而危之者，身可危也，而志不可夺也，虽危起居，竟信 其志，犹将不忘百姓之病也。		《礼记》__春秋战国
17	 [儒] 有博学而不穷。		《礼记》__春秋战国
18	 [儒] 有内称不辟亲，外举不辟怨。		《礼记》__春秋战国
19	 [儒] 皆闻善以相告也，见善以相示也；爵位相先也，患难相死也；久相待也， 远相致也。		《礼记》__春秋战国
20	 [儒] 有澡身而浴德，陈言而伏，静而正之，上弗知也，粗而翘之，又不急为也； 不临深而为高，不加少而为多，世治不轻，世乱不沮；同弗与，异弗非也。		《礼记》__春秋战国
21	 [儒] 有上不臣天子，下不事诸侯；慎静而尚宽，强毅以与人，博学以知服；近 文章，砥厉廉隅；虽分国如锱铢，不臣不仕。		《礼记》__春秋战国
22	 [儒] 有合志同方，营道同术：并立则乐，相下不厌；久不相见，闻流言不信； 其行本方立义，同而进，不同而退。		《礼记》__春秋战国
23	 [儒] 有不陨获于贫贱，不充诎于富贵；不君王，不累长上，不闵有司，故曰  [儒] ，今众人之命 [儒] 也妄，常以 [儒] 相诟病。		《礼记》__春秋战国
24	孔子至舍，哀公馆之，闻此言也，言加信，行加义：“终没吾世，不敢以 [儒]  为戏。”		《礼记》__春秋战国
25	則末世窮年，不免為陋 [儒] 而已。		《荀子》__春秋战国
26	故隆禮，雖未明，法士也；不隆禮，雖察辯，散 [儒] 也。		《荀子》__春秋战国
27	勞苦之事則偷 [儒] 轉脫，饒樂之事則佞兌而不曲，辟違而不愨，程役而不錄∶橫行天下，雖達四方，人莫不棄。		《荀子》__春秋战国
28	偷 [儒] 憚事，無廉恥而耆飲食，必曰君子固不用力∶是子游氏之賤 [儒] 也。		《荀子》__春秋战国
29	《 [儒] 效》篇第八		《荀子》__春秋战国
