语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：元
2022/11/6 16:10:34

序号	语句	书名	朝代
1	至于今，则 [元] 人北词亦不知矣，而词亦渐失本调矣。		《钝吟杂录》__清
2	乐府中又有灼然不可歌者，如后人赋《横吹》诸题，及用古题而自出新意，或直赋题事，及杜甫、 [元] 、白新乐府是也。		《钝吟杂录》__清
3	沿至于梁 [元] 帝，有《燕歌行集》，其书不传，今可见者，犹有三数篇。		《钝吟杂录》__清
4	子美独构新格，自制题目， [元] 、白辈祖述之，后人遂为新例，陈、隋、初唐诸家，渐澌灭矣。		《钝吟杂录》__清
5	杜子美创为新题乐府，至 [元] 、白而盛。		《钝吟杂录》__清
6	其时至正末年， [元] 顺帝动十七万民夫，浚通黄河故道，一时民不聊生，人人思叛。		《风流悟》__清
7	弄生道：“既如此，我有一计，你明日去买南京花绸二疋，金枝松一只，走盘珠十颗，分外将 [元] 色背褡缎两个，大红汗巾两条，送与二个丫头。		《风流悟》__清
8	只见他家常打扮，穿条 [元] 青裙儿，罩件月白袄儿，头上戴些不村不俏的簪环花朵，年纪约有三十光景，虽是半老佳人，只因是个初过门的新媳妇，还依然打扮的脂光粉腻。		《儿女英雄》__清
9	当 [元] 宗天宝改 [元] 以后，把个杨贵妃宠得迭荡骄纵，帏薄不修。		《儿女英雄》__清
10	只见天儿渐渐亮了，外边有人道：“今年解 [元] 姓张，再无报处。”		《风流悟》__清
11	张同人那时又惊又喜，众人乱嚷道：“解 [元] 要上赏的。”		《风流悟》__清
12	第十六回 贾 [元] 春才选凤藻宫 秦鲸卿夭逝黄泉路		《红楼梦(上)》__清
13	第十八回 皇恩重 [元] 妃省父母 天论乐宝玉呈才藻		《红楼梦(上)》__清
14	第八十三回 省宫闱贾 [元] 妃染恙 闹闺阃薛宝钗吞声		《红楼梦(上)》__清
15	第九十五回 因讹成实 [元] 妃薨逝 以假混真宝玉疯颠		《红楼梦(上)》__清
16	第一○九回 候芳魂五儿承错爱 还孽债迎女返真 [元] 		《红楼梦(上)》__清
17	政老爷的长女名 [元] 春，因贤孝才德，选入宫作女史去了。		《红楼梦(上)》__清
18	只因现今大小姐是正月初一所生，故名‘ [元] 春’，馀者都从了‘春’字；上一排的却也是从弟兄而来的。		《红楼梦(上)》__清
19	第七回  伉俪无情丽春院 [元] 君雪愤 淫冤得白蕊珠宫二美酬恩		《风流悟》__清
20	又把姻簿与他，真娘揭开，只见上写道：“唐朝 [元] 稹绮语陷崔莺莺贞烈被污一案。		《风流悟》__清
21	下注道：“ [元] 稹，字微之，与博陵崔莺莺中表兄妹。		《风流悟》__清
22	崔有才色， [元] 稹心慕焉。		《风流悟》__清
23	 [元] 稹慕而不得，就遂诡作会真诗三十韵，又假作慰情书，污蔑莺莺。		《风流悟》__清
24	 [元] 稹应罚作女身，受崔氏磨折以报负枉不白之罪。		《风流悟》__清
