语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：入
2023/1/20 16:08:01

序号	语句	书名	朝代
1	诗之为文，一出一 [入] ，有切言者，有微言者，轻重无准，唯在达其志耳。		《钝吟杂录》__清
2	今日作文，止效三祖，已为古而难行矣；若更为其不可解者，既不 [入] 乐，何取于伶人语耶？		《钝吟杂录》__清
3	人生在世，不过仗着天地的一口气，及至死了，是个忠臣孝子，义夫节妇，超出轮回，这口气便去成神; 是个平人，这口气再 [入] 轮回，便去作鬼；到了这班混账和尚，人死灯灭，就想作个鬼也不能。		《儿女英雄》__清
4	但是列位，既 [入] 宝山，断无撒手空回的理。		《儿女英雄》__清
5	诸事料理完毕，大家趁此胡掳了些细软东西，只剩了四个张口货的驮骡没人要，便 [入] 了太老爷官马号。		《儿女英雄》__清
6	世高缓步而 [入] ，觉绿槐修竹，清阴欲滴，池内莲花馥郁，分外可人。		《风流悟》__清
7	三姑六婆不 [入] ，斯言永远当遵。		《风流悟》__清
8	吃了茶，就走到小姐绣房门口，掀开帘儿，走将 [入] 去。		《风流悟》__清
9	文世高遂把汗巾、绣鞋，放 [入] 袖中。		《风流悟》__清
10	暗暗的打点停妥，到得人静，刘万户只叫春娇开了后门，放那抬棺木的悄悄而 [入] ，扛抬的人留在外厢，单叫李夫进来，把两个尸首放做一柩。		《风流悟》__清
11	至于那 [入] 金马、登玉堂，是少年朋友的事业， 我过了景了。		《儿女英雄》__清
12	那些同年见了，都道∶“定 [入] 高选。”		《儿女英雄》__清
13	后随便叠了一叠，套 [入] 信封，跟手又往靴页子里一夹，怡然自得。		《官场现形》__清
14	么，只得忍着气走开，仍旧独自一人蹁 [入] 衙内而去。		《官场现形》__清
15	大抵一 [入] 赌场，贫穷子弟未免啼饥号寒，出乖露丑；富贵子弟亦至废时失事，丧身亡家。		《风流悟》__清
16	他道世间那为富不仁的，小则在担头上克剥，大则轻出重 [入] ，浅出满 [入] ，盘放没人家产，吸人脑髓，不顾天理，积成巨万家私。		《风流悟》__清
17	还在文社、诗社、酒社里边混帐，落后就不 [入] 好淘，竟同一班无赖，偷婆娘，斗叶子，嫖赌起来。		《风流悟》__清
18	不知子弟一 [入] 赌场，便如失心头的，不茶不饭，一心一念要钻在里头去了。		《风流悟》__清
19	妙有道：“奴家十五岁被人拐 [入] 烟花，在南京院子里二年，花案上考了个状元。		《风流悟》__清
20	这个人靠着有了几岁年纪，又拙又横，又不讲礼，又不容人说话，褚一官是怕得神出鬼 [入] ，只有他这个女儿降的住他。		《儿女英雄》__清
21	暴秦无道，群友并起，逐鹿中原，那汉王与西楚霸王项羽连合攻秦，约先 [入] 关者王之。		《儿女英雄》__清
22	汉王乘那项王火咸阳、弑义帝、降子婴、东荡西驰的时候， 早暗地里间道 [入] 关， 进位称王。		《儿女英雄》__清
23	妙能在庵里，同人嘱他卖了这庵，将银子另买一所大厅房，连琬娘、同人俱搬 [入] 来。		《风流悟》__清
24	这不是我自己引水 [入] 墙、开门揖盗么！		《儿女英雄》__清
25	第六十六回 情小妹耻情归地府 冷二郎一冷 [入] 空门		《红楼梦(上)》__清
26	第六十八回 苦尤娘赚 [入] 大观园 酸凤姐大闹宁国府		《红楼梦(上)》__清
27	第八十一回 占旺相四美钓游鱼 奉严词两番 [入] 家塾		《红楼梦(上)》__清
28	琼船撞 [入] 玻璃国，琪树瑶林不用栽。		《风流悟》__清
29	第八十七回 感深秋抚琴悲往事 坐禅寂走火 [入] 邪魔		《红楼梦(上)》__清
