语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：公
2022/11/4 21:59:30

序号	语句	书名	朝代
1	嵩居钱塘佛日禅院、阇应密学蔡 [公] 襄所请也。		《禅林僧宝传卷第二十七》__宋
2	聪 [公] 可谓有子矣。		《禅林僧宝传卷第二十七》__宋
3	元曰、 [公] 般若有障三、有近道之质一。		《禅林僧宝传卷第二十七》__宋
4	元曰、 [公] 受气刚大、世缘深。		《禅林僧宝传卷第二十七》__宋
5	时欧阳文忠 [公] 、在场屋。		《禅林僧宝传卷第二十七》__宋
6	李 [公] 问曰、人死识归何所。		《禅林僧宝传卷第二十七》__宋
7	李 [公] 曰、生则端愿已知。		《禅林僧宝传卷第二十七》__宋
8	李 [公] 拟议。		《禅林僧宝传卷第二十七》__宋
9	而 [公] 独献诗、得奏名。		《禅林僧宝传卷第二十三》__宋
10	悦曰、必往依黄蘖南 [公] 。		《禅林僧宝传卷第二十三》__宋
11	 [公] 至黄蘖四年、知有而机不发。		《禅林僧宝传卷第二十三》__宋
12	南 [公] 曰、子入吾室矣。		《禅林僧宝传卷第二十三》__宋
13	 [公] 亦踊跃自喜。		《禅林僧宝传卷第二十三》__宋
14	南 [公] 曰、若不令汝如此究寻、到无用心处。		《禅林僧宝传卷第二十三》__宋
15	 [公] 从容游泳、陆沈众中。		《禅林僧宝传卷第二十三》__宋
16	南 [公] 曰、知是般事便休。		《禅林僧宝传卷第二十三》__宋
17	 [公] 曰、不然、但有纤疑在、不到无学。		《禅林僧宝传卷第二十三》__宋
18	南 [公] 肯之。		《禅林僧宝传卷第二十三》__宋
19	後来南 [公] 迁住黄龙。		《禅林僧宝传卷第二十三》__宋
20	 [公] 往谒。		《禅林僧宝传卷第二十三》__宋
21	 [公] 曰、彼以有得之得、护前遮後。		《禅林僧宝传卷第二十三》__宋
22	见杨杰次 [公] 、而叹曰。		《禅林僧宝传卷第二十三》__宋
23	吾至江西、恨未识南 [公] 。		《禅林僧宝传卷第二十三》__宋
24	次 [公] 曰、有心上座、在漳江。		《禅林僧宝传卷第二十三》__宋
25	 [公] 能自屈、不待见南也。		《禅林僧宝传卷第二十三》__宋
26	 [公] 立见 [公] 剧谈、神思倾豁。		《禅林僧宝传卷第二十三》__宋
27	 [公] 以压尺击狗、又击香卓曰。		《禅林僧宝传卷第二十三》__宋
28	 [公] 曰、才入思惟、便成剩法。		《禅林僧宝传卷第二十三》__宋
29	南 [公] 入灭、 [公] 继住持十有二年。		《禅林僧宝传卷第二十三》__宋
30	虚大沩以致 [公] 。		《禅林僧宝传卷第二十三》__宋
31	 [公] 曰、愿见谢 [公] 、不愿领大沩也。		《禅林僧宝传卷第二十三》__宋
32	 [公] 至长沙、师直愿受法训。		《禅林僧宝传卷第二十三》__宋
33	 [公] 为举其纲。		《禅林僧宝传卷第二十三》__宋
34	 [公] 以生长极南。		《禅林僧宝传卷第二十三》__宋
35	彭器资之守九江、 [公] 见之。		《禅林僧宝传卷第二十三》__宋
36	器资从容问 [公] 。		《禅林僧宝传卷第二十三》__宋
37	 [公] 曰、有之。		《禅林僧宝传卷第二十三》__宋
38	 [公] 曰、待器资死即说。		《禅林僧宝传卷第二十三》__宋
39	可以想见 [公] 人物。		《禅林僧宝传卷第二十三》__宋
40	黄龙南 [公] 、道貌德威。		《禅林僧宝传卷第二十三》__宋
41	 [公] 之造前、意甚闲暇。		《禅林僧宝传卷第二十三》__宋
42	 [公] 既腊高、益移庵深入。		《禅林僧宝传卷第二十三》__宋
43	葬於南 [公] 塔之东、号双塔。		《禅林僧宝传卷第二十三》__宋
44	赞曰、 [公] 於南 [公] 圆寂之日、作偈曰。		《禅林僧宝传卷第二十三》__宋
45	追玩南 [公] 曰。		《禅林僧宝传卷第二十三》__宋
46	至复州北塔、闻耆宿广 [公] 说法。		《禅林僧宝传卷第二十三》__宋
47	南 [公] 问、从什么处来。		《禅林僧宝传卷第二十三》__宋
48	南 [公] 曰、脚下鞋是何处得来。		《禅林僧宝传卷第二十三》__宋
49	南 [公] 曰、何曾自在。		《禅林僧宝传卷第二十三》__宋
50	南 [公] 骇异之。		《禅林僧宝传卷第二十三》__宋
51	南 [公] 住黄龙、师复往焉。		《禅林僧宝传卷第二十三》__宋
52	南 [公] 曰、适令侍者卷帘。		《禅林僧宝传卷第二十三》__宋
53	南 [公] 厉曰、关西人果无头脑。		《禅林僧宝传卷第二十三》__宋
54	南 [公] 大笑。		《禅林僧宝传卷第二十三》__宋
55	南 [公] 入灭。		《禅林僧宝传卷第二十三》__宋
56	太守钱 [公] 弋、先候之。		《禅林僧宝传卷第二十三》__宋
57	钱 [公] 嘲曰。		《禅林僧宝传卷第二十三》__宋
58	钱 [公] 叹曰、人不可虚有名。		《禅林僧宝传卷第二十三》__宋
59	每造室、南 [公] 必敛目。		《禅林僧宝传卷第二十四》__宋
60	与南 [公] 同坐夏积翠。		《禅林僧宝传卷第二十四》__宋
61	韦尚书问仰山寂 [公] 。		《禅林僧宝传卷第二十四》__宋
62	南 [公] 独曰。		《禅林僧宝传卷第二十四》__宋
63	南 [公] 顾香炉。		《禅林僧宝传卷第二十四》__宋
64	南 [公] 笑曰、是此陀罗尼。		《禅林僧宝传卷第二十四》__宋
65	南 [公] 令僧且去。		《禅林僧宝传卷第二十四》__宋
66	南 [公] 曰、若不解、争能与么。		《禅林僧宝传卷第二十四》__宋
67	南 [公] 闻之以为。		《禅林僧宝传卷第二十四》__宋
68	南 [公] 贤之。		《禅林僧宝传卷第二十四》__宋
69	熙宁二年、南 [公] 殁于黄龙。		《禅林僧宝传卷第二十四》__宋
70	诸方伏其 [公] 。		《禅林僧宝传卷第二十四》__宋
71	初至吉州禾山、依禅智材 [公] 。		《禅林僧宝传卷第二十四》__宋
72	归宗寺火、南 [公] 迁石门南塔。		《禅林僧宝传卷第二十四》__宋
73	及南 [公] 自石门、而迁黄蘖积翠。		《禅林僧宝传卷第二十四》__宋
74	南 [公] 佳其勤劳、称于众。		《禅林僧宝传卷第二十四》__宋
75	南 [公] 殁、哭之不成声。		《禅林僧宝传卷第二十四》__宋
76	明年洪州太守荣 [公] 修撰、请住泐潭。		《禅林僧宝传卷第二十四》__宋
77	欲延宝觉禅师心 [公] 。		《禅林僧宝传卷第二十四》__宋
78	远 [公] 尝有谶记。		《禅林僧宝传卷第二十四》__宋
79	罗汉系南禅师、佑 [公] 之子。		《禅林僧宝传卷第二十四》__宋
80	堂堂总 [公] 、僧中之龙。		《禅林僧宝传卷第二十四》__宋
81	南 [公] 殁、去游湘中。		《禅林僧宝传卷第二十五》__宋
82	南康太守陆 [公] 畤、请住玉涧寺。		《禅林僧宝传卷第二十五》__宋
83	谒 [公] 于玉涧道林堂。		《禅林僧宝传卷第二十五》__宋
84	以父事南禅师、南 [公] 钟爱之。		《禅林僧宝传卷第二十五》__宋
85	时与翠岩顺 [公] 、同在黄檗。		《禅林僧宝传卷第二十五》__宋
86	顺诉于南 [公] 曰。		《禅林僧宝传卷第二十五》__宋
87	南 [公] 曰、法如是、以情求闲。		《禅林僧宝传卷第二十五》__宋
88	闲尝问南 [公] 、文首座[即云庵也]、何如在黄檗时。		《禅林僧宝传卷第二十五》__宋
89	南 [公] 曰、渠在黄檗时、如人暴富、用钱如粪土。		《禅林僧宝传卷第二十五》__宋
90	南 [公] 尝以事至双岭。		《禅林僧宝传卷第二十五》__宋
91	南 [公] 问、什么处来。		《禅林僧宝传卷第二十五》__宋
92	日南 [公] 曰、脚跟好痛三十棒。		《禅林僧宝传卷第二十五》__宋
93	南 [公] 喝曰、许多时行脚、无点气息。		《禅林僧宝传卷第二十五》__宋
94	南 [公] 咨嗟、而视曰。		《禅林僧宝传卷第二十五》__宋
95	南 [公] 曰、此间有辩上座者、汝著精彩。		《禅林僧宝传卷第二十五》__宋
96	南 [公] 大笑、闲却展两手。		《禅林僧宝传卷第二十五》__宋
97	南 [公] 喝之。		《禅林僧宝传卷第二十五》__宋
98	南 [公] 曰、这里从汝胡言汉语。		《禅林僧宝传卷第二十五》__宋
99	南 [公] 拍一拍、闲便喝。		《禅林僧宝传卷第二十五》__宋
100	南 [公] 以手指曰、这柱得与么圆。		《禅林僧宝传卷第二十五》__宋
101	南 [公] 大笑云、一等是精灵。		《禅林僧宝传卷第二十五》__宋
