语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：兴
2022/7/10 23:02:29

序号	语句	书名	朝代
1	是以或见神以 [兴] ，亦或以亡。		《国语》__春秋战国
2	昔夏之 [兴] 也，融降于崇山，其亡也，回禄信于☆隧。		《国语》__春秋战国
3	商之 [兴] 也，☆杌次于丕山，其亡也，夷羊在牧，周之 [兴] 也，☆☆鸣于岐山，其衰也，杜伯射王于☆，是皆明神之志者也。”		《国语》__春秋战国
4	太子遂行，克霍而反，谗言弥 [兴] 。		《国语》__春秋战国
5	成汤起于夏台，文王 [兴] 于羑里，正		《周易》__周
6	 [兴] 也。		《大学中庸》__春秋战国
7	惟口出好 [兴] 戎，朕言不再。”		《尚书》__周
8	乃使梁由靡告于秦穆公曰：“天降祸于晋国，谗言繁 [兴] ，延及寡君之绍续昆裔，隐悼播越，托在草莽，未有所依。		《国语》__春秋战国
9	丧田不惩，祸乱其 [兴] 。”		《国语》__春秋战国
10	一家仁，一国 [兴] 仁；一家让，一国 [兴] 让；一人贪戾，一国作乱；其机如此。		《大学中庸》__春秋战国
11	 [兴] 也。		《大学中庸》__春秋战国
12	司射进度壶，间以二矢半，反位，设中，东面，执八 [兴] 。		《礼记》__春秋战国
13	所谓平天下在治其国者：上老老而民 [兴] 孝，上长长而民 [兴] 弟，上恤孤而民不倍，是以君子有絜矩之道也。		《大学中庸》__春秋战国
14	 [兴] ，谓有所感发而 [兴] 起也。		《大学中庸》__春秋战国
15	郑大师文终日鼓瑟而 [兴] ，再拜其瑟前曰： “我效於子，效於不穷也。”		《吕氏春秋》__春秋战国
16	昔烈山氏之有天下也，其子曰柱，能殖百谷百蔬；夏之 [兴] 也，周弃继之，故祀以为稷。		《国语》__春秋战国
17	一家仁，一国 [兴] 仁；一家让，一国 [兴] 让；一人贪戾，一国作乱；其机如此。		《大学中庸》__春秋战国
18	天休于宁王， [兴] 我小邦周，宁王惟卜用，克绥受兹命。		《尚书》__周
19	所谓平天下在治其国者：上老老而民 [兴] 孝，上长长而民 [兴] 弟，上恤孤而民不倍，是以君		《大学中庸》__春秋战国
20	尔小子乃 [兴] ，従尔迁。”		《尚书》__周
21	鲁侯伯禽宅曲阜，徐、夷并 [兴] ，东郊不开。		《尚书》__周
22	徂兹淮夷、徐戎并 [兴] 。		《尚书》__周
23	今天降疾，殆弗 [兴] 弗悟。		《尚书》__周
24	王再拜， [兴] ，答曰：“眇眇予末小子，其能而乱四方以敬忌天威。”		《尚书》__周
25	鲧则殛死，禹乃嗣 [兴] ，天乃锡禹‘洪范’九畴，彝伦攸叙。		《尚书》__周
26	王若曰：“伯冏，惟予弗克于德，嗣先人宅丕后，怵惕惟厉，中夜以 [兴] ，思免厥愆。		《尚书》__周
27	凡冯尸，  [兴] 必踊。		《礼记》__春秋战国
28	图厥政，莫或不艰，有废有 [兴] ，出入自尔师虞，庶言同则绎。		《尚书》__周
29	故 [兴] 王有道，而持之异理。		《商君书》__春秋战国
30	四邻之国一 [兴] 事，而己四 [兴] 军，故曰国危。		《商君书》__春秋战国
31	是日也，妻以子见于父，贵 人则为衣服，自命士以下，皆漱浣，男女夙 [兴] ，沐浴衣服，具视朔食，夫入门， 升自阼阶，立于阼西乡，妻抱子出房，当楣立东面。		《礼记》__春秋战国
32	故兵行敌之所不敢行，强；事 [兴] 敌之所羞为，利。		《商君书》__春秋战国
33	暗乱之道废而聪明之势 [兴] 也。		《韩非子》__春秋战国
34	莫邪不为勇者 [兴] 惧者变，勇者以工，惧者以拙，能与不能也。		《吕氏春秋》__春秋战国
35	商今其有灾，我 [兴] 受其败；商其沦丧，我罔为臣仆。		《尚书》__周
36	会有一欲，则北至大夏，南至北户，西至三危，东至扶木，不敢乱矣；犯白刃，冒流矢，趣水火，不敢却也；晨寤 [兴] ，务耕疾庸，巽为烦辱，不敢休矣。		《吕氏春秋》__春秋战国
37	臣之所谓兵者，非谓悉 [兴] 尽起也，论竟内所能给军卒车骑，令故秦兵，新民给刍食。		《商君书》__春秋战国
38	此国所以递 [兴] 递废也，乱难之所以时作也。		《吕氏春秋》__春秋战国
39	国好力者以难攻，以难攻者必 [兴] ；好辩者以易攻，以易攻者必危。		《商君书》__春秋战国
40	汤、武之王也，不修古而 [兴] ；殷、夏之灭也，不易礼而亡。		《商君书》__春秋战国
41	民 [兴] 胥渐，泯泯棼棼，罔中于信，以覆诅盟。		《尚书》__周
42	国有十者，上无使战，必削至亡；国无十者，上有使战，必 [兴] 至王。		《商君书》__春秋战国
43	烝，冬事也，春 [兴] 之，志不时也。		《榖梁传》__春秋战国
44	烝，冬事也，春夏 [兴] 之，黩祀也。		《榖梁传》__春秋战国
45	兵行敌所不敢行，强；事 [兴] 敌所羞为，利。		《商君书》__春秋战国
46	国无八者，上有以使守战，必 [兴] 至王。		《商君书》__春秋战国
47	将欲废之，必固 [兴] 之。		《老子》__春秋战国
48	有渰萋萋， [兴] 雨祈々。		《诗经》__周
49	尝观之《神农有炎》之德，稽之虞、夏、商、周之书，度诸法士贤人之言， 所以存亡废 [兴] 而非由此道者，未之有也。”		《列子》__春秋战国
50	今令尹又用之杀众不辜，以 [兴] 大谤，患几及令尹。”		《吕氏春秋》__春秋战国
51	庆封谓崔杼曰：“且留，吾将 [兴] 甲以杀之。”		《吕氏春秋》__春秋战国
52	因令卢满嫳 [兴] 甲以诛之。		《吕氏春秋》__春秋战国
53	言念君子，载寝载 [兴] 。		《诗经》__周
54	是以明于天之道，而察于民之故，是 [兴] 神物以前民用。		《周易》__周
55	明天道，故知神物之可 [兴] ；察民故，故知其用之不		《周易》__周
56	周内史 [兴] 闻之曰： “晋公其霸乎！		《吕氏春秋》__春秋战国
57	夫人闻之，大骇，令吏 [兴] 卒。		《吕氏春秋》__春秋战国
58	 [兴] 兵伐之，陈可取也。”		《吕氏春秋》__春秋战国
59	不知其说所以然而然，圣人因而 [兴] 制，不事心焉。		《吕氏春秋》__春秋战国
60	将欲废之，必固 [兴] 之。”		《老子想尔注》__春秋战国
61	先 [兴] 後必衰废。“		《老子想尔注》__春秋战国
62	及俗人废言，先取张彊 [兴] 之利，然後返凶矣。		《老子想尔注》__春秋战国
63	子 [兴] 视夜，明星有烂。		《诗经》__周
64	《易》之 [兴] 也，其于中古乎？		《周易》__周
65	《履》以和行，《谦》以制礼，《复》以自知，《恒》以一德，《损》以远害，《益》以 [兴] 利，《困》以寡		《周易》__周
66	道往者其人莫往道来者其人莫来道之所设身 [兴] 之化也，		《管子》__春秋战国
67	《易》之 [兴] 也，其当殷之末世，周之盛德邪？		《周易》__周
68	诗，可以 [兴] ，可以观，可以群，可以怨。		《论语》__春秋战国
69	 [兴] 灭国，继绝世，举逸民，天下之民归心焉。		《论语》__春秋战国
70	凡之道，每变以众，所以别贵贱之等，而 [兴] 施惠之象也。		《礼记》__春秋战国
71	夫祭之为物大矣，其 [兴] 物备矣，顺以备者也，其教之本与？		《礼记》__春秋战国
72	孟春行夏令，则风雨不时，草木早槁，国乃有恐；行秋令，则民大疫，疾风暴雨数至，藜莠蓬蒿并 [兴] ；行冬令，则水潦为败，霜雪大挚，首种不入。		《吕氏春秋》__春秋战国
73	乃考文叔， [兴] 旧耆欲，作率庆士，躬恤卫国，其勤公家， 夙夜不解，民咸曰休哉！		《礼记》__春秋战国
74	念彼共人， [兴] 言出宿。		《诗经》__周
75	定公问：“一言而可以 [兴] 邦，有诸？”		《论语》__春秋战国
76	’如知为君之难也，不几乎一言而 [兴] 邦乎？”		《论语》__春秋战国
77	夙 [兴] ，妇沐浴以俟见。		《礼记》__春秋战国
78	我友敬矣，谗言其 [兴] 。		《诗经》__周
79	子云：“有国家者，贵人而贱禄，则民 [兴] 让；尚技而贱车，则民 [兴] 艺。		《礼记》__春秋战国
