语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：兵
2022/7/12 22:05:55

序号	语句	书名	朝代
1	到得癸巳六月，淮南行省平章福寿击□了张士诚，会伯颜帖木儿等，合 [兵] 进蕲水破之，自此道路稍通。		《风流悟》__清
2	不但这个须得证见，赵大的小工被 [兵] 打死，究竟是谁的凶手		《官场现形》__清
3	 [兵] 强奸的人，只是淌眼泪，不敢回答。		《官场现形》__清
4	任着那五王交横，奸相当权，激反胡奴，渔阳 [兵] 起。		《儿女英雄》__清
5	扛了一日，到晚间，那 [兵] 备因众官参见毕，踱进私宅，正撞着了莫拿我。		《风流悟》__清
6	那 [兵] 备一眼看去，心上如有所疑道：“这人我有些面熟。”		《风流悟》__清
7	那 [兵] 备留心，明日唤驿丞进来道：“里边还要打扫，昨日囚徒唤来俟候。”		《风流悟》__清
8	 [兵] 备袖了，理完堂事，到私宅点名。		《风流悟》__清
9	 [兵] 备道：“你可是苏州的么？”		《风流悟》__清
10	 [兵] 备道：“你为何问罪到此？”		《风流悟》__清
11	 [兵] 备叹道：“不道尔辈中有你这样好人。”		《风流悟》__清
12	 [兵] 备道：“你实是我恩人，不匡今日在此相逢。”		《风流悟》__清
13	看官们，你道那 [兵] 备是谁？		《风流悟》__清
14	是日得了银子采头，有了科举，是年就连科中了进士，钦授湖广 [兵] 备，今日到任。		《风流悟》__清
15	王 [兵] 备道：“且请到书房里坐了细谈。”		《风流悟》__清
16	莫拿我那里敢，王 [兵] 备不由分说，一把扯进里边，报知奶奶。		《风流悟》__清
17	王 [兵] 备道：“老莫，你记得大雪中曾叩门送银子赠人么？”		《风流悟》__清
18	 [兵] 备道：“然也。		《风流悟》__清
19	一日，王 [兵] 备退堂，莫拿我与他饮酒，说着自己生平本事。		《风流悟》__清
20	 [兵] 备连忙拆看，这一看不大紧，竟似：		《风流悟》__清
21	吓得王 [兵] 备手足无措。		《风流悟》__清
22	文书上道：“佘山王勾结响马，领 [兵] 围城，声言十万，刻期要调六营 [兵] 丁守城，贵道领各官守门，随机应敌，无误。”		《风流悟》__清
23	那 [兵] 备着忙道：“太平日久，无 [兵] 无将，如何是好？”		《风流悟》__清
24	 [兵] 备道：“老莫，你帮我一帮。”		《风流悟》__清
25	王 [兵] 备忙道：“莫非你与他有旧么？”		《风流悟》__清
26	 [兵] 备道：“他同佘山王领 [兵] 十万，势甚利害，我方愁身家难保，怎说小盗。”		《风流悟》__清
27	 [兵] 备扯住道：“万一城破，我正要央你作伴逃难，怎说个去字。”		《风流悟》__清
28	 [兵] 备道：“恁说时果有退贼妙策么？”		《风流悟》__清
29	王 [兵] 备看了，足了半晌，不见什么意思，转身吩咐奶奶，收拾收拾，相机脱身。		《风流悟》__清
30	王 [兵] 备听罢，忙打拱道：“足见诸兄经济，就烦传谕一传谕，开写文书，以示群盗。”		《风流悟》__清
31	听原来那边 [兵] 敲梆，只在外边第一层、第二层、第三层倒没有了。		《风流悟》__清
32	奉 [兵] 道王爷将令：献上匕首一柄，不便遽取尊头，伏乞照原。		《风流悟》__清
33	于是即备名马一百匹，白银一千两，修书一封，差人赍送城边，一面撤营收 [兵] ，回去不题。		《风流悟》__清
34	再说王 [兵] 备正在城里商量，撮借百姓的助饷银两，一时不能凑手。		《风流悟》__清
35	王 [兵] 备听了，反吃一吓道：“必是贼人诈谋。”		《风流悟》__清
36	钦命特用湖广 [兵] 备道王老爷麾下：下本布衣，因乱为众所推，本将提 [兵] 十万，翦除贪官污吏，救民涂炭。		《风流悟》__清
37	却说王 [兵] 备看了书，又喜又疑道：“难道莫拿我一个人，敢到他营里去？”		《风流悟》__清
38	王 [兵] 备见了，即拉住他嚷道：“莫非他说壮士就是你。”		《风流悟》__清
39	一面说，只见守城官又报道：“贼 [兵] 通拔营去了，外边遗下马一百匹，背上驮上两袋银子，今特送进，望老爷验收。”		《风流悟》__清
40	王 [兵] 备快活得了不得，忙对着莫拿我深深作个揖道：“真亏你神手，不惟使地方安静，又得保全下官前程性命，如此大恩，如何报答。		《风流悟》__清
41	我今不敢没你的功劳，即当特题一疏，举荐你做本地总 [兵] 官，同你在地方上快活几时，也不枉与你相与一番。”		《风流悟》__清
42	湖广 [兵] 备道臣王道，题为剿寇功成，奇才难没，特为荐剡，以护地方事。		《风流悟》__清
43	臣道自莅任以来，未及一月，忽遭海寇结连山贼提 [兵] 数万，围困城池，声言借粮，所往焚劫。		《风流悟》__清
44	臣闻报后，夙夜图谋，万难控御，外既无 [兵] ，内复无饷，无 [兵] 可以应敌？		《风流悟》__清
45	臣有故人莫拿我者，胸怀经济，夙储报国之孤忠，目睹艰难，竟出匡时之奇略，不烦一 [兵] ，不费一粟，以寸铁而丧彼三军之心，以一身而退彼数万之众。		《风流悟》__清
46	当时此本一上，龙颜大喜，圣旨即批道：“王道剿寇有功，加三级仍供前职；莫拿我出奇退贼，着即任彼为总 [兵] ，该部写敕与他。		《风流悟》__清
47	到任之日，他头带乌纱，身穿大红圆领，几个把总参由，领着三四千 [兵] ，俱戎妆参见。		《风流悟》__清
48	王 [兵] 备将一小女儿，与他结了姻，以报他资助之恩。		《风流悟》__清
49	因扶余国作乱，要弟同 [兵] 部官领 [兵] 赍诏去招安他，刻不可缓，星夜起身前去。”		《风流悟》__清
50	因此防海总 [兵] 官奏闻，特着山左玉同 [兵] 部郎中杨云、总 [兵] 徐健，相机行事，或战或抚。		《风流悟》__清
51	于是国王回国，即设宴相请山左玉同 [兵] 部杨云、总 [兵] 徐健，三人同去赴宴。		《风流悟》__清
52	夏十叹了口气，便细细诉说起军门在广西如何浮开报销、多贪军饷和纵 [兵] 为匪的事。		《官场现形》__清
53	晚生有个朋友，同德国 [兵] 官极其要好，就托他去借；连吃大菜的刀叉杯盘，桌子上的摆式，还有做大菜的厨子，亦问他借用几天。		《官场现形》__清
54	年纪不上二十三四岁，男的又老实小心，女的又温柔勤俭，原是南直■山县人，因 [兵] 乱逃到这里来的。		《风流悟》__清
55	如‘动天金鼓逼神州’一律，观其起句及‘杜邮’、‘凤池’，酷似李茂贞 [兵] 犯京师，天子赐宰相杜让能死，代其姬人之作，而题又绝不相近。		《答万季埜诗问》__清
