语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：具
2022/7/10 23:08:17

序号	语句	书名	朝代
1	孝子之心亦益衰矣家室之计，衣服之 [具] ，亦可以成矣，亲戚之远 者，亦可以至矣。		《礼记》__春秋战国
2	明德者，人之所得乎天，而虚灵不昧，以 [具] 众理而应万事者也。		《大学中庸》__春秋战国
3	子为我 [具] 特羊之飨，吾以从之饮酒。		《国语》__春秋战国
4	骊姬许诺乃 [具] ，使优施饮里克酒。		《国语》__春秋战国
5	左右告矢 [具] ，请拾投。		《礼记》__春秋战国
6	诗云：“节彼南山，维石岩岩，赫赫师尹，民 [具] 尔瞻。”		《大学中庸》__春秋战国
7	 [具] ，俱也。		《大学中庸》__春秋战国
8	 [具] 父母大父母，衣纯以缋； [具] 父母，衣纯以青。		《礼记》__春秋战国
9	故《诗》曰：“曾孙侯氏，四正 [具] 举。		《礼记》__春秋战国
10	此天子之所以养诸侯，而兵不用，诸侯自为正之 [具]  也。		《礼记》__春秋战国
11	 [具] 舟除隧，不共有法。”		《国语》__春秋战国
12	“节彼南山，维石岩岩，赫赫师尹，民 [具] 尔瞻。”		《大学中庸》__春秋战国
13	祭悼子，康子与焉，酢不受，彻俎不宴，宗不 [具] 不绎，绎不尽饫则退。		《国语》__春秋战国
14	有司告 [具] 而后去杖。		《礼记》__春秋战国
15	荆之大其沉浅也说在 [具] 。		《墨子》__春秋战国
16	占 [具] 象中，又利用祭祀，久当获福。		《周易》__周
17	大夫士既殡而君往焉，使人 戒之，主人 [具] 殷奠之礼，俟于门外。		《礼记》__春秋战国
18	大夫士若君不戒 而往，不 [具] 殷奠，君退必奠。		《礼记》__春秋战国
19	吾欲与之徼天之衷，唯是车马、兵甲、卒伍既 [具] ，无以行之。		《国语》__春秋战国
20	吾欲与之徼天之衷，唯是车马、兵甲、卒伍既 [具] ，无以行之。		《国语》__春秋战国
21	中非独弦也，而弦为弓中之 [具] 也。		《吕氏春秋》__春秋战国
22	夫立功名亦有 [具] ，不得其 [具] ，贤虽过汤、武。		《吕氏春秋》__春秋战国
23	贤非衰也，智非愚也，皆无其 [具] 也。		《吕氏春秋》__春秋战国
24	故凡立功名，虽贤，必有其 [具] ，然後可成。		《吕氏春秋》__春秋战国
25	若已食则退，若未食，则佐长者视 [具] 。		《礼记》__春秋战国
26	五日，则覃汤请浴，三日 [具] 沐。		《礼记》__春秋战国
27	兹予有乱政同位， [具] 乃贝玉。		《尚书》__周
28	若非所 献，则不敢以入子宗子之门，不敢以贵富加于父兄宗族，若富，则 [具] 二牲，献其 贤者于宗子，夫妇皆齐而宗敬焉，终事而后敢私祭。		《礼记》__春秋战国
29	爵、、蜩、芝而、{艹凌}、 [具] 枣、栗、榛、柿、瓜、桃、李、梅、杏、 查、梨、姜、桂。		《礼记》__春秋战国
30	 [具] 象中，但九陵、七日之象，则未详耳。		《周易》__周
31	国君世子生，告于君，接以大牢，宰掌 [具] 。		《礼记》__春秋战国
32	是日也，妻以子见于父，贵 人则为衣服，自命士以下，皆漱浣，男女夙兴，沐浴衣服， [具] 视朔食，夫入门， 升自阼阶，立于阼西乡，妻抱子出房，当楣立东面。		《礼记》__春秋战国
33	俎，有虞氏以完， 夏后氏以{山厥}，殷以 [具] ，周以房俎。		《礼记》__春秋战国
