语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：兹
2023/1/20 16:04:09

序号	语句	书名	朝代
1	中饮，优施起舞，谓里克妻曰：“主孟啖我，我教 [兹] 暇豫事君。”		《国语》__春秋战国
2	允若 [兹] ，嘉言罔攸伏，野无遗贤，万邦咸宁。		《尚书》__周
3	念 [兹] 在 [兹] ，释 [兹] 在 [兹] ，名言 [兹] 在 [兹] ，允出 [兹] 在 [兹] ，惟帝念功。”		《尚书》__周
4	帝曰：“皋陶，惟 [兹] 臣庶，罔或干予正。		《尚书》__周
5	宥过无大，刑故无小；罪疑惟轻，功疑惟重；与其杀不辜，宁失不经；好生之德，洽于民心， [兹] 用不犯于有司。”		《尚书》__周
6	蠢 [兹] 有苗，昏迷不恭，侮慢自贤，反道败德，君子在野，小人在位，民弃不保，天降之咎，肆予以尔众士，奉辞伐罪。		《尚书》__周
7	至諴感神，矧 [兹] 有苗。”		《尚书》__周
8	惇叙九族，庶明励翼，迩可远在 [兹] 。”		《尚书》__周
9	又攻 [兹] 范氏而大败之。		《墨子》__春秋战国
10	 [兹] 殷庶士，席宠惟旧，怙侈灭义，服美于人。		《尚书》__周
11	父师，邦之安危，惟 [兹] 殷士。		《尚书》__周
12	敷贲敷前人受命， [兹] 不忘大功。		《尚书》__周
13	即命曰：‘有大艰于西土，西土人亦不静，越 [兹] 蠢。		《尚书》__周
14	天休于宁王，兴我小邦周，宁王惟卜用，克绥受 [兹] 命。		《尚书》__周
15	天命不僭，卜陈惟若 [兹] 。”		《尚书》__周
16	 [兹] 率厥典，奉若天命。		《尚书》__周
17	诞淫厥泆，罔顾于天显民祗，惟时上帝不保，降若 [兹] 大丧。		《尚书》__周
18	今朕作大邑于 [兹] 洛，予惟四方罔攸宾，亦惟尔多士攸服奔走臣我多逊。		《尚书》__周
19	今尔惟时宅尔邑，继尔居；尔厥有干有年于 [兹] 洛。		《尚书》__周
20	徂 [兹] 淮夷、徐戎并兴。		《尚书》__周
21	既弥留，恐不获誓言嗣， [兹] 予审训命汝。		《尚书》__周
22	冬，十有二月，公孙 [兹] 帅师会齐人、宋人、卫人、郑人、许人、曹人侵陈。		《榖梁传》__春秋战国
23	高宗乃言曰：“以余一人正四方，余唯恐言之不类也， [兹] 故不言。”		《吕氏春秋》__春秋战国
