语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：冲
2022/7/10 22:28:58

序号	语句	书名	朝代
1	凡待烟 [冲] 云梯临之法。		《墨子》__春秋战国
2	洪惟我幼 [冲] 人，嗣无疆大历服。		《尚书》__周
3	用颉皋 [冲] 之		《墨子》__春秋战国
4	肆予 [冲] 人永思艰，曰：呜呼！		《尚书》__周
5	予造天役，遗大投艰于朕身，越予 [冲] 人，不卬自恤。		《尚书》__周
6	昔公勤劳王家，惟予 [冲] 人弗及知。		《尚书》__周
7	嗣前人，恭明德，在今予小子旦非克有正，迪惟前人光施于我 [冲] 子。”		《尚书》__周
8	肆予 [冲] 人，非废厥谋，吊由灵各；非敢违卜，用宏兹贲。		《尚书》__周
9	汝惟 [冲] 子，惟终。		《尚书》__周
10	明保予 [冲] 子。		《尚书》__周
11	文武勤教，予 [冲] 子夙夜毖祀。”		《尚书》__周
12	壶子曰：“向吾示之以太 [冲] 莫朕，是殆见 吾衡气几也。		《列子》__春秋战国
13	4.道 [冲] 而用之，或不盈。		《老子》__春秋战国
14	今 [冲] 子嗣，则无遗寿耇，曰其稽我古人之德，矧曰其有能稽谋自天？		《尚书》__周
15	万物负阴而抱阳， [冲] 气以为和。		《老子》__春秋战国
16	大盈若 [冲] ，其用不穷。		《老子》__春秋战国
17	衣铁甲操铁杖以战，而所击无不碎，所 [冲] 无不陷，以车投车，以人投人也。		《吕氏春秋》__春秋战国
18	“道 [冲] 而用之不盈。”		《老子想尔注》__春秋战国
19	清轻者上为天，浊重者下为地， [冲] 和气者为人；故天地 含精，万物化生。”		《列子》__春秋战国
20	 [冲] 命者君之尊也受辞者君之运也，		《管子》__春秋战国
21	佩玉有 [冲] 牙， 君子无故，玉不去身，君子于玉比德焉。		《礼记》__春秋战国
22	仲尼曰：“钟大而悬下， [冲] 之其气下回而上薄，是以曰钟将毁。		《晏子春秋》__春秋战国
23	以尔钩援，与尔临 [冲] ，以伐崇墉。		《诗经》__周
24	临 [冲] 闲闲，崇墉言言。		《诗经》__周
25	临 [冲] 茀茀，崇墉仡仡。		《诗经》__周
26	太和，阴阳会合 [冲] 和之气也。		《周易》__周
27	与女游兮九河， [冲] 风至兮水扬波。		《楚辞》__春秋战国
28	与女游兮九河， [冲] 风起兮横波。		《楚辞》__春秋战国
29	晋荀吴自著雍以上军侵鲜虞，及中人，驱 [冲] 竞，大获而归。		《左传》__春秋战国
30	子产及 [冲] ，使従者止之曰：“毁于北方。”		《左传》__春秋战国
31	主人焚 [冲] ，或濡马褐以救之，遂毁之。		《左传》__春秋战国
32	壶子曰：“吾乡示之以以太 [冲] 莫胜，是殆见吾衡气机也。		《庄子》__春秋战国
33	加时，在望日 [冲] 辰。		《汉书》__汉
