语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：出
2022/11/6 16:20:03

序号	语句	书名	朝代
1	已有人通风与公孙楚知道，疾忙执着长戈起 [出] 。		《初刻拍案惊奇》__元明
2	当下开了拜匣，称 [出] 束修银伍钱，做个封筒封了。		《初刻拍案惊奇》__元明
3	积下数年束修，四五十金聘礼也好勉强 [出] 得。		《初刻拍案惊奇》__元明
4	但我们妇人家，又不晓得文字，目令提学要到台州岁考，待官人考了优等，就 [出] 吉帖便是。		《初刻拍案惊奇》__元明
5	说罢，也不管子文要与不要，摸 [出] 吉帖，望子文袖中乱摔。		《初刻拍案惊奇》__元明
6	朝奉接着，奉茶寒温已罢，便唤 [出] 女儿朝霞到厅。		《初刻拍案惊奇》__元明
7	今有台州府天台县儒生韩子文礼聘为妻，实 [出] 两愿。		《初刻拍案惊奇》__元明
8	金朝奉道：“计将安 [出] ？”		《初刻拍案惊奇》__元明
9	不逾时抬 [出] 放告牌来，程朝奉随着牌进去。		《初刻拍案惊奇》__元明
10	那子文听罢，气得呆了半晌，一句话也说不 [出] 。		《初刻拍案惊奇》__元明
11	只为贫不敌富，所以无端生 [出] 是非。”		《初刻拍案惊奇》__元明
12	又害那赵孝打了屈棒，免不得与金朝奉共 [出] 些遮羞钱与他，尚自喃喃呐呐的怨怅。		《初刻拍案惊奇》__元明
13	假饶误 [出] 误入，那有罪的老死牖下，无罪的却命绝于囹圄、刀锯之间，难道头顶上这个老翁是没有眼睛的么？		《初刻拍案惊奇》__元明
14	千奇百怪的巧生 [出] 机会来了此公案。		《初刻拍案惊奇》__元明
15	那王甲原是仇人，又且长须大面，虽然搽墨，却是认得 [出] 的。		《初刻拍案惊奇》__元明
16	随你那里告辨， [出] 不得县间初案，他也不肯认错翻招。		《初刻拍案惊奇》__元明
17	邹老人道：“有了许多白物，好歹要寻 [出] 一个机会来。		《初刻拍案惊奇》__元明
18	饮至更深时分，老人屏去众人，便将百两银子托 [出] ，献与徐公。		《初刻拍案惊奇》__元明
19	只为些些小事，被好人暗算，弄 [出] 天大一场祸来。		《初刻拍案惊奇》__元明
20	常见大人家强梁潼仆，每每借着势力，动不动欺打小民，到得做 [出] 事来，又是家主失了体面。		《初刻拍案惊奇》__元明
21	王生对客人谢了个不是，讨些酒饭与他吃了，又拿 [出] 白绢一匹与他，权为调理之资。		《初刻拍案惊奇》__元明
22	若是王生有未卜先知的法术，慌忙向前拦腰抱住，扯将转来，就养他在家半年两个月，也是情愿，不到得惹 [出] 飞来横祸。		《初刻拍案惊奇》__元明
23	双手撒开金线网，从中钓 [出] 是非来。		《初刻拍案惊奇》__元明
24	走进房中与妻子说了，道：“几乎做 [出] 一场大事来。		《初刻拍案惊奇》__元明
25	如何做 [出] 这人命来？”		《初刻拍案惊奇》__元明
26	不如不要提起，待我 [出] 些谢礼与你，求你把此尸载到别处抛弃了。		《初刻拍案惊奇》__元明
27	心中已自放下几分，又摆 [出] 酒饭与船家吃了。		《初刻拍案惊奇》__元明
28	那三岁的女儿， [出] 起极重的痘子来。		《初刻拍案惊奇》__元明
29	挨至三更时分，那女儿只有 [出] 的气，没有入的气，告辞父母往阎家里去了。		《初刻拍案惊奇》__元明
30	直到数日之后，同伴中说 [出] 实话来，却是胡阿虎一路饮酒沉醉，失去请帖，故此直挨至次日方回，遭此一场大谎。		《初刻拍案惊奇》__元明
31	如今不想家主行凶不改，小的恐怕再做 [出] 事来，以致受累，只得重将前情首告。		《初刻拍案惊奇》__元明
