语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：判
2022/7/10 22:59:16

序号	语句	书名	朝代
1	九三，以过刚不中，当限之处，而艮其限，则不得屈伸，而上下 [判] 隔，如列其夤矣。		《周易》__周
2	将予就之，继犹 [判] 涣。		《诗经》__周
3	今君起百姓以自封也，民外不得其利，而内恶其贪，则上下既有 [判] 矣，然而又生男，其天道也？		《国语》__春秋战国
4	百姓兆民，夫人奉利而归诸上，是利之内也，若七德离 [判] ，民乃携贰，各以利退，上求不暨，是其外利也。		《国语》__春秋战国
5	正乐县之位，王宫县，诸侯轩县，卿大夫 [判] 县，士特县。		《周礼》__春秋战国
6	媒氏掌万民之 [判] 。		《周礼》__春秋战国
7	凡娶 [判] 妻入子者，皆书之。		《周礼》__春秋战国
8	天子圭中必，四圭尺有二寸，以祀天；大圭长三尺，杼上终葵首，天子服之；土圭尺有五寸，以致日、以土地；祼圭尺有二寸，有瓚，以祀庙；琬圭九寸而缫，以象德；琰圭九寸， [判] 规，以除慝，以易行；璧羡度尺，好三寸，以为度；圭璧五寸，以祀日月星辰；璧琮九寸，诸侯以享天子；谷圭七寸，天子以聘女；大璋中璋九寸，边璋七寸，射四寸，厚寸，黄金勺，青金外，朱中，鼻寸，衡四寸，有缫，天子以巡守。		《周礼》__春秋战国
9	薋菉葹以盈室兮， [判] 独离而不服。”		《楚辞》__春秋战国
10	凡有责者，有 [判] 书以治，则听。		《周礼》__春秋战国
11	璋 [判] 白，弓绣质，龟青纯。		《公羊传》__春秋战国
12	 [判] 天地之美，析万物之理，察古人		《庄子》__春秋战国
13	扞御北狄，通吴于晋，教吴 [判] 楚，教之乘车、射御、驱侵，使其子孤庸为吴行人焉。		《左传》__春秋战国
14	天地合精，夫妇 [判] 合。		《汉书》__汉
15	秋，纪季以酅入于齐，纪于是乎始 [判] 。		《左传》__春秋战国
16	夫圣人之斫削物也，剖之 [判] 之，离之散之；已淫已失，复揆以一；		《淮南子》__汉
17	一身之中，神之分离剖 [判] ，六合		《淮南子》__汉
18	略表山川，彰其剖 [判] 。		《汉书》__汉
19	剖 [判] 大宗，窍领天地，袭九，重九？		《淮南子》__汉
20	中国之人以亿计，地方万里，居天下之膏腴，人众车舆，万物殷富，政由一家，自天地剖 [判] 未始有也。		《汉书》__汉
21	昔我高宗崇德建武，克绥西域，以受白虎威胜之瑞，天地 [判] 合，乾、坤序德。		《汉书》__汉
