语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：制
2022/7/10 23:10:37

序号	语句	书名	朝代
1	大侵之礼，君食不兼味，台榭不涂，弛侯，廷道不除，百官布而不 [制] ，鬼神祷而不祀，此大侵之礼也。		《榖梁传》__春秋战国
2	是故事君者，君为我心， [制] 不在我。”		《国语》__春秋战国
3	桓公择是寡功者而谪之，曰：“ [制] 地、分民如一，何故独寡功？		《国语》__春秋战国
4	管子于是 [制] 国：“五家为轨，轨为之长；十轨为里，里有司；四里为连，连为之长；十连为乡，乡有良人焉。		《国语》__春秋战国
5	管子于是 [制] 国以为二十一乡：工商之乡六；士乡十五，公帅五乡焉，国子帅五乡焉，高子帅五乡焉。		《国语》__春秋战国
6	曳，以 [制] 反。		《周易》__周
7	公曰：“寡人有子而 [制] 焉，非子之忧也。”		《国语》__春秋战国
8	对曰：“太子，国之栋也，栋成乃 [制] 之，不亦危乎！”		《国语》__春秋战国
9	里克曰：“弑君以为廉，长廉以骄心，因骄以 [制] 人家，吾不敢，抑挠志以从君，为废人以自利也，利方以求成人，吾不能。		《国语》__春秋战国
10	改其 [制] 而不患其难，轻其任而不忧其危，君有异心，又焉得立？		《国语》__春秋战国
11	!睽孤，谓六三为二阳所 [制] ，而己以刚处明极睽极之地，又自猜很而乖离也。		《周易》__周
12	管子对曰：“ [制] 重罪赎以犀甲一戟，轻罪以☆盾一戟，小罪谪以金分，宥间罪。		《国语》__春秋战国
13	公令阉楚刺重耳，重耳逃于狄；令贾华 [制] 夷吾，夷吾逃于梁。		《国语》__春秋战国
14	问而不诏，知而不为，和而不矜，成而不处，止者不行，行者不止，因刑而任之，不 [制] 於物，无肯为使，清静以公，神通乎六合，德耀乎海外，意观乎无穷，誉流乎无止。		《吕氏春秋》__春秋战国
15	古者圣王 [制] 为衣服之法。		《墨子》__春秋战国
16	古者圣王 [制] 为节葬之法。		《墨子》__春秋战国
17	 [制] 十有二幅以应十有二月，袂圜以应规，曲袷如矩以应方，负绳及踝以应直， 下齐如权衡以应平。		《礼记》__春秋战国
18	是故古者天子之 [制] ，诸侯岁献贡士于天子，天子试之于射宫。		《礼记》__春秋战国
19	是以天子 [制] 之，而诸侯务焉。		《礼记》__春秋战国
20	管子对曰：“ [制] 国以为二十一乡。”		《国语》__春秋战国
21	终则讲于会，以正班爵之义，帅长幼之序，训上下之则， [制] 采用之节，其间无由荒怠。		《国语》__春秋战国
22	对曰：“国有饥馑，卿出告籴，古之 [制] 也。		《国语》__春秋战国
23	“夫圣王之 [制] 祀也，法施于民则祀之，以死勤事则祀之，以劳定国则祀之，能御大灾则祀之，能捍大肆患则祀之。		《国语》__春秋战国
24	多实尊势，贤士 [制] 之，以遇乱世，王犹尚少。		《吕氏春秋》__春秋战国
25	先王 [制] 土，籍田以力，而砥其远迩；赋里以入，而量其有无；任力以夫，而议其老幼。		《国语》__春秋战国
26	臣之所不若夷吾者五：宽惠柔民，弗若也；治国家不失其柄，弗若也；忠信可结于百姓，弗若也， [制] 礼义可法于四方，弗若也；执☆鼓立于军门，使百姓皆加勇焉，弗若也。		《国语》__春秋战国
27	然 [制] 之在己，故犹可以无咎。		《周易》__周
28	不 [制] 而使遇于众，则其为害广矣。		《周易》__周
29	王懋昭大德，建中于民，以义 [制] 事，以礼 [制] 心，垂裕后昆。		《尚书》__周
30	然阴阳迭胜，时运之常，若能含晦章美，静以 [制] 之，则可以		《周易》__周
31	公未言，荣成子曰：“子股肱鲁国，社稷之事，子实 [制] 之。		《国语》__春秋战国
32	社而赋事，蒸而献功，男女效绩，愆则有辟，古之 [制] 也。		《国语》__春秋战国
33	必索良宰有一衣裳之财不能 [制] 。		《墨子》__春秋战国
34	时将有反，事将有间，必有以知天地之恒 [制] ，乃可以有天下之成利。		《国语》__春秋战国
35	四封之外，敌国之 [制] ，立断之事，种亦不如蠡也。”		《国语》__春秋战国
36	大夫种来而复往，曰：“请委管钥属国家，以身随之，君王 [制] 之。”		《国语》__春秋战国
37	四封之外，敌国之 [制] ，立断之事，因阴阳之恒，顺天地之常，柔而不屈，强而不刚，德虐之行，因以为常；死生因天地之刑，天因人，圣人因天；人自生之，天地形之，圣人因而成之。		《国语》__春秋战国
38	范蠡乃左提鼓，右援☆，以应使者曰：“昔者上天降祸于越，委 [制] 于吴，而吴不受。		《国语》__春秋战国
39	范蠡曰：“君王已委 [制] 于执事之人矣。		《国语》__春秋战国
40	上天降祸于越，委 [制] 于吴。		《国语》__春秋战国
41	予惟曰：“汝劼毖殷献臣、侯、甸、男、卫，矧太史友、内史友、越献臣百宗工，矧惟尔事服休，服采，矧惟若畴，圻父薄违，农夫若保，宏父定辟，矧汝，刚 [制] 于酒。		《尚书》__周
42	王曰：“君陈，尔惟弘周公丕训，无依势作威，无倚法以削，宽而有 [制] ，従容以和。		《尚书》__周
43	曰：“昔不☆先委 [制] 于越君，君告孤请成，男女服从。		《国语》__春秋战国
44	重刑，明大 [制] ；不明者，六虱也。		《商君书》__春秋战国
45	法者，君臣之所共操也；信者，君臣之所共立也；权者，君之所独 [制] 也，人主失守则危。		《商君书》__春秋战国
46	孟卬太息曰：“宜矣王之 [制] 於秦也！		《吕氏春秋》__春秋战国
47	故先王焉为之立中 [制] 节，一使足以成文理，则释之矣。		《礼记》__春秋战国
48	分定而无 [制] ，不可，故立禁；禁立而莫之司，不可，故立官；官设而莫之一，不可，故立君。		《商君书》__春秋战国
49	相时憸民，犹胥顾于箴言，其发有逸口，矧予 [制] 乃短长之命！		《尚书》__周
50	民众而无 [制] ，久而相出为道，则有乱。		《商君书》__春秋战国
51	为人臣者，重赋敛，尽府库，虚其国以事大国，而用其威求诱其君；甚者举兵以聚边境而 [制] 敛于内，薄者数内大使以震其君，使之恐惧，此之谓“四方”。		《韩非子》__春秋战国
52	令臣以外为 [制] 于内，则是君人者亡也。		《韩非子》__春秋战国
53	明主之所道 [制] 其臣者，二柄而已矣。		《韩非子》__春秋战国
54	六十岁 [制] ，七十时 [制] ，八十月 [制] ，九十日修，唯 绞纟今衾冒，死而后 [制] 。		《礼记》__春秋战国
55	人主者，以刑德 [制] 臣者也。		《韩非子》__春秋战国
56	今君人者释其刑德而使臣用之，则君反 [制] 于臣矣。		《韩非子》__春秋战国
57	夫民之从事死 [制] 也，以上之设荣名、置赏罚之明也，不用辩说私门而功立矣。		《商君书》__春秋战国
58	 [制] 度时，则国俗可化，而民从 [制] ；治法明，则官无邪；国务壹，则民应用；事本抟，则民喜农而乐战。		《商君书》__春秋战国
59	若此，则国 [制] 明而民力竭，上爵尊而伦徒举。		《商君书》__春秋战国
60	夫越虽国富兵强，中国之主皆知无益于己也，曰：“非吾所得 [制] 也。”		《韩非子》__春秋战国
61	人之所以谓齐亡者，非地与城亡也，吕氏弗 [制] 而田氏用之；所以谓晋亡者，亦非地与城亡也，姬氏不 [制] 而六卿专之也。		《韩非子》__春秋战国
62	民众而奸邪生，故立法 [制] 、为度量以禁之。		《商君书》__春秋战国
63	是以圣人列贵贱， [制] 爵位，立名号，以别君臣上下之义。		《商君书》__春秋战国
64	治辩之功 [制] 于近习，精洁之行决于毁誉，则修智之吏废，则人主之明塞矣。		《韩非子》__春秋战国
65	六年，朝诸侯于明堂， [制] 礼作乐，颁度量，而 天下大服。		《礼记》__春秋战国
66	故治国之 [制] ，民不得避罪如目不能以所见遁心。		《商君书》__春秋战国
67	本不坚，则民如飞鸟禽兽，其孰能 [制] 之？		《商君书》__春秋战国
68	故胜民之本在 [制] 民，若治于金、陶于土也。		《商君书》__春秋战国
69	敷求哲人，俾辅于尔后嗣， [制] 官刑，儆于有位。		《尚书》__周
70	信之所及，尽 [制] 之矣。		《吕氏春秋》__春秋战国
71	 [制] 之而不用，人之有也； [制] 之而用之，己之有也。		《吕氏春秋》__春秋战国
72	圣人见本然之政，知必然之理，故其 [制] 民也，如以高下 [制] 水，如以燥湿 [制] 火。		《商君书》__春秋战国
73	衣服有 [制] ，饮食有节，则出寡矣。		《商君书》__春秋战国
74	可杀可活， [制] 命在外。		《列子》__春秋战国
75	然且犹裁万物， [制] 禽兽，服狡虫，寒暑燥湿弗能害，不唯先有其备，而以群聚邪！		《吕氏春秋》__春秋战国
76	天下无对， [制] 命在内，故语有之曰：人不婚宦，情欲失半；人不衣食，君 臣道息。		《列子》__春秋战国
77	夫民之亲上死 [制] 也，以其旦暮从事于农。		《商君书》__春秋战国
78	故知者作法，而愚者 [制] 焉；贤者更礼，而不肖者拘焉。		《商君书》__春秋战国
79	拘礼之人，不足与言事； [制] 法之人，不足与论变。		《商君书》__春秋战国
80	礼、法以时而定； [制] 、令各顺其宜；兵甲器备各便其用。		《商君书》__春秋战国
81	及至文、武，各当时而立法，因事而 [制] 礼。		《商君书》__春秋战国
82	苗民弗用灵， [制] 以刑，惟作五虐之刑曰法。		《尚书》__周
83	越兹丽刑并 [制] ，罔差有辞。		《尚书》__周
84	士 [制] 百姓于刑之中，以教祗德。		《尚书》__周
85	惟时苗民匪察于狱之丽，罔择吉人，观于五刑之中；惟时庶威夺货，断 [制] 五刑，以乱无辜，上帝不蠲，降咎于苗，苗民无辞于罚，乃绝厥世。”		《尚书》__周
86	故审得失有法度之 [制] 者，加以群臣之上，则主不可欺以诈伪；审得失有权衡之称者，以听远事，则主不可欺以天下之轻重。		《韩非子》__春秋战国
87	故有口不以私言，有目不以私视，而上尽 [制] 之。		《韩非子》__春秋战国
88	《象》曰：泽上有水，节，君子以 [制] 数度，议德行。		《周易》__周
89	独 [制] 四海之内，聪智不得用其诈，险躁不得关其佞，奸邪无所依。		《韩非子》__春秋战国
90	是故人主有五壅：臣闭其主曰壅，臣 [制] 财利曰壅，臣擅行令曰壅，臣得行义曰壅，臣得树人曰壅。		《韩非子》__春秋战国
91	臣闭其主，则主失位；臣 [制] 财利，则主失德；行令，则主失 [制] ；臣得行义，则主失明；臣得树人，则主失党。		《韩非子》__春秋战国
92	王曰：“若昔大猷， [制] 治于未乱，保邦于未危。”		《尚书》__周
93	力曰：“若如若言，我固无功于物，而 物若此邪，此则若之所 [制] 邪？”		《列子》__春秋战国
94	命曰：“既谓之命，柰何有 [制] 之者邪？		《列子》__春秋战国
95	议事以 [制] ，政乃不迷。		《尚书》__周
96	曳，以 [制] 反。		《周易》__周
97	故大 [制] 不		《老子》__春秋战国
98	榮辱之大分，安危利害之常體∶先義而後利者榮，先利而後義者辱；榮者常通，辱者常窮；通者常 [制] 人，窮者常 [制] 於人∶是榮辱之大分也。		《荀子》__春秋战国
99	始 [制] 有名，名亦既有，夫亦将知止，知止可以不殆。		《老子》__春秋战国
100	禀生受形，既有 [制] 之者矣， 亦有知之者矣，药石其如汝何？”		《列子》__春秋战国
101	故先王案為之 [制] 禮義以分之，使有貴賤之等，長幼之差，知愚能不能之分，皆使人載其事，而各得其宜。		《荀子》__春秋战国
102	雨不克葬，丧不以 [制] 也。		《榖梁传》__春秋战国
103	疆 食靡角，胜者为 [制] ，是禽兽也。		《列子》__春秋战国
104	上則法舜禹之 [制] ， 下則法仲尼子弓之義，以務息十二子之說。		《荀子》__春秋战国
105	兼 [制] 天下，立七十一國，姬姓獨居五十三人，而天下不稱偏焉。		《荀子》__春秋战国
106	妇人在家 [制] 于父，既嫁 [制] 于夫。		《榖梁传》__春秋战国
107	兼 [制] 天下立七十一國，姬姓獨居五十三人焉；周之子孫，茍不狂惑者，莫不為天下之顯諸侯。		《荀子》__春秋战国
108	用百里之地，而不能以調一天下， [制] 強暴，則非大儒也。		《荀子》__春秋战国
109	凡人伦，以十际为安者也，释十际则与麋鹿虎狼无以异，多勇者则为 [制] 耳矣。		《吕氏春秋》__春秋战国
110	《王 [制] 》篇第九		《荀子》__春秋战国
111	有天有地， 而上下有差；明王始立，而處國有 [制] 。		《荀子》__春秋战国
112	先王惡其亂也，故 [制] 禮義以分之，使有貧富貴賤之等，足以相兼臨者，是養天下之本也。		《荀子》__春秋战国
