语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：前
2022/11/6 8:42:38

序号	语句	书名	朝代
1	不想到了那里，正遇着他遭了桩不得意事情，几乎把 [前] 半世的英名＝尽。		《儿女英雄》__清
2	不想走到岔道口的山 [前] ，遇见两个人在那里说话，我骑着驴儿从旁经过，只听得一个道∶‘咱们有本事硬把他被套里的那二三千银子搬运过来，还不领他的情呢！		《儿女英雄》__清
3	听他道∶“一身的钮襻子被那和尚撕了个稀烂，敞胸开怀，赤身露体，走到人 [前] ，成何体面！”		《儿女英雄》__清
4	再讲到这个地方，我方才表过的， [前] 是高山，后是旷野，远无村，近无邻，这样深更半夜，绝没人来；就便这和尚再有些伙党找了来，仗我这口刀，多了不能，有个三五百人儿还搪住了。		《儿女英雄》__清
5	我就一口气赶到庙 [前] ，还不曾见个端的，我那个驴儿先不住的打鼻儿，不肯往 [前] 走。		《儿女英雄》__清
6	从窗户映着月光一看，只见那俩人身上止剩得两条裤子，上身剥得精光，胸 [前] 都是血迹模糊碗大的一个窟窿，心肝五脏都掏去了。		《儿女英雄》__清
7	那女子便把棍略松了一松，和尚险些儿不曾坐个倒蹲儿，连忙的插住两脚，挺起腰来往 [前] 一挣。		《儿女英雄》__清
8	说着，提了那禅杖走到窗 [前] ，只见那窗棂儿上果然的通了一个小窟窿。		《儿女英雄》__清
9	那女子也不合他斗口，便站在台阶 [前] 看他怎生个下脚法。		《儿女英雄》__清
10	不道那陶氏正在观音 [前] 拜佛，拜完即忙出来道：“二娘子你进去，我去陪何阿叔说话。”		《风流悟》__清
11	谁知那陶氏见儿子出去，起来开了门，烧了面汤，又炷熟了饭，盖住镬里，自己去观音 [前] 点了香，拜了佛，随即坐在门口绩麻。		《风流悟》__清
12	陶氏只得去灶 [前] ，自己坐了吃饭。		《风流悟》__清
13	大家一看，原来把那妇人的 [前] 脸子削下来了，落在平地还是五官乱动。		《儿女英雄》__清
14	陶氏见媳妇两眼定了，神色如狂，走向观音佛 [前] ，口便哼哼道：“是我心最毒，只为贪淫好色，欲药死婆婆，与何敬山结永远私好。		《风流悟》__清
15	常氏独自守寡，虽则一口，甚觉烦难，思量着道：“ [前] 村魏家弟兄，还欠我们四两银子，旧帐利钱，虽有些本钱，一毫未还。		《风流悟》__清
16	却说陶氏收拾夜饭吃了，又到观音 [前] 点了香，上了床，不觉睡去。		《风流悟》__清
17	那老婆儿一面答应，一面走到那屋里，把 [前] 番话向安公子说了。		《儿女英雄》__清
18	顾拐子道：“如此比 [前] 大不相同了，侍娘又孝顺，做人又老成，卖鱼又赚钱，依旧种租田，顾我相帮种，人口又少，甚是好过日子。		《风流悟》__清
19	常氏叹口气道：“不瞒你说，我已 [前] 指望守十年八年再处，不道近日被人公然欺负，我孤身，我如今一个也难住，只得要做这没廉耻的事了。		《风流悟》__清
20	他两个死去的姻缘，犹如胶漆；我两人现 [前] 的匹配，岂不风流。		《风流悟》__清
21	第八回  买媒说合盖为楼 [前] 羡慕 疑鬼惊途那知死后还魂		《风流悟》__清
22	到至正年间，已是二十过头，因慕西湖佳丽，来到杭州，于 [前] 塘门外昭庆寺 [前] ，寻了一所精洁书院。		《风流悟》__清
23	适见花粉店中，坐着一个老妇人，世高走近 [前] ，陪个小心道：“老娘娘，借宝店坐一坐。”		《风流悟》__清
24	一直走进后院，见戴勤媳妇背着脸在墙根 [前] 洗衣服，公子也不及招呼他，忙忙的进了房门。		《儿女英雄》__清
25	即将店 [前] 椅子，移近柜边道：“不是在下妄想，只因昨日步入刘万户园庭，亲见小姐坐在小楼之内，见了我时，说一声道：‘美哉，少年。		《风流悟》__清
26	只见小姐，倚着栏杆，似一线两气模样，上 [前] 忙道个万福。		《风流悟》__清
27	施十娘见他像个不嗔怪的意思，料道是曾见过来，因又说道：“你休瞒我，那少年郎君，今日特来见我，说 [前] 日见了小姐，小姐称赞他美少，可是有的么？”		《风流悟》__清
28	总不见则声，急急走到床 [前] 一看，并不见影响，忙问春娇道：“小姐在那里？”		《风流悟》__清
29	十三妹听了这话，满脸怒容，更不答话，一伸手，从桌子上绰起那把雁翎宝刀来，在灯 [前] 一摆，说∶“就是我这把刀！		《儿女英雄》__清
