语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：劝
2022/7/10 22:59:49

序号	语句	书名	朝代
1	有夏诞厥逸，不肯慼言于民，乃大淫昏，不克终日 [劝] 于帝之迪，乃尔攸闻。		《尚书》__周
2	慎厥丽，乃 [劝] ；厥民刑，用 [劝] ；以至于帝乙，罔不明德慎罚，亦克用 [劝] ；要囚殄戮多罪，亦克用 [劝] ；开释无辜，亦克用 [劝] 。		《尚书》__周
3	多士，尔不克 [劝] 忱我命，尔亦则惟不克享，凡民惟曰不享。		《尚书》__周
4	《管子·小匡》无“用”字）之，曰：“有人居我官，有功休德，惟慎端恪以待时，使民以 [劝] ，绥谤言，足以补官之不善政。”		《国语》__春秋战国
5	戒之用休，董之用威， [劝] 之以九歌俾勿坏。”		《尚书》__周
6	夫人主亦有居车，无去车，则众善皆尽力竭能矣，谄谀诐贼巧佞之人无所窜其奸矣，坚穷廉直忠敦之士毕竞 [劝] 骋骛矣。		《吕氏春秋》__春秋战国
7	君子曰：“善以微 [劝] 也。”		《国语》__春秋战国
8	此所以 [劝] 吏民坚守胜围也。		《墨子》__春秋战国
9	夫齐侯好示，务施与力而不务德，故轻致诸侯而重遣之，使至者 [劝] 而叛者慕。		《国语》__春秋战国
10	既历三纪，世变风移，四方无虞，予一人以宁，道有升降，政由俗革，不臧厥臧，民罔攸 [劝] 。		《尚书》__周
11	若兄考，乃有友伐厥子，民养其 [劝] 弗救？”		《尚书》__周
12	管子对曰：“昔吾先王昭王、穆王，世法文、武远绩以成名，何群叟，比校民之有道者，设象以为民纪，式权以相应，比缀以度，☆本肇末， [劝] 之以赏赐，纠之以刑罚，班序颠毛，以为民纪统。”		《国语》__春秋战国
13	’今信蛮夷而弃之，夫诸侯之勉于君者，将安 [劝] 矣？		《国语》__春秋战国
14	使天下之为善者可而 [劝] 也。		《墨子》__春秋战国
15	尔尚明时朕言，用敬保元子钊弘济于艰难，柔远能迩，安 [劝] 小大庶邦。		《尚书》__周
16	果行，国人皆 [劝] ，父勉其子，兄勉其弟，妇勉其夫，曰：“孰是君也，而可无死乎？”		《国语》__春秋战国
17	《象》曰：木上有水，井，君子以劳民 [劝] 相。		《周易》__周
18	劳民者，以君养民； [劝] 相者，使民相养，皆取井养之义。		《周易》__周
19	 [劝] 之以高位重畜，备刑戮以辱其不励者，令各轻其死。		《国语》__春秋战国
20	在昔上帝割申 [劝] 宁王之德，其集大命于厥躬？		《尚书》__周
21	六虱不用，则兵民毕竞 [劝] 而乐为主用，其竟内之民争以为荣，莫以为辱。		《商君书》__春秋战国
22	为人臣者事公子侧室以音声子女，收大臣延吏以辞言，处约言事，事成则进爵益禄，以 [劝] 其心，犯其主，此之谓“父兄”。		《韩非子》__春秋战国
23	曰：为人臣者散公财以说民人，行小惠以取百姓，使朝廷市井皆 [劝] 权誉己，以塞其主而成其所欲，此之谓“民萌”。		《韩非子》__春秋战国
24	故刑戮者，所以止奸也；而官爵者，所以 [劝] 功也。		《商君书》__春秋战国
25	汝不谋长以思乃灾，汝诞 [劝] 忧。		《尚书》__周
26	故治国者，其抟力也，以富国强兵也；其杀力也，以事敌 [劝] 民也。		《商君书》__春秋战国
27	若此，而功臣 [劝] ，则上令行而荒草辟，淫民止而奸无萌。		《商君书》__春秋战国
28	故王者以赏禁，以刑 [劝] ；求过不求善，藉刑以去刑。		《商君书》__春秋战国
29	以德以义，不赏而民 [劝] ，不罚而邪止。		《吕氏春秋》__春秋战国
30	故善为主者，明赏设利以 [劝] 之，使民以功赏而不以仁义赐；严刑重罚以禁之，使民以罪诛而不以爱惠免。		《韩非子》__春秋战国
31	乃复为刑赏之所禁 [劝] ，名法之所进退；遑遑尔竞一时之虚誉， 规死后之余荣；偊々尔慎耳目之观听，惜身意之是非；徒失当年之至乐，不能 自肆于一时。		《列子》__春秋战国
32	太古之人，知生之暂来，知死之暂往；故从 心而动，不违自然所好；当身之娱，非所去也，故不为名所 [劝] 。		《列子》__春秋战国
33	诚无欲，则是三者不足以 [劝] 。		《吕氏春秋》__春秋战国
34	夫故当壮者务于战，老弱者务于守，死者不悔，生者务 [劝] ，此臣之所谓壹教也。		《商君书》__春秋战国
35	伯成子高曰：“当尧之时，未赏而民 [劝] ，未罚而民畏。		《吕氏春秋》__春秋战国
36	说之大，民 [劝] 矣哉。		《周易》__周
37	本物贱，事者众，买者少，农困而奸 [劝] ，其兵弱，国必削至亡。		《商君书》__春秋战国
38	王为建取妻於秦而美，无忌 [劝] 王夺。		《吕氏春秋》__春秋战国
39	其威不威则不足以禁也，其利不利则不足以 [劝] 也，故贤主必使其威利无敌。		《吕氏春秋》__春秋战国
40	故以禁则必止，以 [劝] 则必为。		《吕氏春秋》__春秋战国
41	夫欲成大功，令天下皆轻 [劝] 而助之，必之士可知。		《吕氏春秋》__春秋战国
42	自威以道诫，自 [劝] 以长生，於此致当。		《老子想尔注》__春秋战国
43	市也者 [劝] 也 [劝] 者所以起本善而末事起不侈本事不得立选贤举能不可得，		《管子》__春秋战国
44	官礼之司昭穆之离先后功器事之治尊鬼而守故战事之任高功而不下死本事食功而省利 [劝] 臣上义而不能与小利五官者人争其职然后君闻，		《管子》__春秋战国
