语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：加
2022/7/10 23:07:51

序号	语句	书名	朝代
1	 [加] 丧焉，讳以夫人归也，其以归薨之也。		《榖梁传》__春秋战国
2	荀息牵马操璧而前曰：“璧则犹是也，而马齿 [加] 长矣！”		《榖梁传》__春秋战国
3	五者，在人本有当然之则；然常人之情惟其所向而不 [加] 审焉，则必陷于一偏而身不修矣。		《大学中庸》__春秋战国
4	诸 [加] 费不 [加] 于民利者。		《墨子》__春秋战国
5	譬之如室，既镇其甍矣，又何 [加] 焉？		《国语》__春秋战国
6	章内三言得失，而语益 [加] 切，盖至此而天理存亡之几决矣。		《大学中庸》__春秋战国
7	吾子舍其大而 [加] 礼于其细，敢问何礼也？”		《国语》__春秋战国
8	若为小而祟，以怒大国，使 [加] 己乱，乱在前矣，辞其何益？”		《国语》__春秋战国
9	柔乘五刚，以卦体言，谓以一小人 [加] 于众君子之上，是其罪也。		《周易》__周
10	其禽 [加] 于一双，则执一双以将命，委其余。		《礼记》__春秋战国
11	自是晋聘于鲁， [加] 于诸侯一等，爵同，厚其好货。		《国语》__春秋战国
12	剑则启椟盖袭之， [加] 夫衤尧与剑焉。		《礼记》__春秋战国
13	故曰以滕、费则劳，以邹、鲁则逸，以宋、郑则犹倍日而驰也，以齐、楚则举而 [加] 纲旃而已矣。		《吕氏春秋》__春秋战国
14	今无故而 [加] 典，非政之宜也。		《国语》__春秋战国
15	二三妇之辱共先者祀，请无瘠色，无洵涕，无☆膺，无忧容，有降服，无 [加] 服。		《国语》__春秋战国
16	君 [加] 惠于臣，使不冻馁，则是君之赐也。		《国语》__春秋战国
17	臣之所不若夷吾者五：宽惠柔民，弗若也；治国家不失其柄，弗若也；忠信可结于百姓，弗若也，制礼义可法于四方，弗若也；执☆鼓立于军门，使百姓皆 [加] 勇焉，弗若也。		《国语》__春秋战国
18	商文曰：“是吾所以 [加] 於子之上已！”		《吕氏春秋》__春秋战国
19	今蔺、离石入秦，而王缟素布总；东攻齐得城，而王 [加] 膳置酒。		《吕氏春秋》__春秋战国
20	秦得地而王布总，齐亡地而王 [加] 膳，所非兼爱之心也。		《吕氏春秋》__春秋战国
21	朝服虽敝，必 [加] 于上，弁冕虽旧，必 [加] 于首，周室虽衰，必先诸侯。		《榖梁传》__春秋战国
22	废床，彻亵衣，  [加] 新衣，体一人。		《礼记》__春秋战国
23	葵丘之会，陈牲而不杀，读书 [加] 于牲上，壹明天子之禁，曰：“毋雍泉，毋讫籴，毋易树子，毋以妾为妻，毋使妇人与国事！”		《榖梁传》__春秋战国
24	吊者袭裘， [加] 武带，与主人拾踊。		《礼记》__春秋战国
25	若恶盗之为 [加] 于天下。		《墨子》__春秋战国
26	爱 [加] 于已伦列之爱已爱人也。		《墨子》__春秋战国
27	梁亡，郑弃其师，我无 [加] 损焉，正名而已矣。		《榖梁传》__春秋战国
28	有 [加] 其度也。		《榖梁传》__春秋战国
29	熬，君四种八筐，大夫三种六筐，士二 种四筐， [加] 鱼腊焉。		《礼记》__春秋战国
30	素锦褚， [加] 伪荒。		《礼记》__春秋战国
31	白圭闻之，曰： “无所可用者，意者徒 [加] 其甑邪？”		《吕氏春秋》__春秋战国
32	包胥曰：“善哉，蔑以 [加] 焉，然犹未可以战也。		《国语》__春秋战国
33	曰： [加] 隆焉 尔也，焉使倍之，故再期也。		《礼记》__春秋战国
34	故上多惠言而不克其赏，则下不用；数 [加] 严令而不致其刑，则民傲死。		《商君书》__春秋战国
