语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：勒
2022/7/10 23:08:21

序号	语句	书名	朝代
1	扐， [勒] 于		《周易》__周
2	物 [勒] 工名，以考其诚；工有不当，必行其罪，以穷其情。		《吕氏春秋》__春秋战国
3	是月也，工师效功，陈祭器，案度程，无或作为淫巧，以荡上心，必功致为上，物 [勒] 工名，以考其诚，工有不当，必行其罪，以穷其情。		《逸周书》__春秋战国
4	革路，龙 [勒] ，条缨五就，建大白，以即戎，以封四卫。		《周礼》__春秋战国
5	王后之五路：重翟，锡面朱緫；厌翟， [勒] 面缋緫；安车，雕面，鹥緫皆有容盖；翟车，贝面，组緫；有握；辇车，组挽，有翣，羽盖。		《周礼》__春秋战国
6	 [勒] 骐骥而更驾兮，造父为我操之。		《楚辞》__春秋战国
7	张敞好古文字，桉鼎铭 [勒] 而上议曰：“臣闻周祖始乎后稷，后稷封于EA69，公刘发迹于E1D9，大王建国于支阝、梁，文、武兴于丰、镐。		《汉书》__汉
8	二世元年，东巡碣石，并海，南历泰山，至会稽，皆礼祠之，而胡亥刻 [勒] 始皇所立石书旁，以章始皇之功德。		《汉书》__汉
9	乃遂北巡朔方， [勒] 兵十余万骑，还祭黄帝冢桥山，释兵凉如。		《汉书》__汉
10	冒顿乃作鸣镝，习 [勒] 其骑射，令曰：“鸣镝所射而不悉射者斩。”		《汉书》__汉
11	是时，天子巡边，亲至朔方， [勒] 兵十八万骑以见武节，而使郭吉风告单于。		《汉书》__汉
12	后无几，右贤王、犁B028王四千骑分三队，入日 [勒] 、屋兰、番和。		《汉书》__汉
13	又武威县、张掖日 [勒] 皆当北塞，有通谷水草。		《汉书》__汉
14	东北至都护治所二千八百五十八里，东与小宛、南与婼羌、西与渠 [勒] 接，辟南不当道。		《汉书》__汉
15	东北至都护治所三千五百五十三里，南与渠 [勒] 、东北与龟兹、西北与姑墨接，西通于阗三百九十里。		《汉书》__汉
16	渠 [勒] 国，王治鞬都城，去长安九千九百五十里。		《汉书》__汉
17	于是上北出萧关，从数万骑行猎新秦中，以 [勒] 边兵而归。		《汉书》__汉
18	日 [勒] ，都尉治泽索谷。		《汉书》__汉
19	莽曰 [勒] 治。		《汉书》__汉
20	龙 [勒] 。		《汉书》__汉
21	时忠方进兵都肄，护军王咸谓忠谋久不发，恐漏泄，不如遂斩使者， [勒] 兵入。		《汉书》__汉
22	省中相惊传， [勒] 兵至郎署，皆拔刃张弩。		《汉书》__汉
23	 [勒] 兵十八万骑，旌旗径千余里，威震匈奴。		《汉书》__汉
24	后有宋玉、唐 [勒] 之属慕而述之，皆以显名。		《汉书》__汉
25	而乘嚣然要 [勒] 同侪，去丧即宠，谓能有功异也，明试无效，亦旋告退，安在其显君父德美之有！		《风俗通义》__汉
26	延寿遂从之，部 [勒] 行陈，益置扬威、白虎、合骑之校，汉兵，胡兵合四万余人，延寿、汤上疏自劾奏矫制，陈言兵状。		《汉书》__汉
27	若子之材，可优游都城而取卿相，何必 [勒] 功昆山之仄，总领百蛮，怀柔殊俗？		《汉书》__汉
28	小昆弥乌犁靡者，末振将兄子也， [勒] 兵数千骑围会宗，会宗为言来诛之意：“今围守杀我，如取汉牛一毛耳。		《汉书》__汉
29	故圣王弗替，而修礼地祇，谒款天神， [勒] 功中岳，以章至尊，舒盛德，发号荣，受厚福，以浸黎民。		《汉书》__汉
30	赐以冠带衣裳、黄金玺戾绶、玉具剑、佩刀、弓一张、矢四发、C97D戟十、安车一乘、鞍 [勒] 一县、马十五匹、黄金二十斤、钱二十万、衣被七十七袭、锦绣绮E067杂帛八千匹、絮六千斤。		《汉书》__汉
31	郅支见乌孙兵多，其使又不反， [勒] 兵逢击乌孙，破之。		《汉书》__汉
32	伊年暮春，将瘗后土，礼灵祇，谒汾阴于东郊，因兹以 [勒] 崇垂鸿，发祥隤祉，饮若神明者，盛哉铄乎，越不可载已！		《汉书》__汉
33	旦从相、中尉以下， [勒] 车骑，发民会围，大猎文安县，以讲士马，须期日。		《汉书》__汉
34	乃遣右大且渠蒲呼卢訾等十余人将兵众万骑，以护送乌桓为名， [勒] 兵朔方塞下。		《汉书》__汉
35	尚气力；人不驰弓，马不解 [勒] ；便之也。		《淮南子》__汉
36	陛下盛日月之光，垂圣思于 [勒] 成，专神明之敬，奉燔瘗于郊官，献享之精交神，积和之气塞明，而异兽来获，宜矣。		《汉书》__汉
37	九月，东郡太守翟义都试， [勒] 车骑，因发奔命，立严乡侯刘信为天子，移檄郡国，言“莽毒杀平帝，摄天子位，欲绝汉室，今共行天罚诛莽”。		《汉书》__汉
38	匈奴侵上郡，上使中贵人从广 [勒] 习兵击匈奴。		《汉书》__汉
39	诏陵：“以九月发，出庶虏鄣，至东浚稽山南龙 [勒] 水上，徘徊观虏，即亡所见，从浞野侯赵破奴故道抵受降城休士，因骑置以闻。		《汉书》__汉
40	幽而发愤，乃思乃精，错综群言，古今是经， [勒] 成一家，大略孔明。		《汉书》__汉
41	夫法令者，网其奸邪， [勒] 率随其踪迹。		《淮南子》__汉
42	 [勒] 问其故，曰：“而盗金于市中，何也？”		《淮南子》__汉
43	上亲劳军， [勒] 兵，申教令，赐吏卒。		《汉书》__汉
44	于是以九月都试日斩观令，因 [勒] 其车骑材官士，募郡中勇敢，部署将帅。		《汉书》__汉
45	复以太仆武让为积弩将军屯函谷关，将作大匠蒙乡侯逯并为横野将军屯武关，羲和红休侯刘歆为扬武将军屯宛，太保后丞丞阳侯甄邯为大将军屯霸上，常乡侯王恽为车骑将军屯平乐馆，骑都尉王晏为建威将军屯城北，城门校尉赵恢为城门将军，皆 [勒] 兵自奋。		《汉书》__汉
46	每有大繇役及丧，梁常主办，阴以兵法部 [勒] 宾客子弟，以知其能。		《汉书》__汉
47	每吴中有大繇役及丧，项梁常为主办，阴以兵法部 [勒] 宾客及子弟，以是知其能。		《史记》__汉
48	唐 [勒] 赋四篇。		《汉书》__汉
49	楚人，与唐 [勒] 并时，在屈原后也。		《汉书》__汉
