语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：化
2022/7/10 23:11:45

序号	语句	书名	朝代
1	极知僭踰，无所逃罪，然于国家 [化] 民成俗之意、学者修己治人之方，则未必无小补云。		《大学中庸》__春秋战国
2	东海之极，水至而反；夏热之下， [化] 而为寒。		《吕氏春秋》__春秋战国
3	故曰天无形，而万物以成；至精无象，而万物以 [化] ；大圣无事，而千官尽能。		《吕氏春秋》__春秋战国
4	故李子曰：“非狗不得兔，兔 [化] 而狗，则不为兔。”		《吕氏春秋》__春秋战国
5	养其神、修其德而 [化] 矣，岂必劳形愁弊耳目哉？		《吕氏春秋》__春秋战国
6	懋迁有无， [化] 居。		《尚书》__周
7	然于国家 [化] 民成俗之意、学者修己治人之方，则未必无小补云。		《大学中庸》__春秋战国
8	禹曰：“若何而治青北， [化] 九阳、奇怪之所际？		《吕氏春秋》__春秋战国
9	惟周公左右先王，绥定厥家，毖殷顽民，迁于洛邑，密迩王室，式 [化] 厥训。		《尚书》__周
10	敝 [化] 奢丽，万世同流。		《尚书》__周
11	故凡能全国完身者，其唯知长短赢绌之 [化] 邪！		《吕氏春秋》__春秋战国
12	有弗若于汝政，弗 [化] 于汝训，辟以止辟，乃辟。		《尚书》__周
13	使工女 [化] 而为丝，不能治丝；使大匠 [化] 而为木，不能治木；使圣人 [化] 而为农夫，不能治农夫。		《吕氏春秋》__春秋战国
14	三年，巫马旗短褐衣弊裘而往观 [化] 於亶父，见夜渔者，得则舍之。		《吕氏春秋》__春秋战国
15	为人臣者内事之以金玉玩好，外为之行不法，使之 [化] 其主，此之谓“在旁”。		《韩非子》__春秋战国
16	制度察则民力抟，抟而不 [化] 则不行，行而无富则生乱。		《商君书》__春秋战国
17	夫圣人之立法、 [化] 俗，而使民朝夕从事于农也，不可不变也。		《商君书》__春秋战国
18	制度时，则国俗可 [化] ，而民从制；治法明，则官无邪；国务壹，则民应用；事本抟，则民喜农而乐战。		《商君书》__春秋战国
19	故古之人，身隐而功著，形息而名彰，说通而 [化] 奋，利行乎天下，而民不识，岂必以严罚厚赏哉？		《吕氏春秋》__春秋战国
20	若以道 [化] 行正理，不趋富贵，事上而求安，是犹聋而欲审清浊之声也，愈不几矣。		《韩非子》__春秋战国
21	身已终矣，而後世 [化] 之如神，其人事审也。		《吕氏春秋》__春秋战国
22	子产相郑，专国之政，三年，善者服其 [化] ，恶者畏其禁，郑国以治。		《列子》__春秋战国
23	天地之大，四时之 [化] ，而犹不能以不信成物，又况乎人事？		《吕氏春秋》__春秋战国
24	国有事，则学民恶法，商民善 [化] ，技艺之民不用，故其国易破也。		《商君书》__春秋战国
25	故其境内之民，皆 [化] 而好辩、乐学，事商贾，为技艺，避农战。		《商君书》__春秋战国
26	则物之造 乎不形，而止乎无所 [化] 。		《列子》__春秋战国
27	凡人物者、阴阳之 [化] 也。		《吕氏春秋》__春秋战国
28	此治乱之 [化] 也，文武之所由起也。		《吕氏春秋》__春秋战国
29	法制苟信，虎 [化] 为人，复反其真。		《韩非子》__春秋战国
30	神莫大於 [化] 道，福莫長於無禍。		《荀子》__春秋战国
31	淫酗肆虐，臣下 [化] 之，朋家作仇，胁权相灭。		《尚书》__周
32	《彖》曰：“中孚”，柔在内而刚得中，说而巽，孚乃 [化] 邦也。		《周易》__周
33	誠心守仁則形，形則神，垂能 [化] 矣。		《荀子》__春秋战国
34	變 [化] 代興，謂之天德。		《荀子》__春秋战国
35	天地為大矣，不誠則不能 [化] 萬物；聖人為知矣，不誠則不能 [化] 萬民；父子為親矣，不誠則疏；君上為尊矣，不誠則卑。		《荀子》__春秋战国
36	濟而材盡，長遷而不反其初，則 [化] 矣。		《荀子》__春秋战国
37	智短则不知 [化] ，不知 [化] 者举自危。		《吕氏春秋》__春秋战国
38	贰公弘 [化] ，寅亮天地，弼予一人。		《尚书》__周
39	侯王若能守之，万物将自 [化] 。		《老子》__春秋战国
40	 [化] 而欲作，吾将镇之以无		《老子》__春秋战国
41	变 [化] 者，《易》中蓍策卦爻，阴变为阳，阳 [化] 为阴		《周易》__周
42	故圣人恃道 [化] 而不恃智巧。”		《列子》__春秋战国
43	言卦爻阴、阳迭相推荡，而阴或变阳，阳或 [化] 阴，圣人所以观象而系辞，众人所以因蓍而		《周易》__周
44	刚 [化] 而趋于柔者，进极而退		《周易》__周
45	既 [化] 而柔，则夜而阴矣。		《周易》__周
46	凡单言变者， [化] 在其中。		《周易》__周
47	彼王者則不然∶致賢而能以救不肖，致強而能以寬弱， 戰必能殆之而羞與之鬭，委然成文，以示之天下，而暴國安自 [化] 矣。		《荀子》__春秋战国
48	且君欲无盗，莫若举贤而任之；使教明于上， [化] 行于 下，民有耻心，则何盗之为？”		《列子》__春秋战国
49	因天下之和，遂文武之業，明枝主之義，抑亦變 [化] 矣，天下厭然猶一也。		《荀子》__春秋战国
50	居於闕黨，闕黨之子弟罔不分，有親者取多，孝弟以 [化] 之也。		《荀子》__春秋战国
51	无为而民自 [化] 。		《老子》__春秋战国
52	范围天地之 [化] 而不过，曲成万物而不遗，通		《周易》__周
53	之 [化] 无穷，而圣人为之范围，不使过于中道，所谓裁成者也。		《周易》__周
54	四海之內，莫不變心易慮以 [化] 順之。		《荀子》__春秋战国
55	程子曰：“天地无心而成 [化] ，圣人有心而无为。”		《周易》__周
56	其窮也俗儒笑之；其通也英杰 [化] 之，嵬瑣逃之，邪說畏之，眾人愧之。		《荀子》__春秋战国
57	性也者，吾所不能為也，然而可 [化] 也。		《荀子》__春秋战国
58	注錯習俗，所以 [化] 性也；并一而不二，所以成積也。		《荀子》__春秋战国
59	曰∶賢能不待次而舉，罷不能不待須而廢， 元惡不待教而誅，中庸不待政而 [化] 。		《荀子》__春秋战国
60	得陶、 [化] 益、真窥、横革、之交五人佐禹，故功绩铭乎金石，著於盘盂。		《吕氏春秋》__春秋战国
61	上之 [化] 下，犹风之靡草。		《老子想尔注》__春秋战国
62	变 [化] ，谓一变生水，而六 [化] 成之；二 [化] 生火，而		《周易》__周
63	七变成之；三变生木，而八 [化] 成之；四 [化] 生金，而九变成之；五变生土，而十 [化] 成之。		《周易》__周
64	知 [化] 		《吕氏春秋》__春秋战国
65	凡智之贵也，贵知 [化] 也。		《吕氏春秋》__春秋战国
66	 [化] 未至则不知； [化] 已至，虽知之，与勿知一贯也。		《吕氏春秋》__春秋战国
67	危困之道，身死国亡，在於不先知 [化] 也。		《吕氏春秋》__春秋战国
