语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：卒
2022/7/10 23:04:25

序号	语句	书名	朝代
1	郑伯髡顽如会，未见诸侯，丙戌， [卒] 于☆。		《春秋》__周
2	己卯，仲孙速 [卒] 。		《榖梁传》__春秋战国
3	十有二月，吴子谒伐楚，门于巢， [卒] 。		《榖梁传》__春秋战国
4	以伐楚之事门于巢， [卒] 。		《榖梁传》__春秋战国
5	诸侯不生名，取 [卒] 之名加之伐楚之上者，见以伐楚 [卒] 也。		《榖梁传》__春秋战国
6	其见以伐楚 [卒] 何也？		《榖梁传》__春秋战国
7	吴子谒伐楚至巢，入其门，门人射吴子，有矢创，反舍而 [卒] 。		《榖梁传》__春秋战国
8	八月壬午，许男宁 [卒] 于楚。		《榖梁传》__春秋战国
9	乙未，楚子昭 [卒] 。		《榖梁传》__春秋战国
10	庚午，卫侯衎 [卒] 。		《榖梁传》__春秋战国
11	伯姬 [卒] 。		《榖梁传》__春秋战国
12	取 [卒] 之日，加之灾上者，见以灾 [卒] 也。		《榖梁传》__春秋战国
13	其见以灾 [卒] 奈何？		《榖梁传》__春秋战国
14	吾女也； [卒] 灾，故隐而葬之也。		《榖梁传》__春秋战国
15	不日 [卒] 而月葬，不葬者也。		《榖梁传》__春秋战国
16	 [卒] 而葬之，不忍使父失民于子也。		《榖梁传》__春秋战国
17	三十家为邑，邑有司；十邑为 [卒] ， [卒] 有 [卒] 帅；十 [卒] 为乡，乡有乡帅；三乡为县，县有县帅；十县为属，属有大夫。		《国语》__春秋战国
18	秋，九月癸巳，子野 [卒] 。		《榖梁传》__春秋战国
19	子 [卒] 日，正也。		《榖梁传》__春秋战国
20	己亥，仲孙羯 [卒] 。		《榖梁传》__春秋战国
21	君若正 [卒] 伍，修甲兵，则大国亦将正 [卒] 伍，修甲兵，则难以速得志矣。		《国语》__春秋战国
22	以为军令：五家为轨，故五人为伍，轨长帅之；十轨为里，故五十人为小戎，里有司帅之；四里为连，故二百人为 [卒] ，连长帅之；是连为乡，故二千人为旅，乡良人帅之；五乡一帅，故万人为一军，五乡之帅帅之。		《国语》__春秋战国
23	是故 [卒] 伍整于里，军旅整于郊。		《国语》__春秋战国
24	 [卒] 乃指其实而叹美之也。		《大学中庸》__春秋战国
25	五属大夫于是退而修属，属退而修县，县退而修乡，乡退而修 [卒] ， [卒] 退而修邑，邑而退而修万。		《国语》__春秋战国
26	然欲揜其恶而 [卒] 不可揜，欲诈为善而 [卒] 不可诈，则亦何益之有哉！		《大学中庸》__春秋战国
27	遣 [卒] 候者无过五十人。		《墨子》__春秋战国
28	权威分移，不可以 [卒] ，不可以教，此亡国之风也。		《吕氏春秋》__春秋战国
29	吏 [卒] 民各自大书于杰。		《墨子》__春秋战国
30	百人以上令丞尉免以 [卒] 戌。		《墨子》__春秋战国
31	吏从 [卒] 四人以上有分者。		《墨子》__春秋战国
32	如五器， [卒] 乃复。		《尚书》__周
33	 [卒] 投，司射执曰：左右 [卒] 投，请数。		《礼记》__春秋战国
34	不遍不报， [卒] 于怨雠。		《国语》__春秋战国
35	凡应之理，清净公素，而正始 [卒] 。		《吕氏春秋》__春秋战国
36	襄公如楚，及汉，闻康王 [卒] ，欲还。		《国语》__春秋战国
37	文仲以鬯圭与玉如齐告籴，曰：“天灾流行，戾于弊邑，饥馑荐降，民羸几 [卒] ，大惧乏周公、太公之命祀，职贡业事之不共而获戾。		《国语》__春秋战国
38	军尚左， [卒] 尚右。		《礼记》__春秋战国
39	公父文伯 [卒] ，其母戒其妾曰：“吾闻之：好内，女死之；好外，士死之。		《国语》__春秋战国
40	天閟毖我成功所，予不敢不极 [卒] 宁王图事。		《尚书》__周
41	以其本非所望，而 [卒] 然值之，如不期而遇者，故为遇。		《周易》__周
42	祖父 [卒] ，而后为祖母后者三年。		《礼记》__春秋战国
43	始贫 [卒] 而富则王公大人。		《墨子》__春秋战国
44	为君母后者，君母 [卒] ，则不为君母之党		《礼记》__春秋战国
45	报葬者报虞，三月而后 [卒] 哭。		《礼记》__春秋战国
46	夏，许男新臣 [卒] 。		《榖梁传》__春秋战国
47	为母之君母，母 [卒] 则不服。		《礼记》__春秋战国
48	妇之丧，虞， [卒] 哭，其夫若子主之，祔		《礼记》__春秋战国
49	阴谋逆德，好用凶器，始于人者，人之所 [卒] 也；因佚之事，上帝之禁也，先行此者，不利。”		《国语》__春秋战国
50	其妻为大夫而 [卒] ，后其夫不为大夫，而祔于其		《礼记》__春秋战国
51	妻 [卒] 而后为大夫，而祔于其妻，则以大夫牲。		《礼记》__春秋战国
52	缌小功，虞 [卒] 哭则免。		《礼记》__春秋战国
53	及其葬也，反服其服，报虞 [卒] 哭则免。		《礼记》__春秋战国
54	曹伯班 [卒] 。		《榖梁传》__春秋战国
55	夫人 [卒] 葬之，我可以不 [卒] 葬之乎？		《榖梁传》__春秋战国
56	九年春，王三月丁丑，宋公御说 [卒] 。		《榖梁传》__春秋战国
57	君夫人 [卒] 于路寝，大夫世妇 [卒] 于适寝，内子未命，则死于下室，迁尸 于寝，士之妻皆死于寝。		《礼记》__春秋战国
58	秋，七月乙酉，伯姬 [卒] 。		《榖梁传》__春秋战国
59	内女也，未适人不 [卒] ，此何以 [卒] 也？		《榖梁传》__春秋战国
60	甲子，晋侯诡诸 [卒] 。		《榖梁传》__春秋战国
61	始 [卒] ，主人啼，兄弟哭，妇人哭踊。		《礼记》__春秋战国
62	刘康公乃儆戎车 [卒] 士以待之。		《吕氏春秋》__春秋战国
63	 [卒] 敛，主人冯之踊，主妇亦如之。		《礼记》__春秋战国
64	晋果使祭事先，因令杨子将 [卒] 十二万而随之，涉於棘津，袭聊、阮、梁蛮氏，灭三国焉。		《吕氏春秋》__春秋战国
65	冬，十有二月丁丑，陈侯杵臼 [卒] 。		《榖梁传》__春秋战国
66	冬，蔡侯肸 [卒] 。		《榖梁传》__春秋战国
67	诸侯时 [卒] ，恶之也。		《榖梁传》__春秋战国
68	 [卒] 敛，宰告，子冯之踊，夫人东面亦如之。		《礼记》__春秋战国
69	迁尸、 [卒] 敛，宰告，主人降，北面于堂下，君抚之，主人 拜稽颡，君降、升主人冯之，命主妇冯之。		《礼记》__春秋战国
70	三月壬申，公子季友 [卒] 。		《榖梁传》__春秋战国
71	大夫日 [卒] ，正也。		《榖梁传》__春秋战国
72	君 既葬，王政入于国，既 [卒] 哭而服王事。		《礼记》__春秋战国
73	夏，四月丙申，缯季姬 [卒] 。		《榖梁传》__春秋战国
74	大夫士既葬，公政入于家，既 [卒] 哭、弁 带，金革之事无辟也。		《礼记》__春秋战国
75	秋，七月甲子，公孙兹 [卒] 。		《榖梁传》__春秋战国
76	大夫日 [卒] ，正也。		《榖梁传》__春秋战国
77	诸父兄弟之丧，既 [卒] 哭而归。		《礼记》__春秋战国
78	冬，十有二月乙亥，齐侯小白 [卒] 。		《榖梁传》__春秋战国
79	 [卒] 奠，主人先俟于门外，君退，主人送于 门外，拜稽颡。		《礼记》__春秋战国
80	以其私 [卒] 君子六千人为中军。		《国语》__春秋战国
81	吾欲与之徼天之衷，唯是车马、兵甲、 [卒] 伍既具，无以行之。		《国语》__春秋战国
82	吾欲与之徼天之衷，唯是车马、兵甲、 [卒] 伍既具，无以行之。		《国语》__春秋战国
83	其 [卒] 果破齐以为功。		《吕氏春秋》__春秋战国
84	叔 [卒] ，乃命诸王邦之蔡。		《尚书》__周
85	夏，五月庚寅，宋公兹父 [卒] 。		《榖梁传》__春秋战国
86	冬，十有一月，杞子 [卒] 。		《榖梁传》__春秋战国
87	晋侯夷吾 [卒] 。		《榖梁传》__春秋战国
88	夏，四月癸酉，卫侯毁 [卒] 。		《榖梁传》__春秋战国
89	夏，六月庚寅，齐侯昭 [卒] 。		《榖梁传》__春秋战国
90	不 [卒] 戍，刺之。		《榖梁传》__春秋战国
91	公子启曰：“不 [卒] 戍者，可以 [卒] 也。		《榖梁传》__春秋战国
92	可以 [卒] 而不 [卒] ，讥在公子也，刺之可也。”		《榖梁传》__春秋战国
93	进盥，少者奉，长者奉水，请沃盥，盥 [卒] 授 巾。		《礼记》__春秋战国
94	陈侯款 [卒] 。		《榖梁传》__春秋战国
95	夫进而击赵不能取，退而攻韩弗能拔，则陷锐文 [卒] 勤于野战，负任之旅罢于内攻；则合群苦弱以敌而共二万乘，非所以亡赵之心也。		《韩非子》__春秋战国
96	夫韩虽臣于秦，未尝不为秦病，今若有 [卒] 报之事，韩不可信也。		《韩非子》__春秋战国
97	因令象武发东郡之 [卒] ，阅兵於境上而未名所之，则齐人惧而从苏之计，是我兵未出而劲韩以威擒，强齐以义从矣。		《韩非子》__春秋战国
98	“今赵欲聚兵士， [卒] 以秦为事，使人来借道，言欲伐秦，其势必先韩而后秦。		《韩非子》__春秋战国
99	夏，四月己丑，郑伯捷 [卒] 。		《榖梁传》__春秋战国
100	冬，十有二月己卯，晋侯重耳 [卒] 。		《榖梁传》__春秋战国
101	僖公，葬而后举谥，谥所以成德也，于 [卒] 事乎加之矣。		《榖梁传》__春秋战国
102	日髡之 [卒] ，所以谨商臣之弑也。		《榖梁传》__春秋战国
103	夏，五月，王子虎 [卒] 。		《榖梁传》__春秋战国
104	叔服也，此不 [卒] 者也，何以 [卒] 之？		《榖梁传》__春秋战国
105	以其来会葬，我 [卒] 之也。		《榖梁传》__春秋战国
106	农有余食，则薄燕于岁；商有淫利有美好，伤器；官设而不用，志、行为 [卒] 。		《商君书》__春秋战国
107	不得所以用之，国虽大，势虽便， [卒] 虽众，何益？		《吕氏春秋》__春秋战国
108	冬，十月甲申，许男业 [卒] 。		《榖梁传》__春秋战国
109	八月乙亥，晋侯驩 [卒] 。		《榖梁传》__春秋战国
110	能用非己之民，国虽小， [卒] 虽少，功名犹可立。		《吕氏春秋》__春秋战国
111	夏，四月，宋公壬臣 [卒] 。		《榖梁传》__春秋战国
112	故文王说纣而纣囚之；翼候炙；鬼候腊，比干剖心；梅伯酸；夷吾束缚；而曹羁奔陈；伯里子道乞；传说转鬻；孙子膑脚于魏；吴起收泣于岸门，痛西河之为秦， [卒] 枝解于楚；公叔痤言国器反为悖，公孙鞅奔秦；关龙逢斩；苌弘分胣；尹子罕于棘；司马子期死而浮于江；田明辜射；宓子贱、西门豹不斗而死人手；董安于死而陈于市；宰予不免于田常；范雎折协于魏。		《韩非子》__春秋战国
113	秋，八月，曹伯襄 [卒] 。		《榖梁传》__春秋战国
114	十年春，王三月辛卯，臧孙辰 [卒] 。		《榖梁传》__春秋战国
115	臣之所谓兵者，非谓悉兴尽起也，论竟内所能给军 [卒] 车骑，令故秦兵，新民给刍食。		《商君书》__春秋战国
116	二月庚子，子叔姬 [卒] 。		《榖梁传》__春秋战国
117	其一传曰，许嫁以 [卒] 之也。		《榖梁传》__春秋战国
118	汤与桀战于鸣条之野，武王与纣战于牧野之中，大破九军， [卒] 裂土封诸侯，士 [卒] 坐陈者，里有书社。		《商君书》__春秋战国
119	夏，五月壬午，陈侯朔 [卒] 。		《榖梁传》__春秋战国
120	邾子蘧篨 [卒] 。		《榖梁传》__春秋战国
121	夏，王月乙亥，齐侯潘 [卒] 。		《榖梁传》__春秋战国
122	国尉分地，以中 [卒] 随之。		《商君书》__春秋战国
123	九月甲申，公孙敖 [卒] 于齐。		《榖梁传》__春秋战国
124	奔大夫不言 [卒] ，而言 [卒] ，何也？		《榖梁传》__春秋战国
125	为受其丧，不可不 [卒] 也。		《榖梁传》__春秋战国
126	知伯军救水而乱，韩、魏翼而击之，襄子将 [卒] 犯其前，大败知伯之军而擒知伯。		《韩非子》__春秋战国
127	秦伯 [卒] 。		《榖梁传》__春秋战国
128	庄公葬而后举谥，谥所以成德也，于 [卒] 事乎加之矣。		《榖梁传》__春秋战国
129	故桓公之兵横行天下，为五伯长， [卒] 见弑于其臣，而灭高名，为天下笑者，何也？		《韩非子》__春秋战国
130	王其趣发信臣，多其车，重其币，以奉韩曰：‘不谷之国虽小， [卒] 已悉起，愿大国之信意于秦也。		《韩非子》__春秋战国
131	因愿大国令使者入境视楚之起 [卒] 也。		《韩非子》__春秋战国
132	宜阳益急，韩君令使者趣 [卒] 于楚，冠盖相望而 [卒] 无至者。		《韩非子》__春秋战国
133	正与夷之 [卒] 也。		《榖梁传》__春秋战国
134	五年春，正月甲戌、己丑，陈侯鲍 [卒] 。		《榖梁传》__春秋战国
135	鲍 [卒] ，何为以二日 [卒] 之？		《榖梁传》__春秋战国
136	故为国分田数：小亩五亩，足待一役，此地不任也；方土百里，出战 [卒] 万人者，数小也。		《商君书》__春秋战国
137	十年春，王正月庚申，曹伯终生 [卒] 。		《榖梁传》__春秋战国
138	正终生之 [卒] 也。		《榖梁传》__春秋战国
139	夏五月癸未，郑伯寤生 [卒] 。		《榖梁传》__春秋战国
140	八月壬辰，陈侯跃 [卒] 。		《榖梁传》__春秋战国
141	丙戌，卫侯晋 [卒] 。		《榖梁传》__春秋战国
142	冬，十有二月丁巳，齐侯禄父 [卒] 。		《榖梁传》__春秋战国
143	六月丁丑，蔡侯封人 [卒] 。		《榖梁传》__春秋战国
144	简子不贤，铎也 [卒] 不居赵地，有况乎在简子之侧哉！		《吕氏春秋》__春秋战国
145	詩曰∶「禮儀 [卒] 度，笑語 [卒] 獲。」		《荀子》__春秋战国
146	三月辛卯，邾子穿 [卒] 。		《榖梁传》__春秋战国
147	四年春，王二月癸巳，陈侯吴 [卒] 。		《榖梁传》__春秋战国
148	杞伯成 [卒] 于会。		《榖梁传》__春秋战国
149	刘卷 [卒] 。		《榖梁传》__春秋战国
150	此不 [卒] 而 [卒] 者，贤之也。		《榖梁传》__春秋战国
151	寰内诸侯也，非列土诸侯，此何以 [卒] 也？		《榖梁传》__春秋战国
152	六月丙申，季孙意如 [卒] 。		《榖梁传》__春秋战国
153	秋，七月壬子，叔孙不敢 [卒] 。		《榖梁传》__春秋战国
154	曹伯露 [卒] 。		《榖梁传》__春秋战国
155	秋，七月戊辰，陈侯柳 [卒] 。		《榖梁传》__春秋战国
156	夏，四月戊申，郑伯虿 [卒] 。		《榖梁传》__春秋战国
157	秦伯 [卒] 。		《榖梁传》__春秋战国
158	十有二年春，薛伯定 [卒] 。		《榖梁传》__春秋战国
159	吴子光 [卒] 。		《榖梁传》__春秋战国
160	秋，七月壬申，弋氏 [卒] 。		《榖梁传》__春秋战国
161	八月壬午，宋公鲍 [卒] 。		《榖梁传》__春秋战国
162	庚寅，卫侯速 [卒] 。		《榖梁传》__春秋战国
163	王也者，非必坚甲利兵选 [卒] 练士也，非必隳人之城郭杀人之士民也。		《吕氏春秋》__春秋战国
164	其 [卒] ，民果作难，而杀子阳。		《列子》__春秋战国
165	三月壬申，郑伯坚 [卒] 。		《榖梁传》__春秋战国
166	夏，四月甲寅，臧孙许 [卒] 。		《榖梁传》__春秋战国
167	贵 [卒] 		《吕氏春秋》__春秋战国
168	六曰：力贵突，智贵 [卒] 。		《吕氏春秋》__春秋战国
169	文王誅四，武王誅二，周公 [卒] 業，至於成王，則安以無誅矣。		《荀子》__春秋战国
170	壬申，郑伯费 [卒] 。		《榖梁传》__春秋战国
171	冬，十月癸卯，杞叔姬 [卒] 。		《榖梁传》__春秋战国
172	齐、楚、吴、越皆尝胜矣，然 [卒] 取亡焉，不达乎持胜也。		《列子》__春秋战国
173	为义者则不然，始而相与，久而相信， [卒] 而相亲，後世以为法程。		《吕氏春秋》__春秋战国
174	秋，七月丙子，齐侯无野 [卒] 。		《榖梁传》__春秋战国
175	公孙鞅因伏 [卒] 与车骑以取公子卬。		《吕氏春秋》__春秋战国
176	丙午，晋侯獳 [卒] 。		《榖梁传》__春秋战国
177	鼓之而紂 [卒] 易鄉，遂乘殷人而誅紂。		《荀子》__春秋战国
178	曹伯庐 [卒] 于师。		《榖梁传》__春秋战国
179	十有四年春，王正月，莒子硃 [卒] 。		《榖梁传》__春秋战国
180	冬，十月庚寅，卫侯臧 [卒] 。		《榖梁传》__春秋战国
181	秦伯 [卒] 。		《榖梁传》__春秋战国
182	法先王，統禮義，一制度；以淺持博，以古持今，以一持萬；茍仁義之類也，雖在鳥獸之中，若別白黑；倚物怪變，所未嘗聞也，所未嘗見也， [卒] 然起一方，則舉統類而應之，無所擬怍；張法而度之，則暗然若合符節∶是大儒者也。		《荀子》__春秋战国
183	三月乙巳，仲婴齐 [卒] 。		《榖梁传》__春秋战国
184	夏，六月，宋公固 [卒] 。		《榖梁传》__春秋战国
185	月 [卒] 日葬，非葬者也。		《榖梁传》__春秋战国
186	夏，四月辛未，滕子 [卒] 。		《榖梁传》__春秋战国
187	大夫曰 [卒] ，正也。		《榖梁传》__春秋战国
188	壬申，公孙婴齐 [卒] 于貍蜃。		《榖梁传》__春秋战国
189	邾子貜且 [卒] 。		《榖梁传》__春秋战国
190	夏，四月丙子，卫侯元 [卒] 。		《榖梁传》__春秋战国
191	秋，七月丙子，季孙斯 [卒] 。		《榖梁传》__春秋战国
192	冬，十月癸卯，秦伯 [卒] 。		《榖梁传》__春秋战国
193	殷之日，案以中立，無有所偏，而為縱橫之事，偃然案兵無動，以觀夫暴國之相 [卒] 也。		《荀子》__春秋战国
194	秋，八月甲寅，滕子结 [卒] 。		《榖梁传》__春秋战国
195	秋，九月癸酉，齐侯杵臼 [卒] 。		《榖梁传》__春秋战国
196	秋，七月庚寅，楚子轸 [卒] 。		《榖梁传》__春秋战国
197	冬，十有二月癸亥，杞伯过 [卒] 。		《榖梁传》__春秋战国
198	三月戊戌，齐侯阳生 [卒] 。		《榖梁传》__春秋战国
199	薛伯夷 [卒] 。		《榖梁传》__春秋战国
200	秋，七月辛酉，滕子虞母 [卒] 。		《榖梁传》__春秋战国
201	夏，五月甲辰，孟子 [卒] 。		《榖梁传》__春秋战国
202	夏，许男成 [卒] 。		《榖梁传》__春秋战国
203	肆咤则徒 [卒] 百万，视捴则诸侯从命，亦奚羡于彼而弃齐国之社稷，从 戎夷之国乎？		《列子》__春秋战国
204	秦寇果至，戎主醉而卧於樽下， [卒] 生缚而擒之。		《吕氏春秋》__春秋战国
205	伯牙游于泰山之阴， [卒] 逢暴雨，止于岩下；心悲，用援琴而鼓之。		《列子》__春秋战国
206	管子遂 [卒]  [卒] 士有隰朋亦 [卒] ，		《管子》__春秋战国
207	 [卒] 有寇難之事，又望百姓之為己死，不可得也，說無以取之焉。		《荀子》__春秋战国
208	夫人闻之，大骇，令吏兴 [卒] 。		《吕氏春秋》__春秋战国
209	 [卒] 与吏其始发也，皆曰：“往击寇。”		《吕氏春秋》__春秋战国
210	公子连因与 [卒] 俱来，至雍，围夫人，夫人自杀。		《吕氏春秋》__春秋战国
211	虽有偏 [卒] 之大夫不敢有幸心则上无危矣，		《管子》__春秋战国
212	上則能尊君，下則能愛民，政令教化，刑下如影，應崐 [卒] 遇變，齊給如響，推類接譽，以待無方，曲成制象，是聖臣者也。		《荀子》__春秋战国
213	魏氏之武 [卒] ，以度取之，衣三屬之甲，操十二石之弩， 負服矢五十個，置戈其上，冠■帶劍，贏三日之糧，日中而趨百里，中試則復其戶，利其田宅，是數年而衰，而未可奪也，改造則不易周也，是故地雖大，其稅必寡，是危國之兵也。		《荀子》__春秋战国
214	故齊之技擊，不可以遇魏氏之武 [卒] ；魏氏之武 [卒] ， 不可以遇秦之銳士；秦之銳士，不可以當桓文之節制；桓文之節制，不可以敵湯武之仁義；有遇之者，若以焦熬投石焉。		《荀子》__春秋战国
215	是非有必交来苟信是必有不可先规之必有不可识虑之将 [卒] 然不戒而至，		《管子》__春秋战国
216	章子甚喜，因练 [卒] 以夜奄荆人之所盛守，果杀唐蔑。		《吕氏春秋》__春秋战国
217	三日五哭 [卒] ，主人出送宾，众 主人兄弟皆出门，哭止，相者告事毕。		《礼记》__春秋战国
218	其初难知，其上易知，本末也，初辞拟之， [卒] 成之		《周易》__周
219	父母之丧，既虞 [卒] 哭，疏食水饮，不食菜果；期而小祥，食菜果；又期而大 祥，有醢酱；中月而礻覃，礻覃而饮醴酒。		《礼记》__春秋战国
220	陈士不死则 [卒] 士不轻敌，		《管子》__春秋战国
221	父母之丧，既虞 [卒] 哭，柱楣翦屏，{艹下}翦不纳；期而小祥，居垩室，寝有 席；又期而大祥，居复寝；中月而衤覃，衤覃而床。		《礼记》__春秋战国
222	斩衰三升，既虞 [卒] 哭，受以成布六升，冠七升。		《礼记》__春秋战国
223	斩衰之丧，既虞 [卒] 哭，遭齐衰之丧，轻者包，重者 特。		《礼记》__春秋战国
224	齐衰之丧，既虞 [卒] 哭，遭大功之丧，麻葛兼服 之。		《礼记》__春秋战国
225	车五百乘 [卒] 五千人以楚丘封卫，		《管子》__春秋战国
226	桓公曰 [卒] 伍定矣事已成矣，		《管子》__春秋战国
227	是故 [卒] 伍政定于里军旅政定于郊，		《管子》__春秋战国
228	岁既殚矣，世 妇 [卒] 蚕，奉茧以示于君，遂献茧于夫人。		《礼记》__春秋战国
229	安，可能也，  [卒] 为难。		《礼记》__春秋战国
230	上尊而民从 [卒] 轻患而傲敌，		《管子》__春秋战国
231	大昏之未發齊也，大廟之未入尸也，始 [卒] 之未小斂也，一也。		《荀子》__春秋战国
232	詩曰∶「禮儀 [卒] 度，笑語 [卒] 獲。」		《荀子》__春秋战国
233	行此 [卒] 几则始可以罚矣，		《管子》__春秋战国
234	齐车千乘 [卒] 先致缘陵战于后故败狄，		《管子》__春秋战国
235	 [卒] 矣，然後作具之。		《荀子》__春秋战国
