语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：博
2022/7/10 23:06:57

序号	语句	书名	朝代
1	以浅阙 [博] 居天下，安殊俗，治万民，其说固不行。		《吕氏春秋》__春秋战国
2	夫杀之人为利人也 [博] 矣。		《墨子》__春秋战国
3	故子华子曰：“厚而不 [博] ，敬守一事，正性是喜。		《吕氏春秋》__春秋战国
4	众封建，非以私贤也，所以便势全威，所以 [博] 义。		《吕氏春秋》__春秋战国
5	义 [博] 利则无敌，无敌者安。		《吕氏春秋》__春秋战国
6	骈犹浅言之也， [博] 言之，岂独齐国之政哉？		《吕氏春秋》__春秋战国
7	则其德音之所抚循者 [博] 矣。		《墨子》__春秋战国
8	夫差不贳不忍，被甲带剑，挺铍  铎，遵汶伐 [博] ，簦笠相望于艾陵。		《国语》__春秋战国
9	丘闻之也，君子之学也 [博] ，其服也乡，丘不知儒服。		《礼记》__春秋战国
10	故义之为利 [博] 矣。		《吕氏春秋》__春秋战国
11	择者欲其 [博] 也。		《吕氏春秋》__春秋战国
12	论其所爱，则以为借资；论其所憎，则以为尝己也，径省其说，则以为不智而拙之；米盐 [博] 辩，则以为多而交之。		《韩非子》__春秋战国
13	故木受繩則直，金就礪則利，君子 [博] 學而日參省乎己，則知明而行無過矣。		《荀子》__春秋战国
14	禮之敬文也，樂之中和也，詩書之 [博] 也，春秋之微也，在天地之間者畢矣。		《荀子》__春秋战国
15	多聞曰 [博] ，少聞曰淺。		《荀子》__春秋战国
16	故君子賢而能容罷，知而能容愚， [博] 而能容淺，粹而能容雜，夫是之謂兼術。		《荀子》__春秋战国
17	先慮之，早謀之，斯須之言而足聽，文而致實， [博] 而黨正，是士君子之辯者也。		《荀子》__春秋战国
18	略法先王而不知其統，然而猶材劇志大，聞見雜 [博] 。		《荀子》__春秋战国
19	智苟不足，使若 [博] 如孔丘，术 如吕尚，焉往而不穷哉？”		《列子》__春秋战国
20	孙叔敖曰：“吾爵益 高，吾志益下；吾官益大，吾心益小；吾禄益厚，吾施益 [博] 。		《列子》__春秋战国
