语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：卧
2022/7/10 23:05:51

序号	语句	书名	朝代
1	和，胡 [卧] 反。		《周易》__周
2	和，胡 [卧] 反。		《周易》__周
3	秦寇果至，戎主醉而 [卧] 於樽下，卒生缚而擒之。		《吕氏春秋》__春秋战国
4	纪昌归， 偃 [卧] 其妻之机下，以目承牵挺。		《列子》__春秋战国
5	仙士意志道如晦，思 [卧] 安床，不复杂俗事也。		《老子想尔注》__春秋战国
6	人将休，吾将不敢休；人将 [卧] ，吾将不敢 [卧] 。”		《吕氏春秋》__春秋战国
7	大揆度仪若觉 [卧] 若晦明，		《管子》__春秋战国
8	魏文侯问于子夏曰：“吾端冕而听古乐，则唯恐 [卧] ；听郑卫之音，则不知倦。		《礼记》__春秋战国
9	以说则承从多群，日夜思之，事心任精，起则诵之， [卧] 则梦之，自今单唇干肺，费神伤魂，上称三皇五帝之业以愉其意，下称五伯名士之谋以信其事，早朝晏罢，以告制兵者，行说语众，以明其道。		《吕氏春秋》__春秋战国
10	景公病水， [卧] 十数日，夜梦与二日斗，不胜。		《晏子春秋》__春秋战国
11	昔赵宣孟子将上之绛，见骫桑之下有饿人 [卧] 不能起者，宣孟止车，为之下食，蠲而餔之，再咽而後能视。		《吕氏春秋》__春秋战国
12	有欲为王留行者，坐而言不应，隐几而 [卧] 。		《孟子》__春秋战国
13	客不悦曰：“弟子齐宿而后敢言，夫子 [卧] 而不听，请勿复敢见矣。”		《孟子》__春秋战国
14	为其侧，逍遥乎寝 [卧] 其下。		《庄子》__春秋战国
15	泰氏其 [卧] 徐徐，其觉于于。		《庄子》__春秋战国
16	农之世， [卧] 则居居，起则于于。		《庄子》__春秋战国
17	广成子南首而 [卧] ，黄帝顺下风膝行而进，再拜稽		《庄子》__春秋战国
18	寝 [卧] 其下，彼不得梦，必且数眯焉。		《庄子》__春秋战国
19	弟子游居寝 [卧] 其下。		《庄子》__春秋战国
20	后十三年，秦穆公立，病 [卧] 五日不寤，寤，乃言梦见上帝，上帝命穆公平晋乱。		《汉书》__汉
21	于是语卒，援髑髅，枕而 [卧] 。		《庄子》__春秋战国
22	汉使曰：“匈奴父子同穹庐 [卧] 。		《汉书》__汉
23	丹以亲密臣得侍视疾，侯上间独寝时，丹直入 [卧] 内，顿首伏青蒲上，涕泣言曰：“皇太子以適长立，积十余年，名号系于百姓，天下莫不归心臣子。		《汉书》__汉
24	上以光为大司马大将军，日磾为车骑将军，及太仆上官桀为左将军，搜粟都尉桑弘羊为御史大夫，皆拜 [卧] 内床下，受遗诏辅少主。		《汉书》__汉
25	霸 [卧] 则枕鼓，以铁箸食，此皇天所以辅新室也。		《汉书》__汉
26	是时，上行幸林光宫，日磾小疾 [卧] 庐。		《汉书》__汉
27	须臾，何罗袖白刃从东箱上，见日磾，色变，走趋 [卧] 内欲入，行触宝瑟，僵。		《汉书》__汉
28	莽曰：“予以二月建寅之节行巡狩之礼，太官赍E05F干肉，内者行张坐 [卧] ，所过毋得有所给。		《汉书》__汉
29	辅政岁余，病困，大将军光白封日磾， [卧] 授印绶。		《汉书》__汉
30	日磾两子，赏、建，俱侍中，与昭帝略同年，共 [卧] 起。		《汉书》__汉
31	时会朝请，舍长安尚冠里，身足下有毛， [卧] 居数有光耀。		《汉书》__汉
32	延年居父官府，不敢当旧位，坐 [卧] 皆易其处。		《汉书》__汉
33	世间人家多有见赤白光为变怪者谨按太尉梁国桥玄公祖为司徒长史，五月末所，于中门外 [卧] ，夜半後，见东壁正白，如开门明，呼问左右，左右莫见。		《风俗通义》__汉
34	既冥，整服坐诵<<六甲>>、<<孝经>>、<<易本>>讫， [卧] 。		《风俗通义》__汉
