语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：却
2022/7/10 22:59:53

序号	语句	书名	朝代
1	白刃在前，斧锧在 后，而 [却] 走不能死也。		《韩非子》__春秋战国
2	乃复悉士卒以攻邯郸，不能拔也，弃甲兵弩，战竦而  [却] ，天下固已量秦力二矣。		《韩非子》__春秋战国
3	齐、晋相与战，平阿之馀子亡戟得矛， [却] 而去，不自快，谓路之人曰：“亡戟得矛，可以归乎？”		《吕氏春秋》__春秋战国
4	每朝与其友俱立乎衢，三日不得， [却] 而自殁。		《吕氏春秋》__春秋战国
5	句践试其民於寝宫，民争入水火，死者千馀矣，遽击金而 [却] 之。		《吕氏春秋》__春秋战国
6	会有一欲，则北至大夏，南至北户，西至三危，东至扶木，不敢乱矣；犯白刃，冒流矢，趣水火，不敢 [却] 也；晨寤兴，务耕疾庸，巽为烦辱，不敢休矣。		《吕氏春秋》__春秋战国
7	一曰：凡人之性，爪牙不足以自守卫，肌肤不足以捍寒暑，筋骨不足以从利辟害，勇敢不足以 [却] 猛禁悍。		《吕氏春秋》__春秋战国
8	国去此十者，敌不敢至，虽至必 [却] ；兴兵而伐，必取；按兵不伐，必富。		《商君书》__春秋战国
9	不用八者治，敌不敢至；虽至，必 [却] ；兴兵而伐，必取；取，必能有之；按兵而不攻，必富。		《商君书》__春秋战国
10	尧战於丹水之浦，以服南蛮；舜 [却] 苗民，更易其俗；禹攻曹、魏、屈骜、有扈，以行其教。		《吕氏春秋》__春秋战国
11	乃为 [却] 四十里，而舍於卢门之阖，所以为成而归也。		《吕氏春秋》__春秋战国
12	46.天下有道， [却] 走马以粪。		《老子》__春秋战国
13	公输般九攻之，墨子九 [却] 之，不能入。		《吕氏春秋》__春秋战国
14	申他曰：‘ 吾闻卫孔周其祖得殷帝之宝剑，一童子服之， [却] 三军之众，奚不请焉？”		《列子》__春秋战国
15	道隐 [却] 观，乱极必理，道意必宣，是以帝王大臣，不可不用心殷勤审察之焉。“		《老子想尔注》__春秋战国
16	）难言者， [却] 论也； [却] 论者，钓几也。		《鬼谷子》__春秋战国
17	戏始有朕，可抵而塞，可抵而 [却] ，可抵而息，可抵而匿，可抵而得，此谓抵戏之理也。		《鬼谷子》__春秋战国
18	使令狐文子佐之，曰：“昔克潞之役，秦来图败晋功，魏颗以其身 [却] 退秦师于辅氏，亲止杜回，其勋铭于景锺。		《国语》__春秋战国
19	戎马不驾，卿无军行，公乘无人，卒列无长；庶民罢弊，宫室滋侈，道☆相望，而女富溢尤；民闻公命，如逃寇仇；栾 [却] 、胥原、孤续、庆伯，降在☆隶，政在家门，民无所依，而君日不悛，以乐☆忧；公室之卑，其何日之有！		《晏子春秋》__春秋战国
20	赵襄子游於囿中，至於梁，马 [却] 不肯进。		《吕氏春秋》__春秋战国
21	青荓进视梁下，豫让 [却] 寝，佯为死人。		《吕氏春秋》__春秋战国
22	田开疆曰：“吾仗兵而 [却] 三军者再，若开疆之功，亦可以食桃		《晏子春秋》__春秋战国
23	“变易”之道 [却] 是永恒地起着作用。		《周易》__周
24	触子苦之，欲齐军之败，於是以天下兵战，战合，击金而 [却] 之。		《吕氏春秋》__春秋战国
25	此赵宣孟之所以免也，周昭文君之所以显也，孟尝君之所以 [却] 荆兵也。		《吕氏春秋》__春秋战国
26	吾以其来不可 [却] 也，其去不可止也。		《庄子》__春秋战国
27	 [却] 舍延尸，车甲尽於战，府库尽於葬，此之谓内攻之。”		《吕氏春秋》__春秋战国
28	曰：“‘ [却] 之 [却] 之为不恭’，何哉？”		《孟子》__春秋战国
29	’而后受之，以是为不恭，故弗 [却] 也。”		《孟子》__春秋战国
30	曰：“请无以辞 [却] 之，以心 [却] 之。		《孟子》__春秋战国
31	宾坐，左执爵，祭脯醢，奠爵于荐西，兴；右手取肺， [却] 左手执本，坐，弗缭，右绝末以祭，尚左手，哜之，兴；加于俎，坐棁手，遂祭酒，兴；席末坐，啐酒，降席，坐奠爵，拜，告旨，执爵兴。		《仪礼》__春秋战国
32	无由接，固 [却] 其忠言，而爱其所尊贵也。		《吕氏春秋》__春秋战国
33	且数怒人主，以为奸人除路，奸路以除，而恶壅 [却] ，岂不难哉？		《吕氏春秋》__春秋战国
34	受于鼎西，左手执俎左廉，缩之， [却] 右手执匕枋，缩于俎上，以东面受于羊鼎之西。		《仪礼》__春秋战国
35	尸 [却] 手受匕枋，坐祭，哜之，兴，覆手以授宾。		《仪礼》__春秋战国
36	宗庙之事，脂者膏者以为牲，臝者、羽者、鳞者以为筍虡，外骨、内骨， [却] 行、纡行、以脰鸣者、以注鸣者、以旁鸣者、以翼鸣者、以股鸣者、以胸鸣者，谓之小虫之属，以为雕琢。		《周礼》__春秋战国
37	佐食许诺，启会， [却] 于敦南，复位。		《仪礼》__春秋战国
38	上射揖进，坐，横弓； [却] 手自弓下取一个，兼诸弣，顺羽，且兴；执弦而左还，退反位，东面揖。		《仪礼》__春秋战国
39	不胜者皆袭，说决拾， [却] 左手，右加弛弓于其上，遂以执弣。”		《仪礼》__春秋战国
40	弑不成， [却] 反舍于郊，皆说然息。		《公羊传》__春秋战国
41	举者盥，右执匕， [却] 之，左执俎，横摄之，入，阼阶前西面错，错俎北面。		《仪礼》__春秋战国
42	敦启会， [却] 诸其南。		《仪礼》__春秋战国
43	大都尉丞、辅国侯、安国侯、击胡侯、 [却] 胡都尉、击车师都尉、左右将、左右都尉、左右骑君、左右力辅君各一人，东西南北部千长各二人， [却] 胡君三人，译长四人。		《汉书》__汉
44	击胡侯、 [却] 胡侯、辅国侯、左右将、左右都尉、击胡左右君、击车师君、归义车师君各一人，击胡都尉、击胡君各二人，译长三人。		《汉书》__汉
45	公子庆父弑闵公，走而之莒，莒人逐之，将由乎齐，齐人不纳， [却] 反舍于汶水之上，使公子奚斯入请。		《公羊传》__春秋战国
46	祝洗，酌奠，奠于铏南，遂命佐食启会，佐食启会， [却] 于敦南，出，立于户西，南面。		《仪礼》__春秋战国
47	加折， [却] 之。		《仪礼》__春秋战国
48	朔月，童子执帚， [却] 之，左手奉之，従彻者而入。		《仪礼》__春秋战国
