语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：及
2022/11/6 8:41:59

序号	语句	书名	朝代
1	东坡曰、吾入吴尚 [及] 见嵩。		《禅林僧宝传卷第二十七》__宋
2	 [及] 其化也、多雨舍利。		《禅林僧宝传卷第二十七》__宋
3	 [及] 殁葬骨石於石霜。		《禅林僧宝传卷第二十七》__宋
4	尝馔僧、俄报火厨库、且 [及] 潮音堂。		《禅林僧宝传卷第二十七》__宋
5	中夜候吏报、扬州驰书、船将 [及] 岸、颖欣然遣挝鼓、升座叙出世本末。		《禅林僧宝传卷第二十七》__宋
6	 [及] 情与无情共一体。		《禅林僧宝传卷第二十三》__宋
7	遗诫皆宗门大事、不 [及] 其私。		《禅林僧宝传卷第二十三》__宋
8	烟所 [及] 、皆成舍利。		《禅林僧宝传卷第二十三》__宋
9	 [及] 会茶辄失一人。		《禅林僧宝传卷第二十四》__宋
10	 [及] 南公自石门、而迁黄蘖积翠。		《禅林僧宝传卷第二十四》__宋
11	 [及] 其霜露果熟、则众圣推出。		《禅林僧宝传卷第二十五》__宋
12	 [及] 生白光照室。		《禅林僧宝传卷第二十五》__宋
13	 [及] 殁、庐陵太守张公鉴、请居隆庆。		《禅林僧宝传卷第二十五》__宋
14	 [及] 谒南禅师於积翠、依止五年。		《禅林僧宝传卷第二十五》__宋
15	 [及] 有所训、皆流俗鄙事。		《禅林僧宝传卷第二十一》__宋
16	公为逗留、夜语 [及] 并汾旧游。		《禅林僧宝传卷第二十一》__宋
17	遣人追不 [及] 、云是举道者。		《禅林僧宝传卷第二十一》__宋
18	举陆沉众中、不 [及] 识之。		《禅林僧宝传卷第二十一》__宋
19	 [及] 冠日一食、诵 《法华经》。		《禅林僧宝传卷第九》__宋
20	惜吾不 [及] 见耳。		《禅林僧宝传卷第九》__宋
21	 [及] 见 其画像。		《禅林僧宝传卷第九》__宋
22	 [及] 闻云居之言。		《禅林僧宝传卷第九》__宋
23	有僧自豫章来、夜语 [及] 洞上法席。		《禅林僧宝传卷第六》__宋
24	若一切事、须向这里 [及] 尽。		《禅林僧宝传卷第六》__宋
25	直须向这里、 [及] 取去、 [及] 去 [及]  来。		《禅林僧宝传卷第六》__宋
26	心无所托、 [及] 尽始得无过。		《禅林僧宝传卷第六》__宋
27	乃曰、若有一毫许、去 [及] 不尽。		《禅林僧宝传卷第六》__宋
28	 [及] 观韶所对问者。		《禅林僧宝传卷第七》__宋
29	今其宗枝、皆不 [及] 玄所示纲宗、何也。		《禅林僧宝传卷第七》__宋
30	 [及] 其将死、何故屈膝妥尾如此。		《禅林僧宝传卷第三》__宋
31	只是汝辈、自信不 [及] 。		《禅林僧宝传卷第三》__宋
32	祗为汝自信不 [及] 、向外 驰求。		《禅林僧宝传卷第三》__宋
