语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：口
2023/1/20 15:19:33

序号	语句	书名	朝代
1	冀州：既载壶 [口] ，治梁及岐。		《尚书》__周
2	导岍及岐，至于荆山，逾于河；壶 [口] 、雷首至于太岳；厎柱、析城至于王屋；太行、恒山至于碣石，入于海。		《尚书》__周
3	惟 [口] 出好兴戎，朕言不再。”		《尚书》__周
4	人之有技，若己有之，人之彦圣，其心好之，不啻若自其 [口] 出，寔能容之，以能保我子孙黎民，尚亦有利哉。		《大学中庸》__春秋战国
5	小饭而亟之，数噍毋为 [口]  容。		《礼记》__春秋战国
6	则此言善用 [口] 者出好。		《墨子》__春秋战国
7	不善用 [口] 者以为谗贼寇戎。		《墨子》__春秋战国
8	之，人之彦圣，其心好之，不啻若自其 [口] 出，寔能容之，以能保我子孙黎民，尚亦有利哉。		《大学中庸》__春秋战国
9	 [口] 昬不言，以精相告，纣虽多心，弗能知矣。		《吕氏春秋》__春秋战国
10	以当务晦默，不可尚 [口] ，益取困穷。		《周易》__周
11	有言不信”，尚 [口] 乃穷也。		《周易》__周
12	乱国之俗，甚多流言，而不顾其实，务以相毁，务以相誉，毁誉成党，众 [口] 熏天，贤不肖不分。		《吕氏春秋》__春秋战国
13	郑国大乱，民 [口] 喧哗。		《吕氏春秋》__春秋战国
14	井以上出为功，而坎 [口] 不掩，故上六虽非阳刚，而其象		《周易》__周
15	惟 [口] 起羞，惟甲胄起戎，惟衣裳在笥，惟干戈省厥躬。		《尚书》__周
16	然则是赵举，赵举则韩亡，韩亡则荆，魏不能独立，荆、魏不 能独立，则是一举而坏韩蠹魏拔荆，东以弱齐弱燕，决白马之 [口] 以沃魏氏，是一 举而三晋亡，从者败也。		《韩非子》__春秋战国
17	相时憸民，犹胥顾于箴言，其发有逸 [口] ，矧予制乃短长之命！		《尚书》__周
18	凡尔众， 其惟致告：自今至于后日，各恭尔事，齐乃位，度乃 [口] 。		《尚书》__周
19	谈说之士资在于 [口] ，处士资在于意，勇士资在于气，技艺之士资在于手，商贾之士资在于身。		《商君书》__春秋战国
20	夫是以人主虽不 [口] 教百官，不目索奸邪，而国已治矣。		《韩非子》__春秋战国
21	处非道之位，被众 [口] 之谮，溺於当世之言，而欲当严天子而求安，几不亦难哉！		《韩非子》__春秋战国
22	从是观之，父子爱子也，犹可以毁而害也；君臣之相与也，非有父子之亲也，而群臣之毁言，非特一妾之 [口] 也，何怪夫贤圣之戮死哉！		《韩非子》__春秋战国
23	子反之为人也，嗜酒，而甘之，弗能绝于 [口] ，而醉。		《韩非子》__春秋战国
24	夷吾曰：“恣耳之所欲听，恣目之所欲视，恣鼻之所欲向，恣 [口]  之所欲言，恣体之所欲安，恣意之所欲行。		《列子》__春秋战国
25	夫耳之所欲闻者音声，而不得听，谓 之阏聪；目之所欲见者美色，而不得视，谓之阏明；鼻之所欲向者椒兰，而不得 嗅，谓之阏颤； [口] 之所欲道者是非，而不得言，谓之阏智；体之所欲安者美厚， 而不得从，谓之阏适；意之所为者放逸，而不得行，谓之阏性。		《列子》__春秋战国
26	为欲尽一生之欢，穷当年之乐，唯患 腹溢而不得恣 [口] 之饮，力惫而不得肆情于色，不遑忧名声之丑，性命之危也。		《列子》__春秋战国
27	至其情所欲好，耳所欲听，目所欲视， [口]  所欲尝，虽殊方偏国，非齐土之所产育者，无不必致之；犹藩墙之物也。		《列子》__春秋战国
