语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：右
2022/7/10 23:03:35

序号	语句	书名	朝代
1	岛夷皮服，夹 [右] 碣石入于河。		《尚书》__周
2	 [右] 经一章，盖孔子之言，而曾子述之。		《大学中庸》__春秋战国
3	 [右] 传之首章。		《大学中庸》__春秋战国
4	太子遂行，狐突御戎，先友为 [右] ，衣偏衣而佩金☆。		《国语》__春秋战国
5	 [右] 传之二章。		《大学中庸》__春秋战国
6	 [右] 传之三章。		《大学中庸》__春秋战国
7	 [右] 传之四章。		《大学中庸》__春秋战国
8	 [右] 传之五章，盖释格物、致知之义，而今亡矣。		《大学中庸》__春秋战国
9	 [右] 传之六章。		《大学中庸》__春秋战国
10	 [右] 传之七章。		《大学中庸》__春秋战国
11	 [右] 传之八章。		《大学中庸》__春秋战国
12	 [右] 传之九章。		《大学中庸》__春秋战国
13	宾党于 [右] ，主党于左。		《礼记》__春秋战国
14	所恶于上，毋以使下；所恶于下，毋以事上；所恶于前，毋以先后；所恶于后，毋以从前；所恶于 [右] ，毋以交于左；所恶于左，毋以交于 [右] ：此之谓絜矩之道。		《大学中庸》__春秋战国
15	 [右] 传之十章。		《大学中庸》__春秋战国
16	仆者 [右] 带剑，负良绥申之面，拖诸{辟巾}，以散绥升，执 辔然后步。		《礼记》__春秋战国
17	 [右] 经一章，盖孔子之言，而曾子述之。		《大学中庸》__春秋战国
18	 [右] 传之首章。		《大学中庸》__春秋战国
19	 [右] 传之二章。		《大学中庸》__春秋战国
20	牛则执纟引，马则执勺， 皆 [右] 之。		《礼记》__春秋战国
21	 [右] 传之三章。		《大学中庸》__春秋战国
22	 [右] 传之四章。		《大学中庸》__春秋战国
23	 [右] 传之五章，盖释格物、致知之义，而今亡矣。		《大学中庸》__春秋战国
24	左不攻于左，汝不恭命； [右] 不攻于 [右] ，汝不恭命；御非其马之正，汝不恭命。		《尚书》__周
25	军尚左，卒尚 [右] 。		《礼记》__春秋战国
26	客爵居左，其饮居 [右] ，介爵、酢爵、亻巽爵皆居 [右] 。		《礼记》__春秋战国
27	羞濡鱼者进尾，冬 [右] 腴，夏 [右] 鳍，祭无。		《礼记》__春秋战国
28	凡齐，执之以 [右] ，居之于左。		《礼记》__春秋战国
29	赞币自左，诏辞自 [右] 。		《礼记》__春秋战国
30	 [右] 传之六章。		《大学中庸》__春秋战国
31	其在车则左执辔， [右] 受爵。		《礼记》__春秋战国
32	 [右] 传之七章。		《大学中庸》__春秋战国
33	 [右] 传之八章。		《大学中庸》__春秋战国
34	 [右] 传之九章。		《大学中庸》__春秋战国
35	于后，毋以从前；所恶于 [右] ，毋以交于左；所恶于左，毋以交于 [右] ：此之谓絜矩之道。		《大学中庸》__春秋战国
36	 [右] 传之十章。		《大学中庸》__春秋战国
37	哭朋友者于门外之 [右] 南面。		《礼记》__春秋战国
38	大辂在宾阶面，缀辂在阼阶面，先辂在左塾之前，次辂在 [右] 塾之前。		《尚书》__周
39	凡陈之道，设 [右] 以为牝，益左以为牡，蚤晏无失，必顺天道，周旋无究。		《国语》__春秋战国
40	范蠡乃左提鼓， [右] 援☆，以应使者曰：“昔者上天降祸于越，委制于吴，而吴不受。		《国语》__春秋战国
41	大夫 之丧，将大敛，既铺绞纟今衾衣，君至、主人迎，先入门 [右] ，巫止于门外，君释 菜，祝先入升堂，君即位于序端，卿大夫即位于堂廉楹西、北面东上，主人房外 南面，主妇尸西东面。		《礼记》__春秋战国
42	 [右] 军亦如之，皆玄裳、玄旗、黑甲、乌羽之☆，望之如墨。		《国语》__春秋战国
43	见马首，先入门 [右] ，巫止于门外，祝代之先， 君释菜于门内。		《礼记》__春秋战国
44	越之左军、 [右] 军乃遂涉而从之，又大败之于没，又郊败之，三战三北，乃至于吴。		《国语》__春秋战国
45	夫人吊于大夫士，主人出迎于门外，见马首，先入门 [右] 。		《礼记》__春秋战国
46	夜中，乃命左军、 [右] 军涉江鸣鼓中水以须。		《国语》__春秋战国
47	明日将舟战于江，及昏，乃命左军衔枚  江五里以须，亦令 [右] 军衔枚  江五里以须。		《国语》__春秋战国
