语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：吉
2023/1/20 16:02:51

序号	语句	书名	朝代
1	丧事未毕而举 [吉] 祭，故非之也。		《春秋》__周
2	以伐其私邑，则虽危而 [吉] 且无咎。		《周易》__周
3	六二，明夷，夷于左股，用拯马壮， [吉] 。		《周易》__周
4	《象》曰：六二之 [吉] ，顺以则也。		《周易》__周
5	六二，无攸遂，在中馈，贞 [吉] 。		《周易》__周
6	《象》曰：六二之 [吉] ，顺以巽也。		《周易》__周
7	九三，家人嗃嗃，悔厉 [吉] ，妇子嘻嘻，终吝。		《周易》__周
8	如是，则虽有悔厉而 [吉] 也。		《周易》__周
9	九五，王假有家，勿恤， [吉] 。		《周易》__周
10	五，刚健中正，下应六二之柔顺中正，王者以是至于其家，则勿用忧恤而 [吉] 可必矣。		《周易》__周
11	盖聘纳后妃之 [吉] 占，而凡有		《周易》__周
12	是德者遇之，皆 [吉] 也。		《周易》__周
13	上九，有孚威如，终 [吉] 。		《周易》__周
14	占者必有诚信严威，则终 [吉] 		《周易》__周
15	《象》曰：威如之 [吉] ，反身之谓也。		《周易》__周
16	睽：小事 [吉] 。		《周易》__周
17	禹曰：“惠迪 [吉] ，従逆凶，惟影响。”		《尚书》__周
18	是以其占不可大事，而小事尚有 [吉] 之道也。		《周易》__周
19	说而丽乎明，柔进而上行，得中而应乎刚，是以小事 [吉] 。		《周易》__周
20	禹曰：“枚卜功臣，惟 [吉] 之従。”		《尚书》__周
21	朕志先定，询谋佥同，鬼神其依，龟筮协従，卜不习 [吉] 。”		《尚书》__周
22	往遇雨则 [吉] 。		《周易》__周
23	遇雨则 [吉] ，疑尽释而睽合也。		《周易》__周
24	《象》曰：遇雨之 [吉] ，群疑亡也。		《周易》__周
25	蹇：利西南，不利东北，利见大人，贞 [吉] 。		《周易》__周
26	必守正，然后得 [吉] 。		《周易》__周
27	曰利见大人，贞 [吉] 。		《周易》__周
28	贞 [吉] ，以正邦也。		《周易》__周
29	上六，往蹇，来硕， [吉] ，利见大人。		《周易》__周
30	解：利西南，无所往，其来复 [吉] ，有攸往，夙 [吉] 。		《周易》__周
31	彰厥有常， [吉] 哉！		《尚书》__周
32	复 [吉] ”，乃得中也。“		《周易》__周
33	有攸往，夙 [吉] ”，往有功也。		《周易》__周
34	九二，田获三狐，得黄矢，贞 [吉] 。		《周易》__周
35	大抵此爻为卜田之 [吉] 占，亦为去邪媚而得中直之象。		《周易》__周
36	《象》曰：九二“贞 [吉] ”，得中道也。		《周易》__周
37	六五，君子维有解， [吉] ，有孚于小人。		《周易》__周
38	者，必解而去之则 [吉] 也。		《周易》__周
39	损：有孚，元 [吉] 、无咎、可贞、利有攸往。		《周易》__周
40	损而有孚，元 [吉] 、		《周易》__周
41	六五，或益之十朋之龟，弗克违，元 [吉] 。		《周易》__周
42	或以此益之而不能辞，其 [吉] 可知。		《周易》__周
43	《象》曰：六五“元 [吉] ”，自上佑也。		《周易》__周
44	上九，弗损益之，无咎，贞 [吉] ，利有攸往，得臣无家。		《周易》__周
45	以正则 [吉] ，而利有所往。		《周易》__周
46	初九，利用为大作，元 [吉] ，无咎。		《周易》__周
47	用为大作，必元 [吉] ，然后得无咎。		《周易》__周
48	《象》曰：“元 [吉] ，无咎”，下不厚事也。		《周易》__周
49	六二，或益之十朋之龟，弗克违，永贞 [吉] ，王用享于帝， [吉] 。		《周易》__周
50	以其居下而受上之益，故又为卜郊之 [吉] 占。		《周易》__周
51	国之 [吉] 占也。		《周易》__周
52	九五，有孚惠心，勿问元 [吉] ，有孚惠我德。		《周易》__周
53	不问而元 [吉] 		《周易》__周
54	妇人 [吉] 事，虽有君赐，肃拜。		《礼记》__春秋战国
55	故以大畜小 [吉] ，以小畜大灭，以重使轻从，以轻使重凶。		《吕氏春秋》__春秋战国
56	占者闻言而信，则转凶而 [吉] 矣。		《周易》__周
57	范 [吉] 射染于长柳朔王胜。		《墨子》__春秋战国
58	’朕卜并 [吉] 。”		《尚书》__周
59	肆予告我友邦君越尹氏、庶士、御事、曰：‘予得 [吉] 卜，予惟以尔庶邦于伐殷逋播臣。		《尚书》__周
60	矧今卜并 [吉] ？		《尚书》__周
61	初六，系于金柅，贞 [吉] ，有攸往，见凶，羸豕孚蹢躅。		《周易》__周
62	一阴始生，静正则 [吉] ，往进则凶。		《周易》__周
63	故以二义戒小人，使不害于君子，则有 [吉] 而无凶。		《周易》__周
64	利贞，用大牲 [吉] ，利有攸往。		《周易》__周
65	庙之中，王者卜祭之 [吉] 占也。		《周易》__周
66	必聚而后有，聚则可以有所往，皆占 [吉] 而有戒之辞。		《周易》__周
67	用大牲 [吉] ，利有攸往”，顺天命也。		《周易》__周
68	六二，引 [吉] ，无咎，孚乃利用禴。		《周易》__周
69	!二应五而杂于二阴之间，必牵引以萃，乃 [吉] 而无咎。		《周易》__周
70	大祥， [吉] 服而筮尸。		《礼记》__春秋战国
71	《象》曰：“引 [吉] ，无咎”，中未变也。		《周易》__周
72	升：元亨，用见大人，勿恤；南征， [吉] 。		《周易》__周
73	南征， [吉] ”，志行也。		《周易》__周
74	六四，王用亨于岐山， [吉] ，无咎。		《周易》__周
75	六五，贞 [吉] ，升阶。		《周易》__周
76	以阴居阳，当升而居尊位，必能正固，则可以得 [吉] 而升阶矣。		《周易》__周
77	《象》曰：“贞 [吉] ，升阶”，大得志也。		《周易》__周
78	困：亨，贞，大人 [吉] ，无咎，有言不信。		《周易》__周
79	 [吉] ”，以刚中也。“		《周易》__周
80	身其康强，子孙其逢，汝则従，龟従，筮従，卿士逆，庶民逆 [吉] 。		《尚书》__周
81	卿士従，龟従，筮従，汝则逆，庶民逆， [吉] 。		《尚书》__周
82	庶民従，龟従，筮従，汝则逆，卿士逆， [吉] 。		《尚书》__周
83	汝则従，龟従，筮逆，卿士逆，庶民逆，作内 [吉] ，作外凶。		《尚书》__周
84	龟筮共违于人，用静 [吉] ，用作凶。		《尚书》__周
85	乃卜三龟，一习 [吉] 。		《尚书》__周
86	启籥见书，乃并是 [吉] 。		《尚书》__周
87	上六，困于葛藟，于臬危兀危，曰动悔有悔，征 [吉] 。		《周易》__周
88	然物穷则变，故其占曰，若能有悔，则可以征而 [吉] 矣。		《周易》__周
89	动悔有悔”， [吉] 行也。		《周易》__周
90	慎简乃僚，无以巧言令色，便辟侧媚，其惟 [吉] 士。		《尚书》__周
91	非人其 [吉] ，惟货其 [吉] ，若时，瘝厥官，惟尔大弗克祇厥辟，惟予汝辜。”		《尚书》__周
92	礻覃而从御， [吉] 祭而 复寝。		《礼记》__春秋战国
93	上六，井收勿幕，有孚元 [吉] 。		《周易》__周
94	然占者应之，必有孚乃元 [吉] 也。		《周易》__周
95	《象》曰：元 [吉] 在上，大成也。		《周易》__周
96	六二，已日乃革之，征 [吉] ，无咎。		《周易》__周
97	日然后革之，则征 [吉] 而无咎。		《周易》__周
98	九四，悔亡，有孚，改命， [吉] 。		《周易》__周
99	然又必有孚，然后革，乃可获 [吉] 。		《周易》__周
100	明占者有其德而当其时，又必有信，乃悔亡而得 [吉] 也。		《周易》__周
101	《象》曰：改命之 [吉] ，信志也。		《周易》__周
102	上六，君子豹变，小人革面，征凶，居贞 [吉] 。		《周易》__周
103	以征，而居正则 [吉] 。		《周易》__周
104	鼎：元 [吉] 亨。		《周易》__周
105	 [吉] ，衍文也。		《周易》__周
106	九二，鼎有实，我仇有疾，不我能即， [吉] 。		《周易》__周
107	则 [吉] 也。		《周易》__周
