语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：咬
2023/1/20 15:21:43

序号	语句	书名	朝代
1	“豪”音ｈａｏ２）者、囗（上“宀”下“夭”音ｙａｏ１）者， [咬] 		《庄子》__春秋战国
2	兵旱相乘，天下大屈，有勇力者聚徒而衡击，罢夫赢老易子而 [咬] 其骨。		《汉书》__汉
3	齮龁，侧齿 [咬] 也。		《史记》__汉
4	帝将乘马，马恶衣香，惊 [咬] 文帝膝，帝大怒，即便杀之。		《三国志》__魏晋六朝
5	咸池不齐度於哇乌瓜 [咬] 乌交，而众听或疑。		《昭明文选》__魏晋六朝
6	哇 [咬] ，淫声也。		《昭明文选》__魏晋六朝
7	言咸池之音本不与哇 [咬] 同，而众听者乃有疑惑。		《昭明文选》__魏晋六朝
8	舞赋曰：吐哇 [咬] 则发皓齿。		《昭明文选》__魏晋六朝
9	 [咬] 亦不正之声也。		《昭明文选》__魏晋六朝
10	 [咬] 或作蛟，非也。		《昭明文选》__魏晋六朝
11	 [咬]  [咬] 黄鸟，顾畴弄音。		《昭明文选》__魏晋六朝
12	古歌曰：黄鸟鸣相追， [咬]  [咬] 弄好音。		《昭明文选》__魏晋六朝
13	帝 [咬] 超臂出血为盟，於是诏收冀，悉诛之。		《昭明文选》__魏晋六朝
14	眄般鼓则腾清眸，吐哇 [咬] 则发皓齿。		《昭明文选》__魏晋六朝
15	 [咬] ，淫声也，乌交切。		《昭明文选》__魏晋六朝
16	师云，终日吃饭，未曾 [咬] 著一粒米。		《传心法要》__隋唐五代
17	哇 [咬] 嘲喆，一何察惠。		《昭明文选》__魏晋六朝
18	舞赋曰：吐哇 [咬] 则发皓齿。		《昭明文选》__魏晋六朝
19	 [咬] ，淫声也。		《昭明文选》__魏晋六朝
20	哇 [咬] 嘲哲，声繁细貌。		《昭明文选》__魏晋六朝
21	才遍，兄弟窃相语，遂号哭攀援，相 [咬] 肩膊，良久不解，但言曰：“蛮夷不识孝义，恶妻儿离间，以至是。		《大唐新语》__隋唐五代
22	采采丽容， [咬]  [咬] 好音。		《昭明文选》__魏晋六朝
23	韵略曰： [咬]  [咬] ，鸟鸣也，音交。		《昭明文选》__魏晋六朝
24	三春早吃频婆果，此间四月 [咬] 生瓜。		《敦煌变文》__隋唐五代
25	瞿昙虽是恶狼，不襟群狗众 [咬] 。		《敦煌变文》__隋唐五代
26	他家头尖，凭伊觅曲， [咬] 啮势要，教向凤凰边遮嘱。		《敦煌变文》__隋唐五代
27	我●（把）些子兵士，似一斤之肉，入在虎☆（牙），不蝼 [咬] 嚼，博唼之间，并乃倾尽。		《敦煌变文》__隋唐五代
28	频被新妇 [咬] 齿，不违其意，即遣新妇且出门外小时，安庠入来。		《敦煌变文》__隋唐五代
29	见孤老者，放狗 [咬] 之。		《敦煌变文》__隋唐五代
30	一一捻取自看之， [咬] 指取血从头试。		《敦煌变文》__隋唐五代
31	☆儿乱趁生人 [咬] ，奴子频捻野鸽惊。		《敦煌变文》__隋唐五代
32	 [咬] 指取血，洒长城已（以）表单（丹）心，选其夫骨。		《敦煌变文》__隋唐五代
33	遮莫 [咬] 铁口		《寒山诗》__隋唐五代
34	狗 [咬] 枯骨头		《寒山诗》__隋唐五代
35	乃有圆文之豜，斑题之豵，彭鬣风生，怒目电瞛，口 [咬] 霜刃，足拨飞锋，齀林蹶石，扣跋幽丛。		《晋书》__隋唐五代
36	程知节，本名 [咬] 金，济州东阿人也。		《旧唐书》__隋唐五代
37	皆是依草附叶，竹木精灵，野狐精魅，向一切粪块上乱 [咬] 。		《临济语录》__隋唐五代
38	泊舟问溪口，言语皆哑 [咬] 。		《全唐诗》__隋唐五代
39	顾我差池羽， [咬]  [咬] 怀好音。		《全唐诗》__隋唐五代
40	应缘是我邯郸客，相顾 [咬]  [咬] 别有情。		《全唐诗》__隋唐五代
41	蜜蜂为主各磨牙， [咬] 尽村中万木花。		《全唐诗》__隋唐五代
42	 [咬]  [咬] 嘎嘎水禽声，露洗松阴满院清。		《全唐诗》__隋唐五代
43	醉来 [咬] 损新花子，拽住仙郎尽放娇。		《全唐诗》__隋唐五代
44	噫，风尘澒洞兮豺虎 [咬] 人，		《全唐诗》__隋唐五代
45	荒林猴 [咬] 栗，战地鬼多年。		《全唐诗》__隋唐五代
46	腕头狮子 [咬] 金甲，脚底夜叉击络鞮。		《全唐诗》__隋唐五代
47	遮莫 [咬] 铁口，无因读老经。		《全唐诗》__隋唐五代
48	童子欲来沽，狗 [咬] 便是走。		《全唐诗》__隋唐五代
49	狗 [咬] 枯骨头，虚自舐唇齿。		《全唐诗》__隋唐五代
50	醉来 [咬] 损新花子，拽住仙郎尽放娇。		《全唐诗》__隋唐五代
51	脱体似蟫虫， [咬] 破他书帙。		《全唐诗》__隋唐五代
52	白龟 [咬] 断菖蒲根。		《全唐诗》__隋唐五代
53	无端 [咬] 著亲情客，不得红丝毯上眠。		《全唐诗》__隋唐五代
54	名山主簿实堪愁，难 [咬] 他家大骨头。		《全唐诗》__隋唐五代
55	宜城酒熟花覆桥，沙晴绿鸭鸣 [咬]  [咬] 。		《全唐诗》__隋唐五代
56	笑语哇 [咬] 顾晚晖，		《全唐诗》__隋唐五代
57	老树夜风虫 [咬] 叶，古垣春雨藓生砖。		《全唐诗》__隋唐五代
58	判事驴 [咬] 瓜，唤人牛嚼沫。		《全唐诗》__隋唐五代
59	学 [咬] 两茎菜，言与祖师齐。		《全唐诗》__隋唐五代
60	每到更深人静后，定来头上 [咬] 杨鸾。		《全唐诗》__隋唐五代
61	至今衣领胭脂在，曾被谪仙痛 [咬] 来。		《全唐诗》__隋唐五代
62	宜城酒熟花覆桥，沙晴绿鸭鸣 [咬]  [咬] 。		《全唐诗》__隋唐五代
63	痴女饥 [咬] 我，啼畏虎狼闻。		《全唐诗》__隋唐五代
64	犬 [咬] 天关闭，彩童呼仙吏。		《全唐诗》__隋唐五代
65	见倒谁肯扶，从嗔我须 [咬] 。		《全唐诗》__隋唐五代
66	水鸟翻荷叶，山虫 [咬] 桂枝。		《全唐诗》__隋唐五代
67	笑语哇 [咬] 顾晚晖，		《全唐诗》__隋唐五代
68	学 [咬] 两茎菜		《拾得诗》__隋唐五代
69	醒来乃作《十离诗》上献府主：驯扰朱门四五年，毛香足净主人怜，无端 [咬] 著亲情客，不得红丝毯上眠（犬离主）。		《唐摭言》__隋唐五代
70	即有女娃十余人并出，别有胡优， [咬] 指翘足，一时拜员外，资次即 为给舍。		《玄怪录》__隋唐五代
71	试取鱼子来 [咬] 著，宁有许闹事！”		《唐国史补》__隋唐五代
72	自尔流落数家，陈末麦铁杖犹子 [咬] 头将至此， 以到今日。		《玄怪录》__隋唐五代
73	晋司马彪赠山涛诗曰：苕苕椅梧树，寄生於南岳，上陵青云霓，下临千仞谷，处身自孤危，於何讬余足，晋曹摅赠石崇诗曰：涓涓谷中泉，郁郁岩下林，泄泄群翟飞， [咬]  [咬] 春鸟吟，野次何索漠，薄暮愁人心，三军望衡盖，叹息有馀音，临肴忘肉味，对酒不能斟，人言重别离，斯情效於今。		《艺文类聚》__隋唐五代
74	近缘 [咬] 着亲知客，不得红丝毯上眠。		《薛涛诗》__隋唐五代
75	老僧此间无巧言□□，□□人 [咬] 嚼。		《祖堂集》__隋唐五代
76	闻击斋鼓曰、鼓声 [咬] 破我七条。		《禅林僧宝传卷第二》__宋
77	对曰毒蛇不 [咬] 人。		《禅林僧宝传卷第十五》__宋
78	慈明曰、不见道、来者 [咬] 杀。		《禅林僧宝传卷第二十八》__宋
79	遇曰、若是 [咬] 人师子、终不与么。		《禅林僧宝传卷第二十八》__宋
80	莫道不能 [咬] 人。		《禅林僧宝传卷第二十八》__宋
81	我贫如饥鼠，长夜空 [咬] 啮。		《东坡文集》__宋
82	问圣僧为什麽被大虫 [咬] 。		《古尊语录》__宋
83	走作你便有个 [咬] 嚼处。		《古尊语录》__宋
84	恰似蚊虻 [咬] [钅夷]钉。		《古尊语录》__宋
85	僧堂里一任横 [咬] 竖 [咬] 。		《古尊语录》__宋
86	且向三圣兴化葛藤里 [咬] 嚼。		《古尊语录》__宋
87	但终日吃饭未曾 [咬] 著一粒米。		《古尊语录》__宋
88	道吾为他直得 [咬] 断指头。		《古尊语录》__宋
89	也不拟议 [咬] 得死便休。		《古尊语录》__宋
90	只从 [咬] 破一个铁☆馅。		《古尊语录》__宋
91	遇著本色 [咬] 猪狗手脚。		《古尊语录》__宋
92	问圣僧为什麽被大虫 [咬] 。		《古尊语录》__宋
93	未曾 [咬] 著一粒米若不委悉看。		《古尊语录》__宋
94	郡王好生焦躁，左手去壁牙上取下小青，右手一掣，掣刀在手，睁起杀番人的眼儿， [咬] 得齿剥剥地响。		《话本)》__宋
95	少时老鼠却不则声，只听得两个猫儿乜凹地厮 [咬] 了，叫溜些尿下来，正滴在宋四公口里，好臊臭。		《话本)》__宋
96	正恁地说，则万秀娘左手★住苗忠，右手打一个漏风掌，打得苗忠耳门上，似起一个霹那苗忠∶睁开眉下眼， [咬] 碎口中牙。		《话本)》__宋
97	皇甫殿直看了简帖儿，劈开眉下眼， [咬] 碎口中牙，问僧儿道∶“谁教你把来?		《话本)》__宋
98	那边王老员外与女儿并一干邻佑人等，口口声声 [咬] 他二人，府尹也巴不得了结这段公案。		《话本)》__宋
99	醉来 [咬] 损新花子，拽住仙郎尽放娇。		《乐府诗集》__宋
100	笑语哇 [咬] 顾晚晖，蓼花绿岸扣舷归。		《乐府诗集》__宋
101	黄鸟飞相追， [咬]  [咬] 弄音声。		《乐府诗集》__宋
102	独倚住危阑，坐 [咬] 无名指。		《全宋词》__宋
103	 [咬] 损纤纤银指甲。		《全宋词》__宋
104	诸上座终日著衣吃饭，未曾 [咬] 著一粒米，未曾挂著一缕丝，便能变大地作黄金，搅长河为酥酪。		《五灯会元》__宋
105	上堂：“泥蛇 [咬] 石鳖，露柱啾啾叫。		《五灯会元》__宋
106	国师曰：“既是灵鼠，为甚麽却被犬 [咬] ？”		《五灯会元》__宋
107	师曰：“犬 [咬] 灵鼠声。”		《五灯会元》__宋
108	歙州朱溪谦禅师，韶国师到，参次闻犬 [咬] 灵鼠声。		《五灯会元》__宋
109	师曰：“鳖 [咬] 钓鱼竿。”		《五灯会元》__宋
110	混迹尘中，未是 [咬] 猪之狗。		《五灯会元》__宋
