语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：咸
2023/1/20 16:04:33

序号	语句	书名	朝代
1	六府孔修，庶土交正，厎慎财赋， [咸] 则三壤成赋。		《尚书》__周
2	禹乃会群后，誓于师曰；“济济有众， [咸] 听朕命。		《尚书》__周
3	 [咸] 若时，惟帝其难之。		《尚书》__周
4	翕受敷施，九德 [咸] 事，俊乂在官。		《尚书》__周
5	流共工于幽州，放欢兜于崇山，窜三苗于三危，殛鲧于羽山，四罪而天下 [咸] 服。		《尚书》__周
6	三载考绩，三考，黜陟幽明，庶绩 [咸] 熙。		《尚书》__周
7	允厘百工，庶绩 [咸] 熙。”		《尚书》__周
8	大桡作甲子，黔如作虏首，容成作历，羲和作占日，尚仪作占月，后益作占岁，胡曹作衣，夷羿作弓，祝融作市，仪狄作酒，高元作室，虞姁作舟，伯益作井，赤冀作臼，乘雅作驾，寒哀作御，王冰作服牛，史皇作图，巫彭作医，巫 [咸] 作筮。		《吕氏春秋》__春秋战国
9	州十有二师，外薄四海， [咸] 建五长，各迪有功，苗顽弗即工，帝其念哉！”		《尚书》__周
10	三后协心，同厎于道，道洽政治，泽润生民，四夷左衽，罔不 [咸] 赖，予小子永膺多福。		《尚书》__周
11	物 [咸] 章也。		《周易》__周
12	润下作 [咸] ，炎上作苦，曲直作酸，従革作辛，稼穑作甘。		《尚书》__周
13	公会齐侯、宋公、陈侯、卫侯、郑伯、许男、曹伯于 [咸] 。		《榖梁传》__春秋战国
14	昔在文、武、聪明齐圣，小大之臣， [咸] 怀忠良。		《尚书》__周
15	下民祇若，万邦 [咸] 休。		《尚书》__周
16	自成汤 [咸] 至于帝乙，成王畏相惟御事，厥棐有恭，不敢自暇自逸，矧曰其敢崇饮？		《尚书》__周
17	臣人 [咸] 若时，惟良显哉！”		《尚书》__周
18	在太戊，时则有若伊陟、臣扈，格于上帝；巫 [咸] 乂王家。		《尚书》__周
19	罔不秉德明恤，小臣屏侯甸，矧 [咸] 奔走。		《尚书》__周
20	后暨武王诞将天威， [咸] 刘厥敌。		《尚书》__周
21	封以衡， 大夫士以 [咸] 。		《礼记》__春秋战国
22	我 [咸] 成文王功于！		《尚书》__周
23	子事父母，鸡初鸣， [咸] 盥漱，栉纟徒笄总，拂 髦冠缨，端绅，笏。		《礼记》__春秋战国
24	鸡初鸣， [咸] 盥漱，栉纟徒，笄总，衣绅。		《礼记》__春秋战国
25	男女未冠笄者，鸡初鸣， [咸] 盥漱，栉纟徒，拂髦总角，衿缨，皆佩容臭，昧 爽而朝，问何食饮矣。		《礼记》__春秋战国
26	凡内外，鸡初鸣， [咸] 盥漱，衣服，敛枕簟，洒扫室堂及庭，布席，各从其事。		《礼记》__春秋战国
27	其有众 [咸] 造，勿亵在王庭，盘庚乃登进厥民。		《尚书》__周
28	汝不忧朕心之攸困，乃 [咸] 大不宣乃心，钦念以忱动予一人。		《尚书》__周
29	太康尸位，以逸豫灭厥德，黎民 [咸] 贰，乃盘游无度，畋于有洛之表，十旬弗反。		《尚书》__周
30	五子 [咸] 怨，述大禹之戒以作歌。		《尚书》__周
31	凡和，春多酸，夏 多苦，秋多辛，秋多辛，冬多 [咸] ，调以滑甘。		《礼记》__春秋战国
32	说，四海之内， [咸] 仰朕德，时乃风。		《尚书》__周
33	太保暨芮伯 [咸] 进，相揖。		《尚书》__周
34	少事长，贱事贵， [咸] 如 之。		《礼记》__春秋战国
35	商书· [咸] 有一德		《尚书》__周
36	伊尹作《 [咸] 有一德》。		《尚书》__周
37	惟尹躬暨汤， [咸] 有一德，克享天心，受天明命，以有九有之师，爰革夏正。		《尚书》__周
38	俾万姓 [咸] 曰：‘大哉王言。		《尚书》__周
39	〖 [咸] 乂〗		《尚书》__周
40	伊陟赞于巫 [咸] ，作《 [咸] 乂》四篇。		《尚书》__周
41	奉嗣王祗见厥祖，侯、甸群后 [咸] 在，百官总已以听冢宰。		《尚书》__周
42	山川鬼神，亦莫不宁，暨鸟兽鱼鳖 [咸] 若。		《尚书》__周
43	冬，十月甲午，叔孙得臣败狄于 [咸] 。		《榖梁传》__春秋战国
44	既免丧，其惟弗言，群臣 [咸] 谏于王曰：“呜呼！		《尚书》__周
45	启佑我后人， [咸] 以正罔缺。		《尚书》__周
46	用 [咸] 戒于王曰：“王左右常伯、常任、准人、缀衣、虎贲。”		《尚书》__周
47	予旦已受人之徽言 [咸] 告孺子王矣。		《尚书》__周
48	周公曰：“王，肇称殷礼，祀于新邑， [咸] 秩无文。		《尚书》__周
49	公称丕显德，以予小子扬文武烈，奉答天命，和恒四方民，居师；惇宗将礼，称秩元祀， [咸] 秩无文。		《尚书》__周
50	曰其自时中乂，万邦 [咸] 休，惟王有成绩。		《尚书》__周
51	王宾杀禋 [咸] 格，王入太室，裸。		《尚书》__周
52	哀敬折狱，明启刑书胥占， [咸] 庶中正。		《尚书》__周
53	七年春，二月己亥，焚 [咸] 丘。		《榖梁传》__春秋战国
54	哲人惟刑，无疆之辞，属于五极， [咸] 中有庆。		《尚书》__周
55	其不言邾 [咸] 丘何也？		《榖梁传》__春秋战国
56	明王慎德，西夷 [咸] 宾。		《尚书》__周
57	有神巫自齐来处于郑，命曰季 [咸] ，知人死生、存亡、祸福、寿夭，期以岁、 月、旬、日如神。		《列子》__春秋战国
58	西土有众， [咸] 听朕言。		《尚书》__周
59	统承先王，修其礼物，作宾于王家，与国 [咸] 休，永世无穷。		《尚书》__周
60	自朝至于日中昃，不遑暇食，用 [咸] 和万民。		《尚书》__周
61	秋，齐侯、郑伯盟于 [咸] 。		《榖梁传》__春秋战国
62	周公 [咸] 勤，乃洪大诰治。		《尚书》__周
63	目辨白黑美惡，耳辨聲音清濁，口辨酸 [咸] 甘苦，鼻辨芬芳腥臊，骨體膚理辨寒暑疾養，是又人之所常生而有也，是無待而然者也，是禹桀之所同也。		《荀子》__春秋战国
64	其 貌不一，而 [咸] 之于道，命所归也。		《列子》__春秋战国
65	器，制而用之谓之法，利用出入，民 [咸] 用之谓之神。		《周易》__周
66	此引《 [咸] 》九四爻辞而释之。		《周易》__周
67	此上四节，皆以释《 [咸] 》九四爻义。		《周易》__周
68	曰∶節威反文，案用夫端誠信全之君子治天下焉，因與之參國政，正是非，治曲直，聽 [咸] 陽，順者錯之，不順者而後誅之。		《荀子》__春秋战国
69	反舍， [咸] 有疑色。		《列子》__春秋战国
70	殷受命 [咸] 宜，百禄是何。		《诗经》__周
71	凡天之所生，地之所长， 苟可荐者，莫不 [咸] 在，示尽物也。		《礼记》__春秋战国
72	是故，有事于大庙，则 群昭群穆 [咸] 在而不失其伦。		《礼记》__春秋战国
73	有司执事者 [咸] 以厥事秦职而不亡焉此啧室之事也。		《管子》__春秋战国
74	乃考文叔，兴旧耆欲，作率庆士，躬恤卫国，其勤公家， 夙夜不解，民 [咸] 曰休哉！		《礼记》__春秋战国
75	《 [咸] 》，速		《周易》__周
76	《 [咸] 》，速。		《周易》__周
77	蛰虫 [咸] 动，开户始出，先雷三日，奋铎以令于兆民曰：“雷且发声，有不戒其容止者，生子不备，必有凶灾。”		《吕氏春秋》__春秋战国
78	凫土之次曰五杰五杰之状甚 [咸] 以苦，		《管子》__春秋战国
79	崇弟蒋弟丁惠之功世吾岁罔寡人不得籍斗升焉去一菹莱 [咸] 卤斥泽山间不为用之坏寡人不得籍斗升焉去一列稼缘封十五里之原强耕而自以为落寡人不得籍斗升焉去一则是家人之国五分不能操其三，		《管子》__春秋战国
80	百工 [咸] 理，监工日号，无悖於时，无或作为淫巧，以荡上心。		《吕氏春秋》__春秋战国
81	子曰：好贤如《缁衣》，恶恶如《巷伯》，则爵不渎而民作愿，刑不试而民  [咸] 服。		《礼记》__春秋战国
82	大甘、大酸、大苦、大辛、大 [咸] ，五者充形则生害矣。		《吕氏春秋》__春秋战国
83	口必甘味，和精端容，将之以神气，百节虞欢， [咸] 进受气。		《吕氏春秋》__春秋战国
84	《尹吉》曰：“惟尹躬及汤， [咸] 有一德。”		《礼记》__春秋战国
85	是故阖户谓之坤，辟户谓之乾，一阖一辟谓之变，往来不穷谓之通，见乃谓之象，形乃谓之器，制而用之谓之法，利用出入，民 [咸] 用之谓之神。		《周易》__周
86	《易》之＜ [咸] ＞，見夫婦。		《荀子》__春秋战国
87	 [咸] ，感也，以高下下，以男下女，柔上而剛下。		《荀子》__春秋战国
88	天地车轮，终则复始，极则复反，莫不 [咸] 当。		《吕氏春秋》__春秋战国
89	 [咸] 池，备矣。		《礼记》__春秋战国
90	众 [咸] 曰：“韩厥必不没矣。		《国语》__春秋战国
91	以仲春之月，乙卯之日，日在奎，始奏之，命之曰 [咸] 池。		《吕氏春秋》__春秋战国
92	帝喾命 [咸] 黑作为声，歌九招、六列、六英。		《吕氏春秋》__春秋战国
93	令民无不 [咸] 出其力，以供皇天上帝、名山大川、四方之神，以祀宗庙社稷之灵，为民祈福。		《吕氏春秋》__春秋战国
94	敌人之悼惧惮恐、单荡精神，尽矣， [咸] 若狂魄，形性相离，行不知所之，走不知所往，虽有险阻要塞、銛兵利械，心无敢据，意无敢处，此夏桀之所以死於南巢也。		《吕氏春秋》__春秋战国
95	初九， [咸] 临，贞吉。		《周易》__周
96	《象》曰：“ [咸] 临贞吉”，志行正也。		《周易》__周
97	九二， [咸] 临，吉，无不利。		《周易》__周
98	《象》曰：“ [咸] 临吉无不利”，未顺命也。		《周易》__周
99	敦商之旅，克 [咸] 厥功。		《诗经》__周
100	命仆及七驺 [咸] 驾，载旍旐舆，受车以级，整设于屏外；司徒搢扑，北向以誓之。		《吕氏春秋》__春秋战国
101	是月也，草木黄落，乃伐薪为炭，蛰虫 [咸] 俯在穴，皆墐其户。		《吕氏春秋》__春秋战国
102	夫月形乎天，而群阴化乎渊；圣人行德乎己，而四荒 [咸] 饬乎仁。		《吕氏春秋》__春秋战国
103	其数六，其味 [咸] ，其臭朽，其祀行，祭先肾。		《吕氏春秋》__春秋战国
104	《 [咸] 》速也。		《周易》__周
105	31.  [咸] （卦三十一）		《周易》__周
106	 [咸] ：亨。		《周易》__周
107	《彖》曰： [咸] ，感也。		《周易》__周
108	《象》曰：山上有泽， [咸] 。		《周易》__周
109	初六， [咸] 其拇。		《周易》__周
110	《象》曰“ [咸] 其拇”，志在外也。		《周易》__周
111	六二， [咸] 其腓，凶。		《周易》__周
112	九三， [咸] 其股，执其随，往吝。		《周易》__周
113	《象》曰：“ [咸] 其股”，亦不处也。		《周易》__周
114	九五， [咸] 其脢，无悔。		《周易》__周
115	《象》曰：“ [咸] 其脢”，志末也。		《周易》__周
116	上六， [咸] 其辅颊舌。		《周易》__周
117	《象》曰：“ [咸] 其辅颊舌”，滕口说也。		《周易》__周
118	其数六，其味 [咸] ，其臭朽，其祀行，祭先肾。		《吕氏春秋》__春秋战国
119	周邦 [咸] 喜，戎有良翰。		《诗经》__周
120	其日壬癸，其帝颛顼，其神玄冥，其虫介，其音羽，律中大吕，其数六，其味 [咸] ，其臭朽，其祀行，祭先肾。		《吕氏春秋》__春秋战国
121	凡在天下九州之民者，无不 [咸] 献其力，以供皇天上帝社稷寝庙山林名川之祀。		《吕氏春秋》__春秋战国
122	天地相遇，品物 [咸] 章也。		《周易》__周
123	三者 [咸] 当，无为而行。		《吕氏春秋》__春秋战国
124	又五日，蛰虫 [咸] 俯。		《逸周书》__春秋战国
125	蛰虫不 [咸] 附，民多流亡。		《逸周书》__春秋战国
126	蛰虫 [咸] 动，启户始出。		《逸周书》__春秋战国
127	百工 [咸] 理，监工日号，无悖于时，无或作为淫巧以荡上心。		《逸周书》__春秋战国
128	令民无不 [咸] 出其力，以供皇天上帝名山大川四方之神，以祀宗庙社稷之灵，为民所福。		《逸周书》__春秋战国
129	是月也，天子乃教于田猎，以习五戎獀马，命仆及七驺， [咸] 驾载旍■，舆受车，以纪整设于屏外，司徒缙扑北向以誓之，命主祠祭禽于四方。		《逸周书》__春秋战国
