语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：善
2022/7/10 23:00:04

序号	语句	书名	朝代
1	至 [善] ，则事理当然之极也。		《大学中庸》__春秋战国
2	言明明德、新民，皆当至于至 [善] 之地而不迁。		《大学中庸》__春秋战国
3	止者，所当止之地，即至 [善] 之所在也。		《大学中庸》__春秋战国
4	实其心之所发，欲其一于 [善] 而无自欺也。		《大学中庸》__春秋战国
5	钧之死也，无必假手于武王，而其世不废，祀至于今，吾岂知纣之 [善] 否哉？		《国语》__春秋战国
6	 [善] 使延陵季子，故进之也。		《榖梁传》__春秋战国
7	今矜狄之 [善] ，其志益广。		《国语》__春秋战国
8	君子曰：“ [善] 深谋也。”		《国语》__春秋战国
9	夫是，故民皆勉为 [善] 。		《国语》__春秋战国
10	不言灾故，则无以见其 [善] 也。		《榖梁传》__春秋战国
11	引此而言圣人之止，无非至 [善] 。		《大学中庸》__春秋战国
12	 [善] 之也，晋赵武、楚屈建之力也。		《榖梁传》__春秋战国
13	如切如磋者，道学也；如琢如磨者，自修也；瑟兮僩兮者，恂栗也；赫兮喧兮者，威仪也；有斐君子，终不可諠兮者，道盛德至 [善] ，民之不能忘也。		《大学中庸》__春秋战国
14	是故匹夫有 [善] ，可得而举也；匹夫有不 [善] ，可得而诛也。		《国语》__春秋战国
15	遂修旧法，择其 [善] 者而业用之；遂滋民与无财，而敬百姓。		《国语》__春秋战国
16	德惟 [善] 政，政在养民。		《尚书》__周
17	自欺云者，知为 [善] 以去恶，而心之所发有未实也。		《大学中庸》__春秋战国
18	言欲自修者知为 [善] 以去其恶，则当实用其力，而禁止其自欺。		《大学中庸》__春秋战国
19	使其恶恶则如恶恶臭，好 [善] 则如好好色，皆务决去，而求必得之，以自快足于己，不可徒苟且以殉外而为人也。		《大学中庸》__春秋战国
20	小人闲居为不 [善] ，无所不至，见君子而后厌然，揜其不 [善] ，而着其 [善] 。		《大学中庸》__春秋战国
21	此言小人阴为不 [善] ，而阳欲揜之，则是非不知 [善] 之当为与恶之当去也；但不能实用其力以至此耳。		《大学中庸》__春秋战国
22	然欲揜其恶而卒不可揜，欲诈为 [善] 而卒不可诈，则亦何益之有哉！		《大学中庸》__春秋战国
23	言虽幽独之中，而其 [善] 恶之不可揜如此。		《大学中庸》__春秋战国
24	盖 [善] 之实于中而形于外者如此，故又言此以结之。		《大学中庸》__春秋战国
25	夫固国者，在亲众而 [善] 邻，在因民而顺之。		《国语》__春秋战国
26	盖意诚则真无恶而实有 [善] 矣，所以能存是心以检其身。		《大学中庸》__春秋战国
27	郭偃曰：“甚哉， [善] 之难也！		《国语》__春秋战国
28	必使乡邑忠信 [善] 重士。		《墨子》__春秋战国
29	凡为 [善] 难，任 [善] 易。		《吕氏春秋》__春秋战国
30	夫人主亦有居车，无去车，则众 [善] 皆尽力竭能矣，谄谀诐贼巧佞之人无所窜其奸矣，坚穷廉直忠敦之士毕竞劝骋骛矣。		《吕氏春秋》__春秋战国
31	君子曰：“ [善] 以微劝也。”		《国语》__春秋战国
32	有 [善] 于己，然后可以责人之 [善] ；无恶于己，然后可以正人之恶。		《大学中庸》__春秋战国
33	宜，犹 [善] 也。		《大学中庸》__春秋战国
34	故 [善] 为君者无识，其次无事。		《吕氏春秋》__春秋战国
35	故可以为文，可以为武，可以摈相，可以治军旅，完且弗费， [善] 衣之次也。		《礼记》__春秋战国
36	道 [善] 则得之，不 [善] 则失之矣。		《大学中庸》__春秋战国
37	楚书曰：“楚国无以为宝，惟 [善] 以为宝。”		《大学中庸》__春秋战国
38	公闻之，曰：“吾过而里革匡我，不亦 [善] 乎！		《国语》__春秋战国
39	以初九之阳刚益己，而损其阴柔之疾，唯速则 [善] 。		《周易》__周
40	上以若人为 [善] 将赏之。		《墨子》__春秋战国
41	若以邪临民，陷而不振，用 [善] 不肯专，则不能使，至于殄灭而莫之恤也，将安用之？		《国语》__春秋战国
42	好 [善] 而恶恶，人之性也；至于拂人之性，则不仁之甚者也。		《大学中庸》__春秋战国
43	彼为 [善] 之，小人之使为国家，菑害并至。		《大学中庸》__春秋战国
44	四曰：人之意苟 [善] ，虽不知，可以为长。		《吕氏春秋》__春秋战国
45	虽有 [善] 者，亦无如之何矣！		《大学中庸》__春秋战国
46	《象》曰：风雷，益，君子以见 [善] 则迁，有过则改。		《周易》__周
47	彼为 [善] 之”，此句上下，疑有阙文误字。		《大学中庸》__春秋战国
48	迁 [善] 改过，益之大者，而其		《周易》__周
49	其第五章乃明 [善] 之要，第六章乃诚身之本，在初学尤为当务之急，读者不可以其近而忽之也。		《大学中庸》__春秋战国
50	故 [善] 为君者，矜服性命之情，而百官已治矣，黔首已亲矣，名号已章矣。		《吕氏春秋》__春秋战国
51	桓公曰：“ [善] 。”		《吕氏春秋》__春秋战国
52	然后国之 [善] 射御之士。		《墨子》__春秋战国
53	譬若欲众其国之 [善] 射御之士者。		《墨子》__春秋战国
54	臧文仲闻之曰：“孟孙 [善] 守矣，其可以盖穆伯而守其后于鲁乎！”		《国语》__春秋战国
55	恂栗也；赫兮喧兮者，威仪也；有斐君子，终不可諠兮者，道盛德至 [善] ，民之不能忘也。		《大学中庸》__春秋战国
56	臣闻之曰：‘ [善] 有章，虽贱赏也；恶有衅，虽贵罚也。		《国语》__春秋战国
57	人闲居为不 [善] ，无所不至，见君子而后厌然，揜其不 [善] ，而着其 [善] 。		《大学中庸》__春秋战国
58	师亥闻之曰：“ [善] 哉！		《国语》__春秋战国
59	道 [善] 则得之，不 [善] 则失之矣。		《大学中庸》__春秋战国
60	曰：“楚国无以为宝，惟 [善] 以为宝。”		《大学中庸》__春秋战国
61	则是明于民之 [善] 非也。		《墨子》__春秋战国
62	若苟明于民之 [善] 非也。		《墨子》__春秋战国
63	则是不明于民之 [善] 非也。		《墨子》__春秋战国
64	若苟不明于民之 [善] 非。		《墨子》__春秋战国
65	古者国君诸候之闻见 [善] 与不 [善] 也。		《墨子》__春秋战国
66	则是不得 [善] 人而赏之。		《墨子》__春秋战国
67	彼为 [善] 之，小人之使为国家，菑害并至。		《大学中庸》__春秋战国
